lindex,Sport,Year,Height,count
18041,Snowboarding,1998,154.0,2
18042,Snowboarding,1998,157.0,4
18043,Snowboarding,1998,158.0,3
18044,Snowboarding,1998,160.0,4
18045,Snowboarding,1998,162.0,5
18046,Snowboarding,1998,163.0,1
18047,Snowboarding,1998,164.0,6
18048,Snowboarding,1998,165.0,7
18049,Snowboarding,1998,166.0,2
18050,Snowboarding,1998,167.0,1
18051,Snowboarding,1998,168.0,4
18052,Snowboarding,1998,169.0,6
18053,Snowboarding,1998,170.0,7
18054,Snowboarding,1998,171.0,3
18055,Snowboarding,1998,172.0,5
18056,Snowboarding,1998,173.0,6
18057,Snowboarding,1998,174.0,6
18058,Snowboarding,1998,175.0,9
18059,Snowboarding,1998,176.0,3
18060,Snowboarding,1998,177.0,2
18061,Snowboarding,1998,178.0,8
18062,Snowboarding,1998,179.0,1
18063,Snowboarding,1998,180.0,10
18064,Snowboarding,1998,181.0,2
18065,Snowboarding,1998,182.0,6
18066,Snowboarding,1998,183.0,1
18067,Snowboarding,1998,185.0,3
18068,Snowboarding,1998,186.0,6
18069,Snowboarding,1998,187.0,1
18070,Snowboarding,1998,189.0,1
18071,Snowboarding,1998,190.0,2
18072,Snowboarding,2002,154.0,1
18073,Snowboarding,2002,155.0,1
18074,Snowboarding,2002,157.0,3
18075,Snowboarding,2002,160.0,4
18076,Snowboarding,2002,161.0,3
18077,Snowboarding,2002,162.0,3
18078,Snowboarding,2002,163.0,5
18079,Snowboarding,2002,164.0,7
18080,Snowboarding,2002,165.0,8
18081,Snowboarding,2002,166.0,1
18082,Snowboarding,2002,167.0,2
18083,Snowboarding,2002,168.0,4
18084,Snowboarding,2002,169.0,6
18085,Snowboarding,2002,170.0,5
18086,Snowboarding,2002,171.0,3
18087,Snowboarding,2002,172.0,4
18088,Snowboarding,2002,173.0,1
18089,Snowboarding,2002,174.0,4
18090,Snowboarding,2002,175.0,8
18091,Snowboarding,2002,176.0,2
18092,Snowboarding,2002,177.0,3
18093,Snowboarding,2002,178.0,5
18094,Snowboarding,2002,179.0,1
18095,Snowboarding,2002,180.0,9
18096,Snowboarding,2002,181.0,3
18097,Snowboarding,2002,182.0,3
18098,Snowboarding,2002,183.0,3
18099,Snowboarding,2002,184.0,3
18100,Snowboarding,2002,185.0,4
18101,Snowboarding,2002,186.0,7
18102,Snowboarding,2002,190.0,1
18103,Snowboarding,2002,191.0,1
18104,Snowboarding,2006,153.0,1
18105,Snowboarding,2006,154.0,2
18106,Snowboarding,2006,155.0,1
18107,Snowboarding,2006,156.0,2
18108,Snowboarding,2006,157.0,1
18109,Snowboarding,2006,158.0,1
18110,Snowboarding,2006,160.0,7
18111,Snowboarding,2006,161.0,4
18112,Snowboarding,2006,162.0,4
18113,Snowboarding,2006,163.0,3
18114,Snowboarding,2006,164.0,7
18115,Snowboarding,2006,165.0,16
18116,Snowboarding,2006,166.0,4
18117,Snowboarding,2006,167.0,6
18118,Snowboarding,2006,168.0,13
18119,Snowboarding,2006,169.0,6
18120,Snowboarding,2006,170.0,13
18121,Snowboarding,2006,171.0,10
18122,Snowboarding,2006,172.0,1
18123,Snowboarding,2006,173.0,4
18124,Snowboarding,2006,174.0,4
18125,Snowboarding,2006,175.0,10
18126,Snowboarding,2006,176.0,3
18127,Snowboarding,2006,177.0,5
18128,Snowboarding,2006,178.0,7
18129,Snowboarding,2006,179.0,4
18130,Snowboarding,2006,180.0,14
18131,Snowboarding,2006,181.0,3
18132,Snowboarding,2006,182.0,3
18133,Snowboarding,2006,183.0,8
18134,Snowboarding,2006,184.0,7
18135,Snowboarding,2006,185.0,7
18136,Snowboarding,2006,186.0,10
18137,Snowboarding,2006,187.0,1
18138,Snowboarding,2006,188.0,1
18139,Snowboarding,2006,189.0,2
18140,Snowboarding,2006,190.0,2
