lindex,Sport,Year,Height,count
18215,Softball,1996,155.0,4
18216,Softball,1996,157.0,1
18217,Softball,1996,158.0,2
18218,Softball,1996,159.0,2
18219,Softball,1996,160.0,4
18220,Softball,1996,161.0,1
18221,Softball,1996,162.0,3
18222,Softball,1996,163.0,3
18223,Softball,1996,164.0,1
18224,Softball,1996,165.0,4
18225,Softball,1996,166.0,7
18226,Softball,1996,167.0,7
18227,Softball,1996,168.0,5
18228,Softball,1996,169.0,2
18229,Softball,1996,170.0,7
18230,Softball,1996,171.0,3
18231,Softball,1996,172.0,9
18232,Softball,1996,173.0,4
18233,Softball,1996,174.0,6
18234,Softball,1996,175.0,4
18235,Softball,1996,176.0,3
18236,Softball,1996,177.0,2
18237,Softball,1996,178.0,1
18238,Softball,1996,180.0,3
18239,Softball,1996,182.0,1
18240,Softball,1996,183.0,1
18241,Softball,2000,150.0,1
18242,Softball,2000,157.0,1
18243,Softball,2000,158.0,4
18244,Softball,2000,159.0,1
18245,Softball,2000,160.0,5
18246,Softball,2000,161.0,1
18247,Softball,2000,162.0,3
18248,Softball,2000,163.0,4
18249,Softball,2000,164.0,2
18250,Softball,2000,165.0,9
18251,Softball,2000,166.0,3
18252,Softball,2000,167.0,10
18253,Softball,2000,168.0,10
18254,Softball,2000,169.0,7
18255,Softball,2000,170.0,11
18256,Softball,2000,171.0,6
18257,Softball,2000,172.0,9
18258,Softball,2000,173.0,6
18259,Softball,2000,174.0,4
18260,Softball,2000,175.0,7
18261,Softball,2000,176.0,3
18262,Softball,2000,177.0,2
18263,Softball,2000,178.0,2
18264,Softball,2000,179.0,1
18265,Softball,2000,181.0,1
18266,Softball,2000,182.0,3
18267,Softball,2000,183.0,1
18268,Softball,2000,184.0,1
18269,Softball,2000,185.0,1
18270,Softball,2000,190.0,1
18271,Softball,2004,157.0,1
18272,Softball,2004,158.0,2
18273,Softball,2004,160.0,8
18274,Softball,2004,161.0,2
18275,Softball,2004,162.0,3
18276,Softball,2004,163.0,4
18277,Softball,2004,164.0,2
18278,Softball,2004,165.0,14
18279,Softball,2004,166.0,4
18280,Softball,2004,167.0,4
18281,Softball,2004,168.0,11
18282,Softball,2004,169.0,2
18283,Softball,2004,170.0,14
18284,Softball,2004,171.0,5
18285,Softball,2004,172.0,6
18286,Softball,2004,173.0,11
18287,Softball,2004,174.0,1
18288,Softball,2004,175.0,7
18289,Softball,2004,176.0,2
18290,Softball,2004,177.0,1
18291,Softball,2004,178.0,3
18292,Softball,2004,179.0,2
18293,Softball,2004,180.0,1
18294,Softball,2004,181.0,1
18295,Softball,2004,182.0,2
18296,Softball,2004,183.0,2
18297,Softball,2004,184.0,1
18298,Softball,2004,185.0,1
18299,Softball,2004,188.0,1
18300,Softball,2008,154.0,1
18301,Softball,2008,157.0,4
18302,Softball,2008,160.0,6
18303,Softball,2008,161.0,1
18304,Softball,2008,162.0,2
18305,Softball,2008,163.0,6
18306,Softball,2008,164.0,1
18307,Softball,2008,165.0,9
18308,Softball,2008,166.0,7
18309,Softball,2008,167.0,4
18310,Softball,2008,168.0,15
18311,Softball,2008,169.0,4
18312,Softball,2008,170.0,17
18313,Softball,2008,171.0,5
18314,Softball,2008,172.0,5
18315,Softball,2008,173.0,8
18316,Softball,2008,174.0,1
18317,Softball,2008,175.0,4
18318,Softball,2008,176.0,3
18319,Softball,2008,177.0,2
18320,Softball,2008,178.0,2
18321,Softball,2008,179.0,2
18322,Softball,2008,180.0,1
18323,Softball,2008,182.0,2
18324,Softball,2008,183.0,1
18325,Softball,2008,184.0,3
18326,Softball,2008,185.0,1
18327,Softball,2008,188.0,1
18328,Softball,2008,191.0,1
18329,Softball,2008,198.0,1
