lindex,Sport,Year,Height,count
18330,Speed Skating,1924,163.0,2
18331,Speed Skating,1924,167.0,5
18332,Speed Skating,1924,168.0,5
18333,Speed Skating,1924,170.0,3
18334,Speed Skating,1924,171.0,4
18335,Speed Skating,1924,172.0,5
18336,Speed Skating,1924,173.0,5
18337,Speed Skating,1924,176.0,3
18338,Speed Skating,1924,178.0,2
18339,Speed Skating,1928,165.0,1
18340,Speed Skating,1928,167.0,3
18341,Speed Skating,1928,168.0,2
18342,Speed Skating,1928,170.0,3
18343,Speed Skating,1928,171.0,2
18344,Speed Skating,1928,173.0,2
18345,Speed Skating,1928,175.0,4
18346,Speed Skating,1928,177.0,3
18347,Speed Skating,1928,178.0,4
18348,Speed Skating,1928,180.0,2
18349,Speed Skating,1928,183.0,1
18350,Speed Skating,1932,168.0,3
18351,Speed Skating,1932,175.0,7
18352,Speed Skating,1932,178.0,5
18353,Speed Skating,1932,180.0,6
18354,Speed Skating,1932,183.0,1
18355,Speed Skating,1936,167.0,2
18356,Speed Skating,1936,168.0,4
18357,Speed Skating,1936,178.0,2
18358,Speed Skating,1936,179.0,1
18359,Speed Skating,1936,180.0,6
18360,Speed Skating,1948,171.0,2
18361,Speed Skating,1948,178.0,4
18362,Speed Skating,1952,162.0,3
18363,Speed Skating,1952,163.0,2
18364,Speed Skating,1952,164.0,6
18365,Speed Skating,1952,165.0,2
18366,Speed Skating,1952,168.0,2
18367,Speed Skating,1952,170.0,2
18368,Speed Skating,1952,175.0,2
18369,Speed Skating,1952,176.0,2
18370,Speed Skating,1952,178.0,3
18371,Speed Skating,1952,183.0,2
18372,Speed Skating,1956,162.0,7
18373,Speed Skating,1956,163.0,3
18374,Speed Skating,1956,164.0,4
18375,Speed Skating,1956,166.0,4
18376,Speed Skating,1956,169.0,2
18377,Speed Skating,1956,172.0,4
18378,Speed Skating,1956,173.0,4
18379,Speed Skating,1956,174.0,4
18380,Speed Skating,1956,175.0,3
18381,Speed Skating,1956,178.0,1
18382,Speed Skating,1956,183.0,3
18383,Speed Skating,1956,186.0,3
18384,Speed Skating,1960,153.0,8
18385,Speed Skating,1960,154.0,2
18386,Speed Skating,1960,157.0,8
18387,Speed Skating,1960,159.0,8
18388,Speed Skating,1960,160.0,14
18389,Speed Skating,1960,162.0,8
18390,Speed Skating,1960,163.0,9
18391,Speed Skating,1960,164.0,5
18392,Speed Skating,1960,166.0,4
18393,Speed Skating,1960,167.0,6
18394,Speed Skating,1960,168.0,7
18395,Speed Skating,1960,169.0,6
18396,Speed Skating,1960,170.0,8
18397,Speed Skating,1960,171.0,5
18398,Speed Skating,1960,172.0,6
18399,Speed Skating,1960,173.0,1
18400,Speed Skating,1960,174.0,4
18401,Speed Skating,1960,175.0,4
18402,Speed Skating,1960,178.0,8
18403,Speed Skating,1960,179.0,1
18404,Speed Skating,1960,182.0,8
18405,Speed Skating,1960,183.0,6
18406,Speed Skating,1960,185.0,4
18407,Speed Skating,1960,186.0,6
18408,Speed Skating,1964,152.0,6
18409,Speed Skating,1964,153.0,4
18410,Speed Skating,1964,154.0,3
18411,Speed Skating,1964,157.0,5
18412,Speed Skating,1964,158.0,3
18413,Speed Skating,1964,159.0,8
18414,Speed Skating,1964,160.0,12
18415,Speed Skating,1964,162.0,8
18416,Speed Skating,1964,163.0,8
18417,Speed Skating,1964,164.0,5
18418,Speed Skating,1964,165.0,2
18419,Speed Skating,1964,166.0,7
18420,Speed Skating,1964,167.0,15
18421,Speed Skating,1964,168.0,8
18422,Speed Skating,1964,169.0,12
18423,Speed Skating,1964,170.0,14
18424,Speed Skating,1964,171.0,12
18425,Speed Skating,1964,172.0,12
18426,Speed Skating,1964,173.0,2
18427,Speed Skating,1964,174.0,2
18428,Speed Skating,1964,175.0,14
18429,Speed Skating,1964,176.0,6
18430,Speed Skating,1964,177.0,3
18431,Speed Skating,1964,178.0,19
18432,Speed Skating,1964,179.0,4
18433,Speed Skating,1964,180.0,11
18434,Speed Skating,1964,181.0,4
18435,Speed Skating,1964,182.0,10
18436,Speed Skating,1964,183.0,4
18437,Speed Skating,1964,184.0,2
18438,Speed Skating,1964,185.0,7
18439,Speed Skating,1964,186.0,6
18440,Speed Skating,1964,189.0,1
18441,Speed Skating,1964,190.0,1
18442,Speed Skating,1964,192.0,3
18443,Speed Skating,1968,149.0,2
18444,Speed Skating,1968,153.0,3
18445,Speed Skating,1968,156.0,5
18446,Speed Skating,1968,157.0,3
18447,Speed Skating,1968,158.0,7
18448,Speed Skating,1968,159.0,4
18449,Speed Skating,1968,160.0,7
18450,Speed Skating,1968,161.0,2
18451,Speed Skating,1968,163.0,11
18452,Speed Skating,1968,164.0,1
18453,Speed Skating,1968,165.0,5
18454,Speed Skating,1968,166.0,6
18455,Speed Skating,1968,167.0,37
18456,Speed Skating,1968,168.0,5
18457,Speed Skating,1968,169.0,3
18458,Speed Skating,1968,170.0,10
18459,Speed Skating,1968,171.0,11
18460,Speed Skating,1968,172.0,26
18461,Speed Skating,1968,173.0,7
18462,Speed Skating,1968,174.0,15
18463,Speed Skating,1968,175.0,15
18464,Speed Skating,1968,176.0,10
18465,Speed Skating,1968,177.0,2
18466,Speed Skating,1968,178.0,16
18467,Speed Skating,1968,179.0,2
18468,Speed Skating,1968,180.0,10
18469,Speed Skating,1968,181.0,7
18470,Speed Skating,1968,182.0,15
18471,Speed Skating,1968,183.0,5
18472,Speed Skating,1968,184.0,6
18473,Speed Skating,1968,185.0,2
18474,Speed Skating,1968,186.0,8
18475,Speed Skating,1968,187.0,1
18476,Speed Skating,1968,189.0,1
18477,Speed Skating,1968,190.0,2
18478,Speed Skating,1968,191.0,2
18479,Speed Skating,1968,192.0,2
18480,Speed Skating,1972,151.0,1
18481,Speed Skating,1972,153.0,2
18482,Speed Skating,1972,156.0,2
18483,Speed Skating,1972,158.0,3
18484,Speed Skating,1972,159.0,3
18485,Speed Skating,1972,160.0,3
18486,Speed Skating,1972,162.0,8
18487,Speed Skating,1972,163.0,11
18488,Speed Skating,1972,164.0,7
18489,Speed Skating,1972,165.0,8
18490,Speed Skating,1972,166.0,6
18491,Speed Skating,1972,167.0,23
18492,Speed Skating,1972,168.0,5
18493,Speed Skating,1972,170.0,19
18494,Speed Skating,1972,171.0,10
18495,Speed Skating,1972,172.0,17
18496,Speed Skating,1972,173.0,7
18497,Speed Skating,1972,174.0,7
18498,Speed Skating,1972,175.0,9
18499,Speed Skating,1972,176.0,6
18500,Speed Skating,1972,177.0,1
18501,Speed Skating,1972,178.0,29
18502,Speed Skating,1972,179.0,4
18503,Speed Skating,1972,180.0,7
18504,Speed Skating,1972,181.0,1
18505,Speed Skating,1972,182.0,4
18506,Speed Skating,1972,183.0,9
18507,Speed Skating,1972,184.0,9
18508,Speed Skating,1972,185.0,7
18509,Speed Skating,1972,186.0,6
18510,Speed Skating,1972,187.0,2
18511,Speed Skating,1972,190.0,4
18512,Speed Skating,1972,191.0,4
18513,Speed Skating,1976,153.0,3
18514,Speed Skating,1976,157.0,3
18515,Speed Skating,1976,158.0,1
18516,Speed Skating,1976,159.0,2
