lindex,Sport,Year,Height,count
18899,Swimming,1900,171.0,3
18900,Swimming,1900,182.0,3
18901,Swimming,1900,185.0,3
18902,Swimming,1900,187.0,3
18903,Swimming,1904,171.0,3
18904,Swimming,1904,173.0,1
18905,Swimming,1904,183.0,5
18906,Swimming,1904,187.0,2
18907,Swimming,1906,165.0,3
18908,Swimming,1906,170.0,3
18909,Swimming,1906,174.0,2
18910,Swimming,1906,180.0,3
18911,Swimming,1906,183.0,2
18912,Swimming,1906,186.0,1
18913,Swimming,1906,187.0,2
18914,Swimming,1908,165.0,3
18915,Swimming,1908,170.0,5
18916,Swimming,1908,174.0,3
18917,Swimming,1908,178.0,2
18918,Swimming,1908,180.0,6
18919,Swimming,1908,183.0,3
18920,Swimming,1908,187.0,2
18921,Swimming,1912,165.0,3
18922,Swimming,1912,170.0,2
18923,Swimming,1912,180.0,4
18924,Swimming,1920,152.0,3
18925,Swimming,1920,157.0,2
18926,Swimming,1920,165.0,5
18927,Swimming,1920,166.0,1
18928,Swimming,1920,167.0,1
18929,Swimming,1920,168.0,3
18930,Swimming,1920,169.0,1
18931,Swimming,1920,170.0,7
18932,Swimming,1920,171.0,6
18933,Swimming,1920,175.0,2
18934,Swimming,1920,177.0,2
18935,Swimming,1920,178.0,3
18936,Swimming,1920,179.0,1
18937,Swimming,1920,180.0,3
18938,Swimming,1920,183.0,6
18939,Swimming,1920,188.0,4
18940,Swimming,1924,142.0,1
18941,Swimming,1924,152.0,2
18942,Swimming,1924,155.0,1
18943,Swimming,1924,163.0,2
18944,Swimming,1924,165.0,3
18945,Swimming,1924,167.0,3
18946,Swimming,1924,168.0,1
18947,Swimming,1924,170.0,7
18948,Swimming,1924,175.0,1
18949,Swimming,1924,178.0,2
18950,Swimming,1924,180.0,9
18951,Swimming,1924,182.0,1
18952,Swimming,1924,183.0,8
18953,Swimming,1924,184.0,1
18954,Swimming,1924,185.0,1
18955,Swimming,1924,198.0,2
18956,Swimming,1928,160.0,2
18957,Swimming,1928,163.0,1
18958,Swimming,1928,168.0,1
18959,Swimming,1928,169.0,3
18960,Swimming,1928,170.0,12
18961,Swimming,1928,173.0,1
18962,Swimming,1928,178.0,4
18963,Swimming,1928,180.0,1
18964,Swimming,1928,182.0,2
18965,Swimming,1928,183.0,3
18966,Swimming,1928,185.0,3
18967,Swimming,1928,188.0,1
18968,Swimming,1928,190.0,2
18969,Swimming,1928,198.0,1
18970,Swimming,1932,155.0,1
18971,Swimming,1932,160.0,3
18972,Swimming,1932,161.0,1
18973,Swimming,1932,163.0,6
18974,Swimming,1932,166.0,3
18975,Swimming,1932,168.0,5
18976,Swimming,1932,169.0,5
18977,Swimming,1932,170.0,16
18978,Swimming,1932,173.0,5
18979,Swimming,1932,175.0,2
18980,Swimming,1932,178.0,10
18981,Swimming,1932,179.0,2
18982,Swimming,1932,180.0,6
18983,Swimming,1932,183.0,7
18984,Swimming,1932,185.0,8
18985,Swimming,1932,188.0,1
18986,Swimming,1932,190.0,4
18987,Swimming,1936,155.0,1
18988,Swimming,1936,156.0,1
18989,Swimming,1936,160.0,2
18990,Swimming,1936,163.0,4
18991,Swimming,1936,165.0,1
18992,Swimming,1936,168.0,2
18993,Swimming,1936,170.0,1
18994,Swimming,1936,177.0,1
18995,Swimming,1936,178.0,5
18996,Swimming,1936,182.0,2
18997,Swimming,1936,183.0,8
18998,Swimming,1936,185.0,2
18999,Swimming,1936,188.0,1
19000,Swimming,1948,167.0,1
19001,Swimming,1948,170.0,1
19002,Swimming,1948,173.0,1
19003,Swimming,1948,175.0,3
19004,Swimming,1948,176.0,1
19005,Swimming,1948,178.0,2
19006,Swimming,1948,180.0,1
19007,Swimming,1948,183.0,2
19008,Swimming,1948,185.0,6
19009,Swimming,1948,187.0,3
19010,Swimming,1948,198.0,1
19011,Swimming,1952,158.0,2
19012,Swimming,1952,159.0,1
19013,Swimming,1952,160.0,2
19014,Swimming,1952,164.0,1
19015,Swimming,1952,167.0,5
19016,Swimming,1952,169.0,3
19017,Swimming,1952,170.0,8
19018,Swimming,1952,173.0,3
19019,Swimming,1952,174.0,1
19020,Swimming,1952,175.0,2
19021,Swimming,1952,178.0,2
19022,Swimming,1952,179.0,6
19023,Swimming,1952,180.0,3
19024,Swimming,1952,182.0,1
19025,Swimming,1952,183.0,6
19026,Swimming,1952,185.0,5
19027,Swimming,1952,186.0,3
19028,Swimming,1952,187.0,3
19029,Swimming,1952,188.0,2
19030,Swimming,1952,191.0,5
19031,Swimming,1952,194.0,2
19032,Swimming,1956,159.0,2
19033,Swimming,1956,160.0,4
19034,Swimming,1956,161.0,2
19035,Swimming,1956,162.0,4
19036,Swimming,1956,164.0,1
19037,Swimming,1956,165.0,1
19038,Swimming,1956,166.0,4
19039,Swimming,1956,167.0,11
19040,Swimming,1956,168.0,2
19041,Swimming,1956,169.0,4
19042,Swimming,1956,170.0,6
19043,Swimming,1956,171.0,5
19044,Swimming,1956,172.0,9
