lindex,Sport,Year,Height,count
19800,Synchronized Swimming,1984,157.0,2
19801,Synchronized Swimming,1984,159.0,2
19802,Synchronized Swimming,1984,160.0,3
19803,Synchronized Swimming,1984,161.0,1
19804,Synchronized Swimming,1984,162.0,8
19805,Synchronized Swimming,1984,163.0,6
19806,Synchronized Swimming,1984,164.0,4
19807,Synchronized Swimming,1984,165.0,4
19808,Synchronized Swimming,1984,167.0,5
19809,Synchronized Swimming,1984,168.0,4
19810,Synchronized Swimming,1984,170.0,12
19811,Synchronized Swimming,1984,171.0,4
19812,Synchronized Swimming,1984,172.0,3
19813,Synchronized Swimming,1984,173.0,1
19814,Synchronized Swimming,1984,175.0,4
19815,Synchronized Swimming,1984,176.0,2
19816,Synchronized Swimming,1984,177.0,2
19817,Synchronized Swimming,1984,178.0,2
19818,Synchronized Swimming,1988,158.0,2
19819,Synchronized Swimming,1988,160.0,2
19820,Synchronized Swimming,1988,162.0,8
19821,Synchronized Swimming,1988,163.0,5
19822,Synchronized Swimming,1988,164.0,3
19823,Synchronized Swimming,1988,165.0,8
19824,Synchronized Swimming,1988,166.0,5
19825,Synchronized Swimming,1988,167.0,3
19826,Synchronized Swimming,1988,168.0,11
19827,Synchronized Swimming,1988,169.0,2
19828,Synchronized Swimming,1988,170.0,5
19829,Synchronized Swimming,1988,171.0,2
19830,Synchronized Swimming,1988,172.0,7
19831,Synchronized Swimming,1988,173.0,3
19832,Synchronized Swimming,1988,174.0,4
19833,Synchronized Swimming,1988,176.0,3
19834,Synchronized Swimming,1988,178.0,1
19835,Synchronized Swimming,1988,180.0,2
19836,Synchronized Swimming,1992,160.0,2
19837,Synchronized Swimming,1992,162.0,6
19838,Synchronized Swimming,1992,163.0,1
19839,Synchronized Swimming,1992,164.0,3
19840,Synchronized Swimming,1992,165.0,8
19841,Synchronized Swimming,1992,166.0,7
19842,Synchronized Swimming,1992,167.0,2
19843,Synchronized Swimming,1992,168.0,13
19844,Synchronized Swimming,1992,169.0,2
19845,Synchronized Swimming,1992,170.0,3
19846,Synchronized Swimming,1992,172.0,6
19847,Synchronized Swimming,1992,173.0,3
19848,Synchronized Swimming,1992,174.0,4
19849,Synchronized Swimming,1992,175.0,2
19850,Synchronized Swimming,1992,176.0,2
19851,Synchronized Swimming,1992,177.0,3
19852,Synchronized Swimming,1992,178.0,1
19853,Synchronized Swimming,1992,180.0,1
19854,Synchronized Swimming,1996,155.0,1
19855,Synchronized Swimming,1996,157.0,1
19856,Synchronized Swimming,1996,160.0,4
19857,Synchronized Swimming,1996,161.0,1
19858,Synchronized Swimming,1996,163.0,4
19859,Synchronized Swimming,1996,164.0,6
19860,Synchronized Swimming,1996,165.0,6
19861,Synchronized Swimming,1996,166.0,1
19862,Synchronized Swimming,1996,167.0,4
19863,Synchronized Swimming,1996,168.0,5
19864,Synchronized Swimming,1996,169.0,3
19865,Synchronized Swimming,1996,170.0,4
19866,Synchronized Swimming,1996,171.0,2
19867,Synchronized Swimming,1996,172.0,8
19868,Synchronized Swimming,1996,173.0,1
19869,Synchronized Swimming,1996,174.0,4
19870,Synchronized Swimming,1996,175.0,1
19871,Synchronized Swimming,1996,176.0,4
19872,Synchronized Swimming,1996,177.0,3
19873,Synchronized Swimming,1996,178.0,1
19874,Synchronized Swimming,1996,181.0,1
19875,Synchronized Swimming,2000,153.0,1
19876,Synchronized Swimming,2000,154.0,1
19877,Synchronized Swimming,2000,155.0,1
19878,Synchronized Swimming,2000,157.0,1
19879,Synchronized Swimming,2000,158.0,1
19880,Synchronized Swimming,2000,160.0,2
19881,Synchronized Swimming,2000,162.0,1
19882,Synchronized Swimming,2000,163.0,4
19883,Synchronized Swimming,2000,164.0,11
19884,Synchronized Swimming,2000,165.0,14
19885,Synchronized Swimming,2000,166.0,2
19886,Synchronized Swimming,2000,167.0,8
19887,Synchronized Swimming,2000,168.0,9
19888,Synchronized Swimming,2000,169.0,7
19889,Synchronized Swimming,2000,170.0,17
19890,Synchronized Swimming,2000,171.0,1
19891,Synchronized Swimming,2000,172.0,10
19892,Synchronized Swimming,2000,173.0,1
