lindex,Sport,Year,Height,count
19984,Table Tennis,1988,146.0,1
19985,Table Tennis,1988,150.0,2
19986,Table Tennis,1988,152.0,1
19987,Table Tennis,1988,157.0,2
19988,Table Tennis,1988,158.0,2
19989,Table Tennis,1988,160.0,8
19990,Table Tennis,1988,162.0,14
19991,Table Tennis,1988,163.0,10
19992,Table Tennis,1988,164.0,4
19993,Table Tennis,1988,165.0,6
19994,Table Tennis,1988,166.0,12
19995,Table Tennis,1988,167.0,6
19996,Table Tennis,1988,168.0,11
19997,Table Tennis,1988,169.0,1
19998,Table Tennis,1988,170.0,17
19999,Table Tennis,1988,171.0,2
20000,Table Tennis,1988,172.0,3
20001,Table Tennis,1988,173.0,2
20002,Table Tennis,1988,174.0,10
20003,Table Tennis,1988,175.0,13
20004,Table Tennis,1988,176.0,5
20005,Table Tennis,1988,177.0,7
20006,Table Tennis,1988,178.0,10
20007,Table Tennis,1988,179.0,6
20008,Table Tennis,1988,180.0,9
20009,Table Tennis,1988,181.0,2
20010,Table Tennis,1988,182.0,2
20011,Table Tennis,1988,183.0,2
20012,Table Tennis,1988,184.0,1
20013,Table Tennis,1988,185.0,8
20014,Table Tennis,1988,186.0,3
20015,Table Tennis,1988,190.0,2
20016,Table Tennis,1988,193.0,2
20017,Table Tennis,1988,196.0,1
20018,Table Tennis,1992,150.0,4
20019,Table Tennis,1992,154.0,4
20020,Table Tennis,1992,155.0,2
20021,Table Tennis,1992,157.0,2
20022,Table Tennis,1992,158.0,6
20023,Table Tennis,1992,160.0,5
20024,Table Tennis,1992,162.0,11
20025,Table Tennis,1992,163.0,3
20026,Table Tennis,1992,164.0,4
20027,Table Tennis,1992,165.0,8
20028,Table Tennis,1992,166.0,10
20029,Table Tennis,1992,167.0,5
20030,Table Tennis,1992,168.0,5
20031,Table Tennis,1992,170.0,14
20032,Table Tennis,1992,171.0,2
20033,Table Tennis,1992,172.0,5
20034,Table Tennis,1992,173.0,2
20035,Table Tennis,1992,174.0,10
20036,Table Tennis,1992,175.0,5
20037,Table Tennis,1992,176.0,3
20038,Table Tennis,1992,177.0,5
20039,Table Tennis,1992,178.0,7
20040,Table Tennis,1992,179.0,3
20041,Table Tennis,1992,180.0,11
20042,Table Tennis,1992,181.0,5
20043,Table Tennis,1992,182.0,5
20044,Table Tennis,1992,183.0,2
20045,Table Tennis,1992,185.0,9
20046,Table Tennis,1992,186.0,2
20047,Table Tennis,1992,188.0,1
20048,Table Tennis,1992,189.0,1
20049,Table Tennis,1992,193.0,3
20050,Table Tennis,1992,196.0,1
20051,Table Tennis,1996,150.0,2
20052,Table Tennis,1996,152.0,1
20053,Table Tennis,1996,153.0,1
20054,Table Tennis,1996,154.0,3
20055,Table Tennis,1996,155.0,2
20056,Table Tennis,1996,156.0,2
20057,Table Tennis,1996,157.0,8
20058,Table Tennis,1996,158.0,6
20059,Table Tennis,1996,160.0,4
20060,Table Tennis,1996,162.0,8
20061,Table Tennis,1996,163.0,7
20062,Table Tennis,1996,164.0,8
20063,Table Tennis,1996,165.0,9
20064,Table Tennis,1996,166.0,10
20065,Table Tennis,1996,167.0,3
20066,Table Tennis,1996,168.0,11
20067,Table Tennis,1996,169.0,2
20068,Table Tennis,1996,170.0,20
20069,Table Tennis,1996,171.0,4
20070,Table Tennis,1996,172.0,6
20071,Table Tennis,1996,173.0,5
20072,Table Tennis,1996,174.0,10
20073,Table Tennis,1996,175.0,6
20074,Table Tennis,1996,176.0,3
20075,Table Tennis,1996,177.0,7
20076,Table Tennis,1996,178.0,7
20077,Table Tennis,1996,179.0,2
20078,Table Tennis,1996,180.0,10
20079,Table Tennis,1996,181.0,3
20080,Table Tennis,1996,182.0,5
20081,Table Tennis,1996,184.0,2
20082,Table Tennis,1996,185.0,6
20083,Table Tennis,1996,186.0,3
20084,Table Tennis,1996,188.0,2
20085,Table Tennis,1996,189.0,4
20086,Table Tennis,1996,190.0,3
20087,Table Tennis,1996,193.0,2
20088,Table Tennis,2000,145.0,1
20089,Table Tennis,2000,151.0,2
20090,Table Tennis,2000,153.0,2
20091,Table Tennis,2000,155.0,4
20092,Table Tennis,2000,157.0,4
20093,Table Tennis,2000,158.0,2
20094,Table Tennis,2000,159.0,3
20095,Table Tennis,2000,160.0,20
20096,Table Tennis,2000,161.0,2
20097,Table Tennis,2000,162.0,4
20098,Table Tennis,2000,163.0,7
20099,Table Tennis,2000,164.0,10
20100,Table Tennis,2000,165.0,17
20101,Table Tennis,2000,166.0,12
20102,Table Tennis,2000,167.0,6
20103,Table Tennis,2000,168.0,17
20104,Table Tennis,2000,169.0,3
20105,Table Tennis,2000,170.0,27
20106,Table Tennis,2000,171.0,5
20107,Table Tennis,2000,172.0,3
20108,Table Tennis,2000,173.0,4
20109,Table Tennis,2000,174.0,9
20110,Table Tennis,2000,175.0,17
20111,Table Tennis,2000,176.0,8
20112,Table Tennis,2000,177.0,9
20113,Table Tennis,2000,178.0,14
20114,Table Tennis,2000,179.0,2
20115,Table Tennis,2000,180.0,12
20116,Table Tennis,2000,181.0,7
20117,Table Tennis,2000,182.0,5
20118,Table Tennis,2000,183.0,1
