lindex,Sport,Year,Height,count
20282,Taekwondo,2000,154.0,1
20283,Taekwondo,2000,155.0,1
20284,Taekwondo,2000,157.0,2
20285,Taekwondo,2000,158.0,1
20286,Taekwondo,2000,160.0,1
20287,Taekwondo,2000,162.0,1
20288,Taekwondo,2000,163.0,2
20289,Taekwondo,2000,164.0,3
20290,Taekwondo,2000,165.0,5
20291,Taekwondo,2000,166.0,1
20292,Taekwondo,2000,167.0,2
20293,Taekwondo,2000,168.0,3
20294,Taekwondo,2000,169.0,3
20295,Taekwondo,2000,170.0,8
20296,Taekwondo,2000,171.0,3
20297,Taekwondo,2000,172.0,6
20298,Taekwondo,2000,173.0,3
20299,Taekwondo,2000,174.0,5
20300,Taekwondo,2000,175.0,5
20301,Taekwondo,2000,176.0,2
20302,Taekwondo,2000,177.0,4
20303,Taekwondo,2000,178.0,5
20304,Taekwondo,2000,179.0,1
20305,Taekwondo,2000,180.0,9
20306,Taekwondo,2000,182.0,1
20307,Taekwondo,2000,183.0,3
20308,Taekwondo,2000,184.0,3
20309,Taekwondo,2000,185.0,2
20310,Taekwondo,2000,186.0,3
20311,Taekwondo,2000,187.0,1
20312,Taekwondo,2000,189.0,2
20313,Taekwondo,2000,190.0,3
20314,Taekwondo,2000,191.0,2
20315,Taekwondo,2000,193.0,1
20316,Taekwondo,2000,196.0,1
20317,Taekwondo,2000,198.0,1
20318,Taekwondo,2000,201.0,1
20319,Taekwondo,2004,150.0,1
20320,Taekwondo,2004,152.0,1
20321,Taekwondo,2004,155.0,1
20322,Taekwondo,2004,159.0,1
20323,Taekwondo,2004,160.0,3
20324,Taekwondo,2004,161.0,2
20325,Taekwondo,2004,162.0,1
20326,Taekwondo,2004,163.0,3
20327,Taekwondo,2004,164.0,4
20328,Taekwondo,2004,165.0,2
20329,Taekwondo,2004,166.0,2
20330,Taekwondo,2004,167.0,4
20331,Taekwondo,2004,168.0,6
20332,Taekwondo,2004,169.0,3
20333,Taekwondo,2004,170.0,7
20334,Taekwondo,2004,171.0,1
20335,Taekwondo,2004,172.0,4
20336,Taekwondo,2004,173.0,4
20337,Taekwondo,2004,174.0,3
20338,Taekwondo,2004,175.0,10
20339,Taekwondo,2004,176.0,4
20340,Taekwondo,2004,177.0,6
20341,Taekwondo,2004,178.0,6
20342,Taekwondo,2004,179.0,1
20343,Taekwondo,2004,180.0,10
20344,Taekwondo,2004,181.0,1
20345,Taekwondo,2004,182.0,5
20346,Taekwondo,2004,183.0,5
20347,Taekwondo,2004,184.0,3
20348,Taekwondo,2004,185.0,5
20349,Taekwondo,2004,186.0,1
20350,Taekwondo,2004,187.0,1
20351,Taekwondo,2004,189.0,1
20352,Taekwondo,2004,190.0,2
20353,Taekwondo,2004,191.0,2
20354,Taekwondo,2004,192.0,1
20355,Taekwondo,2004,193.0,2
20356,Taekwondo,2004,195.0,1
20357,Taekwondo,2004,196.0,1
