lindex,Sport,Year,Height,count
20476,Tennis,1900,178.0,3
20477,Tennis,1900,181.0,3
20478,Tennis,1900,191.0,3
20479,Tennis,1904,183.0,2
20480,Tennis,1912,183.0,3
20481,Tennis,1912,188.0,2
20482,Tennis,1920,156.0,1
20483,Tennis,1920,162.0,2
20484,Tennis,1920,168.0,2
20485,Tennis,1920,174.0,1
20486,Tennis,1920,175.0,2
20487,Tennis,1924,156.0,2
20488,Tennis,1924,163.0,3
20489,Tennis,1924,168.0,3
20490,Tennis,1924,175.0,3
20491,Tennis,1924,178.0,3
20492,Tennis,1924,180.0,2
20493,Tennis,1924,182.0,3
20494,Tennis,1924,183.0,3
20495,Tennis,1924,185.0,2
20496,Tennis,1924,194.0,2
20497,Tennis,1988,160.0,2
20498,Tennis,1988,162.0,3
20499,Tennis,1988,163.0,2
20500,Tennis,1988,164.0,3
20501,Tennis,1988,165.0,6
20502,Tennis,1988,166.0,2
20503,Tennis,1988,167.0,4
20504,Tennis,1988,168.0,5
20505,Tennis,1988,169.0,6
20506,Tennis,1988,170.0,11
20507,Tennis,1988,171.0,2
20508,Tennis,1988,172.0,5
20509,Tennis,1988,173.0,5
20510,Tennis,1988,174.0,1
20511,Tennis,1988,175.0,15
20512,Tennis,1988,177.0,6
20513,Tennis,1988,178.0,7
20514,Tennis,1988,179.0,3
20515,Tennis,1988,180.0,23
20516,Tennis,1988,182.0,3
20517,Tennis,1988,183.0,8
20518,Tennis,1988,184.0,7
20519,Tennis,1988,185.0,13
20520,Tennis,1988,186.0,4
20521,Tennis,1988,187.0,5
20522,Tennis,1988,188.0,17
20523,Tennis,1988,189.0,3
20524,Tennis,1988,190.0,10
20525,Tennis,1988,191.0,2
20526,Tennis,1988,192.0,2
20527,Tennis,1988,193.0,6
20528,Tennis,1988,194.0,2
20529,Tennis,1988,198.0,2
20530,Tennis,1988,200.0,1
20531,Tennis,1988,203.0,2
20532,Tennis,1992,157.0,1
20533,Tennis,1992,160.0,4
20534,Tennis,1992,162.0,2
20535,Tennis,1992,163.0,3
20536,Tennis,1992,164.0,5
20537,Tennis,1992,165.0,11
20538,Tennis,1992,166.0,3
20539,Tennis,1992,167.0,5
20540,Tennis,1992,168.0,1
20541,Tennis,1992,169.0,9
20542,Tennis,1992,170.0,17
20543,Tennis,1992,171.0,2
20544,Tennis,1992,172.0,6
20545,Tennis,1992,173.0,14
20546,Tennis,1992,174.0,5
20547,Tennis,1992,175.0,14
20548,Tennis,1992,176.0,6
20549,Tennis,1992,177.0,9
20550,Tennis,1992,178.0,9
20551,Tennis,1992,179.0,4
20552,Tennis,1992,180.0,15
20553,Tennis,1992,181.0,1
20554,Tennis,1992,182.0,5
20555,Tennis,1992,183.0,7
20556,Tennis,1992,184.0,4
20557,Tennis,1992,185.0,22
20558,Tennis,1992,186.0,3
20559,Tennis,1992,187.0,3
20560,Tennis,1992,188.0,15
20561,Tennis,1992,189.0,4
20562,Tennis,1992,190.0,5
20563,Tennis,1992,191.0,1
20564,Tennis,1992,192.0,7
20565,Tennis,1992,193.0,3
20566,Tennis,1992,194.0,2
20567,Tennis,1992,196.0,3
20568,Tennis,1992,200.0,2
20569,Tennis,1996,157.0,2
20570,Tennis,1996,160.0,2
20571,Tennis,1996,161.0,2
20572,Tennis,1996,163.0,3
20573,Tennis,1996,164.0,4
20574,Tennis,1996,165.0,15
20575,Tennis,1996,166.0,2
20576,Tennis,1996,167.0,3
20577,Tennis,1996,168.0,7
20578,Tennis,1996,169.0,8
20579,Tennis,1996,170.0,14
20580,Tennis,1996,171.0,3
20581,Tennis,1996,172.0,7
20582,Tennis,1996,173.0,10
20583,Tennis,1996,174.0,3
20584,Tennis,1996,175.0,13
20585,Tennis,1996,176.0,8
20586,Tennis,1996,177.0,7
20587,Tennis,1996,178.0,9
20588,Tennis,1996,179.0,4
20589,Tennis,1996,180.0,25
20590,Tennis,1996,182.0,2
20591,Tennis,1996,183.0,11
20592,Tennis,1996,184.0,7
20593,Tennis,1996,185.0,18
20594,Tennis,1996,187.0,2
20595,Tennis,1996,188.0,18
20596,Tennis,1996,189.0,4
20597,Tennis,1996,190.0,6
20598,Tennis,1996,191.0,9
20599,Tennis,1996,192.0,4
20600,Tennis,1996,193.0,2
20601,Tennis,1996,194.0,2
20602,Tennis,1996,196.0,2
20603,Tennis,1996,200.0,1
20604,Tennis,2000,150.0,1
20605,Tennis,2000,154.0,2
20606,Tennis,2000,157.0,2
20607,Tennis,2000,160.0,1
20608,Tennis,2000,161.0,2
20609,Tennis,2000,162.0,2
20610,Tennis,2000,163.0,1
20611,Tennis,2000,164.0,2
20612,Tennis,2000,165.0,7
20613,Tennis,2000,166.0,1
20614,Tennis,2000,167.0,4
20615,Tennis,2000,168.0,7
20616,Tennis,2000,169.0,5
20617,Tennis,2000,170.0,13
20618,Tennis,2000,171.0,12
20619,Tennis,2000,172.0,8
20620,Tennis,2000,173.0,6
20621,Tennis,2000,174.0,6
20622,Tennis,2000,175.0,17
20623,Tennis,2000,176.0,12
20624,Tennis,2000,177.0,10
20625,Tennis,2000,178.0,15
20626,Tennis,2000,179.0,3
20627,Tennis,2000,180.0,22
20628,Tennis,2000,182.0,13
20629,Tennis,2000,183.0,7
20630,Tennis,2000,184.0,2
20631,Tennis,2000,185.0,18
20632,Tennis,2000,186.0,1
20633,Tennis,2000,187.0,4
20634,Tennis,2000,188.0,7
20635,Tennis,2000,189.0,1
20636,Tennis,2000,190.0,13
20637,Tennis,2000,191.0,5
20638,Tennis,2000,192.0,1
20639,Tennis,2000,193.0,6
20640,Tennis,2000,194.0,2
20641,Tennis,2000,195.0,1
20642,Tennis,2000,196.0,4
20643,Tennis,2000,198.0,1
20644,Tennis,2004,159.0,1
20645,Tennis,2004,161.0,2
20646,Tennis,2004,162.0,1
20647,Tennis,2004,163.0,3
20648,Tennis,2004,164.0,6
20649,Tennis,2004,165.0,7
20650,Tennis,2004,166.0,5
20651,Tennis,2004,167.0,10
20652,Tennis,2004,168.0,9
20653,Tennis,2004,169.0,6
20654,Tennis,2004,170.0,10
20655,Tennis,2004,171.0,6
20656,Tennis,2004,172.0,9
20657,Tennis,2004,173.0,2
20658,Tennis,2004,174.0,5
20659,Tennis,2004,175.0,16
20660,Tennis,2004,176.0,7
20661,Tennis,2004,177.0,5
20662,Tennis,2004,178.0,9
20663,Tennis,2004,179.0,5
20664,Tennis,2004,180.0,17
20665,Tennis,2004,181.0,8
20666,Tennis,2004,182.0,21
20667,Tennis,2004,183.0,4
20668,Tennis,2004,184.0,4
20669,Tennis,2004,185.0,19
20670,Tennis,2004,186.0,1
20671,Tennis,2004,187.0,5
20672,Tennis,2004,188.0,7
20673,Tennis,2004,189.0,1
20674,Tennis,2004,190.0,14
20675,Tennis,2004,191.0,6
20676,Tennis,2004,192.0,1
20677,Tennis,2004,193.0,8
20678,Tennis,2004,195.0,4
20679,Tennis,2004,196.0,2
20680,Tennis,2004,198.0,2
20681,Tennis,2004,200.0,1
20682,Tennis,2004,208.0,1
20683,Tennis,2008,156.0,2
20684,Tennis,2008,160.0,2
20685,Tennis,2008,161.0,2
20686,Tennis,2008,162.0,1
20687,Tennis,2008,164.0,5
20688,Tennis,2008,165.0,3
20689,Tennis,2008,166.0,7
20690,Tennis,2008,167.0,3
20691,Tennis,2008,168.0,10
20692,Tennis,2008,169.0,2
20693,Tennis,2008,170.0,11
20694,Tennis,2008,171.0,3
20695,Tennis,2008,172.0,13
20696,Tennis,2008,173.0,11
20697,Tennis,2008,174.0,4
20698,Tennis,2008,175.0,15
20699,Tennis,2008,176.0,6
20700,Tennis,2008,177.0,3
20701,Tennis,2008,178.0,9
20702,Tennis,2008,179.0,1
20703,Tennis,2008,180.0,25
20704,Tennis,2008,181.0,4
20705,Tennis,2008,182.0,23
20706,Tennis,2008,183.0,18
20707,Tennis,2008,184.0,4
20708,Tennis,2008,185.0,21
20709,Tennis,2008,186.0,4
20710,Tennis,2008,187.0,1
20711,Tennis,2008,188.0,3
20712,Tennis,2008,189.0,2
20713,Tennis,2008,190.0,16
20714,Tennis,2008,191.0,3
20715,Tennis,2008,193.0,5
20716,Tennis,2008,195.0,2
20717,Tennis,2008,196.0,1
20718,Tennis,2008,198.0,4
20719,Tennis,2008,200.0,4
20720,Tennis,2008,203.0,1
20721,Tennis,2012,156.0,1
20722,Tennis,2012,160.0,2
20723,Tennis,2012,162.0,2
20724,Tennis,2012,163.0,1
20725,Tennis,2012,164.0,8
20726,Tennis,2012,165.0,4
20727,Tennis,2012,166.0,5
20728,Tennis,2012,167.0,3
20729,Tennis,2012,168.0,3
20730,Tennis,2012,169.0,4
20731,Tennis,2012,170.0,10
20732,Tennis,2012,171.0,2
20733,Tennis,2012,172.0,13
20734,Tennis,2012,173.0,11
20735,Tennis,2012,174.0,5
20736,Tennis,2012,175.0,18
20737,Tennis,2012,176.0,6
20738,Tennis,2012,177.0,6
20739,Tennis,2012,178.0,19
20740,Tennis,2012,179.0,4
20741,Tennis,2012,180.0,30
20742,Tennis,2012,181.0,5
20743,Tennis,2012,182.0,6
20744,Tennis,2012,183.0,13
20745,Tennis,2012,184.0,12
20746,Tennis,2012,185.0,18
20747,Tennis,2012,186.0,6
20748,Tennis,2012,187.0,4
20749,Tennis,2012,188.0,16
20750,Tennis,2012,190.0,21
20751,Tennis,2012,191.0,4
20752,Tennis,2012,192.0,4
20753,Tennis,2012,193.0,4
20754,Tennis,2012,194.0,2
20755,Tennis,2012,195.0,3
20756,Tennis,2012,196.0,3
20757,Tennis,2012,198.0,4
20758,Tennis,2012,203.0,2
20759,Tennis,2012,206.0,2
20760,Tennis,2016,159.0,2
20761,Tennis,2016,161.0,1
20762,Tennis,2016,162.0,3
20763,Tennis,2016,163.0,2
20764,Tennis,2016,164.0,7
20765,Tennis,2016,165.0,5
20766,Tennis,2016,166.0,2
20767,Tennis,2016,167.0,7
20768,Tennis,2016,168.0,12
20769,Tennis,2016,169.0,3
20770,Tennis,2016,170.0,10
20771,Tennis,2016,171.0,1
20772,Tennis,2016,172.0,5
20773,Tennis,2016,173.0,14
20774,Tennis,2016,174.0,6
20775,Tennis,2016,175.0,22
20776,Tennis,2016,176.0,5
20777,Tennis,2016,177.0,14
20778,Tennis,2016,178.0,8
20779,Tennis,2016,179.0,6
20780,Tennis,2016,180.0,16
20781,Tennis,2016,181.0,3
20782,Tennis,2016,182.0,7
20783,Tennis,2016,183.0,14
20784,Tennis,2016,184.0,7
20785,Tennis,2016,185.0,22
20786,Tennis,2016,186.0,3
20787,Tennis,2016,187.0,2
20788,Tennis,2016,188.0,17
20789,Tennis,2016,190.0,24
20790,Tennis,2016,191.0,8
20791,Tennis,2016,192.0,3
20792,Tennis,2016,193.0,5
20793,Tennis,2016,194.0,2
20794,Tennis,2016,196.0,8
20795,Tennis,2016,198.0,5
20796,Tennis,2016,200.0,1
20797,Tennis,2016,203.0,3
20798,Tennis,2016,204.0,1
