lindex,Sport,Year,Height,count
20799,Trampolining,2000,154.0,1
20800,Trampolining,2000,156.0,1
20801,Trampolining,2000,158.0,2
20802,Trampolining,2000,161.0,1
20803,Trampolining,2000,163.0,2
20804,Trampolining,2000,164.0,1
20805,Trampolining,2000,165.0,2
20806,Trampolining,2000,167.0,3
20807,Trampolining,2000,168.0,1
20808,Trampolining,2000,170.0,1
20809,Trampolining,2000,172.0,1
20810,Trampolining,2000,173.0,1
20811,Trampolining,2000,175.0,3
20812,Trampolining,2000,180.0,2
20813,Trampolining,2000,185.0,1
20814,Trampolining,2004,154.0,1
20815,Trampolining,2004,155.0,2
20816,Trampolining,2004,156.0,2
20817,Trampolining,2004,157.0,1
20818,Trampolining,2004,158.0,2
20819,Trampolining,2004,161.0,1
20820,Trampolining,2004,162.0,1
20821,Trampolining,2004,163.0,2
20822,Trampolining,2004,164.0,1
20823,Trampolining,2004,165.0,2
20824,Trampolining,2004,166.0,1
20825,Trampolining,2004,167.0,2
20826,Trampolining,2004,168.0,3
20827,Trampolining,2004,169.0,1
20828,Trampolining,2004,170.0,1
20829,Trampolining,2004,171.0,2
20830,Trampolining,2004,172.0,2
20831,Trampolining,2004,173.0,1
20832,Trampolining,2004,175.0,1
20833,Trampolining,2004,177.0,1
20834,Trampolining,2004,180.0,2
20835,Trampolining,2008,156.0,2
20836,Trampolining,2008,157.0,1
20837,Trampolining,2008,158.0,4
20838,Trampolining,2008,160.0,1
20839,Trampolining,2008,161.0,1
20840,Trampolining,2008,162.0,2
20841,Trampolining,2008,163.0,1
20842,Trampolining,2008,165.0,4
20843,Trampolining,2008,167.0,2
20844,Trampolining,2008,168.0,4
20845,Trampolining,2008,169.0,1
20846,Trampolining,2008,170.0,3
20847,Trampolining,2008,171.0,1
20848,Trampolining,2008,172.0,1
20849,Trampolining,2008,175.0,1
20850,Trampolining,2008,177.0,2
20851,Trampolining,2008,179.0,1
20852,Trampolining,2012,154.0,1
20853,Trampolining,2012,157.0,1
20854,Trampolining,2012,158.0,3
20855,Trampolining,2012,160.0,2
20856,Trampolining,2012,161.0,1
20857,Trampolining,2012,162.0,3
20858,Trampolining,2012,163.0,1
20859,Trampolining,2012,165.0,3
20860,Trampolining,2012,166.0,1
20861,Trampolining,2012,167.0,3
20862,Trampolining,2012,168.0,3
20863,Trampolining,2012,170.0,2
20864,Trampolining,2012,171.0,2
20865,Trampolining,2012,172.0,1
20866,Trampolining,2012,175.0,1
20867,Trampolining,2012,177.0,2
20868,Trampolining,2012,179.0,2
20869,Trampolining,2016,155.0,1
20870,Trampolining,2016,156.0,1
20871,Trampolining,2016,157.0,1
20872,Trampolining,2016,158.0,2
20873,Trampolining,2016,160.0,1
20874,Trampolining,2016,162.0,2
20875,Trampolining,2016,163.0,2
20876,Trampolining,2016,164.0,1
20877,Trampolining,2016,165.0,1
20878,Trampolining,2016,167.0,3
20879,Trampolining,2016,168.0,4
20880,Trampolining,2016,169.0,1
20881,Trampolining,2016,170.0,2
20882,Trampolining,2016,171.0,1
20883,Trampolining,2016,172.0,2
20884,Trampolining,2016,173.0,1
20885,Trampolining,2016,175.0,2
20886,Trampolining,2016,177.0,1
20887,Trampolining,2016,178.0,1
20888,Trampolining,2016,179.0,1
20889,Trampolining,2016,183.0,1
