lindex,Sport,Year,Height,count
20890,Triathlon,2000,155.0,1
20891,Triathlon,2000,157.0,3
20892,Triathlon,2000,158.0,1
20893,Triathlon,2000,160.0,5
20894,Triathlon,2000,161.0,1
20895,Triathlon,2000,162.0,1
20896,Triathlon,2000,163.0,1
20897,Triathlon,2000,164.0,5
20898,Triathlon,2000,165.0,2
20899,Triathlon,2000,166.0,4
20900,Triathlon,2000,167.0,4
20901,Triathlon,2000,168.0,6
20902,Triathlon,2000,169.0,2
20903,Triathlon,2000,170.0,9
20904,Triathlon,2000,171.0,1
20905,Triathlon,2000,172.0,2
20906,Triathlon,2000,173.0,3
20907,Triathlon,2000,174.0,3
20908,Triathlon,2000,175.0,2
20909,Triathlon,2000,176.0,5
20910,Triathlon,2000,177.0,1
20911,Triathlon,2000,178.0,4
20912,Triathlon,2000,179.0,4
20913,Triathlon,2000,180.0,7
20914,Triathlon,2000,181.0,4
20915,Triathlon,2000,182.0,2
20916,Triathlon,2000,183.0,3
20917,Triathlon,2000,184.0,1
20918,Triathlon,2000,185.0,3
20919,Triathlon,2000,186.0,3
20920,Triathlon,2000,187.0,2
20921,Triathlon,2000,188.0,1
20922,Triathlon,2000,191.0,1
20923,Triathlon,2000,192.0,1
20924,Triathlon,2000,193.0,1
20925,Triathlon,2004,157.0,1
20926,Triathlon,2004,160.0,4
20927,Triathlon,2004,161.0,3
20928,Triathlon,2004,162.0,1
20929,Triathlon,2004,163.0,2
20930,Triathlon,2004,164.0,4
20931,Triathlon,2004,165.0,4
20932,Triathlon,2004,166.0,6
20933,Triathlon,2004,167.0,5
20934,Triathlon,2004,168.0,5
20935,Triathlon,2004,169.0,1
20936,Triathlon,2004,170.0,6
20937,Triathlon,2004,172.0,5
20938,Triathlon,2004,173.0,4
20939,Triathlon,2004,174.0,5
20940,Triathlon,2004,175.0,1
20941,Triathlon,2004,176.0,1
20942,Triathlon,2004,177.0,4
20943,Triathlon,2004,178.0,8
20944,Triathlon,2004,179.0,1
20945,Triathlon,2004,180.0,3
20946,Triathlon,2004,181.0,3
20947,Triathlon,2004,182.0,5
20948,Triathlon,2004,183.0,2
20949,Triathlon,2004,184.0,1
20950,Triathlon,2004,185.0,3
