lindex,Sport,Year,Height,count
22242,Weightlifting,1896,159.0,1
22243,Weightlifting,1896,188.0,2
22244,Weightlifting,1904,170.0,2
22245,Weightlifting,1904,176.0,1
22246,Weightlifting,1906,170.0,4
22247,Weightlifting,1906,175.0,2
22248,Weightlifting,1906,177.0,2
22249,Weightlifting,1920,165.0,1
22250,Weightlifting,1920,166.0,1
22251,Weightlifting,1920,167.0,1
22252,Weightlifting,1920,170.0,1
22253,Weightlifting,1924,163.0,1
22254,Weightlifting,1924,164.0,1
22255,Weightlifting,1924,166.0,1
22256,Weightlifting,1924,167.0,3
22257,Weightlifting,1924,170.0,1
22258,Weightlifting,1924,171.0,1
22259,Weightlifting,1924,172.0,1
22260,Weightlifting,1924,173.0,1
22261,Weightlifting,1924,176.0,1
22262,Weightlifting,1924,178.0,1
22263,Weightlifting,1928,164.0,1
22264,Weightlifting,1928,167.0,3
22265,Weightlifting,1928,170.0,3
22266,Weightlifting,1928,173.0,1
22267,Weightlifting,1928,178.0,2
22268,Weightlifting,1928,180.0,1
22269,Weightlifting,1932,152.0,1
22270,Weightlifting,1932,164.0,1
22271,Weightlifting,1932,167.0,4
22272,Weightlifting,1932,170.0,4
22273,Weightlifting,1932,173.0,2
22274,Weightlifting,1932,178.0,1
22275,Weightlifting,1936,164.0,1
22276,Weightlifting,1936,167.0,3
22277,Weightlifting,1936,170.0,1
22278,Weightlifting,1936,180.0,1
22279,Weightlifting,1948,140.0,1
22280,Weightlifting,1948,167.0,1
22281,Weightlifting,1948,169.0,1
22282,Weightlifting,1948,170.0,1
22283,Weightlifting,1948,171.0,1
22284,Weightlifting,1948,172.0,1
22285,Weightlifting,1948,173.0,2
22286,Weightlifting,1948,175.0,1
22287,Weightlifting,1948,181.0,1
22288,Weightlifting,1948,183.0,1
22289,Weightlifting,1952,160.0,1
22290,Weightlifting,1952,162.0,2
22291,Weightlifting,1952,164.0,1
22292,Weightlifting,1952,167.0,3
22293,Weightlifting,1952,168.0,1
22294,Weightlifting,1952,169.0,2
22295,Weightlifting,1952,170.0,1
22296,Weightlifting,1952,172.0,1
22297,Weightlifting,1952,175.0,1
22298,Weightlifting,1952,180.0,1
22299,Weightlifting,1952,181.0,1
22300,Weightlifting,1952,182.0,1
22301,Weightlifting,1952,183.0,3
22302,Weightlifting,1952,186.0,1
22303,Weightlifting,1956,152.0,1
22304,Weightlifting,1956,155.0,1
22305,Weightlifting,1956,156.0,1
22306,Weightlifting,1956,157.0,1
22307,Weightlifting,1956,158.0,1
22308,Weightlifting,1956,160.0,3
22309,Weightlifting,1956,162.0,5
22310,Weightlifting,1956,163.0,1
22311,Weightlifting,1956,164.0,2
22312,Weightlifting,1956,165.0,5
22313,Weightlifting,1956,166.0,1
22314,Weightlifting,1956,167.0,2
22315,Weightlifting,1956,168.0,1
22316,Weightlifting,1956,169.0,2
22317,Weightlifting,1956,170.0,1
22318,Weightlifting,1956,172.0,3
22319,Weightlifting,1956,174.0,1
22320,Weightlifting,1956,175.0,2
22321,Weightlifting,1956,176.0,2
22322,Weightlifting,1956,178.0,2
22323,Weightlifting,1956,180.0,1
22324,Weightlifting,1956,182.0,1
22325,Weightlifting,1956,183.0,1
22326,Weightlifting,1956,186.0,1
22327,Weightlifting,1960,150.0,1
22328,Weightlifting,1960,151.0,1
22329,Weightlifting,1960,152.0,2
22330,Weightlifting,1960,153.0,2
22331,Weightlifting,1960,154.0,2
22332,Weightlifting,1960,155.0,3
22333,Weightlifting,1960,156.0,2
22334,Weightlifting,1960,157.0,4
22335,Weightlifting,1960,158.0,5
22336,Weightlifting,1960,159.0,1
22337,Weightlifting,1960,160.0,10
22338,Weightlifting,1960,162.0,10
22339,Weightlifting,1960,163.0,8
22340,Weightlifting,1960,164.0,3
22341,Weightlifting,1960,165.0,16
22342,Weightlifting,1960,166.0,3
22343,Weightlifting,1960,167.0,13
22344,Weightlifting,1960,168.0,5
22345,Weightlifting,1960,169.0,5
22346,Weightlifting,1960,170.0,5
22347,Weightlifting,1960,171.0,4
22348,Weightlifting,1960,172.0,11
22349,Weightlifting,1960,173.0,1
22350,Weightlifting,1960,174.0,7
22351,Weightlifting,1960,175.0,4
22352,Weightlifting,1960,176.0,4
22353,Weightlifting,1960,177.0,4
22354,Weightlifting,1960,178.0,5
22355,Weightlifting,1960,179.0,1
22356,Weightlifting,1960,180.0,6
22357,Weightlifting,1960,181.0,2
22358,Weightlifting,1960,182.0,2
22359,Weightlifting,1960,183.0,3
22360,Weightlifting,1960,185.0,1
22361,Weightlifting,1960,186.0,1
22362,Weightlifting,1960,188.0,1
22363,Weightlifting,1960,193.0,2
22364,Weightlifting,1964,149.0,1
22365,Weightlifting,1964,150.0,2
22366,Weightlifting,1964,152.0,2
22367,Weightlifting,1964,153.0,2
22368,Weightlifting,1964,154.0,1
22369,Weightlifting,1964,155.0,2
22370,Weightlifting,1964,156.0,2
22371,Weightlifting,1964,157.0,3
22372,Weightlifting,1964,158.0,1
22373,Weightlifting,1964,159.0,1
