lindex,Sport,Year,Height,count
22945,Wrestling,1896,159.0,1
22946,Wrestling,1896,188.0,1
22947,Wrestling,1904,160.0,1
22948,Wrestling,1904,170.0,1
22949,Wrestling,1904,173.0,1
22950,Wrestling,1904,180.0,1
22951,Wrestling,1906,178.0,3
22952,Wrestling,1906,182.0,1
22953,Wrestling,1908,160.0,2
22954,Wrestling,1908,161.0,4
22955,Wrestling,1908,166.0,1
22956,Wrestling,1908,170.0,1
22957,Wrestling,1908,173.0,2
22958,Wrestling,1908,174.0,3
22959,Wrestling,1908,175.0,1
22960,Wrestling,1908,178.0,2
22961,Wrestling,1908,180.0,1
22962,Wrestling,1908,183.0,2
22963,Wrestling,1908,185.0,2
22964,Wrestling,1908,188.0,1
22965,Wrestling,1908,190.0,1
22966,Wrestling,1912,161.0,1
22967,Wrestling,1912,166.0,2
22968,Wrestling,1912,172.0,1
22969,Wrestling,1912,173.0,1
22970,Wrestling,1912,174.0,2
22971,Wrestling,1912,175.0,1
22972,Wrestling,1912,176.0,1
22973,Wrestling,1912,177.0,1
22974,Wrestling,1912,180.0,2
22975,Wrestling,1912,185.0,1
22976,Wrestling,1912,186.0,1
22977,Wrestling,1912,200.0,1
22978,Wrestling,1920,158.0,1
22979,Wrestling,1920,161.0,1
22980,Wrestling,1920,163.0,1
22981,Wrestling,1920,167.0,1
22982,Wrestling,1920,170.0,3
22983,Wrestling,1920,171.0,1
22984,Wrestling,1920,172.0,1
22985,Wrestling,1920,174.0,4
22986,Wrestling,1920,176.0,1
22987,Wrestling,1920,177.0,1
22988,Wrestling,1920,180.0,1
22989,Wrestling,1920,183.0,1
22990,Wrestling,1924,162.0,1
22991,Wrestling,1924,166.0,2
22992,Wrestling,1924,167.0,1
22993,Wrestling,1924,169.0,1
22994,Wrestling,1924,170.0,4
22995,Wrestling,1924,172.0,2
22996,Wrestling,1924,173.0,3
22997,Wrestling,1924,174.0,3
22998,Wrestling,1924,176.0,1
22999,Wrestling,1924,178.0,1
23000,Wrestling,1924,179.0,1
23001,Wrestling,1924,180.0,1
23002,Wrestling,1924,189.0,1
23003,Wrestling,1928,152.0,1
23004,Wrestling,1928,162.0,2
23005,Wrestling,1928,169.0,1
23006,Wrestling,1928,170.0,3
23007,Wrestling,1928,172.0,2
23008,Wrestling,1928,173.0,3
23009,Wrestling,1928,174.0,4
23010,Wrestling,1928,183.0,2
23011,Wrestling,1932,147.0,1
23012,Wrestling,1932,152.0,1
23013,Wrestling,1932,162.0,2
23014,Wrestling,1932,165.0,3
23015,Wrestling,1932,167.0,2
23016,Wrestling,1932,168.0,4
23017,Wrestling,1932,169.0,2
23018,Wrestling,1932,170.0,4
23019,Wrestling,1932,172.0,1
23020,Wrestling,1932,173.0,4
23021,Wrestling,1932,174.0,2
23022,Wrestling,1932,178.0,1
23023,Wrestling,1932,180.0,1
23024,Wrestling,1932,183.0,4
23025,Wrestling,1932,184.0,1
23026,Wrestling,1936,147.0,1
23027,Wrestling,1936,165.0,1
23028,Wrestling,1936,167.0,3
23029,Wrestling,1936,168.0,3
23030,Wrestling,1936,169.0,2
23031,Wrestling,1936,170.0,2
23032,Wrestling,1936,172.0,1
23033,Wrestling,1936,174.0,2
23034,Wrestling,1936,175.0,1
23035,Wrestling,1936,178.0,1
23036,Wrestling,1936,180.0,1
23037,Wrestling,1936,183.0,1
23038,Wrestling,1936,185.0,2
23039,Wrestling,1936,188.0,1
23040,Wrestling,1948,162.0,1
23041,Wrestling,1948,164.0,1
23042,Wrestling,1948,165.0,2
23043,Wrestling,1948,167.0,1
23044,Wrestling,1948,168.0,3
23045,Wrestling,1948,170.0,1
23046,Wrestling,1948,173.0,1
23047,Wrestling,1948,174.0,1
23048,Wrestling,1948,175.0,1
23049,Wrestling,1948,176.0,1
23050,Wrestling,1948,186.0,1
23051,Wrestling,1948,187.0,1
23052,Wrestling,1952,155.0,2
23053,Wrestling,1952,156.0,1
