lindex,Sport,Year,Weight,count
660,Archery,1972,51.0,1
661,Archery,1972,53.0,1
662,Archery,1972,55.0,1
663,Archery,1972,56.0,2
664,Archery,1972,58.0,1
665,Archery,1972,59.0,1
666,Archery,1972,60.0,1
667,Archery,1972,61.0,1
668,Archery,1972,62.0,2
669,Archery,1972,63.0,1
670,Archery,1972,64.0,2
671,Archery,1972,67.0,2
672,Archery,1972,68.0,1
673,Archery,1972,70.0,5
674,Archery,1972,72.0,3
675,Archery,1972,73.0,3
676,Archery,1972,74.0,2
677,Archery,1972,75.0,2
678,Archery,1972,80.0,4
679,Archery,1972,82.0,1
680,Archery,1972,84.0,1
681,Archery,1972,86.0,1
682,Archery,1972,90.0,1
683,Archery,1976,44.0,1
684,Archery,1976,49.0,1
685,Archery,1976,51.0,1
686,Archery,1976,52.0,1
687,Archery,1976,53.0,1
688,Archery,1976,54.0,1
689,Archery,1976,55.0,1
690,Archery,1976,56.0,2
691,Archery,1976,57.0,2
692,Archery,1976,58.0,2
693,Archery,1976,59.0,3
694,Archery,1976,60.0,3
695,Archery,1976,61.0,2
696,Archery,1976,62.0,3
697,Archery,1976,63.0,2
698,Archery,1976,64.0,3
699,Archery,1976,66.0,3
700,Archery,1976,67.0,2
701,Archery,1976,68.0,5
702,Archery,1976,70.0,7
703,Archery,1976,72.0,4
704,Archery,1976,73.0,3
705,Archery,1976,74.0,2
706,Archery,1976,75.0,2
707,Archery,1976,76.0,1
708,Archery,1976,77.0,1
709,Archery,1976,80.0,1
710,Archery,1976,86.0,1
711,Archery,1976,87.0,1
712,Archery,1976,91.0,1
713,Archery,1976,127.0,1
714,Archery,1980,52.0,2
715,Archery,1980,53.0,1
716,Archery,1980,54.0,2
717,Archery,1980,56.0,2
718,Archery,1980,58.0,4
719,Archery,1980,59.0,3
720,Archery,1980,60.0,1
721,Archery,1980,61.0,4
722,Archery,1980,62.0,1
723,Archery,1980,63.0,5
724,Archery,1980,64.0,1
725,Archery,1980,65.0,1
726,Archery,1980,66.0,2
727,Archery,1980,67.0,2
728,Archery,1980,68.0,4
729,Archery,1980,69.0,1
730,Archery,1980,70.0,6
731,Archery,1980,72.0,2
