lindex,Sport,Year,Weight,count
1143,Art Competitions,1924,76.0,1
1144,Art Competitions,1924,81.0,2
1145,Art Competitions,1928,80.0,2
1146,Art Competitions,1928,93.0,2
1147,Art Competitions,1932,59.0,4
1148,Art Competitions,1932,66.0,1
1149,Art Competitions,1932,67.0,5
1150,Art Competitions,1932,76.0,28
1151,Art Competitions,1932,77.0,4
1152,Art Competitions,1932,80.0,1
1153,Art Competitions,1932,84.0,1
1154,Art Competitions,1932,91.0,1
1155,Art Competitions,1936,63.0,1
1156,Art Competitions,1936,91.0,1
1157,Art Competitions,1948,75.0,1
