lindex,Sport,Year,Weight,count
3215,Badminton,1992,47.0,1
3216,Badminton,1992,48.0,1
3217,Badminton,1992,52.0,1
3218,Badminton,1992,53.0,3
3219,Badminton,1992,54.0,2
3220,Badminton,1992,55.0,10
3221,Badminton,1992,56.0,4
3222,Badminton,1992,57.0,4
3223,Badminton,1992,58.0,6
3224,Badminton,1992,59.0,11
3225,Badminton,1992,60.0,8
3226,Badminton,1992,61.0,2
3227,Badminton,1992,62.0,10
3228,Badminton,1992,63.0,4
3229,Badminton,1992,64.0,3
3230,Badminton,1992,65.0,10
3231,Badminton,1992,66.0,2
3232,Badminton,1992,67.0,3
3233,Badminton,1992,68.0,12
3234,Badminton,1992,69.0,5
3235,Badminton,1992,70.0,11
3236,Badminton,1992,71.0,3
3237,Badminton,1992,72.0,6
3238,Badminton,1992,73.0,10
3239,Badminton,1992,74.0,2
3240,Badminton,1992,75.0,5
3241,Badminton,1992,76.0,10
3242,Badminton,1992,77.0,7
3243,Badminton,1992,78.0,6
3244,Badminton,1992,79.0,8
3245,Badminton,1992,80.0,5
3246,Badminton,1992,81.0,1
3247,Badminton,1992,82.0,1
3248,Badminton,1992,83.0,2
3249,Badminton,1992,84.0,4
3250,Badminton,1992,88.0,1
3251,Badminton,1992,97.0,2
3252,Badminton,1996,51.0,2
3253,Badminton,1996,52.0,1
3254,Badminton,1996,53.0,2
3255,Badminton,1996,55.0,10
3256,Badminton,1996,56.0,4
3257,Badminton,1996,57.0,6
3258,Badminton,1996,58.0,8
3259,Badminton,1996,59.0,15
3260,Badminton,1996,60.0,9
3261,Badminton,1996,61.0,1
3262,Badminton,1996,62.0,9
3263,Badminton,1996,63.0,1
3264,Badminton,1996,64.0,7
3265,Badminton,1996,65.0,17
3266,Badminton,1996,66.0,3
3267,Badminton,1996,67.0,4
3268,Badminton,1996,68.0,12
3269,Badminton,1996,69.0,2
3270,Badminton,1996,69.5,2
3271,Badminton,1996,70.0,15
3272,Badminton,1996,71.0,3
3273,Badminton,1996,72.0,8
3274,Badminton,1996,73.0,6
3275,Badminton,1996,74.0,5
3276,Badminton,1996,75.0,4
3277,Badminton,1996,76.0,8
3278,Badminton,1996,77.0,4
3279,Badminton,1996,78.0,9
3280,Badminton,1996,79.0,12
3281,Badminton,1996,80.0,3
