lindex,Sport,Year,Weight,count
3491,Baseball,1992,57.0,1
3492,Baseball,1992,62.0,1
3493,Baseball,1992,64.0,3
3494,Baseball,1992,65.0,3
3495,Baseball,1992,66.0,1
3496,Baseball,1992,67.0,1
3497,Baseball,1992,68.0,5
3498,Baseball,1992,69.0,1
3499,Baseball,1992,70.0,5
3500,Baseball,1992,72.0,4
3501,Baseball,1992,73.0,3
3502,Baseball,1992,74.0,3
3503,Baseball,1992,75.0,8
3504,Baseball,1992,76.0,5
3505,Baseball,1992,77.0,9
3506,Baseball,1992,78.0,6
3507,Baseball,1992,79.0,5
3508,Baseball,1992,80.0,11
3509,Baseball,1992,82.0,5
3510,Baseball,1992,83.0,2
3511,Baseball,1992,84.0,11
3512,Baseball,1992,85.0,6
3513,Baseball,1992,86.0,8
3514,Baseball,1992,88.0,4
3515,Baseball,1992,89.0,3
3516,Baseball,1992,90.0,4
3517,Baseball,1992,91.0,4
3518,Baseball,1992,92.0,1
3519,Baseball,1992,93.0,3
3520,Baseball,1992,94.0,3
3521,Baseball,1992,95.0,4
3522,Baseball,1992,98.0,2
3523,Baseball,1992,100.0,2
3524,Baseball,1992,102.0,2
3525,Baseball,1992,104.0,1
3526,Baseball,1996,67.0,1
3527,Baseball,1996,68.0,1
3528,Baseball,1996,69.0,1
3529,Baseball,1996,70.0,1
3530,Baseball,1996,72.0,5
3531,Baseball,1996,73.0,2
3532,Baseball,1996,74.0,3
3533,Baseball,1996,75.0,5
3534,Baseball,1996,76.0,5
3535,Baseball,1996,77.0,5
3536,Baseball,1996,78.0,7
3537,Baseball,1996,79.0,4
3538,Baseball,1996,80.0,14
3539,Baseball,1996,81.0,2
3540,Baseball,1996,82.0,8
3541,Baseball,1996,83.0,3
3542,Baseball,1996,84.0,8
3543,Baseball,1996,85.0,9
3544,Baseball,1996,86.0,12
3545,Baseball,1996,87.0,1
3546,Baseball,1996,88.0,1
3547,Baseball,1996,89.0,1
3548,Baseball,1996,90.0,8
3549,Baseball,1996,91.0,3
3550,Baseball,1996,92.0,1
3551,Baseball,1996,93.0,4
3552,Baseball,1996,94.0,4
3553,Baseball,1996,95.0,5
3554,Baseball,1996,96.0,1
3555,Baseball,1996,97.0,1
3556,Baseball,1996,98.0,1
3557,Baseball,1996,99.0,1
3558,Baseball,1996,100.0,5
3559,Baseball,1996,102.0,2
3560,Baseball,1996,107.0,2
3561,Baseball,2000,38.0,1
3562,Baseball,2000,40.0,1
3563,Baseball,2000,59.0,1
3564,Baseball,2000,65.0,1
3565,Baseball,2000,67.0,4
3566,Baseball,2000,68.0,1
3567,Baseball,2000,70.0,3
3568,Baseball,2000,72.0,2
3569,Baseball,2000,73.0,1
3570,Baseball,2000,74.0,3
3571,Baseball,2000,75.0,10
3572,Baseball,2000,76.0,1
3573,Baseball,2000,77.0,5
3574,Baseball,2000,78.0,6
3575,Baseball,2000,79.0,3
3576,Baseball,2000,80.0,14
3577,Baseball,2000,81.0,6
3578,Baseball,2000,82.0,8
3579,Baseball,2000,83.0,6
3580,Baseball,2000,84.0,8
3581,Baseball,2000,85.0,15
3582,Baseball,2000,86.0,15
3583,Baseball,2000,87.0,1
3584,Baseball,2000,88.0,5
3585,Baseball,2000,90.0,12
3586,Baseball,2000,91.0,6
3587,Baseball,2000,92.0,6
3588,Baseball,2000,93.0,7
3589,Baseball,2000,94.0,3
3590,Baseball,2000,95.0,9
3591,Baseball,2000,96.0,2
3592,Baseball,2000,97.0,2
3593,Baseball,2000,98.0,2
3594,Baseball,2000,100.0,6
3595,Baseball,2000,102.0,2
3596,Baseball,2000,103.0,1
3597,Baseball,2000,104.0,1
3598,Baseball,2000,105.0,1
3599,Baseball,2000,106.0,2
3600,Baseball,2000,107.0,2
3601,Baseball,2000,108.0,1
3602,Baseball,2000,110.0,3
3603,Baseball,2004,71.0,1
3604,Baseball,2004,72.0,1
3605,Baseball,2004,74.0,2
3606,Baseball,2004,75.0,7
3607,Baseball,2004,76.0,2
