lindex,Sport,Year,Weight,count
3682,Basketball,1936,68.0,2
3683,Basketball,1936,69.0,1
3684,Basketball,1936,71.0,1
3685,Basketball,1936,72.0,1
3686,Basketball,1936,73.0,2
3687,Basketball,1936,75.0,4
3688,Basketball,1936,77.0,2
3689,Basketball,1936,78.0,1
3690,Basketball,1936,79.0,5
3691,Basketball,1936,80.0,2
3692,Basketball,1936,82.0,1
3693,Basketball,1936,84.0,1
3694,Basketball,1936,86.0,3
3695,Basketball,1936,87.0,2
3696,Basketball,1936,90.0,1
3697,Basketball,1936,95.0,1
3698,Basketball,1936,113.0,1
3699,Basketball,1948,64.0,1
3700,Basketball,1948,67.0,1
3701,Basketball,1948,70.0,3
3702,Basketball,1948,73.0,1
3703,Basketball,1948,75.0,1
3704,Basketball,1948,76.0,2
3705,Basketball,1948,77.0,2
3706,Basketball,1948,78.0,3
3707,Basketball,1948,79.0,5
3708,Basketball,1948,80.0,3
3709,Basketball,1948,81.0,2
3710,Basketball,1948,82.0,3
3711,Basketball,1948,84.0,3
3712,Basketball,1948,85.0,1
3713,Basketball,1948,86.0,1
3714,Basketball,1948,87.0,1
3715,Basketball,1948,91.0,2
3716,Basketball,1948,95.0,1
3717,Basketball,1948,97.0,1
3718,Basketball,1948,100.0,3
3719,Basketball,1948,102.0,1
3720,Basketball,1952,68.0,2
3721,Basketball,1952,69.0,1
3722,Basketball,1952,71.0,1
3723,Basketball,1952,74.0,1
3724,Basketball,1952,75.0,2
3725,Basketball,1952,76.0,2
3726,Basketball,1952,77.0,2
3727,Basketball,1952,79.0,3
3728,Basketball,1952,80.0,1
3729,Basketball,1952,82.0,4
3730,Basketball,1952,83.0,3
3731,Basketball,1952,84.0,5
3732,Basketball,1952,85.0,3
3733,Basketball,1952,86.0,5
3734,Basketball,1952,90.0,1
3735,Basketball,1952,94.0,2
3736,Basketball,1952,95.0,1
3737,Basketball,1952,97.0,1
3738,Basketball,1952,98.0,1
3739,Basketball,1952,100.0,1
3740,Basketball,1952,102.0,1
3741,Basketball,1952,104.0,2
3742,Basketball,1952,108.0,1
3743,Basketball,1956,66.0,1
3744,Basketball,1956,67.0,1
3745,Basketball,1956,68.0,1
3746,Basketball,1956,70.0,2
3747,Basketball,1956,75.0,2
3748,Basketball,1956,76.0,1
3749,Basketball,1956,77.0,3
3750,Basketball,1956,79.0,2
3751,Basketball,1956,80.0,3
3752,Basketball,1956,81.0,1
3753,Basketball,1956,82.0,6
3754,Basketball,1956,83.0,2
3755,Basketball,1956,84.0,3
3756,Basketball,1956,85.0,4
3757,Basketball,1956,86.0,6
3758,Basketball,1956,88.0,3
3759,Basketball,1956,89.0,3
3760,Basketball,1956,90.0,2
3761,Basketball,1956,91.0,3
3762,Basketball,1956,92.0,1
3763,Basketball,1956,94.0,2
3764,Basketball,1956,95.0,2
3765,Basketball,1956,100.0,3
3766,Basketball,1956,102.0,2
3767,Basketball,1956,104.0,1
3768,Basketball,1956,141.0,1
3769,Basketball,1960,62.0,1
3770,Basketball,1960,66.0,1
3771,Basketball,1960,67.0,1
3772,Basketball,1960,68.0,3
3773,Basketball,1960,69.0,3
3774,Basketball,1960,70.0,3
3775,Basketball,1960,71.0,3
3776,Basketball,1960,72.0,3
3777,Basketball,1960,73.0,6
3778,Basketball,1960,74.0,6
3779,Basketball,1960,75.0,5
3780,Basketball,1960,76.0,8
3781,Basketball,1960,77.0,10
3782,Basketball,1960,78.0,3
3783,Basketball,1960,79.0,3
3784,Basketball,1960,80.0,15
3785,Basketball,1960,81.0,7
3786,Basketball,1960,82.0,10
3787,Basketball,1960,83.0,9
3788,Basketball,1960,84.0,10
3789,Basketball,1960,85.0,7
3790,Basketball,1960,86.0,6
3791,Basketball,1960,87.0,3
3792,Basketball,1960,88.0,5
3793,Basketball,1960,89.0,5
3794,Basketball,1960,90.0,10
3795,Basketball,1960,91.0,4
3796,Basketball,1960,92.0,8
3797,Basketball,1960,93.0,2
3798,Basketball,1960,94.0,4
3799,Basketball,1960,95.0,3
3800,Basketball,1960,96.0,3
3801,Basketball,1960,97.0,1
3802,Basketball,1960,98.0,3
3803,Basketball,1960,99.0,3
3804,Basketball,1960,100.0,3
3805,Basketball,1960,102.0,1
3806,Basketball,1960,103.0,3
3807,Basketball,1960,104.0,1
3808,Basketball,1960,108.0,1
3809,Basketball,1960,130.0,1
3810,Basketball,1960,141.0,1
3811,Basketball,1964,60.0,1
3812,Basketball,1964,65.0,1
3813,Basketball,1964,66.0,2
3814,Basketball,1964,68.0,2
3815,Basketball,1964,69.0,4
3816,Basketball,1964,70.0,5
3817,Basketball,1964,71.0,1
3818,Basketball,1964,72.0,4
3819,Basketball,1964,73.0,4
3820,Basketball,1964,74.0,6
3821,Basketball,1964,75.0,5
3822,Basketball,1964,76.0,3
3823,Basketball,1964,77.0,5
3824,Basketball,1964,78.0,9
3825,Basketball,1964,78.5,1
3826,Basketball,1964,79.0,5
3827,Basketball,1964,80.0,19
3828,Basketball,1964,81.0,5
3829,Basketball,1964,82.0,4
3830,Basketball,1964,83.0,7
3831,Basketball,1964,84.0,9
3832,Basketball,1964,85.0,12
3833,Basketball,1964,86.0,4
3834,Basketball,1964,87.0,3
3835,Basketball,1964,88.0,9
3836,Basketball,1964,89.0,9
3837,Basketball,1964,90.0,5
3838,Basketball,1964,91.0,5
3839,Basketball,1964,92.0,5
3840,Basketball,1964,93.0,3
3841,Basketball,1964,94.0,4
3842,Basketball,1964,95.0,5
3843,Basketball,1964,96.0,6
3844,Basketball,1964,97.0,1
3845,Basketball,1964,98.0,1
3846,Basketball,1964,99.0,1
3847,Basketball,1964,100.0,1
3848,Basketball,1964,102.0,1
3849,Basketball,1964,103.0,2
3850,Basketball,1964,105.0,4
3851,Basketball,1964,106.0,1
3852,Basketball,1964,107.0,1
3853,Basketball,1964,107.5,1
3854,Basketball,1964,109.0,1
3855,Basketball,1964,130.0,1
3856,Basketball,1964,141.0,1
3857,Basketball,1968,59.0,1
3858,Basketball,1968,60.0,2
3859,Basketball,1968,61.0,1
3860,Basketball,1968,63.0,1
3861,Basketball,1968,66.0,1
3862,Basketball,1968,68.0,2
3863,Basketball,1968,69.0,1
3864,Basketball,1968,70.0,5
3865,Basketball,1968,71.0,2
3866,Basketball,1968,72.0,4
3867,Basketball,1968,73.0,7
3868,Basketball,1968,74.0,4
3869,Basketball,1968,75.0,12
3870,Basketball,1968,76.0,5
3871,Basketball,1968,77.0,5
3872,Basketball,1968,78.0,5
3873,Basketball,1968,79.0,5
3874,Basketball,1968,80.0,12
3875,Basketball,1968,81.0,6
3876,Basketball,1968,82.0,7
3877,Basketball,1968,83.0,6
3878,Basketball,1968,84.0,7
3879,Basketball,1968,85.0,6
3880,Basketball,1968,86.0,7
3881,Basketball,1968,87.0,8
3882,Basketball,1968,88.0,4
3883,Basketball,1968,89.0,6
3884,Basketball,1968,90.0,7
3885,Basketball,1968,91.0,6
3886,Basketball,1968,92.0,3
3887,Basketball,1968,93.0,3
3888,Basketball,1968,94.0,3
3889,Basketball,1968,95.0,6
3890,Basketball,1968,96.0,7
3891,Basketball,1968,97.0,1
3892,Basketball,1968,98.0,2
3893,Basketball,1968,100.0,2
3894,Basketball,1968,102.0,2
3895,Basketball,1968,104.0,1
3896,Basketball,1968,105.0,6
3897,Basketball,1968,106.0,1
3898,Basketball,1968,109.0,1
3899,Basketball,1968,111.0,1
3900,Basketball,1972,60.0,1
3901,Basketball,1972,66.0,1
3902,Basketball,1972,67.0,1
3903,Basketball,1972,68.0,2
3904,Basketball,1972,70.0,5
3905,Basketball,1972,71.0,1
3906,Basketball,1972,72.0,5
3907,Basketball,1972,73.0,5
