lindex,Sport,Year,Weight,count
5785,Boxing,1904,47.0,2
5786,Boxing,1904,49.0,1
5787,Boxing,1904,52.0,2
5788,Boxing,1904,57.0,1
5789,Boxing,1904,60.0,4
5790,Boxing,1904,61.0,3
5791,Boxing,1904,66.0,1
5792,Boxing,1904,70.0,1
5793,Boxing,1904,72.0,2
5794,Boxing,1904,77.0,1
5795,Boxing,1904,82.0,1
5796,Boxing,1908,63.0,2
5797,Boxing,1908,93.0,1
5798,Boxing,1920,50.0,1
5799,Boxing,1920,51.0,2
5800,Boxing,1920,57.0,1
5801,Boxing,1920,66.0,1
5802,Boxing,1924,51.0,1
5803,Boxing,1924,57.0,1
5804,Boxing,1924,61.0,2
5805,Boxing,1924,66.0,1
5806,Boxing,1924,67.0,2
5807,Boxing,1924,72.0,1
5808,Boxing,1924,79.0,2
5809,Boxing,1924,84.0,1
5810,Boxing,1924,88.0,1
5811,Boxing,1924,92.0,1
5812,Boxing,1924,106.0,1
5813,Boxing,1928,50.0,2
5814,Boxing,1928,57.0,2
5815,Boxing,1928,59.0,1
5816,Boxing,1928,62.0,1
5817,Boxing,1928,67.0,1
5818,Boxing,1928,79.0,3
5819,Boxing,1932,51.0,1
5820,Boxing,1932,53.0,1
5821,Boxing,1932,67.0,1
5822,Boxing,1932,69.5,1
5823,Boxing,1932,72.0,1
5824,Boxing,1932,86.0,1
5825,Boxing,1936,51.0,2
5826,Boxing,1936,54.0,2
5827,Boxing,1936,57.0,2
5828,Boxing,1936,61.0,1
5829,Boxing,1936,62.0,1
5830,Boxing,1936,66.0,1
5831,Boxing,1936,66.5,1
5832,Boxing,1936,69.5,1
5833,Boxing,1936,72.0,1
5834,Boxing,1936,79.0,1
5835,Boxing,1936,80.0,1
5836,Boxing,1936,93.0,1
5837,Boxing,1936,96.0,1
5838,Boxing,1948,51.0,1
5839,Boxing,1948,54.0,1
5840,Boxing,1948,58.0,1
5841,Boxing,1948,62.0,2
5842,Boxing,1948,66.0,1
