lindex,Sport,Year,Weight,count
7219,Cross Country Skiing,1924,61.0,1
7220,Cross Country Skiing,1924,66.0,2
7221,Cross Country Skiing,1924,70.0,4
7222,Cross Country Skiing,1924,71.0,3
7223,Cross Country Skiing,1924,72.0,1
7224,Cross Country Skiing,1928,62.0,1
7225,Cross Country Skiing,1928,65.0,1
7226,Cross Country Skiing,1928,67.0,3
7227,Cross Country Skiing,1928,68.0,3
7228,Cross Country Skiing,1928,70.0,3
7229,Cross Country Skiing,1928,72.0,3
7230,Cross Country Skiing,1928,73.0,2
7231,Cross Country Skiing,1928,74.0,1
7232,Cross Country Skiing,1932,56.0,1
7233,Cross Country Skiing,1932,58.0,1
7234,Cross Country Skiing,1932,62.0,3
7235,Cross Country Skiing,1932,65.0,4
7236,Cross Country Skiing,1932,66.5,2
7237,Cross Country Skiing,1932,67.0,1
7238,Cross Country Skiing,1932,71.0,1
7239,Cross Country Skiing,1932,72.0,5
7240,Cross Country Skiing,1932,73.0,2
7241,Cross Country Skiing,1932,76.0,1
7242,Cross Country Skiing,1936,59.0,2
7243,Cross Country Skiing,1936,59.5,2
7244,Cross Country Skiing,1936,61.0,1
7245,Cross Country Skiing,1936,64.0,2
7246,Cross Country Skiing,1936,65.5,4
7247,Cross Country Skiing,1936,66.0,2
7248,Cross Country Skiing,1936,68.0,2
7249,Cross Country Skiing,1936,69.0,3
7250,Cross Country Skiing,1936,69.5,2
7251,Cross Country Skiing,1936,72.0,1
7252,Cross Country Skiing,1936,75.0,3
7253,Cross Country Skiing,1936,77.0,2
7254,Cross Country Skiing,1936,80.0,1
7255,Cross Country Skiing,1948,57.0,2
7256,Cross Country Skiing,1948,62.0,2
7257,Cross Country Skiing,1948,64.0,1
7258,Cross Country Skiing,1948,65.0,1
7259,Cross Country Skiing,1948,68.0,5
7260,Cross Country Skiing,1948,73.0,6
7261,Cross Country Skiing,1948,75.0,3
7262,Cross Country Skiing,1948,90.0,1
7263,Cross Country Skiing,1952,53.0,1
7264,Cross Country Skiing,1952,53.5,2
7265,Cross Country Skiing,1952,57.0,1
7266,Cross Country Skiing,1952,59.0,1
7267,Cross Country Skiing,1952,61.5,1
7268,Cross Country Skiing,1952,63.0,1
7269,Cross Country Skiing,1952,64.0,2
7270,Cross Country Skiing,1952,65.0,1
7271,Cross Country Skiing,1952,66.0,1
7272,Cross Country Skiing,1952,67.0,2
7273,Cross Country Skiing,1952,68.0,3
7274,Cross Country Skiing,1952,70.0,3
7275,Cross Country Skiing,1952,72.0,2
7276,Cross Country Skiing,1952,73.0,2
7277,Cross Country Skiing,1952,78.0,1
7278,Cross Country Skiing,1956,53.0,4
7279,Cross Country Skiing,1956,55.0,1
7280,Cross Country Skiing,1956,56.0,3
7281,Cross Country Skiing,1956,57.0,3
7282,Cross Country Skiing,1956,59.0,2
7283,Cross Country Skiing,1956,60.0,4
7284,Cross Country Skiing,1956,61.0,1
7285,Cross Country Skiing,1956,62.0,8
7286,Cross Country Skiing,1956,63.5,1
7287,Cross Country Skiing,1956,64.0,1
7288,Cross Country Skiing,1956,65.0,7
7289,Cross Country Skiing,1956,66.0,6
7290,Cross Country Skiing,1956,67.0,2
7291,Cross Country Skiing,1956,68.0,9
7292,Cross Country Skiing,1956,70.0,3
7293,Cross Country Skiing,1956,72.0,9
7294,Cross Country Skiing,1956,73.0,8
7295,Cross Country Skiing,1956,75.0,3
7296,Cross Country Skiing,1956,78.0,3
7297,Cross Country Skiing,1956,80.0,2
7298,Cross Country Skiing,1960,53.0,6
7299,Cross Country Skiing,1960,54.0,2
7300,Cross Country Skiing,1960,55.0,2
7301,Cross Country Skiing,1960,56.0,1
7302,Cross Country Skiing,1960,57.0,3
7303,Cross Country Skiing,1960,58.0,2
7304,Cross Country Skiing,1960,59.0,5
7305,Cross Country Skiing,1960,60.0,16
7306,Cross Country Skiing,1960,61.0,2
7307,Cross Country Skiing,1960,62.0,3
7308,Cross Country Skiing,1960,63.0,1
7309,Cross Country Skiing,1960,64.0,7
7310,Cross Country Skiing,1960,65.0,5
7311,Cross Country Skiing,1960,66.0,8
7312,Cross Country Skiing,1960,67.0,4
7313,Cross Country Skiing,1960,68.0,10
7314,Cross Country Skiing,1960,69.0,3
7315,Cross Country Skiing,1960,70.0,2
7316,Cross Country Skiing,1960,71.0,3
7317,Cross Country Skiing,1960,72.0,9
7318,Cross Country Skiing,1960,73.0,4
7319,Cross Country Skiing,1960,76.0,1
7320,Cross Country Skiing,1960,77.0,1
7321,Cross Country Skiing,1960,78.0,1
7322,Cross Country Skiing,1960,80.0,7
7323,Cross Country Skiing,1960,82.0,2
7324,Cross Country Skiing,1964,52.0,5
7325,Cross Country Skiing,1964,53.0,7
7326,Cross Country Skiing,1964,54.0,11
7327,Cross Country Skiing,1964,55.0,2
7328,Cross Country Skiing,1964,56.0,5
7329,Cross Country Skiing,1964,57.0,2
7330,Cross Country Skiing,1964,58.0,7
7331,Cross Country Skiing,1964,59.0,6
7332,Cross Country Skiing,1964,60.0,36
7333,Cross Country Skiing,1964,61.0,8
7334,Cross Country Skiing,1964,62.0,9
7335,Cross Country Skiing,1964,63.0,1
7336,Cross Country Skiing,1964,64.0,4
7337,Cross Country Skiing,1964,65.0,17
7338,Cross Country Skiing,1964,66.0,4
7339,Cross Country Skiing,1964,66.5,1
7340,Cross Country Skiing,1964,67.0,11
7341,Cross Country Skiing,1964,68.0,26
7342,Cross Country Skiing,1964,69.0,5
7343,Cross Country Skiing,1964,70.0,6
