lindex,Sport,Year,Weight,count
9914,Fencing,1900,67.0,1
9915,Fencing,1900,83.0,1
9916,Fencing,1906,67.0,1
9917,Fencing,1906,77.0,1
9918,Fencing,1906,80.0,4
9919,Fencing,1906,89.0,1
9920,Fencing,1908,80.0,2
9921,Fencing,1912,80.0,3
9922,Fencing,1912,82.0,3
9923,Fencing,1920,69.0,7
9924,Fencing,1920,80.0,3
9925,Fencing,1920,82.0,5
9926,Fencing,1920,84.0,2
9927,Fencing,1924,60.0,1
9928,Fencing,1924,62.0,2
9929,Fencing,1924,67.0,1
9930,Fencing,1924,69.0,1
9931,Fencing,1924,80.0,3
9932,Fencing,1924,82.0,3
9933,Fencing,1924,84.0,1
9934,Fencing,1928,62.0,2
9935,Fencing,1928,69.0,2
9936,Fencing,1928,70.0,2
9937,Fencing,1928,78.0,1
9938,Fencing,1928,81.0,2
9939,Fencing,1928,82.0,2
9940,Fencing,1928,84.0,2
9941,Fencing,1928,92.0,1
9942,Fencing,1932,62.0,2
9943,Fencing,1932,64.0,2
9944,Fencing,1932,65.0,1
9945,Fencing,1932,74.0,1
9946,Fencing,1932,78.0,2
9947,Fencing,1932,81.0,2
9948,Fencing,1932,84.0,4
9949,Fencing,1932,92.0,2
9950,Fencing,1936,62.0,1
9951,Fencing,1936,65.0,1
9952,Fencing,1936,69.0,2
9953,Fencing,1936,72.0,4
9954,Fencing,1936,74.0,2
9955,Fencing,1936,75.0,2
9956,Fencing,1936,78.0,3
9957,Fencing,1936,80.0,1
9958,Fencing,1936,81.0,2
9959,Fencing,1936,82.0,2
9960,Fencing,1936,90.0,3
9961,Fencing,1936,92.0,1
9962,Fencing,1948,54.0,1
9963,Fencing,1948,55.0,1
9964,Fencing,1948,56.0,1
9965,Fencing,1948,58.0,2
9966,Fencing,1948,59.0,1
9967,Fencing,1948,63.0,1
9968,Fencing,1948,63.5,4
9969,Fencing,1948,64.0,1
9970,Fencing,1948,67.0,1
9971,Fencing,1948,68.0,4
9972,Fencing,1948,69.0,3
9973,Fencing,1948,70.0,4
9974,Fencing,1948,71.0,3
9975,Fencing,1948,72.0,8
9976,Fencing,1948,75.0,2
9977,Fencing,1948,76.0,2
9978,Fencing,1948,78.0,6
9979,Fencing,1948,79.0,2
9980,Fencing,1948,80.0,2
9981,Fencing,1948,81.0,5
9982,Fencing,1948,82.0,4
9983,Fencing,1948,88.0,1
9984,Fencing,1948,90.0,4
9985,Fencing,1948,95.0,2
9986,Fencing,1952,55.0,2
9987,Fencing,1952,58.0,5
9988,Fencing,1952,60.0,3
9989,Fencing,1952,61.0,3
9990,Fencing,1952,63.0,1
9991,Fencing,1952,63.5,1
9992,Fencing,1952,64.0,3
9993,Fencing,1952,66.5,1
9994,Fencing,1952,68.0,4
9995,Fencing,1952,69.0,2
9996,Fencing,1952,70.0,8
9997,Fencing,1952,71.0,6
9998,Fencing,1952,72.0,4
9999,Fencing,1952,73.0,3
10000,Fencing,1952,74.0,8
10001,Fencing,1952,75.0,6
10002,Fencing,1952,75.5,2
10003,Fencing,1952,76.0,8
10004,Fencing,1952,77.0,6
10005,Fencing,1952,78.0,10
10006,Fencing,1952,79.0,4
10007,Fencing,1952,80.0,10
10008,Fencing,1952,81.0,2
10009,Fencing,1952,82.0,4
10010,Fencing,1952,83.0,1
10011,Fencing,1952,85.0,1
10012,Fencing,1952,86.0,2
10013,Fencing,1952,87.0,4
10014,Fencing,1952,88.0,2
10015,Fencing,1952,90.0,4
10016,Fencing,1956,54.0,1
10017,Fencing,1956,55.0,2
10018,Fencing,1956,56.0,2
10019,Fencing,1956,58.0,3
10020,Fencing,1956,60.0,1
10021,Fencing,1956,61.0,2
10022,Fencing,1956,62.0,2
10023,Fencing,1956,63.0,4
10024,Fencing,1956,64.0,3
10025,Fencing,1956,65.0,3
10026,Fencing,1956,66.0,2
10027,Fencing,1956,67.0,8
10028,Fencing,1956,68.0,10
10029,Fencing,1956,69.0,4
10030,Fencing,1956,70.0,14
10031,Fencing,1956,71.0,10
10032,Fencing,1956,72.0,9
10033,Fencing,1956,73.0,9
10034,Fencing,1956,74.0,4
10035,Fencing,1956,75.0,21
10036,Fencing,1956,75.5,1
10037,Fencing,1956,76.0,10
10038,Fencing,1956,77.0,3
10039,Fencing,1956,78.0,7
10040,Fencing,1956,79.0,4
10041,Fencing,1956,80.0,9
10042,Fencing,1956,81.0,1
10043,Fencing,1956,82.0,3
