lindex,Sport,Year,Weight,count
10744,Figure Skating,1920,58.0,1
10745,Figure Skating,1920,73.0,1
10746,Figure Skating,1924,45.0,1
10747,Figure Skating,1924,58.0,1
10748,Figure Skating,1924,73.0,1
10749,Figure Skating,1928,45.0,1
10750,Figure Skating,1928,58.0,1
10751,Figure Skating,1928,59.0,1
10752,Figure Skating,1928,73.0,1
10753,Figure Skating,1932,45.0,1
10754,Figure Skating,1932,59.0,2
10755,Figure Skating,1936,45.0,1
10756,Figure Skating,1936,59.0,1
10757,Figure Skating,1948,48.0,1
10758,Figure Skating,1948,63.0,1
10759,Figure Skating,1948,78.0,1
10760,Figure Skating,1952,48.0,1
10761,Figure Skating,1952,55.0,1
10762,Figure Skating,1952,63.0,1
10763,Figure Skating,1952,65.0,1
10764,Figure Skating,1956,36.0,1
10765,Figure Skating,1956,47.0,1
10766,Figure Skating,1956,48.0,2
10767,Figure Skating,1956,51.0,1
10768,Figure Skating,1956,53.0,1
10769,Figure Skating,1956,54.0,1
10770,Figure Skating,1956,58.0,1
10771,Figure Skating,1956,63.0,1
10772,Figure Skating,1956,70.0,1
10773,Figure Skating,1956,73.0,1
10774,Figure Skating,1960,36.0,1
10775,Figure Skating,1960,46.0,1
10776,Figure Skating,1960,47.0,1
10777,Figure Skating,1960,48.0,1
10778,Figure Skating,1960,51.0,1
10779,Figure Skating,1960,52.0,1
10780,Figure Skating,1960,53.0,1
10781,Figure Skating,1960,54.0,2
10782,Figure Skating,1960,56.0,2
10783,Figure Skating,1960,70.0,1
10784,Figure Skating,1960,71.0,1
10785,Figure Skating,1960,73.0,1
10786,Figure Skating,1960,74.0,1
10787,Figure Skating,1960,80.0,1
10788,Figure Skating,1964,46.0,1
10789,Figure Skating,1964,47.0,3
10790,Figure Skating,1964,49.0,1
10791,Figure Skating,1964,50.0,3
10792,Figure Skating,1964,51.0,1
10793,Figure Skating,1964,52.0,6
10794,Figure Skating,1964,53.0,2
10795,Figure Skating,1964,54.0,4
10796,Figure Skating,1964,56.0,5
10797,Figure Skating,1964,57.0,5
10798,Figure Skating,1964,58.0,4
10799,Figure Skating,1964,60.0,2
10800,Figure Skating,1964,62.0,2
10801,Figure Skating,1964,63.0,4
10802,Figure Skating,1964,64.0,4
10803,Figure Skating,1964,68.0,3
10804,Figure Skating,1964,69.0,1
10805,Figure Skating,1964,70.0,6
10806,Figure Skating,1964,71.0,2
10807,Figure Skating,1964,73.0,2
10808,Figure Skating,1964,74.0,1
10809,Figure Skating,1964,75.0,1
10810,Figure Skating,1964,76.0,1
10811,Figure Skating,1964,77.0,1
10812,Figure Skating,1964,78.0,1
10813,Figure Skating,1964,80.0,2
10814,Figure Skating,1968,34.0,1
10815,Figure Skating,1968,38.0,1
10816,Figure Skating,1968,43.0,1
10817,Figure Skating,1968,44.0,1
10818,Figure Skating,1968,45.0,1
10819,Figure Skating,1968,46.0,1
10820,Figure Skating,1968,47.0,3
10821,Figure Skating,1968,48.0,1
10822,Figure Skating,1968,49.0,6
10823,Figure Skating,1968,50.0,7
10824,Figure Skating,1968,51.0,3
10825,Figure Skating,1968,52.0,5
10826,Figure Skating,1968,53.0,4
10827,Figure Skating,1968,54.0,2
10828,Figure Skating,1968,55.0,2
10829,Figure Skating,1968,56.0,3
10830,Figure Skating,1968,57.0,2
10831,Figure Skating,1968,58.0,2
10832,Figure Skating,1968,59.0,3
10833,Figure Skating,1968,60.0,3
10834,Figure Skating,1968,63.0,6
10835,Figure Skating,1968,64.0,1
10836,Figure Skating,1968,65.0,3
10837,Figure Skating,1968,66.0,1
10838,Figure Skating,1968,67.0,3
10839,Figure Skating,1968,68.0,4
10840,Figure Skating,1968,69.0,4
10841,Figure Skating,1968,70.0,7
10842,Figure Skating,1968,71.0,1
10843,Figure Skating,1968,72.0,1
10844,Figure Skating,1968,73.0,3
10845,Figure Skating,1968,74.0,1
10846,Figure Skating,1968,75.0,1
10847,Figure Skating,1968,77.0,1
10848,Figure Skating,1968,80.0,1
10849,Figure Skating,1968,82.0,1
10850,Figure Skating,1968,83.0,1
10851,Figure Skating,1972,38.0,1
10852,Figure Skating,1972,41.0,1
10853,Figure Skating,1972,44.0,2
10854,Figure Skating,1972,45.0,3
10855,Figure Skating,1972,47.0,2
10856,Figure Skating,1972,48.0,2
10857,Figure Skating,1972,49.0,2
10858,Figure Skating,1972,50.0,8
10859,Figure Skating,1972,51.0,3
10860,Figure Skating,1972,52.0,1
10861,Figure Skating,1972,53.0,3
10862,Figure Skating,1972,54.0,1
10863,Figure Skating,1972,56.0,1
10864,Figure Skating,1972,57.0,2
10865,Figure Skating,1972,58.0,1
10866,Figure Skating,1972,59.0,3
10867,Figure Skating,1972,60.0,2
10868,Figure Skating,1972,61.0,1
10869,Figure Skating,1972,65.0,4
10870,Figure Skating,1972,66.0,1
10871,Figure Skating,1972,67.0,4
10872,Figure Skating,1972,68.0,3
10873,Figure Skating,1972,69.0,2
10874,Figure Skating,1972,70.0,6
10875,Figure Skating,1972,71.0,2
10876,Figure Skating,1972,73.0,2
10877,Figure Skating,1972,74.0,1
10878,Figure Skating,1972,75.0,1
10879,Figure Skating,1972,76.0,1
10880,Figure Skating,1972,80.0,1
10881,Figure Skating,1976,40.0,1
10882,Figure Skating,1976,41.0,2
10883,Figure Skating,1976,45.0,4
10884,Figure Skating,1976,46.0,1
10885,Figure Skating,1976,47.0,4
10886,Figure Skating,1976,48.0,2
10887,Figure Skating,1976,49.0,2
10888,Figure Skating,1976,50.0,5
10889,Figure Skating,1976,51.0,2
10890,Figure Skating,1976,52.0,2
10891,Figure Skating,1976,54.0,1
10892,Figure Skating,1976,55.0,3
10893,Figure Skating,1976,56.0,1
10894,Figure Skating,1976,57.0,1
10895,Figure Skating,1976,59.0,1
10896,Figure Skating,1976,61.0,1
10897,Figure Skating,1976,62.0,2
10898,Figure Skating,1976,63.0,1
10899,Figure Skating,1976,64.0,1
10900,Figure Skating,1976,65.0,2
10901,Figure Skating,1976,66.0,2
10902,Figure Skating,1976,67.0,2
10903,Figure Skating,1976,68.0,4
10904,Figure Skating,1976,69.0,1
10905,Figure Skating,1976,70.0,1
10906,Figure Skating,1976,73.0,1
10907,Figure Skating,1976,74.0,2
10908,Figure Skating,1976,75.0,2
10909,Figure Skating,1976,79.0,1
10910,Figure Skating,1976,80.0,1
10911,Figure Skating,1980,38.0,2
10912,Figure Skating,1980,40.0,1
10913,Figure Skating,1980,41.0,2
10914,Figure Skating,1980,44.0,1
10915,Figure Skating,1980,45.0,2
10916,Figure Skating,1980,47.0,4
10917,Figure Skating,1980,48.0,6
10918,Figure Skating,1980,49.0,1
10919,Figure Skating,1980,50.0,3
10920,Figure Skating,1980,51.0,3
10921,Figure Skating,1980,52.0,2
10922,Figure Skating,1980,54.0,3
10923,Figure Skating,1980,55.0,3
10924,Figure Skating,1980,59.0,1
10925,Figure Skating,1980,62.0,1
10926,Figure Skating,1980,63.0,1
10927,Figure Skating,1980,64.0,1
10928,Figure Skating,1980,65.0,2
10929,Figure Skating,1980,66.0,3
10930,Figure Skating,1980,68.0,1
10931,Figure Skating,1980,69.0,1
10932,Figure Skating,1980,70.0,2
10933,Figure Skating,1980,71.0,1
10934,Figure Skating,1980,72.0,1
10935,Figure Skating,1980,73.0,2
10936,Figure Skating,1980,75.0,1
10937,Figure Skating,1980,76.0,1
10938,Figure Skating,1980,79.0,1
10939,Figure Skating,1984,40.0,2
10940,Figure Skating,1984,41.0,1
10941,Figure Skating,1984,42.0,2
10942,Figure Skating,1984,43.0,1
10943,Figure Skating,1984,44.0,1
10944,Figure Skating,1984,45.0,5
10945,Figure Skating,1984,47.0,8
10946,Figure Skating,1984,48.0,9
10947,Figure Skating,1984,49.0,3
10948,Figure Skating,1984,50.0,7
10949,Figure Skating,1984,51.0,5
10950,Figure Skating,1984,52.0,2
10951,Figure Skating,1984,53.0,3
10952,Figure Skating,1984,54.0,5
10953,Figure Skating,1984,55.0,2
10954,Figure Skating,1984,56.0,3
10955,Figure Skating,1984,57.0,2
10956,Figure Skating,1984,58.0,2
10957,Figure Skating,1984,60.0,2
10958,Figure Skating,1984,61.0,3
10959,Figure Skating,1984,62.0,1
10960,Figure Skating,1984,63.0,4
10961,Figure Skating,1984,64.0,1
10962,Figure Skating,1984,65.0,3
10963,Figure Skating,1984,66.0,2
10964,Figure Skating,1984,67.0,3
10965,Figure Skating,1984,68.0,4
10966,Figure Skating,1984,69.0,4
10967,Figure Skating,1984,70.0,3
10968,Figure Skating,1984,71.0,1
10969,Figure Skating,1984,72.0,3
10970,Figure Skating,1984,73.0,1
10971,Figure Skating,1984,74.0,1
10972,Figure Skating,1984,75.0,2
10973,Figure Skating,1984,76.0,1
10974,Figure Skating,1984,77.0,2
10975,Figure Skating,1984,81.0,2
10976,Figure Skating,1988,42.0,1
10977,Figure Skating,1988,43.0,2
10978,Figure Skating,1988,44.0,5
10979,Figure Skating,1988,45.0,2
10980,Figure Skating,1988,46.0,1
10981,Figure Skating,1988,47.0,6
10982,Figure Skating,1988,48.0,4
10983,Figure Skating,1988,49.0,2
10984,Figure Skating,1988,50.0,3
10985,Figure Skating,1988,51.0,2
10986,Figure Skating,1988,52.0,4
10987,Figure Skating,1988,53.0,4
10988,Figure Skating,1988,55.0,2
10989,Figure Skating,1988,56.0,5
10990,Figure Skating,1988,57.0,2
10991,Figure Skating,1988,58.0,1
10992,Figure Skating,1988,59.0,2
10993,Figure Skating,1988,61.0,2
10994,Figure Skating,1988,63.0,2
10995,Figure Skating,1988,64.0,3
10996,Figure Skating,1988,65.0,5
10997,Figure Skating,1988,66.0,1
10998,Figure Skating,1988,67.0,2
