lindex,Sport,Year,Weight,count
11300,Football,1904,60.0,1
11301,Football,1908,99.0,1
11302,Football,1912,65.0,1
11303,Football,1912,66.0,3
11304,Football,1912,68.0,1
11305,Football,1912,72.0,4
11306,Football,1912,74.0,1
11307,Football,1912,75.0,1
11308,Football,1912,79.0,1
11309,Football,1912,80.0,1
11310,Football,1912,81.0,2
11311,Football,1920,65.0,1
11312,Football,1920,67.0,1
11313,Football,1920,70.0,2
11314,Football,1920,71.0,1
11315,Football,1920,74.0,1
11316,Football,1920,75.0,1
11317,Football,1920,80.0,3
11318,Football,1920,95.0,1
11319,Football,1924,60.0,1
11320,Football,1924,63.0,1
11321,Football,1924,65.0,1
11322,Football,1924,66.0,1
11323,Football,1924,67.0,2
11324,Football,1924,68.0,3
11325,Football,1924,70.0,3
11326,Football,1924,71.0,2
11327,Football,1924,72.0,1
11328,Football,1924,73.0,1
11329,Football,1924,74.0,6
11330,Football,1924,75.0,2
11331,Football,1924,76.0,1
11332,Football,1924,77.0,1
11333,Football,1924,80.0,3
11334,Football,1924,85.0,1
11335,Football,1928,60.0,1
11336,Football,1928,68.0,3
11337,Football,1928,69.0,2
11338,Football,1928,70.0,5
11339,Football,1928,71.0,5
11340,Football,1928,72.0,2
11341,Football,1928,73.0,4
11342,Football,1928,74.0,3
11343,Football,1928,75.0,3
11344,Football,1928,77.0,1
11345,Football,1928,78.0,1
11346,Football,1928,80.0,1
11347,Football,1928,85.0,1
11348,Football,1936,55.0,1
11349,Football,1936,59.0,1
11350,Football,1936,61.0,2
11351,Football,1936,62.0,1
11352,Football,1936,63.0,1
11353,Football,1936,64.0,2
11354,Football,1936,65.0,1
11355,Football,1936,66.0,2
11356,Football,1936,67.0,1
11357,Football,1936,68.0,2
11358,Football,1936,69.0,1
11359,Football,1936,70.0,4
11360,Football,1936,71.0,1
11361,Football,1936,72.0,6
11362,Football,1936,73.0,4
11363,Football,1936,74.0,6
11364,Football,1936,75.0,5
11365,Football,1936,76.0,1
11366,Football,1936,77.0,1
11367,Football,1936,79.0,3
11368,Football,1936,80.0,1
11369,Football,1936,81.0,1
11370,Football,1936,82.0,1
11371,Football,1936,90.0,1
11372,Football,1948,66.0,3
11373,Football,1948,68.0,1
11374,Football,1948,69.0,2
11375,Football,1948,70.0,3
11376,Football,1948,71.0,1
11377,Football,1948,72.0,3
11378,Football,1948,74.0,1
11379,Football,1948,75.0,2
11380,Football,1948,76.0,4
11381,Football,1948,79.0,1
11382,Football,1948,80.0,3
11383,Football,1948,82.0,1
11384,Football,1948,95.0,1
11385,Football,1952,61.0,1
11386,Football,1952,62.0,1
11387,Football,1952,63.0,3
11388,Football,1952,65.0,3
11389,Football,1952,66.0,2
11390,Football,1952,68.0,1
11391,Football,1952,69.0,2
11392,Football,1952,70.0,8
11393,Football,1952,72.0,3
11394,Football,1952,73.0,5
11395,Football,1952,74.0,3
11396,Football,1952,74.5,1
11397,Football,1952,75.0,1
11398,Football,1952,76.0,2
11399,Football,1952,77.0,1
11400,Football,1952,78.0,2
11401,Football,1952,79.0,3
11402,Football,1952,80.0,2
11403,Football,1952,82.0,4
11404,Football,1956,28.0,1
11405,Football,1956,52.0,1
11406,Football,1956,56.0,1
11407,Football,1956,60.0,1
11408,Football,1956,62.0,1
11409,Football,1956,64.0,1
11410,Football,1956,65.0,2
11411,Football,1956,66.0,2
11412,Football,1956,68.0,4
11413,Football,1956,69.0,1
11414,Football,1956,70.0,1
11415,Football,1956,72.0,1
11416,Football,1956,73.0,1
11417,Football,1956,74.0,3
11418,Football,1956,75.0,3
11419,Football,1956,76.0,1
11420,Football,1956,77.0,1
11421,Football,1956,80.0,2
11422,Football,1956,82.0,1
11423,Football,1956,84.0,1
11424,Football,1956,85.0,1
11425,Football,1956,90.0,1
11426,Football,1956,96.0,1
11427,Football,1960,54.0,1
11428,Football,1960,56.0,5
11429,Football,1960,57.0,2
11430,Football,1960,58.0,2
11431,Football,1960,59.0,1
11432,Football,1960,60.0,4
11433,Football,1960,61.0,1
11434,Football,1960,62.0,5
11435,Football,1960,63.0,8
11436,Football,1960,64.0,4
11437,Football,1960,65.0,12
11438,Football,1960,66.0,8
11439,Football,1960,67.0,12
11440,Football,1960,68.0,20
11441,Football,1960,69.0,10
11442,Football,1960,70.0,20
11443,Football,1960,71.0,9
11444,Football,1960,72.0,15
11445,Football,1960,73.0,17
11446,Football,1960,74.0,8
11447,Football,1960,75.0,8
11448,Football,1960,76.0,4
11449,Football,1960,77.0,2
11450,Football,1960,78.0,10
11451,Football,1960,79.0,2
11452,Football,1960,80.0,4
11453,Football,1960,81.0,1
11454,Football,1960,82.0,2
11455,Football,1960,83.0,1
11456,Football,1960,84.0,1
11457,Football,1960,85.0,1
11458,Football,1960,87.0,1
11459,Football,1960,90.0,1
11460,Football,1960,96.0,1
11461,Football,1964,56.0,1
11462,Football,1964,57.0,2
11463,Football,1964,58.0,4
11464,Football,1964,59.0,1
11465,Football,1964,60.0,5
11466,Football,1964,61.0,4
11467,Football,1964,62.0,2
11468,Football,1964,63.0,5
11469,Football,1964,64.0,6
11470,Football,1964,65.0,9
11471,Football,1964,66.0,3
11472,Football,1964,67.0,13
11473,Football,1964,68.0,10
11474,Football,1964,69.0,6
11475,Football,1964,70.0,20
11476,Football,1964,71.0,11
11477,Football,1964,72.0,14
11478,Football,1964,73.0,8
11479,Football,1964,74.0,11
11480,Football,1964,75.0,11
11481,Football,1964,76.0,10
11482,Football,1964,77.0,2
11483,Football,1964,78.0,3
11484,Football,1964,79.0,3
11485,Football,1964,80.0,6
11486,Football,1964,81.0,3
11487,Football,1964,82.0,4
11488,Football,1964,83.0,2
11489,Football,1964,84.0,2
11490,Football,1964,86.0,2
11491,Football,1968,50.0,1
11492,Football,1968,52.0,1
11493,Football,1968,54.0,2
11494,Football,1968,55.0,2
11495,Football,1968,57.0,4
11496,Football,1968,58.0,2
11497,Football,1968,59.0,2
11498,Football,1968,60.0,5
11499,Football,1968,61.0,4
11500,Football,1968,62.0,8
11501,Football,1968,63.0,8
11502,Football,1968,64.0,13
11503,Football,1968,65.0,16
11504,Football,1968,66.0,13
11505,Football,1968,67.0,17
11506,Football,1968,68.0,20
11507,Football,1968,69.0,10
11508,Football,1968,70.0,22
11509,Football,1968,71.0,13
11510,Football,1968,72.0,15
11511,Football,1968,73.0,15
11512,Football,1968,74.0,9
11513,Football,1968,75.0,8
11514,Football,1968,76.0,6
11515,Football,1968,77.0,3
11516,Football,1968,78.0,7
11517,Football,1968,79.0,1
11518,Football,1968,80.0,3
11519,Football,1968,81.0,6
11520,Football,1968,82.0,5
11521,Football,1968,83.0,1
11522,Football,1968,84.0,2
11523,Football,1968,85.0,2
11524,Football,1968,98.0,1
11525,Football,1972,55.0,2
11526,Football,1972,57.0,1
11527,Football,1972,58.0,4
11528,Football,1972,59.0,3
11529,Football,1972,60.0,4
11530,Football,1972,61.0,4
11531,Football,1972,62.0,16
11532,Football,1972,63.0,5
11533,Football,1972,64.0,4
11534,Football,1972,65.0,10
11535,Football,1972,66.0,4
11536,Football,1972,67.0,10
11537,Football,1972,68.0,16
11538,Football,1972,69.0,15
11539,Football,1972,70.0,18
11540,Football,1972,71.0,11
11541,Football,1972,72.0,13
11542,Football,1972,73.0,8
11543,Football,1972,74.0,12
11544,Football,1972,75.0,22
11545,Football,1972,76.0,11
11546,Football,1972,77.0,9
11547,Football,1972,78.0,10
11548,Football,1972,79.0,6
11549,Football,1972,80.0,6
11550,Football,1972,81.0,1
11551,Football,1972,82.0,10
11552,Football,1972,83.0,2
11553,Football,1972,85.0,2
11554,Football,1972,87.0,1
11555,Football,1972,88.0,1
11556,Football,1972,89.0,1
11557,Football,1972,95.0,2
11558,Football,1976,52.0,1
11559,Football,1976,54.0,1
11560,Football,1976,55.0,1
11561,Football,1976,56.0,1
11562,Football,1976,60.0,1
11563,Football,1976,61.0,2
11564,Football,1976,62.0,2
11565,Football,1976,63.0,4
11566,Football,1976,64.0,9
11567,Football,1976,65.0,4
11568,Football,1976,66.0,8
11569,Football,1976,67.0,6
11570,Football,1976,68.0,19
11571,Football,1976,69.0,19
11572,Football,1976,70.0,12
11573,Football,1976,71.0,8
11574,Football,1976,72.0,13
11575,Football,1976,73.0,22
11576,Football,1976,74.0,16
11577,Football,1976,75.0,14
11578,Football,1976,76.0,8
11579,Football,1976,77.0,7
11580,Football,1976,78.0,2
11581,Football,1976,79.0,7
11582,Football,1976,80.0,5
11583,Football,1976,82.0,2
11584,Football,1976,83.0,1
11585,Football,1976,84.0,3
11586,Football,1976,85.0,1
11587,Football,1976,86.0,1
11588,Football,1976,88.0,1
11589,Football,1976,95.0,1
11590,Football,1980,52.0,1
11591,Football,1980,54.0,1
11592,Football,1980,56.0,1
11593,Football,1980,57.0,1
11594,Football,1980,60.0,2
11595,Football,1980,61.0,2
11596,Football,1980,62.0,3
11597,Football,1980,63.0,2
11598,Football,1980,63.5,1
11599,Football,1980,64.0,5
11600,Football,1980,65.0,5
11601,Football,1980,66.0,4
11602,Football,1980,67.0,9
11603,Football,1980,68.0,10
11604,Football,1980,69.0,8
11605,Football,1980,70.0,22
11606,Football,1980,71.0,7
11607,Football,1980,72.0,13
11608,Football,1980,73.0,11
11609,Football,1980,74.0,14
11610,Football,1980,75.0,19
11611,Football,1980,76.0,14
11612,Football,1980,76.5,1
11613,Football,1980,77.0,8
11614,Football,1980,78.0,16
11615,Football,1980,79.0,6
11616,Football,1980,80.0,6
11617,Football,1980,82.0,5
11618,Football,1980,83.0,2
11619,Football,1980,84.0,1
11620,Football,1980,85.0,1
11621,Football,1980,86.0,1
11622,Football,1980,87.0,1
11623,Football,1980,89.0,2
11624,Football,1980,93.0,1
11625,Football,1980,95.0,1
11626,Football,1980,100.0,1
11627,Football,1984,60.0,4
11628,Football,1984,61.0,2
11629,Football,1984,62.0,2
11630,Football,1984,63.0,3
11631,Football,1984,64.0,3
11632,Football,1984,65.0,7
11633,Football,1984,67.0,1
11634,Football,1984,68.0,9
11635,Football,1984,69.0,5
11636,Football,1984,70.0,21
11637,Football,1984,71.0,6
11638,Football,1984,72.0,8
11639,Football,1984,73.0,14
11640,Football,1984,74.0,9
11641,Football,1984,75.0,18
11642,Football,1984,76.0,4
11643,Football,1984,77.0,3
11644,Football,1984,78.0,5
11645,Football,1984,79.0,6
11646,Football,1984,80.0,7
11647,Football,1984,81.0,1
11648,Football,1984,82.0,4
11649,Football,1984,84.0,1
11650,Football,1984,85.0,6
11651,Football,1984,86.0,2
11652,Football,1984,87.0,2
11653,Football,1984,88.0,1
11654,Football,1984,89.0,2
11655,Football,1984,90.0,1
11656,Football,1988,59.0,1
11657,Football,1988,60.0,2
