lindex,Sport,Year,Weight,count
11980,Freestyle Skiing,1992,44.0,1
11981,Freestyle Skiing,1992,48.0,1
11982,Freestyle Skiing,1992,51.0,1
11983,Freestyle Skiing,1992,53.0,1
11984,Freestyle Skiing,1992,55.0,1
11985,Freestyle Skiing,1992,56.0,2
11986,Freestyle Skiing,1992,58.0,3
11987,Freestyle Skiing,1992,59.0,4
11988,Freestyle Skiing,1992,60.0,2
11989,Freestyle Skiing,1992,61.0,3
11990,Freestyle Skiing,1992,62.0,1
11991,Freestyle Skiing,1992,63.0,1
11992,Freestyle Skiing,1992,64.0,1
11993,Freestyle Skiing,1992,65.0,5
11994,Freestyle Skiing,1992,66.0,1
11995,Freestyle Skiing,1992,70.0,5
11996,Freestyle Skiing,1992,71.0,1
11997,Freestyle Skiing,1992,72.0,3
11998,Freestyle Skiing,1992,73.0,5
11999,Freestyle Skiing,1992,74.0,1
12000,Freestyle Skiing,1992,75.0,3
12001,Freestyle Skiing,1992,76.0,2
12002,Freestyle Skiing,1992,77.0,3
12003,Freestyle Skiing,1992,78.0,2
12004,Freestyle Skiing,1992,79.0,2
12005,Freestyle Skiing,1992,80.0,5
12006,Freestyle Skiing,1992,82.0,2
12007,Freestyle Skiing,1992,85.0,1
12008,Freestyle Skiing,1994,43.0,1
12009,Freestyle Skiing,1994,44.0,1
12010,Freestyle Skiing,1994,48.0,1
12011,Freestyle Skiing,1994,50.0,3
12012,Freestyle Skiing,1994,51.0,2
12013,Freestyle Skiing,1994,52.0,1
12014,Freestyle Skiing,1994,54.0,1
12015,Freestyle Skiing,1994,55.0,4
12016,Freestyle Skiing,1994,56.0,3
12017,Freestyle Skiing,1994,57.0,2
12018,Freestyle Skiing,1994,58.0,4
12019,Freestyle Skiing,1994,59.0,5
12020,Freestyle Skiing,1994,60.0,4
12021,Freestyle Skiing,1994,61.0,2
12022,Freestyle Skiing,1994,62.0,3
12023,Freestyle Skiing,1994,63.0,3
12024,Freestyle Skiing,1994,64.0,2
12025,Freestyle Skiing,1994,65.0,7
12026,Freestyle Skiing,1994,66.0,1
12027,Freestyle Skiing,1994,67.0,1
12028,Freestyle Skiing,1994,68.0,4
12029,Freestyle Skiing,1994,69.0,3
12030,Freestyle Skiing,1994,70.0,2
12031,Freestyle Skiing,1994,71.0,3
12032,Freestyle Skiing,1994,72.0,3
12033,Freestyle Skiing,1994,73.0,6
12034,Freestyle Skiing,1994,75.0,2
12035,Freestyle Skiing,1994,76.0,2
12036,Freestyle Skiing,1994,77.0,5
12037,Freestyle Skiing,1994,78.0,2
12038,Freestyle Skiing,1994,79.0,1
12039,Freestyle Skiing,1994,80.0,4
12040,Freestyle Skiing,1994,82.0,2
12041,Freestyle Skiing,1994,83.0,1
12042,Freestyle Skiing,1994,84.0,2
12043,Freestyle Skiing,1994,85.0,2
12044,Freestyle Skiing,1998,43.0,1
12045,Freestyle Skiing,1998,44.0,1
12046,Freestyle Skiing,1998,48.0,2
12047,Freestyle Skiing,1998,50.0,2
12048,Freestyle Skiing,1998,51.0,2
12049,Freestyle Skiing,1998,52.0,2
12050,Freestyle Skiing,1998,53.0,4
12051,Freestyle Skiing,1998,54.0,1
12052,Freestyle Skiing,1998,55.0,6
12053,Freestyle Skiing,1998,56.0,3
12054,Freestyle Skiing,1998,57.0,3
12055,Freestyle Skiing,1998,58.0,6
12056,Freestyle Skiing,1998,59.0,2
12057,Freestyle Skiing,1998,60.0,6
12058,Freestyle Skiing,1998,61.0,4
12059,Freestyle Skiing,1998,62.0,3
12060,Freestyle Skiing,1998,63.0,6
12061,Freestyle Skiing,1998,64.0,1
12062,Freestyle Skiing,1998,65.0,7
12063,Freestyle Skiing,1998,67.0,1
12064,Freestyle Skiing,1998,68.0,3
12065,Freestyle Skiing,1998,69.0,3
