lindex,Sport,Year,Weight,count
13011,Handball,1936,72.0,1
13012,Handball,1936,75.0,1
13013,Handball,1972,67.0,1
13014,Handball,1972,68.0,1
13015,Handball,1972,69.0,1
13016,Handball,1972,70.0,3
13017,Handball,1972,72.0,2
13018,Handball,1972,73.0,4
13019,Handball,1972,74.0,7
13020,Handball,1972,75.0,12
13021,Handball,1972,76.0,9
13022,Handball,1972,77.0,15
13023,Handball,1972,78.0,12
13024,Handball,1972,79.0,11
13025,Handball,1972,80.0,18
13026,Handball,1972,81.0,10
13027,Handball,1972,82.0,18
13028,Handball,1972,83.0,15
13029,Handball,1972,84.0,12
13030,Handball,1972,85.0,11
13031,Handball,1972,86.0,10
13032,Handball,1972,87.0,12
13033,Handball,1972,88.0,5
13034,Handball,1972,89.0,1
13035,Handball,1972,90.0,9
13036,Handball,1972,91.0,8
13037,Handball,1972,92.0,9
13038,Handball,1972,93.0,3
13039,Handball,1972,94.0,4
13040,Handball,1972,95.0,2
13041,Handball,1972,96.0,5
13042,Handball,1972,97.0,2
13043,Handball,1972,100.0,1
13044,Handball,1972,105.0,1
13045,Handball,1972,106.0,1
13046,Handball,1972,110.0,1
13047,Handball,1976,48.0,1
13048,Handball,1976,54.0,2
13049,Handball,1976,55.0,2
13050,Handball,1976,57.0,1
13051,Handball,1976,58.0,6
13052,Handball,1976,59.0,2
13053,Handball,1976,60.0,3
13054,Handball,1976,61.0,3
13055,Handball,1976,62.0,5
13056,Handball,1976,63.0,9
13057,Handball,1976,64.0,1
13058,Handball,1976,65.0,1
13059,Handball,1976,66.0,4
13060,Handball,1976,67.0,6
13061,Handball,1976,68.0,3
13062,Handball,1976,69.0,7
13063,Handball,1976,70.0,5
13064,Handball,1976,71.0,3
13065,Handball,1976,72.0,3
13066,Handball,1976,73.0,8
13067,Handball,1976,74.0,11
13068,Handball,1976,75.0,11
13069,Handball,1976,76.0,9
13070,Handball,1976,77.0,4
13071,Handball,1976,78.0,6
13072,Handball,1976,79.0,10
13073,Handball,1976,80.0,9
13074,Handball,1976,81.0,8
13075,Handball,1976,82.0,8
13076,Handball,1976,83.0,3
13077,Handball,1976,84.0,11
13078,Handball,1976,85.0,10
13079,Handball,1976,86.0,6
13080,Handball,1976,87.0,8
13081,Handball,1976,88.0,7
13082,Handball,1976,89.0,2
13083,Handball,1976,90.0,8
13084,Handball,1976,91.0,3
13085,Handball,1976,92.0,6
13086,Handball,1976,93.0,4
13087,Handball,1976,94.0,4
13088,Handball,1976,95.0,5
13089,Handball,1976,96.0,5
13090,Handball,1976,97.0,2
13091,Handball,1976,99.0,2
13092,Handball,1976,100.0,4
13093,Handball,1976,102.0,1
13094,Handball,1976,110.0,1
13095,Handball,1980,55.0,1
13096,Handball,1980,56.0,1
13097,Handball,1980,58.0,3
13098,Handball,1980,61.0,2
13099,Handball,1980,62.0,2
13100,Handball,1980,63.0,4
13101,Handball,1980,64.0,1
13102,Handball,1980,65.0,5
13103,Handball,1980,66.0,5
13104,Handball,1980,67.0,9
13105,Handball,1980,68.0,7
13106,Handball,1980,69.0,3
13107,Handball,1980,70.0,5
13108,Handball,1980,71.0,1
13109,Handball,1980,72.0,1
13110,Handball,1980,73.0,7
13111,Handball,1980,74.0,5
13112,Handball,1980,75.0,9
13113,Handball,1980,76.0,5
13114,Handball,1980,77.0,6
13115,Handball,1980,78.0,14
13116,Handball,1980,79.0,4
13117,Handball,1980,80.0,16
13118,Handball,1980,81.0,4
13119,Handball,1980,82.0,5
13120,Handball,1980,83.0,9
13121,Handball,1980,84.0,6
13122,Handball,1980,85.0,9
13123,Handball,1980,86.0,4
13124,Handball,1980,87.0,8
13125,Handball,1980,88.0,6
13126,Handball,1980,89.0,4
13127,Handball,1980,90.0,9
13128,Handball,1980,91.0,2
13129,Handball,1980,92.0,10
13130,Handball,1980,93.0,4
13131,Handball,1980,94.0,4
13132,Handball,1980,95.0,5
13133,Handball,1980,96.0,8
13134,Handball,1980,97.0,7
13135,Handball,1980,98.0,1
13136,Handball,1980,99.0,2
13137,Handball,1980,100.0,6
13138,Handball,1980,103.0,1
13139,Handball,1980,106.0,1
13140,Handball,1984,52.0,1
13141,Handball,1984,55.0,2
13142,Handball,1984,56.0,2
13143,Handball,1984,57.0,2
13144,Handball,1984,58.0,2
13145,Handball,1984,59.0,3
13146,Handball,1984,60.0,4
13147,Handball,1984,61.0,2
13148,Handball,1984,62.0,4
13149,Handball,1984,63.0,3
13150,Handball,1984,64.0,2
13151,Handball,1984,65.0,12
13152,Handball,1984,67.0,5
13153,Handball,1984,68.0,4
13154,Handball,1984,69.0,3
13155,Handball,1984,70.0,13
13156,Handball,1984,71.0,3
13157,Handball,1984,72.0,2
13158,Handball,1984,73.0,9
13159,Handball,1984,74.0,3
13160,Handball,1984,75.0,7
13161,Handball,1984,76.0,4
13162,Handball,1984,77.0,8
13163,Handball,1984,78.0,11
13164,Handball,1984,79.0,10
13165,Handball,1984,80.0,11
13166,Handball,1984,81.0,1
13167,Handball,1984,82.0,5
13168,Handball,1984,83.0,10
13169,Handball,1984,84.0,8
13170,Handball,1984,85.0,12
13171,Handball,1984,86.0,4
13172,Handball,1984,87.0,6
13173,Handball,1984,88.0,7
13174,Handball,1984,89.0,9
