lindex,Sport,Year,Weight,count
13631,Hockey,1908,89.0,1
13632,Hockey,1932,79.0,1
13633,Hockey,1936,79.0,1
13634,Hockey,1936,85.0,1
13635,Hockey,1948,53.0,1
13636,Hockey,1948,68.0,2
13637,Hockey,1948,69.0,2
13638,Hockey,1948,70.0,2
13639,Hockey,1948,73.0,1
13640,Hockey,1948,75.0,1
13641,Hockey,1948,79.0,1
13642,Hockey,1948,80.0,1
13643,Hockey,1948,82.0,1
13644,Hockey,1948,87.0,1
13645,Hockey,1948,95.0,1
13646,Hockey,1952,53.0,1
13647,Hockey,1952,58.0,2
13648,Hockey,1952,60.0,1
13649,Hockey,1952,64.0,1
13650,Hockey,1952,65.0,1
13651,Hockey,1952,68.0,2
13652,Hockey,1952,70.0,2
13653,Hockey,1952,71.0,1
13654,Hockey,1952,72.0,2
13655,Hockey,1952,73.0,1
13656,Hockey,1952,74.0,3
13657,Hockey,1952,75.0,4
13658,Hockey,1952,76.0,1
13659,Hockey,1952,77.0,1
13660,Hockey,1952,78.0,2
13661,Hockey,1952,79.0,1
13662,Hockey,1952,80.0,4
13663,Hockey,1952,87.0,1
13664,Hockey,1952,90.0,1
13665,Hockey,1956,53.0,1
13666,Hockey,1956,57.0,1
13667,Hockey,1956,58.0,1
13668,Hockey,1956,60.0,2
13669,Hockey,1956,63.0,2
13670,Hockey,1956,64.0,5
13671,Hockey,1956,66.0,1
13672,Hockey,1956,67.0,2
13673,Hockey,1956,68.0,1
13674,Hockey,1956,69.0,3
13675,Hockey,1956,70.0,3
13676,Hockey,1956,71.0,1
13677,Hockey,1956,72.0,2
13678,Hockey,1956,73.0,5
13679,Hockey,1956,74.0,4
13680,Hockey,1956,75.0,5
13681,Hockey,1956,76.0,2
13682,Hockey,1956,77.0,2
13683,Hockey,1956,78.0,1
13684,Hockey,1956,79.0,3
13685,Hockey,1956,80.0,1
13686,Hockey,1956,82.0,3
13687,Hockey,1956,85.0,1
13688,Hockey,1956,87.0,1
13689,Hockey,1956,90.0,1
13690,Hockey,1956,93.0,1
13691,Hockey,1956,95.0,1
13692,Hockey,1960,52.0,2
13693,Hockey,1960,53.0,3
13694,Hockey,1960,54.0,1
13695,Hockey,1960,55.0,2
13696,Hockey,1960,56.0,1
13697,Hockey,1960,57.0,3
13698,Hockey,1960,58.0,4
13699,Hockey,1960,59.0,7
13700,Hockey,1960,60.0,10
13701,Hockey,1960,61.0,1
13702,Hockey,1960,62.0,5
13703,Hockey,1960,63.0,3
13704,Hockey,1960,64.0,8
13705,Hockey,1960,65.0,14
13706,Hockey,1960,66.0,5
13707,Hockey,1960,67.0,18
13708,Hockey,1960,68.0,11
13709,Hockey,1960,69.0,13
13710,Hockey,1960,70.0,15
13711,Hockey,1960,71.0,9
13712,Hockey,1960,72.0,9
13713,Hockey,1960,73.0,6
13714,Hockey,1960,74.0,7
13715,Hockey,1960,75.0,12
13716,Hockey,1960,76.0,8
13717,Hockey,1960,77.0,6
13718,Hockey,1960,78.0,6
13719,Hockey,1960,79.0,3
13720,Hockey,1960,80.0,13
13721,Hockey,1960,81.0,1
13722,Hockey,1960,82.0,4
13723,Hockey,1960,83.0,3
13724,Hockey,1960,84.0,1
13725,Hockey,1960,85.0,1
13726,Hockey,1960,86.0,2
13727,Hockey,1960,87.0,1
13728,Hockey,1960,88.0,1
13729,Hockey,1960,91.0,1
13730,Hockey,1964,52.0,1
13731,Hockey,1964,53.0,2
13732,Hockey,1964,54.0,1
13733,Hockey,1964,55.0,2
13734,Hockey,1964,56.0,1
13735,Hockey,1964,57.0,4
13736,Hockey,1964,58.0,6
13737,Hockey,1964,59.0,3
13738,Hockey,1964,60.0,5
13739,Hockey,1964,61.0,8
13740,Hockey,1964,62.0,3
13741,Hockey,1964,63.0,7
13742,Hockey,1964,64.0,11
13743,Hockey,1964,65.0,9
13744,Hockey,1964,66.0,6
13745,Hockey,1964,67.0,11
13746,Hockey,1964,68.0,17
13747,Hockey,1964,69.0,3
13748,Hockey,1964,70.0,14
13749,Hockey,1964,71.0,15
13750,Hockey,1964,72.0,15
13751,Hockey,1964,73.0,16
13752,Hockey,1964,74.0,10
13753,Hockey,1964,75.0,5
13754,Hockey,1964,76.0,8
13755,Hockey,1964,77.0,5
13756,Hockey,1964,78.0,2
13757,Hockey,1964,79.0,5
13758,Hockey,1964,80.0,5
13759,Hockey,1964,81.0,2
13760,Hockey,1964,82.0,4
13761,Hockey,1964,83.0,2
13762,Hockey,1964,84.0,4
13763,Hockey,1964,85.0,3
13764,Hockey,1964,86.0,1
13765,Hockey,1964,87.0,2
13766,Hockey,1968,50.0,1
13767,Hockey,1968,52.0,1
13768,Hockey,1968,53.0,2
13769,Hockey,1968,54.0,2
13770,Hockey,1968,55.0,1
13771,Hockey,1968,56.0,2
13772,Hockey,1968,57.0,1
13773,Hockey,1968,58.0,3
13774,Hockey,1968,59.0,4
13775,Hockey,1968,60.0,9
13776,Hockey,1968,61.0,7
13777,Hockey,1968,62.0,13
13778,Hockey,1968,63.0,7
13779,Hockey,1968,64.0,11
13780,Hockey,1968,65.0,10
13781,Hockey,1968,66.0,7
13782,Hockey,1968,67.0,6
13783,Hockey,1968,68.0,19
13784,Hockey,1968,69.0,10
13785,Hockey,1968,70.0,13
13786,Hockey,1968,71.0,8
13787,Hockey,1968,72.0,13
13788,Hockey,1968,73.0,12
13789,Hockey,1968,74.0,9
13790,Hockey,1968,75.0,14
13791,Hockey,1968,76.0,12
13792,Hockey,1968,77.0,4
13793,Hockey,1968,78.0,7
13794,Hockey,1968,79.0,10
13795,Hockey,1968,80.0,12
13796,Hockey,1968,81.0,2
13797,Hockey,1968,82.0,4
13798,Hockey,1968,83.0,1
13799,Hockey,1968,84.0,2
13800,Hockey,1968,85.0,6
13801,Hockey,1968,86.0,2
13802,Hockey,1968,87.0,1
13803,Hockey,1968,88.0,1
13804,Hockey,1968,91.0,1
13805,Hockey,1972,50.0,1
13806,Hockey,1972,52.0,1
13807,Hockey,1972,56.0,1
13808,Hockey,1972,57.0,1
13809,Hockey,1972,58.0,1
13810,Hockey,1972,59.0,3
13811,Hockey,1972,60.0,7
13812,Hockey,1972,61.0,5
13813,Hockey,1972,62.0,7
13814,Hockey,1972,63.0,7
13815,Hockey,1972,64.0,15
13816,Hockey,1972,65.0,8
13817,Hockey,1972,66.0,10
13818,Hockey,1972,67.0,10
13819,Hockey,1972,68.0,15
13820,Hockey,1972,69.0,10
13821,Hockey,1972,70.0,18
13822,Hockey,1972,71.0,10
13823,Hockey,1972,72.0,18
13824,Hockey,1972,73.0,10
13825,Hockey,1972,74.0,15
13826,Hockey,1972,75.0,17
13827,Hockey,1972,76.0,9
13828,Hockey,1972,77.0,4
13829,Hockey,1972,78.0,9
13830,Hockey,1972,79.0,10
13831,Hockey,1972,80.0,12
13832,Hockey,1972,81.0,3
13833,Hockey,1972,82.0,4
13834,Hockey,1972,83.0,1
13835,Hockey,1972,85.0,6
13836,Hockey,1972,86.0,2
13837,Hockey,1972,88.0,1
13838,Hockey,1972,89.0,1
13839,Hockey,1972,90.0,1
13840,Hockey,1972,101.0,1
13841,Hockey,1976,54.0,2
13842,Hockey,1976,55.0,1
13843,Hockey,1976,56.0,2
13844,Hockey,1976,57.0,1
13845,Hockey,1976,58.0,1
13846,Hockey,1976,59.0,3
13847,Hockey,1976,60.0,7
13848,Hockey,1976,61.0,1
13849,Hockey,1976,62.0,2
13850,Hockey,1976,63.0,3
13851,Hockey,1976,64.0,11
13852,Hockey,1976,65.0,6
13853,Hockey,1976,66.0,8
13854,Hockey,1976,67.0,3
13855,Hockey,1976,68.0,12
13856,Hockey,1976,69.0,5
13857,Hockey,1976,70.0,9
13858,Hockey,1976,71.0,5
13859,Hockey,1976,72.0,10
13860,Hockey,1976,73.0,7
13861,Hockey,1976,74.0,11
13862,Hockey,1976,75.0,9
13863,Hockey,1976,76.0,8
13864,Hockey,1976,77.0,10
13865,Hockey,1976,78.0,3
13866,Hockey,1976,79.0,4
13867,Hockey,1976,80.0,12
13868,Hockey,1976,81.0,1
13869,Hockey,1976,82.0,2
13870,Hockey,1976,83.0,4
13871,Hockey,1976,84.0,3
13872,Hockey,1976,85.0,1
13873,Hockey,1976,86.0,1
13874,Hockey,1976,89.0,2
13875,Hockey,1976,90.0,1
13876,Hockey,1976,91.0,1
13877,Hockey,1980,47.0,2
13878,Hockey,1980,48.0,1
13879,Hockey,1980,49.0,2
13880,Hockey,1980,50.0,2
13881,Hockey,1980,52.0,3
