lindex,Sport,Year,Weight,count
14314,Ice Hockey,1920,58.0,2
14315,Ice Hockey,1920,61.0,1
14316,Ice Hockey,1920,64.0,1
14317,Ice Hockey,1920,65.0,1
14318,Ice Hockey,1920,67.0,1
14319,Ice Hockey,1920,68.0,1
14320,Ice Hockey,1920,70.0,1
14321,Ice Hockey,1920,75.0,3
14322,Ice Hockey,1920,79.0,1
14323,Ice Hockey,1920,81.0,1
14324,Ice Hockey,1920,82.0,3
14325,Ice Hockey,1920,91.0,1
14326,Ice Hockey,1920,99.0,1
14327,Ice Hockey,1924,58.0,1
14328,Ice Hockey,1924,62.0,1
14329,Ice Hockey,1924,65.0,1
14330,Ice Hockey,1924,70.0,1
14331,Ice Hockey,1924,72.0,1
14332,Ice Hockey,1924,75.0,1
14333,Ice Hockey,1924,82.0,1
14334,Ice Hockey,1924,86.0,1
14335,Ice Hockey,1924,102.0,1
14336,Ice Hockey,1924,109.0,1
14337,Ice Hockey,1928,70.0,1
14338,Ice Hockey,1928,72.0,1
14339,Ice Hockey,1928,75.0,2
14340,Ice Hockey,1928,77.0,1
14341,Ice Hockey,1928,78.0,1
14342,Ice Hockey,1928,84.0,1
14343,Ice Hockey,1932,63.0,1
14344,Ice Hockey,1932,67.0,2
14345,Ice Hockey,1932,68.0,1
14346,Ice Hockey,1932,70.0,2
14347,Ice Hockey,1932,71.0,3
14348,Ice Hockey,1932,72.0,1
14349,Ice Hockey,1932,74.0,1
14350,Ice Hockey,1932,75.0,1
14351,Ice Hockey,1932,77.0,2
14352,Ice Hockey,1932,78.0,3
14353,Ice Hockey,1932,81.0,1
14354,Ice Hockey,1932,91.0,1
14355,Ice Hockey,1936,52.0,1
14356,Ice Hockey,1936,63.0,2
14357,Ice Hockey,1936,65.0,1
14358,Ice Hockey,1936,67.0,2
14359,Ice Hockey,1936,71.0,4
14360,Ice Hockey,1936,72.0,4
14361,Ice Hockey,1936,74.0,2
14362,Ice Hockey,1936,75.0,3
