lindex,Sport,Year,Weight,count
16308,Modern Pentathlon,1924,69.0,1
16309,Modern Pentathlon,1924,73.0,1
16310,Modern Pentathlon,1928,67.0,1
16311,Modern Pentathlon,1932,72.0,1
16312,Modern Pentathlon,1948,62.5,1
16313,Modern Pentathlon,1948,65.0,1
16314,Modern Pentathlon,1952,56.0,2
16315,Modern Pentathlon,1952,62.5,2
16316,Modern Pentathlon,1952,67.0,2
16317,Modern Pentathlon,1952,70.0,6
16318,Modern Pentathlon,1952,73.0,2
16319,Modern Pentathlon,1952,75.0,2
16320,Modern Pentathlon,1952,77.0,2
16321,Modern Pentathlon,1956,66.0,2
16322,Modern Pentathlon,1956,67.0,2
16323,Modern Pentathlon,1956,68.0,6
16324,Modern Pentathlon,1956,70.0,3
16325,Modern Pentathlon,1956,71.0,2
16326,Modern Pentathlon,1956,72.0,2
16327,Modern Pentathlon,1956,73.0,2
16328,Modern Pentathlon,1956,75.0,4
16329,Modern Pentathlon,1956,76.0,1
16330,Modern Pentathlon,1956,79.0,2
16331,Modern Pentathlon,1956,81.0,2
16332,Modern Pentathlon,1960,56.0,2
16333,Modern Pentathlon,1960,60.0,3
16334,Modern Pentathlon,1960,61.0,2
16335,Modern Pentathlon,1960,63.0,2
16336,Modern Pentathlon,1960,64.0,4
16337,Modern Pentathlon,1960,65.0,6
16338,Modern Pentathlon,1960,66.0,3
16339,Modern Pentathlon,1960,67.0,6
16340,Modern Pentathlon,1960,68.0,9
16341,Modern Pentathlon,1960,69.0,2
16342,Modern Pentathlon,1960,70.0,10
16343,Modern Pentathlon,1960,71.0,7
16344,Modern Pentathlon,1960,72.0,6
16345,Modern Pentathlon,1960,73.0,11
16346,Modern Pentathlon,1960,75.0,11
16347,Modern Pentathlon,1960,76.0,6
16348,Modern Pentathlon,1960,77.0,2
16349,Modern Pentathlon,1960,78.0,2
16350,Modern Pentathlon,1960,79.0,4
16351,Modern Pentathlon,1960,81.0,2
16352,Modern Pentathlon,1960,83.0,2
16353,Modern Pentathlon,1960,85.0,2
16354,Modern Pentathlon,1960,86.0,1
16355,Modern Pentathlon,1964,62.0,4
16356,Modern Pentathlon,1964,65.0,4
16357,Modern Pentathlon,1964,66.0,4
16358,Modern Pentathlon,1964,67.0,6
16359,Modern Pentathlon,1964,68.0,12
16360,Modern Pentathlon,1964,70.0,2
16361,Modern Pentathlon,1964,71.0,2
16362,Modern Pentathlon,1964,72.0,1
16363,Modern Pentathlon,1964,73.0,6
16364,Modern Pentathlon,1964,74.0,4
16365,Modern Pentathlon,1964,75.0,2
16366,Modern Pentathlon,1964,76.0,4
16367,Modern Pentathlon,1964,77.0,4
16368,Modern Pentathlon,1964,78.0,2
16369,Modern Pentathlon,1964,80.0,2
16370,Modern Pentathlon,1964,82.0,6
16371,Modern Pentathlon,1964,83.0,2
16372,Modern Pentathlon,1964,85.0,2
16373,Modern Pentathlon,1968,56.0,2
16374,Modern Pentathlon,1968,64.0,4
16375,Modern Pentathlon,1968,65.0,4
16376,Modern Pentathlon,1968,67.0,8
16377,Modern Pentathlon,1968,68.0,10
16378,Modern Pentathlon,1968,69.0,2
16379,Modern Pentathlon,1968,70.0,15
16380,Modern Pentathlon,1968,71.0,2
16381,Modern Pentathlon,1968,72.0,13
16382,Modern Pentathlon,1968,73.0,6
16383,Modern Pentathlon,1968,74.0,8
16384,Modern Pentathlon,1968,75.0,5
16385,Modern Pentathlon,1968,76.0,6
16386,Modern Pentathlon,1968,77.0,4
16387,Modern Pentathlon,1968,80.0,2
16388,Modern Pentathlon,1968,83.0,2
16389,Modern Pentathlon,1972,56.0,2
16390,Modern Pentathlon,1972,62.0,4
16391,Modern Pentathlon,1972,63.0,2
16392,Modern Pentathlon,1972,64.0,4
16393,Modern Pentathlon,1972,65.0,8
16394,Modern Pentathlon,1972,66.0,6
16395,Modern Pentathlon,1972,67.0,2
16396,Modern Pentathlon,1972,68.0,8
16397,Modern Pentathlon,1972,69.0,6
16398,Modern Pentathlon,1972,69.5,2
16399,Modern Pentathlon,1972,70.0,11
16400,Modern Pentathlon,1972,71.0,2
16401,Modern Pentathlon,1972,72.0,8
16402,Modern Pentathlon,1972,73.0,9
16403,Modern Pentathlon,1972,74.0,12
16404,Modern Pentathlon,1972,75.0,4
16405,Modern Pentathlon,1972,76.0,2
16406,Modern Pentathlon,1972,77.0,10
16407,Modern Pentathlon,1972,78.0,2
16408,Modern Pentathlon,1972,80.0,4
16409,Modern Pentathlon,1972,83.0,4
16410,Modern Pentathlon,1972,86.0,2
16411,Modern Pentathlon,1972,90.0,2
16412,Modern Pentathlon,1976,58.0,2
16413,Modern Pentathlon,1976,64.0,2
16414,Modern Pentathlon,1976,65.0,2
16415,Modern Pentathlon,1976,66.0,4
16416,Modern Pentathlon,1976,67.0,4
16417,Modern Pentathlon,1976,68.0,7
16418,Modern Pentathlon,1976,68.5,2
16419,Modern Pentathlon,1976,69.0,4
16420,Modern Pentathlon,1976,70.0,15
16421,Modern Pentathlon,1976,71.0,2
16422,Modern Pentathlon,1976,72.0,9
16423,Modern Pentathlon,1976,73.0,4
16424,Modern Pentathlon,1976,74.0,6
16425,Modern Pentathlon,1976,75.0,4
16426,Modern Pentathlon,1976,76.0,6
16427,Modern Pentathlon,1976,77.0,6
16428,Modern Pentathlon,1976,78.0,2
16429,Modern Pentathlon,1976,79.0,2
16430,Modern Pentathlon,1976,80.0,2
16431,Modern Pentathlon,1976,83.0,4
16432,Modern Pentathlon,1980,61.0,2
16433,Modern Pentathlon,1980,63.0,2
16434,Modern Pentathlon,1980,64.0,4
16435,Modern Pentathlon,1980,65.0,2
16436,Modern Pentathlon,1980,66.0,1
16437,Modern Pentathlon,1980,67.0,6
16438,Modern Pentathlon,1980,68.0,4
16439,Modern Pentathlon,1980,68.5,2
16440,Modern Pentathlon,1980,69.0,2
16441,Modern Pentathlon,1980,70.0,11
16442,Modern Pentathlon,1980,71.0,4
16443,Modern Pentathlon,1980,72.0,7
16444,Modern Pentathlon,1980,73.0,4
16445,Modern Pentathlon,1980,74.0,2
16446,Modern Pentathlon,1980,75.0,8
16447,Modern Pentathlon,1980,76.0,4
16448,Modern Pentathlon,1980,77.0,2
16449,Modern Pentathlon,1980,78.0,4
16450,Modern Pentathlon,1980,80.0,6
16451,Modern Pentathlon,1984,57.0,2
16452,Modern Pentathlon,1984,58.0,2
16453,Modern Pentathlon,1984,63.0,4
16454,Modern Pentathlon,1984,64.0,4
16455,Modern Pentathlon,1984,65.0,12
16456,Modern Pentathlon,1984,66.0,4
16457,Modern Pentathlon,1984,67.0,6
16458,Modern Pentathlon,1984,68.0,2
16459,Modern Pentathlon,1984,68.5,2
16460,Modern Pentathlon,1984,69.0,3
16461,Modern Pentathlon,1984,70.0,8
16462,Modern Pentathlon,1984,71.0,6
16463,Modern Pentathlon,1984,72.0,6
16464,Modern Pentathlon,1984,74.0,4
16465,Modern Pentathlon,1984,75.0,8
16466,Modern Pentathlon,1984,76.0,2
16467,Modern Pentathlon,1984,77.0,6
16468,Modern Pentathlon,1984,78.0,6
16469,Modern Pentathlon,1984,79.0,4
16470,Modern Pentathlon,1984,80.0,4
16471,Modern Pentathlon,1984,82.0,2
16472,Modern Pentathlon,1984,83.0,2
