lindex,Sport,Year,Weight,count
20464,Ski Jumping,1924,70.0,1
20465,Ski Jumping,1928,61.0,1
20466,Ski Jumping,1928,70.0,1
20467,Ski Jumping,1928,72.0,1
20468,Ski Jumping,1932,55.0,1
20469,Ski Jumping,1932,56.0,2
20470,Ski Jumping,1932,59.0,1
20471,Ski Jumping,1932,76.0,1
20472,Ski Jumping,1936,56.0,1
20473,Ski Jumping,1936,65.0,1
20474,Ski Jumping,1936,76.0,1
20475,Ski Jumping,1948,65.0,1
20476,Ski Jumping,1948,67.0,1
20477,Ski Jumping,1948,69.0,1
20478,Ski Jumping,1948,75.0,1
20479,Ski Jumping,1948,76.0,1
20480,Ski Jumping,1952,58.0,1
20481,Ski Jumping,1952,60.0,1
20482,Ski Jumping,1952,61.0,1
20483,Ski Jumping,1952,64.0,1
20484,Ski Jumping,1952,66.0,1
20485,Ski Jumping,1952,68.0,1
20486,Ski Jumping,1952,70.0,1
20487,Ski Jumping,1952,72.0,1
20488,Ski Jumping,1952,76.0,1
20489,Ski Jumping,1956,60.0,1
20490,Ski Jumping,1956,62.0,1
20491,Ski Jumping,1956,63.0,1
20492,Ski Jumping,1956,64.0,1
20493,Ski Jumping,1956,65.0,3
20494,Ski Jumping,1956,66.0,1
20495,Ski Jumping,1956,68.0,2
20496,Ski Jumping,1956,70.0,2
20497,Ski Jumping,1956,72.0,1
20498,Ski Jumping,1956,73.0,1
20499,Ski Jumping,1956,75.0,2
20500,Ski Jumping,1956,76.0,1
20501,Ski Jumping,1960,59.0,1
20502,Ski Jumping,1960,60.0,1
20503,Ski Jumping,1960,63.0,3
20504,Ski Jumping,1960,64.0,1
20505,Ski Jumping,1960,65.0,2
20506,Ski Jumping,1960,66.0,1
20507,Ski Jumping,1960,68.0,1
20508,Ski Jumping,1960,70.0,1
20509,Ski Jumping,1960,71.0,1
20510,Ski Jumping,1960,72.0,1
20511,Ski Jumping,1960,73.0,1
20512,Ski Jumping,1960,73.5,1
20513,Ski Jumping,1960,74.0,1
20514,Ski Jumping,1960,75.0,3
20515,Ski Jumping,1960,76.5,1
20516,Ski Jumping,1960,78.0,1
20517,Ski Jumping,1964,59.0,2
20518,Ski Jumping,1964,60.0,2
20519,Ski Jumping,1964,62.0,2
20520,Ski Jumping,1964,63.0,3
20521,Ski Jumping,1964,65.0,2
20522,Ski Jumping,1964,66.0,3
20523,Ski Jumping,1964,66.5,2
20524,Ski Jumping,1964,67.0,4
20525,Ski Jumping,1964,68.0,10
20526,Ski Jumping,1964,69.0,5
20527,Ski Jumping,1964,70.0,8
20528,Ski Jumping,1964,71.0,2
20529,Ski Jumping,1964,72.0,6
20530,Ski Jumping,1964,73.0,2
20531,Ski Jumping,1964,73.5,2
20532,Ski Jumping,1964,74.0,3
20533,Ski Jumping,1964,75.0,8
20534,Ski Jumping,1964,76.0,4
20535,Ski Jumping,1964,76.5,2
20536,Ski Jumping,1964,78.0,3
20537,Ski Jumping,1964,80.0,3
20538,Ski Jumping,1968,53.0,2
20539,Ski Jumping,1968,55.0,2
20540,Ski Jumping,1968,59.0,1
20541,Ski Jumping,1968,60.0,1
20542,Ski Jumping,1968,64.0,4
20543,Ski Jumping,1968,64.5,2
20544,Ski Jumping,1968,66.0,8
20545,Ski Jumping,1968,67.0,12
20546,Ski Jumping,1968,68.0,7
20547,Ski Jumping,1968,69.0,6
20548,Ski Jumping,1968,70.0,11
20549,Ski Jumping,1968,71.0,1
20550,Ski Jumping,1968,72.0,9
20551,Ski Jumping,1968,73.0,2
20552,Ski Jumping,1968,74.0,3
20553,Ski Jumping,1968,75.0,8
20554,Ski Jumping,1968,76.0,5
20555,Ski Jumping,1968,76.5,2
20556,Ski Jumping,1968,77.0,2
20557,Ski Jumping,1968,78.0,12
20558,Ski Jumping,1968,80.0,4
20559,Ski Jumping,1968,82.0,3
20560,Ski Jumping,1968,83.0,1
20561,Ski Jumping,1972,53.0,2
20562,Ski Jumping,1972,55.0,2
20563,Ski Jumping,1972,55.5,2
20564,Ski Jumping,1972,60.0,5
20565,Ski Jumping,1972,61.0,2
20566,Ski Jumping,1972,62.0,1
20567,Ski Jumping,1972,64.0,2
20568,Ski Jumping,1972,65.0,2
20569,Ski Jumping,1972,66.0,9
20570,Ski Jumping,1972,67.0,3
20571,Ski Jumping,1972,68.0,8
20572,Ski Jumping,1972,69.0,6
20573,Ski Jumping,1972,70.0,13
20574,Ski Jumping,1972,71.0,3
20575,Ski Jumping,1972,72.0,12
20576,Ski Jumping,1972,73.0,9
20577,Ski Jumping,1972,74.0,3
20578,Ski Jumping,1972,75.0,6
20579,Ski Jumping,1972,76.0,2
20580,Ski Jumping,1972,77.0,2
20581,Ski Jumping,1972,78.0,6
20582,Ski Jumping,1972,80.0,6
20583,Ski Jumping,1972,84.0,2
20584,Ski Jumping,1976,55.5,2
20585,Ski Jumping,1976,60.0,2
20586,Ski Jumping,1976,61.0,3
20587,Ski Jumping,1976,62.0,2
20588,Ski Jumping,1976,64.0,1
20589,Ski Jumping,1976,65.0,4
20590,Ski Jumping,1976,66.0,4
20591,Ski Jumping,1976,68.0,9
20592,Ski Jumping,1976,69.0,6
20593,Ski Jumping,1976,70.0,12
20594,Ski Jumping,1976,71.0,4
20595,Ski Jumping,1976,72.0,6
20596,Ski Jumping,1976,73.0,10
20597,Ski Jumping,1976,74.0,4
20598,Ski Jumping,1976,75.0,2
20599,Ski Jumping,1976,77.0,4
20600,Ski Jumping,1976,81.0,2
20601,Ski Jumping,1976,85.0,1
20602,Ski Jumping,1980,56.0,2
20603,Ski Jumping,1980,58.0,2
20604,Ski Jumping,1980,60.0,2
20605,Ski Jumping,1980,61.0,4
20606,Ski Jumping,1980,62.0,2
20607,Ski Jumping,1980,63.0,6
20608,Ski Jumping,1980,64.0,2
20609,Ski Jumping,1980,65.0,2
20610,Ski Jumping,1980,66.0,10
20611,Ski Jumping,1980,67.0,4
20612,Ski Jumping,1980,68.0,14
20613,Ski Jumping,1980,69.0,7
20614,Ski Jumping,1980,70.0,3
20615,Ski Jumping,1980,72.0,2
20616,Ski Jumping,1980,73.0,17
20617,Ski Jumping,1980,77.0,2
20618,Ski Jumping,1980,80.0,2
20619,Ski Jumping,1984,54.0,4
20620,Ski Jumping,1984,55.0,1
20621,Ski Jumping,1984,56.0,2
20622,Ski Jumping,1984,58.0,3
20623,Ski Jumping,1984,59.0,2
20624,Ski Jumping,1984,60.0,5
20625,Ski Jumping,1984,61.0,2
20626,Ski Jumping,1984,62.0,6
20627,Ski Jumping,1984,63.0,6
20628,Ski Jumping,1984,64.0,4
20629,Ski Jumping,1984,65.0,1
20630,Ski Jumping,1984,66.0,4
20631,Ski Jumping,1984,67.0,7
20632,Ski Jumping,1984,68.0,12
20633,Ski Jumping,1984,69.0,4
