lindex,Sport,Year,Weight,count
21178,Speed Skating,1924,62.0,5
21179,Speed Skating,1924,67.0,5
21180,Speed Skating,1924,74.0,2
21181,Speed Skating,1928,67.0,3
21182,Speed Skating,1928,71.0,3
21183,Speed Skating,1928,72.0,1
21184,Speed Skating,1928,74.0,3
21185,Speed Skating,1936,74.0,1
21186,Speed Skating,1936,76.0,2
21187,Speed Skating,1936,77.0,4
21188,Speed Skating,1948,58.0,2
21189,Speed Skating,1948,70.0,2
21190,Speed Skating,1948,71.0,2
21191,Speed Skating,1948,72.0,4
21192,Speed Skating,1948,76.0,3
21193,Speed Skating,1952,50.0,2
21194,Speed Skating,1952,56.0,3
21195,Speed Skating,1952,58.0,5
21196,Speed Skating,1952,60.0,2
21197,Speed Skating,1952,62.0,2
21198,Speed Skating,1952,64.0,2
21199,Speed Skating,1952,70.0,4
21200,Speed Skating,1952,72.0,3
21201,Speed Skating,1952,73.0,2
21202,Speed Skating,1952,74.0,2
21203,Speed Skating,1952,78.0,2
21204,Speed Skating,1956,56.0,4
21205,Speed Skating,1956,58.0,3
21206,Speed Skating,1956,59.0,4
21207,Speed Skating,1956,60.0,3
21208,Speed Skating,1956,62.0,3
21209,Speed Skating,1956,63.0,2
21210,Speed Skating,1956,68.0,3
21211,Speed Skating,1956,70.0,3
21212,Speed Skating,1956,71.0,3
21213,Speed Skating,1956,72.0,4
21214,Speed Skating,1956,73.0,4
21215,Speed Skating,1956,78.0,2
21216,Speed Skating,1956,85.0,3
21217,Speed Skating,1956,90.0,3
21218,Speed Skating,1960,46.0,4
21219,Speed Skating,1960,50.0,4
21220,Speed Skating,1960,51.0,4
21221,Speed Skating,1960,52.0,5
21222,Speed Skating,1960,55.0,4
21223,Speed Skating,1960,56.0,6
21224,Speed Skating,1960,57.0,4
21225,Speed Skating,1960,58.0,4
21226,Speed Skating,1960,59.0,7
21227,Speed Skating,1960,60.0,2
21228,Speed Skating,1960,62.0,13
21229,Speed Skating,1960,63.0,5
21230,Speed Skating,1960,64.0,6
