lindex,Sport,Year,Weight,count
22868,Table Tennis,1988,45.0,3
22869,Table Tennis,1988,48.0,1
22870,Table Tennis,1988,50.0,8
22871,Table Tennis,1988,52.0,4
22872,Table Tennis,1988,53.0,3
22873,Table Tennis,1988,54.0,3
22874,Table Tennis,1988,55.0,15
22875,Table Tennis,1988,56.0,2
22876,Table Tennis,1988,57.0,7
22877,Table Tennis,1988,58.0,7
22878,Table Tennis,1988,59.0,8
22879,Table Tennis,1988,60.0,14
22880,Table Tennis,1988,61.0,2
22881,Table Tennis,1988,62.0,6
22882,Table Tennis,1988,63.0,5
22883,Table Tennis,1988,64.0,10
22884,Table Tennis,1988,65.0,16
22885,Table Tennis,1988,66.0,6
22886,Table Tennis,1988,67.0,4
22887,Table Tennis,1988,68.0,5
22888,Table Tennis,1988,69.0,2
22889,Table Tennis,1988,70.0,6
22890,Table Tennis,1988,71.0,5
22891,Table Tennis,1988,72.0,9
22892,Table Tennis,1988,73.0,4
22893,Table Tennis,1988,74.0,1
22894,Table Tennis,1988,75.0,9
22895,Table Tennis,1988,76.0,4
22896,Table Tennis,1988,77.0,2
22897,Table Tennis,1988,78.0,4
22898,Table Tennis,1988,79.0,4
22899,Table Tennis,1988,80.0,4
22900,Table Tennis,1988,83.0,1
22901,Table Tennis,1988,84.0,2
22902,Table Tennis,1988,86.0,1
22903,Table Tennis,1988,120.0,1
22904,Table Tennis,1992,45.0,2
22905,Table Tennis,1992,47.0,4
22906,Table Tennis,1992,48.0,1
22907,Table Tennis,1992,50.0,4
22908,Table Tennis,1992,52.0,2
22909,Table Tennis,1992,53.0,5
22910,Table Tennis,1992,54.0,8
22911,Table Tennis,1992,55.0,4
22912,Table Tennis,1992,56.0,3
22913,Table Tennis,1992,58.0,11
22914,Table Tennis,1992,59.0,2
22915,Table Tennis,1992,60.0,12
22916,Table Tennis,1992,61.0,4
22917,Table Tennis,1992,62.0,12
22918,Table Tennis,1992,63.0,5
22919,Table Tennis,1992,64.0,5
22920,Table Tennis,1992,65.0,11
22921,Table Tennis,1992,66.0,2
22922,Table Tennis,1992,67.0,1
22923,Table Tennis,1992,68.0,8
22924,Table Tennis,1992,69.0,3
22925,Table Tennis,1992,70.0,12
22926,Table Tennis,1992,71.0,2
22927,Table Tennis,1992,72.0,7
22928,Table Tennis,1992,73.0,4
22929,Table Tennis,1992,74.0,1
22930,Table Tennis,1992,75.0,10
22931,Table Tennis,1992,76.0,5
22932,Table Tennis,1992,77.0,4
22933,Table Tennis,1992,78.0,1
22934,Table Tennis,1992,79.0,5
22935,Table Tennis,1992,80.0,1
22936,Table Tennis,1992,84.0,3
22937,Table Tennis,1992,86.0,1
22938,Table Tennis,1996,42.0,2
22939,Table Tennis,1996,45.0,1
22940,Table Tennis,1996,47.0,3
22941,Table Tennis,1996,48.0,4
22942,Table Tennis,1996,49.0,2
22943,Table Tennis,1996,50.0,4
22944,Table Tennis,1996,53.0,6
22945,Table Tennis,1996,54.0,3
22946,Table Tennis,1996,55.0,5
22947,Table Tennis,1996,56.0,6
22948,Table Tennis,1996,57.0,1
22949,Table Tennis,1996,58.0,12
22950,Table Tennis,1996,59.0,5
22951,Table Tennis,1996,60.0,22
22952,Table Tennis,1996,61.0,3
22953,Table Tennis,1996,62.0,18
22954,Table Tennis,1996,63.0,7
22955,Table Tennis,1996,64.0,8
22956,Table Tennis,1996,65.0,6
22957,Table Tennis,1996,66.0,4
22958,Table Tennis,1996,67.0,2
22959,Table Tennis,1996,68.0,7
22960,Table Tennis,1996,69.0,4
22961,Table Tennis,1996,70.0,10
22962,Table Tennis,1996,71.0,3
22963,Table Tennis,1996,72.0,4
22964,Table Tennis,1996,73.0,4
22965,Table Tennis,1996,74.0,2
22966,Table Tennis,1996,75.0,5
22967,Table Tennis,1996,76.0,6
22968,Table Tennis,1996,77.0,5
22969,Table Tennis,1996,79.0,6
22970,Table Tennis,1996,80.0,4
22971,Table Tennis,1996,81.0,1
22972,Table Tennis,1996,83.0,4
22973,Table Tennis,1996,84.0,4
22974,Table Tennis,1996,85.0,3
22975,Table Tennis,1996,98.0,1
22976,Table Tennis,2000,42.0,2
22977,Table Tennis,2000,46.0,2
22978,Table Tennis,2000,47.0,1
22979,Table Tennis,2000,48.0,2
22980,Table Tennis,2000,50.0,5
22981,Table Tennis,2000,51.0,1
22982,Table Tennis,2000,52.0,1
22983,Table Tennis,2000,53.0,12
22984,Table Tennis,2000,54.0,8
22985,Table Tennis,2000,55.0,7
22986,Table Tennis,2000,56.0,13
22987,Table Tennis,2000,58.0,18
22988,Table Tennis,2000,59.0,7
22989,Table Tennis,2000,60.0,30
22990,Table Tennis,2000,61.0,2
22991,Table Tennis,2000,62.0,15
22992,Table Tennis,2000,63.0,18
22993,Table Tennis,2000,64.0,7
22994,Table Tennis,2000,65.0,5
22995,Table Tennis,2000,66.0,5
22996,Table Tennis,2000,67.0,3
22997,Table Tennis,2000,68.0,11
22998,Table Tennis,2000,69.0,5
22999,Table Tennis,2000,70.0,14
23000,Table Tennis,2000,71.0,2
23001,Table Tennis,2000,72.0,10
23002,Table Tennis,2000,73.0,7
23003,Table Tennis,2000,74.0,6
23004,Table Tennis,2000,75.0,7
23005,Table Tennis,2000,76.0,8
23006,Table Tennis,2000,77.0,4
23007,Table Tennis,2000,78.0,1
23008,Table Tennis,2000,79.0,3
23009,Table Tennis,2000,80.0,8
23010,Table Tennis,2000,81.0,2
23011,Table Tennis,2000,82.0,2
23012,Table Tennis,2000,83.0,6
23013,Table Tennis,2000,84.0,1
23014,Table Tennis,2000,85.0,4
23015,Table Tennis,2000,89.0,1
23016,Table Tennis,2000,98.0,1
23017,Table Tennis,2004,43.0,1
23018,Table Tennis,2004,45.0,2
23019,Table Tennis,2004,46.0,1
23020,Table Tennis,2004,47.0,3
23021,Table Tennis,2004,48.0,3
23022,Table Tennis,2004,49.0,3
23023,Table Tennis,2004,50.0,2
23024,Table Tennis,2004,51.0,3
23025,Table Tennis,2004,52.0,4
23026,Table Tennis,2004,53.0,10
23027,Table Tennis,2004,54.0,9
23028,Table Tennis,2004,55.0,11
23029,Table Tennis,2004,56.0,11
23030,Table Tennis,2004,57.0,3
23031,Table Tennis,2004,58.0,20
23032,Table Tennis,2004,59.0,8
23033,Table Tennis,2004,60.0,20
23034,Table Tennis,2004,61.0,4
23035,Table Tennis,2004,62.0,8
23036,Table Tennis,2004,63.0,10
