lindex,Sport,Year,Weight,count
23189,Taekwondo,2000,46.0,1
23190,Taekwondo,2000,47.0,1
23191,Taekwondo,2000,48.0,1
23192,Taekwondo,2000,49.0,8
23193,Taekwondo,2000,54.0,1
23194,Taekwondo,2000,55.0,1
23195,Taekwondo,2000,56.0,4
23196,Taekwondo,2000,57.0,12
23197,Taekwondo,2000,58.0,7
23198,Taekwondo,2000,61.0,1
23199,Taekwondo,2000,63.0,4
23200,Taekwondo,2000,64.0,1
23201,Taekwondo,2000,65.5,1
23202,Taekwondo,2000,66.0,1
23203,Taekwondo,2000,67.0,11
23204,Taekwondo,2000,68.0,6
23205,Taekwondo,2000,69.5,1
23206,Taekwondo,2000,70.0,2
23207,Taekwondo,2000,71.0,1
23208,Taekwondo,2000,72.0,1
23209,Taekwondo,2000,73.0,1
23210,Taekwondo,2000,75.0,2
23211,Taekwondo,2000,77.0,3
23212,Taekwondo,2000,78.0,1
23213,Taekwondo,2000,79.0,1
23214,Taekwondo,2000,80.0,10
23215,Taekwondo,2000,81.0,1
23216,Taekwondo,2000,82.0,1
23217,Taekwondo,2000,83.0,3
23218,Taekwondo,2000,84.0,2
23219,Taekwondo,2000,85.0,2
23220,Taekwondo,2000,86.0,1
23221,Taekwondo,2000,90.0,1
23222,Taekwondo,2000,94.0,1
23223,Taekwondo,2000,95.0,1
23224,Taekwondo,2000,100.0,2
23225,Taekwondo,2000,103.5,1
23226,Taekwondo,2000,110.0,1
23227,Taekwondo,2004,46.0,1
23228,Taekwondo,2004,48.0,1
23229,Taekwondo,2004,49.0,13
23230,Taekwondo,2004,53.0,1
23231,Taekwondo,2004,54.0,1
23232,Taekwondo,2004,56.0,1
23233,Taekwondo,2004,57.0,14
23234,Taekwondo,2004,58.0,13
23235,Taekwondo,2004,62.0,2
23236,Taekwondo,2004,64.0,2
23237,Taekwondo,2004,65.0,1
23238,Taekwondo,2004,67.0,15
23239,Taekwondo,2004,68.0,12
23240,Taekwondo,2004,69.0,1
23241,Taekwondo,2004,69.5,1
23242,Taekwondo,2004,70.0,2
23243,Taekwondo,2004,72.0,1
23244,Taekwondo,2004,73.0,2
23245,Taekwondo,2004,75.0,1
23246,Taekwondo,2004,77.0,1
23247,Taekwondo,2004,78.0,3
23248,Taekwondo,2004,79.0,1
23249,Taekwondo,2004,79.5,1
23250,Taekwondo,2004,80.0,11
23251,Taekwondo,2004,81.0,1
23252,Taekwondo,2004,82.0,2
23253,Taekwondo,2004,83.0,2
23254,Taekwondo,2004,84.0,1
23255,Taekwondo,2004,85.0,2
23256,Taekwondo,2004,86.0,1
23257,Taekwondo,2004,87.0,1
23258,Taekwondo,2004,88.0,2
23259,Taekwondo,2004,90.0,1
23260,Taekwondo,2004,91.0,1
23261,Taekwondo,2004,94.0,1
23262,Taekwondo,2004,95.0,3
23263,Taekwondo,2004,97.0,1
23264,Taekwondo,2004,100.0,1
23265,Taekwondo,2004,103.5,1
23266,Taekwondo,2004,106.0,1
23267,Taekwondo,2008,49.0,15
23268,Taekwondo,2008,51.0,1
23269,Taekwondo,2008,53.0,1
23270,Taekwondo,2008,55.0,2
23271,Taekwondo,2008,56.0,2
23272,Taekwondo,2008,57.0,9
23273,Taekwondo,2008,58.0,14
23274,Taekwondo,2008,61.0,1
23275,Taekwondo,2008,62.0,2
23276,Taekwondo,2008,63.0,2
23277,Taekwondo,2008,64.5,1
23278,Taekwondo,2008,66.0,1
23279,Taekwondo,2008,67.0,14
23280,Taekwondo,2008,68.0,15
23281,Taekwondo,2008,69.0,1
23282,Taekwondo,2008,69.5,1
23283,Taekwondo,2008,70.0,2
23284,Taekwondo,2008,72.0,1
23285,Taekwondo,2008,73.0,3
23286,Taekwondo,2008,74.0,1
23287,Taekwondo,2008,75.0,1
23288,Taekwondo,2008,77.0,2
23289,Taekwondo,2008,78.0,2
23290,Taekwondo,2008,79.0,3
23291,Taekwondo,2008,79.5,1
23292,Taekwondo,2008,80.0,8
23293,Taekwondo,2008,81.0,1
23294,Taekwondo,2008,83.0,2
23295,Taekwondo,2008,84.0,3
23296,Taekwondo,2008,87.0,1
23297,Taekwondo,2008,88.0,2
23298,Taekwondo,2008,90.0,1
23299,Taekwondo,2008,91.0,1
23300,Taekwondo,2008,94.0,2
23301,Taekwondo,2008,95.0,1
23302,Taekwondo,2008,100.0,1
23303,Taekwondo,2008,102.0,1
23304,Taekwondo,2008,103.5,1
23305,Taekwondo,2008,104.0,1
23306,Taekwondo,2008,106.0,1
23307,Taekwondo,2012,48.0,1
23308,Taekwondo,2012,49.0,12
23309,Taekwondo,2012,51.0,1
23310,Taekwondo,2012,52.0,1
23311,Taekwondo,2012,55.0,1
23312,Taekwondo,2012,56.0,3
23313,Taekwondo,2012,57.0,14
23314,Taekwondo,2012,58.0,11
23315,Taekwondo,2012,59.0,1
23316,Taekwondo,2012,63.0,1
23317,Taekwondo,2012,64.5,2
23318,Taekwondo,2012,65.0,3
23319,Taekwondo,2012,66.0,2
23320,Taekwondo,2012,67.0,13
23321,Taekwondo,2012,68.0,16
23322,Taekwondo,2012,69.0,4
23323,Taekwondo,2012,69.5,1
23324,Taekwondo,2012,70.0,3
23325,Taekwondo,2012,71.0,1
23326,Taekwondo,2012,72.0,2
23327,Taekwondo,2012,74.0,3
23328,Taekwondo,2012,76.0,1
23329,Taekwondo,2012,77.0,1
23330,Taekwondo,2012,78.0,2
23331,Taekwondo,2012,79.0,3
23332,Taekwondo,2012,79.5,1
23333,Taekwondo,2012,80.0,7
23334,Taekwondo,2012,83.0,3
23335,Taekwondo,2012,84.0,1
23336,Taekwondo,2012,87.0,2
23337,Taekwondo,2012,88.0,1
23338,Taekwondo,2012,90.0,2
23339,Taekwondo,2012,91.0,1
23340,Taekwondo,2012,92.0,1
23341,Taekwondo,2012,97.0,1
23342,Taekwondo,2012,99.0,1
23343,Taekwondo,2012,102.0,1
23344,Taekwondo,2012,103.5,1
23345,Taekwondo,2012,104.0,1
23346,Taekwondo,2012,106.0,1
23347,Taekwondo,2016,48.0,3
23348,Taekwondo,2016,49.0,8
