lindex,Sport,Year,Weight,count
23712,Trampolining,2000,47.0,1
23713,Trampolining,2000,49.0,1
23714,Trampolining,2000,51.0,1
23715,Trampolining,2000,52.0,4
23716,Trampolining,2000,55.0,1
23717,Trampolining,2000,56.0,1
23718,Trampolining,2000,57.0,1
23719,Trampolining,2000,59.0,2
23720,Trampolining,2000,61.0,1
23721,Trampolining,2000,63.0,1
23722,Trampolining,2000,64.0,2
23723,Trampolining,2000,70.0,2
23724,Trampolining,2000,74.0,1
23725,Trampolining,2000,76.0,1
23726,Trampolining,2000,77.0,1
23727,Trampolining,2000,82.0,1
23728,Trampolining,2000,84.0,1
23729,Trampolining,2004,48.0,2
23730,Trampolining,2004,51.0,1
23731,Trampolining,2004,52.0,5
23732,Trampolining,2004,53.0,2
23733,Trampolining,2004,54.0,1
23734,Trampolining,2004,55.0,2
23735,Trampolining,2004,57.0,2
23736,Trampolining,2004,60.0,1
23737,Trampolining,2004,61.0,2
23738,Trampolining,2004,62.0,2
23739,Trampolining,2004,64.0,3
23740,Trampolining,2004,65.0,2
23741,Trampolining,2004,67.0,2
23742,Trampolining,2004,69.0,1
23743,Trampolining,2004,70.0,1
23744,Trampolining,2004,76.0,1
23745,Trampolining,2004,82.0,1
23746,Trampolining,2004,84.0,1
23747,Trampolining,2008,48.0,2
23748,Trampolining,2008,50.0,1
23749,Trampolining,2008,51.0,1
23750,Trampolining,2008,52.0,3
23751,Trampolining,2008,53.0,2
23752,Trampolining,2008,54.0,3
23753,Trampolining,2008,55.0,2
23754,Trampolining,2008,56.0,1
23755,Trampolining,2008,57.0,2
23756,Trampolining,2008,58.0,1
23757,Trampolining,2008,59.0,1
23758,Trampolining,2008,60.0,1
23759,Trampolining,2008,61.0,2
23760,Trampolining,2008,62.0,2
23761,Trampolining,2008,63.0,1
23762,Trampolining,2008,64.0,1
23763,Trampolining,2008,66.0,1
23764,Trampolining,2008,67.0,2
23765,Trampolining,2008,68.0,2
23766,Trampolining,2008,69.0,1
23767,Trampolining,2012,48.0,3
23768,Trampolining,2012,50.0,1
23769,Trampolining,2012,51.0,1
23770,Trampolining,2012,52.0,2
23771,Trampolining,2012,53.0,2
23772,Trampolining,2012,54.0,1
23773,Trampolining,2012,55.0,3
23774,Trampolining,2012,57.0,2
23775,Trampolining,2012,58.0,1
23776,Trampolining,2012,59.0,2
23777,Trampolining,2012,60.0,1
23778,Trampolining,2012,62.0,3
23779,Trampolining,2012,63.0,2
23780,Trampolining,2012,64.0,1
23781,Trampolining,2012,67.0,1
23782,Trampolining,2012,68.0,2
23783,Trampolining,2012,69.0,1
23784,Trampolining,2012,72.0,1
23785,Trampolining,2016,43.0,1
23786,Trampolining,2016,47.0,1
23787,Trampolining,2016,50.0,1
23788,Trampolining,2016,51.0,3
23789,Trampolining,2016,52.0,1
23790,Trampolining,2016,53.0,3
23791,Trampolining,2016,54.0,2
23792,Trampolining,2016,55.0,2
23793,Trampolining,2016,57.0,1
23794,Trampolining,2016,58.0,3
23795,Trampolining,2016,59.0,1
23796,Trampolining,2016,60.0,1
23797,Trampolining,2016,62.0,1
23798,Trampolining,2016,63.0,1
23799,Trampolining,2016,64.0,2
23800,Trampolining,2016,65.0,1
23801,Trampolining,2016,66.0,1
23802,Trampolining,2016,68.0,1
23803,Trampolining,2016,69.0,1
23804,Trampolining,2016,70.0,1
23805,Trampolining,2016,71.0,1
23806,Trampolining,2016,72.0,1
23807,Trampolining,2016,73.0,1
