lindex,Sport,Year,Weight,count
24010,Volleyball,1964,50.0,1
24011,Volleyball,1964,53.0,2
24012,Volleyball,1964,56.0,3
24013,Volleyball,1964,57.0,3
24014,Volleyball,1964,58.0,2
24015,Volleyball,1964,59.0,2
24016,Volleyball,1964,60.0,10
24017,Volleyball,1964,61.0,3
24018,Volleyball,1964,62.0,4
24019,Volleyball,1964,63.0,4
24020,Volleyball,1964,64.0,5
24021,Volleyball,1964,65.0,7
24022,Volleyball,1964,66.0,3
24023,Volleyball,1964,67.0,4
24024,Volleyball,1964,68.0,4
24025,Volleyball,1964,69.0,2
24026,Volleyball,1964,70.0,10
24027,Volleyball,1964,71.0,5
24028,Volleyball,1964,72.0,8
24029,Volleyball,1964,73.0,6
24030,Volleyball,1964,74.0,9
24031,Volleyball,1964,75.0,7
24032,Volleyball,1964,76.0,8
24033,Volleyball,1964,77.0,3
24034,Volleyball,1964,78.0,8
24035,Volleyball,1964,79.0,3
24036,Volleyball,1964,80.0,4
24037,Volleyball,1964,81.0,3
24038,Volleyball,1964,82.0,8
24039,Volleyball,1964,83.0,4
24040,Volleyball,1964,84.0,8
24041,Volleyball,1964,85.0,5
24042,Volleyball,1964,86.0,5
24043,Volleyball,1964,87.0,2
24044,Volleyball,1964,88.0,2
24045,Volleyball,1964,89.0,3
24046,Volleyball,1964,90.0,4
24047,Volleyball,1964,91.0,2
24048,Volleyball,1964,92.0,1
24049,Volleyball,1964,99.0,1
24050,Volleyball,1964,100.0,1
24051,Volleyball,1968,50.0,1
24052,Volleyball,1968,54.0,1
24053,Volleyball,1968,55.0,1
24054,Volleyball,1968,57.0,2
24055,Volleyball,1968,59.0,4
24056,Volleyball,1968,60.0,9
24057,Volleyball,1968,62.0,12
24058,Volleyball,1968,63.0,4
24059,Volleyball,1968,64.0,4
24060,Volleyball,1968,65.0,5
24061,Volleyball,1968,66.0,5
24062,Volleyball,1968,67.0,1
24063,Volleyball,1968,68.0,12
24064,Volleyball,1968,69.0,2
24065,Volleyball,1968,70.0,12
24066,Volleyball,1968,71.0,5
24067,Volleyball,1968,72.0,12
24068,Volleyball,1968,73.0,5
24069,Volleyball,1968,74.0,7
24070,Volleyball,1968,75.0,10
24071,Volleyball,1968,76.0,5
24072,Volleyball,1968,77.0,1
24073,Volleyball,1968,78.0,6
24074,Volleyball,1968,79.0,2
24075,Volleyball,1968,80.0,4
24076,Volleyball,1968,81.0,3
24077,Volleyball,1968,82.0,9
24078,Volleyball,1968,83.0,11
24079,Volleyball,1968,84.0,9
24080,Volleyball,1968,85.0,10
24081,Volleyball,1968,86.0,3
24082,Volleyball,1968,87.0,2
24083,Volleyball,1968,88.0,3
24084,Volleyball,1968,89.0,3
24085,Volleyball,1968,90.0,2
24086,Volleyball,1968,91.0,2
24087,Volleyball,1968,92.0,3
24088,Volleyball,1968,93.0,3
24089,Volleyball,1968,94.0,1
24090,Volleyball,1968,95.0,1
24091,Volleyball,1968,96.0,3
24092,Volleyball,1968,100.0,2
24093,Volleyball,1968,102.0,1
24094,Volleyball,1968,103.0,1
24095,Volleyball,1968,110.0,1
24096,Volleyball,1972,54.0,1
24097,Volleyball,1972,55.0,2
24098,Volleyball,1972,57.0,1
24099,Volleyball,1972,58.0,3
24100,Volleyball,1972,60.0,6
24101,Volleyball,1972,61.0,4
24102,Volleyball,1972,62.0,5
24103,Volleyball,1972,63.0,4
24104,Volleyball,1972,64.0,5
24105,Volleyball,1972,65.0,4
24106,Volleyball,1972,66.0,8
24107,Volleyball,1972,67.0,4
24108,Volleyball,1972,68.0,5
24109,Volleyball,1972,69.0,2
24110,Volleyball,1972,70.0,9
24111,Volleyball,1972,71.0,5
24112,Volleyball,1972,72.0,10
24113,Volleyball,1972,73.0,3
24114,Volleyball,1972,74.0,7
24115,Volleyball,1972,75.0,11
24116,Volleyball,1972,76.0,10
24117,Volleyball,1972,77.0,3
24118,Volleyball,1972,78.0,13
24119,Volleyball,1972,79.0,3
24120,Volleyball,1972,80.0,9
24121,Volleyball,1972,81.0,3
24122,Volleyball,1972,82.0,11
24123,Volleyball,1972,83.0,11
24124,Volleyball,1972,84.0,12
24125,Volleyball,1972,85.0,7
24126,Volleyball,1972,86.0,11
24127,Volleyball,1972,87.0,4
24128,Volleyball,1972,88.0,5
24129,Volleyball,1972,89.0,4
24130,Volleyball,1972,90.0,7
24131,Volleyball,1972,91.0,1
24132,Volleyball,1972,92.0,8
24133,Volleyball,1972,93.0,1
24134,Volleyball,1972,94.0,1
24135,Volleyball,1972,95.0,2
24136,Volleyball,1972,96.0,2
24137,Volleyball,1972,102.0,1
24138,Volleyball,1976,54.0,1
24139,Volleyball,1976,58.0,2
24140,Volleyball,1976,59.0,4
24141,Volleyball,1976,60.0,6
24142,Volleyball,1976,61.0,6
24143,Volleyball,1976,62.0,7
