lindex,Sport,Year,Weight,count
24668,Water Polo,1900,95.0,1
24669,Water Polo,1904,66.0,1
24670,Water Polo,1908,73.0,1
24671,Water Polo,1908,76.0,2
24672,Water Polo,1908,80.0,1
24673,Water Polo,1908,98.0,1
24674,Water Polo,1908,105.0,1
24675,Water Polo,1912,76.0,1
24676,Water Polo,1912,80.0,1
24677,Water Polo,1912,98.0,1
24678,Water Polo,1912,105.0,1
24679,Water Polo,1920,76.0,1
24680,Water Polo,1920,105.0,1
24681,Water Polo,1924,76.0,1
24682,Water Polo,1924,105.0,1
24683,Water Polo,1928,76.0,1
24684,Water Polo,1928,114.0,1
24685,Water Polo,1948,77.0,1
24686,Water Polo,1948,80.0,1
24687,Water Polo,1948,83.0,1
24688,Water Polo,1948,100.0,1
24689,Water Polo,1952,71.0,2
24690,Water Polo,1952,74.0,1
24691,Water Polo,1952,77.0,1
24692,Water Polo,1952,78.0,1
24693,Water Polo,1952,79.0,3
24694,Water Polo,1952,81.0,2
24695,Water Polo,1952,83.0,2
24696,Water Polo,1952,84.0,1
24697,Water Polo,1952,87.0,1
24698,Water Polo,1952,88.0,1
24699,Water Polo,1952,91.0,1
24700,Water Polo,1952,93.0,1
24701,Water Polo,1952,100.0,2
24702,Water Polo,1952,102.0,1
24703,Water Polo,1956,70.0,1
24704,Water Polo,1956,71.0,3
24705,Water Polo,1956,77.0,1
24706,Water Polo,1956,78.0,3
24707,Water Polo,1956,79.0,5
24708,Water Polo,1956,80.0,2
24709,Water Polo,1956,81.0,1
24710,Water Polo,1956,82.0,4
24711,Water Polo,1956,83.0,3
24712,Water Polo,1956,84.0,3
24713,Water Polo,1956,86.0,2
24714,Water Polo,1956,87.0,1
24715,Water Polo,1956,88.0,1
24716,Water Polo,1956,91.0,2
24717,Water Polo,1956,92.0,1
24718,Water Polo,1956,93.0,1
24719,Water Polo,1956,94.0,1
24720,Water Polo,1956,95.0,1
24721,Water Polo,1956,96.0,1
24722,Water Polo,1956,100.0,1
24723,Water Polo,1956,102.0,1
24724,Water Polo,1960,65.0,2
24725,Water Polo,1960,68.0,1
24726,Water Polo,1960,69.0,4
24727,Water Polo,1960,70.0,1
24728,Water Polo,1960,71.0,4
24729,Water Polo,1960,72.0,3
24730,Water Polo,1960,73.0,1
24731,Water Polo,1960,74.0,8
24732,Water Polo,1960,75.0,6
24733,Water Polo,1960,76.0,5
24734,Water Polo,1960,77.0,4
24735,Water Polo,1960,78.0,9
24736,Water Polo,1960,79.0,3
24737,Water Polo,1960,80.0,4
24738,Water Polo,1960,81.0,6
24739,Water Polo,1960,82.0,6
24740,Water Polo,1960,83.0,7
24741,Water Polo,1960,84.0,12
24742,Water Polo,1960,85.0,4
24743,Water Polo,1960,86.0,6
24744,Water Polo,1960,87.0,2
24745,Water Polo,1960,88.0,7
24746,Water Polo,1960,89.0,3
24747,Water Polo,1960,90.0,3
24748,Water Polo,1960,91.0,1
24749,Water Polo,1960,93.0,3
24750,Water Polo,1960,94.0,1
24751,Water Polo,1960,95.0,3
24752,Water Polo,1960,96.0,2
24753,Water Polo,1960,97.0,1
24754,Water Polo,1960,98.0,1
24755,Water Polo,1960,100.0,4
24756,Water Polo,1960,101.0,2
24757,Water Polo,1960,104.0,1
24758,Water Polo,1960,107.0,1
24759,Water Polo,1964,64.0,1
24760,Water Polo,1964,68.0,1
24761,Water Polo,1964,69.0,4
24762,Water Polo,1964,70.0,1
24763,Water Polo,1964,71.0,3
24764,Water Polo,1964,72.0,7
24765,Water Polo,1964,73.0,3
24766,Water Polo,1964,74.0,5
24767,Water Polo,1964,75.0,8
24768,Water Polo,1964,76.0,7
24769,Water Polo,1964,77.0,4
24770,Water Polo,1964,78.0,6
24771,Water Polo,1964,79.0,5
24772,Water Polo,1964,80.0,5
24773,Water Polo,1964,81.0,6
24774,Water Polo,1964,82.0,6
24775,Water Polo,1964,83.0,2
24776,Water Polo,1964,84.0,9
24777,Water Polo,1964,85.0,3
24778,Water Polo,1964,86.0,4
24779,Water Polo,1964,88.0,5
24780,Water Polo,1964,89.0,4
24781,Water Polo,1964,90.0,5
24782,Water Polo,1964,91.0,1
24783,Water Polo,1964,92.0,4
24784,Water Polo,1964,93.0,3
24785,Water Polo,1964,94.0,1
24786,Water Polo,1964,95.0,3
24787,Water Polo,1964,100.0,1
24788,Water Polo,1964,103.0,1
24789,Water Polo,1964,110.0,1
24790,Water Polo,1968,63.0,1
24791,Water Polo,1968,64.0,1
24792,Water Polo,1968,65.0,1
24793,Water Polo,1968,66.0,1
24794,Water Polo,1968,67.0,2
24795,Water Polo,1968,68.0,4
24796,Water Polo,1968,69.0,3
24797,Water Polo,1968,70.0,2
24798,Water Polo,1968,71.0,1
24799,Water Polo,1968,72.0,2
