NOC,Sport,Unnamed: 0,count
AUS,Archery,1215,7
AUT,Archery,1216,1
AZE,Archery,1217,1
BAN,Archery,1218,1
BEL,Archery,1219,1
BHU,Archery,1220,1
BLR,Archery,1221,1
BRA,Archery,1222,12
CAN,Archery,1223,2
CHI,Archery,1224,1
CHN,Archery,1225,12
CIV,Archery,1226,1
COL,Archery,1227,7
CUB,Archery,1228,1
DOM,Archery,1229,1
EGY,Archery,1230,2
ESP,Archery,1231,7
EST,Archery,1232,1
FIJ,Archery,1233,1
FIN,Archery,1234,2
FRA,Archery,1235,6
GBR,Archery,1236,2
GEO,Archery,1237,6
GER,Archery,1238,2
GRE,Archery,1239,1
INA,Archery,1240,7
IND,Archery,1241,7
IRI,Archery,1242,1
ITA,Archery,1243,12
JPN,Archery,1244,7
KAZ,Archery,1245,2
KEN,Archery,1246,1
KOR,Archery,1247,12
LBA,Archery,1248,1
MAS,Archery,1249,6
MAW,Archery,1250,1
MDA,Archery,1251,1
MEX,Archery,1252,7
MGL,Archery,1253,1
MYA,Archery,1254,1
NED,Archery,1255,6
NEP,Archery,1256,1
NOR,Archery,1257,1
POL,Archery,1258,1
PRK,Archery,1259,1
RUS,Archery,1260,6
SVK,Archery,1261,2
SWE,Archery,1262,1
TGA,Archery,1263,2
THA,Archery,1264,1
TPE,Archery,1265,12
TUR,Archery,1266,2
UKR,Archery,1267,7
USA,Archery,1268,7
VEN,Archery,1269,2
ZIM,Archery,1270,1
AFG,Athletics,3778,2
ALB,Athletics,3779,2
ALG,Athletics,3780,16
AND,Athletics,3781,1
ANG,Athletics,3782,2
ANT,Athletics,3783,7
ARG,Athletics,3784,13
ARM,Athletics,3785,5
ASA,Athletics,3786,2
AUS,Athletics,3787,65
AUT,Athletics,3788,6
AZE,Athletics,3789,4
BAH,Athletics,3790,31
BAN,Athletics,3791,2
BAR,Athletics,3792,8
BDI,Athletics,3793,7
BEL,Athletics,3794,27
BEN,Athletics,3795,2
BER,Athletics,3796,2
BIH,Athletics,3797,5
BIZ,Athletics,3798,2
BLR,Athletics,3799,36
BOL,Athletics,3800,6
BOT,Athletics,3801,11
BRA,Athletics,3802,72
BRN,Athletics,3803,29
BRU,Athletics,3804,2
BUL,Athletics,3805,12
BUR,Athletics,3806,2
CAF,Athletics,3807,2
CAM,Athletics,3808,2
CAN,Athletics,3809,78
CAY,Athletics,3810,2
CGO,Athletics,3811,2
CHA,Athletics,3812,2
CHI,Athletics,3813,10
CHN,Athletics,3814,57
CIV,Athletics,3815,7
CMR,Athletics,3816,2
COD,Athletics,3817,2
COK,Athletics,3818,2
COL,Athletics,3819,34
COM,Athletics,3820,2
CPV,Athletics,3821,2
CRC,Athletics,3822,4
CRO,Athletics,3823,10
CUB,Athletics,3824,41
CYP,Athletics,3825,8
CZE,Athletics,3826,26
DEN,Athletics,3827,8
DJI,Athletics,3828,6
DMA,Athletics,3829,2
DOM,Athletics,3830,14
ECU,Athletics,3831,18
EGY,Athletics,3832,4
ERI,Athletics,3833,11
ESA,Athletics,3834,2
ESP,Athletics,3835,49
EST,Athletics,3836,18
ETH,Athletics,3837,35
FIJ,Athletics,3838,2
FIN,Athletics,3839,16
FRA,Athletics,3840,51
FSM,Athletics,3841,2
GAB,Athletics,3842,2
GAM,Athletics,3843,2
GBR,Athletics,3844,86
GBS,Athletics,3845,2
GEO,Athletics,3846,5
GEQ,Athletics,3847,1
GER,Athletics,3848,93
GHA,Athletics,3849,10
GRE,Athletics,3850,25
GRN,Athletics,3851,4
GUA,Athletics,3852,9
GUI,Athletics,3853,2
GUM,Athletics,3854,2
GUY,Athletics,3855,5
HAI,Athletics,3856,3
HKG,Athletics,3857,2
HON,Athletics,3858,1
HUN,Athletics,3859,19
INA,Athletics,3860,2
IND,Athletics,3861,32
IRI,Athletics,3862,10
IRL,Athletics,3863,18
ISL,Athletics,3864,3
ISR,Athletics,3865,8
ISV,Athletics,3866,3
ITA,Athletics,3867,40
IVB,Athletics,3868,3
JAM,Athletics,3869,70
JOR,Athletics,3870,1
JPN,Athletics,3871,58
KAZ,Athletics,3872,28
KEN,Athletics,3873,48
KGZ,Athletics,3874,5
KIR,Athletics,3875,2
KOR,Athletics,3876,17
KOS,Athletics,3877,2
KSA,Athletics,3878,6
LAO,Athletics,3879,1
LAT,Athletics,3880,13
LBA,Athletics,3881,1
LBR,Athletics,3882,3
LCA,Athletics,3883,3
LES,Athletics,3884,6
LIB,Athletics,3885,2
LTU,Athletics,3886,16
LUX,Athletics,3887,2
MAD,Athletics,3888,2
MAR,Athletics,3889,22
MAS,Athletics,3890,2
MAW,Athletics,3891,2
MDA,Athletics,3892,9
MDV,Athletics,3893,2
MEX,Athletics,3894,20
MGL,Athletics,3895,5
MHL,Athletics,3896,2
MKD,Athletics,3897,2
MLI,Athletics,3898,2
MLT,Athletics,3899,2
MNE,Athletics,3900,2
MON,Athletics,3901,1
MOZ,Athletics,3902,1
MRI,Athletics,3903,3
MTN,Athletics,3904,2
MYA,Athletics,3905,2
NAM,Athletics,3906,4
NCA,Athletics,3907,1
NED,Athletics,3908,38
NEP,Athletics,3909,2
NGR,Athletics,3910,28
NIG,Athletics,3911,2
NOR,Athletics,3912,16
NZL,Athletics,3913,16
OMA,Athletics,3914,2
PAK,Athletics,3915,2
PAN,Athletics,3916,3
PAR,Athletics,3917,2
PER,Athletics,3918,14
PHI,Athletics,3919,3
PLE,Athletics,3920,2
PLW,Athletics,3921,1
PNG,Athletics,3922,2
POL,Athletics,3923,73
POR,Athletics,3924,25
PRK,Athletics,3925,4
PUR,Athletics,3926,12
QAT,Athletics,3927,8
ROT,Athletics,3928,6
ROU,Athletics,3929,23
RSA,Athletics,3930,40
RUS,Athletics,3931,1
RWA,Athletics,3932,3
SAM,Athletics,3933,2
SEN,Athletics,3934,2
SEY,Athletics,3935,2
SGP,Athletics,3936,2
SKN,Athletics,3937,9
SLE,Athletics,3938,2
SLO,Athletics,3939,10
SMR,Athletics,3940,1
SOL,Athletics,3941,2
SOM,Athletics,3942,2
SRB,Athletics,3943,13
SRI,Athletics,3944,3
SSD,Athletics,3945,3
STP,Athletics,3946,2
SUD,Athletics,3947,3
SUI,Athletics,3948,17
SUR,Athletics,3949,2
SVK,Athletics,3950,16
SWE,Athletics,3951,15
SWZ,Athletics,3952,2
SYR,Athletics,3953,2
TAN,Athletics,3954,4
TGA,Athletics,3955,2
THA,Athletics,3956,4
TJK,Athletics,3957,2
TKM,Athletics,3958,2
TLS,Athletics,3959,2
TOG,Athletics,3960,2
TPE,Athletics,3961,6
TTO,Athletics,3962,32
TUN,Athletics,3963,7
TUR,Athletics,3964,34
TUV,Athletics,3965,1
UAE,Athletics,3966,2
UGA,Athletics,3967,19
UKR,Athletics,3968,72
URU,Athletics,3969,6
USA,Athletics,3970,146
UZB,Athletics,3971,18
VEN,Athletics,3972,14
VIE,Athletics,3973,3
VIN,Athletics,3974,2
YEM,Athletics,3975,1
ZAM,Athletics,3976,3
ZIM,Athletics,3977,6
AUS,Badminton,4212,5
AUT,Badminton,4213,2
BEL,Badminton,4214,2
BRA,Badminton,4215,2
BRU,Badminton,4216,1
BUL,Badminton,4217,3
CAN,Badminton,4218,2
CHN,Badminton,4219,16
CUB,Badminton,4220,1
CZE,Badminton,4221,2
DEN,Badminton,4222,9
ESP,Badminton,4223,2
EST,Badminton,4224,2
FIN,Badminton,4225,1
FRA,Badminton,4226,2
GBR,Badminton,4227,8
GER,Badminton,4228,8
GUA,Badminton,4229,1
HKG,Badminton,4230,7
HUN,Badminton,4231,1
INA,Badminton,4232,10
IND,Badminton,4233,7
IRL,Badminton,4234,2
ISR,Badminton,4235,1
ITA,Badminton,4236,1
JPN,Badminton,4237,9
KOR,Badminton,4238,14
MAS,Badminton,4239,8
MEX,Badminton,4240,1
MRI,Badminton,4241,1
NED,Badminton,4242,4
POL,Badminton,4243,5
POR,Badminton,4244,2
RSA,Badminton,4245,1
RUS,Badminton,4246,4
SGP,Badminton,4247,2
SRI,Badminton,4248,1
SUI,Badminton,4249,1
SUR,Badminton,4250,1
SWE,Badminton,4251,1
THA,Badminton,4252,7
TPE,Badminton,4253,4
TUR,Badminton,4254,1
UKR,Badminton,4255,2
USA,Badminton,4256,8
VIE,Badminton,4257,2
