lindex,Sport,Year,Age,count
800,Art Competitions,1912,27.0,1
801,Art Competitions,1912,30.0,1
802,Art Competitions,1912,31.0,1
803,Art Competitions,1912,32.0,1
804,Art Competitions,1912,35.0,1
805,Art Competitions,1912,36.0,1
806,Art Competitions,1912,38.0,1
807,Art Competitions,1912,39.0,1
808,Art Competitions,1912,40.0,1
809,Art Competitions,1912,44.0,2
810,Art Competitions,1912,45.0,3
811,Art Competitions,1912,46.0,3
812,Art Competitions,1912,49.0,3
813,Art Competitions,1912,53.0,1
814,Art Competitions,1912,60.0,1
815,Art Competitions,1912,62.0,1
816,Art Competitions,1912,64.0,1
817,Art Competitions,1912,67.0,1
818,Art Competitions,1920,26.0,2
819,Art Competitions,1920,28.0,1
820,Art Competitions,1920,34.0,2
821,Art Competitions,1920,36.0,1
822,Art Competitions,1920,41.0,1
823,Art Competitions,1920,43.0,1
824,Art Competitions,1920,50.0,1
825,Art Competitions,1920,53.0,1
826,Art Competitions,1920,59.0,1
827,Art Competitions,1924,18.0,1
828,Art Competitions,1924,20.0,2
829,Art Competitions,1924,22.0,2
830,Art Competitions,1924,24.0,3
831,Art Competitions,1924,25.0,3
832,Art Competitions,1924,26.0,5
833,Art Competitions,1924,27.0,1
834,Art Competitions,1924,28.0,8
835,Art Competitions,1924,29.0,15
836,Art Competitions,1924,30.0,3
837,Art Competitions,1924,31.0,2
838,Art Competitions,1924,32.0,8
839,Art Competitions,1924,33.0,3
840,Art Competitions,1924,35.0,2
841,Art Competitions,1924,36.0,3
842,Art Competitions,1924,37.0,15
843,Art Competitions,1924,38.0,9
844,Art Competitions,1924,39.0,4
845,Art Competitions,1924,40.0,2
846,Art Competitions,1924,41.0,8
847,Art Competitions,1924,42.0,6
848,Art Competitions,1924,43.0,12
849,Art Competitions,1924,44.0,11
850,Art Competitions,1924,45.0,5
851,Art Competitions,1924,46.0,7
852,Art Competitions,1924,47.0,17
853,Art Competitions,1924,48.0,7
854,Art Competitions,1924,50.0,10
855,Art Competitions,1924,51.0,4
856,Art Competitions,1924,52.0,2
857,Art Competitions,1924,53.0,6
858,Art Competitions,1924,54.0,1
859,Art Competitions,1924,55.0,2
860,Art Competitions,1924,56.0,1
861,Art Competitions,1924,58.0,2
862,Art Competitions,1924,59.0,7
863,Art Competitions,1924,60.0,1
864,Art Competitions,1924,61.0,1
865,Art Competitions,1924,63.0,4
866,Art Competitions,1924,65.0,1
867,Art Competitions,1924,66.0,1
868,Art Competitions,1924,67.0,1
869,Art Competitions,1924,68.0,1
870,Art Competitions,1924,69.0,2
871,Art Competitions,1924,71.0,7
872,Art Competitions,1924,74.0,4
873,Art Competitions,1924,75.0,3
874,Art Competitions,1924,81.0,1
875,Art Competitions,1928,19.0,1
876,Art Competitions,1928,20.0,2
877,Art Competitions,1928,22.0,4
878,Art Competitions,1928,23.0,2
879,Art Competitions,1928,24.0,3
880,Art Competitions,1928,25.0,5
881,Art Competitions,1928,26.0,7
882,Art Competitions,1928,27.0,12
883,Art Competitions,1928,28.0,5
884,Art Competitions,1928,29.0,28
885,Art Competitions,1928,30.0,5
886,Art Competitions,1928,31.0,9
887,Art Competitions,1928,32.0,11
888,Art Competitions,1928,33.0,5
889,Art Competitions,1928,34.0,6
890,Art Competitions,1928,35.0,9
891,Art Competitions,1928,36.0,6
892,Art Competitions,1928,37.0,49
893,Art Competitions,1928,38.0,13
894,Art Competitions,1928,39.0,16
895,Art Competitions,1928,40.0,10
896,Art Competitions,1928,41.0,28
897,Art Competitions,1928,42.0,25
898,Art Competitions,1928,43.0,19
899,Art Competitions,1928,44.0,19
900,Art Competitions,1928,45.0,33
901,Art Competitions,1928,46.0,13
902,Art Competitions,1928,47.0,13
903,Art Competitions,1928,48.0,24
904,Art Competitions,1928,49.0,48
905,Art Competitions,1928,50.0,35
906,Art Competitions,1928,51.0,15
907,Art Competitions,1928,52.0,28
908,Art Competitions,1928,53.0,9
909,Art Competitions,1928,54.0,12
910,Art Competitions,1928,55.0,11
911,Art Competitions,1928,56.0,19
912,Art Competitions,1928,57.0,4
913,Art Competitions,1928,58.0,13
914,Art Competitions,1928,59.0,19
915,Art Competitions,1928,60.0,23
916,Art Competitions,1928,61.0,21
917,Art Competitions,1928,62.0,12
918,Art Competitions,1928,63.0,14
919,Art Competitions,1928,64.0,12
920,Art Competitions,1928,65.0,1
921,Art Competitions,1928,66.0,7
922,Art Competitions,1928,67.0,2
923,Art Competitions,1928,68.0,1
924,Art Competitions,1928,71.0,3
925,Art Competitions,1928,72.0,3
926,Art Competitions,1928,80.0,3
927,Art Competitions,1928,97.0,1
928,Art Competitions,1932,14.0,4
929,Art Competitions,1932,17.0,1
930,Art Competitions,1932,20.0,2
931,Art Competitions,1932,21.0,2
932,Art Competitions,1932,22.0,9
933,Art Competitions,1932,23.0,1
934,Art Competitions,1932,24.0,28
935,Art Competitions,1932,25.0,7
936,Art Competitions,1932,26.0,17
937,Art Competitions,1932,27.0,12
938,Art Competitions,1932,28.0,9
939,Art Competitions,1932,29.0,13
940,Art Competitions,1932,30.0,18
941,Art Competitions,1932,31.0,12
942,Art Competitions,1932,32.0,15
943,Art Competitions,1932,33.0,27
944,Art Competitions,1932,34.0,14
945,Art Competitions,1932,35.0,25
946,Art Competitions,1932,36.0,6
947,Art Competitions,1932,37.0,23
948,Art Competitions,1932,38.0,30
949,Art Competitions,1932,39.0,45
950,Art Competitions,1932,40.0,29
951,Art Competitions,1932,41.0,22
952,Art Competitions,1932,42.0,38
953,Art Competitions,1932,43.0,16
954,Art Competitions,1932,44.0,19
955,Art Competitions,1932,45.0,32
956,Art Competitions,1932,46.0,13
957,Art Competitions,1932,47.0,29
958,Art Competitions,1932,48.0,47
959,Art Competitions,1932,49.0,37
960,Art Competitions,1932,50.0,15
961,Art Competitions,1932,51.0,7
962,Art Competitions,1932,52.0,25
963,Art Competitions,1932,53.0,63
964,Art Competitions,1932,54.0,26
965,Art Competitions,1932,55.0,18
966,Art Competitions,1932,56.0,21
967,Art Competitions,1932,57.0,3
968,Art Competitions,1932,58.0,23
969,Art Competitions,1932,59.0,18
970,Art Competitions,1932,60.0,12
971,Art Competitions,1932,61.0,13
972,Art Competitions,1932,62.0,14
973,Art Competitions,1932,63.0,8
974,Art Competitions,1932,64.0,6
975,Art Competitions,1932,65.0,58
976,Art Competitions,1932,66.0,9
977,Art Competitions,1932,67.0,9
978,Art Competitions,1932,68.0,11
979,Art Competitions,1932,69.0,14
980,Art Competitions,1932,70.0,14
981,Art Competitions,1932,71.0,10
982,Art Competitions,1932,72.0,2
983,Art Competitions,1932,73.0,4
984,Art Competitions,1932,75.0,1
985,Art Competitions,1932,76.0,3
986,Art Competitions,1932,77.0,2
987,Art Competitions,1932,88.0,3
988,Art Competitions,1932,96.0,1
989,Art Competitions,1936,17.0,1
990,Art Competitions,1936,20.0,1
991,Art Competitions,1936,22.0,1
992,Art Competitions,1936,23.0,18
993,Art Competitions,1936,24.0,4
994,Art Competitions,1936,25.0,10
995,Art Competitions,1936,26.0,8
996,Art Competitions,1936,27.0,18
997,Art Competitions,1936,28.0,13
998,Art Competitions,1936,29.0,16
999,Art Competitions,1936,30.0,11
1000,Art Competitions,1936,31.0,18
1001,Art Competitions,1936,32.0,27
1002,Art Competitions,1936,33.0,28
1003,Art Competitions,1936,34.0,22
1004,Art Competitions,1936,35.0,26
1005,Art Competitions,1936,36.0,12
1006,Art Competitions,1936,37.0,18
1007,Art Competitions,1936,38.0,13
1008,Art Competitions,1936,39.0,17
1009,Art Competitions,1936,40.0,12
1010,Art Competitions,1936,41.0,20
1011,Art Competitions,1936,42.0,32
1012,Art Competitions,1936,43.0,35
1013,Art Competitions,1936,44.0,24
1014,Art Competitions,1936,45.0,38
1015,Art Competitions,1936,46.0,17
1016,Art Competitions,1936,47.0,16
1017,Art Competitions,1936,48.0,14
1018,Art Competitions,1936,49.0,18
1019,Art Competitions,1936,50.0,23
1020,Art Competitions,1936,51.0,21
1021,Art Competitions,1936,52.0,14
1022,Art Competitions,1936,53.0,8
1023,Art Competitions,1936,54.0,7
1024,Art Competitions,1936,55.0,18
1025,Art Competitions,1936,56.0,4
1026,Art Competitions,1936,57.0,11
1027,Art Competitions,1936,58.0,11
1028,Art Competitions,1936,59.0,7
1029,Art Competitions,1936,60.0,8
1030,Art Competitions,1936,61.0,3
1031,Art Competitions,1936,62.0,8
1032,Art Competitions,1936,63.0,6
1033,Art Competitions,1936,64.0,3
1034,Art Competitions,1936,65.0,3
1035,Art Competitions,1936,66.0,3
1036,Art Competitions,1936,67.0,8
1037,Art Competitions,1936,68.0,7
1038,Art Competitions,1936,69.0,5
1039,Art Competitions,1936,72.0,7
1040,Art Competitions,1936,73.0,2
1041,Art Competitions,1936,74.0,7
1042,Art Competitions,1948,22.0,3
1043,Art Competitions,1948,23.0,1
1044,Art Competitions,1948,24.0,3
1045,Art Competitions,1948,26.0,1
1046,Art Competitions,1948,27.0,3
1047,Art Competitions,1948,28.0,7
1048,Art Competitions,1948,29.0,4
1049,Art Competitions,1948,30.0,3
1050,Art Competitions,1948,31.0,6
1051,Art Competitions,1948,32.0,5
1052,Art Competitions,1948,33.0,7
1053,Art Competitions,1948,34.0,12
1054,Art Competitions,1948,35.0,13
1055,Art Competitions,1948,36.0,16
1056,Art Competitions,1948,37.0,7
1057,Art Competitions,1948,38.0,6
1058,Art Competitions,1948,39.0,12
1059,Art Competitions,1948,40.0,17
1060,Art Competitions,1948,41.0,13
1061,Art Competitions,1948,42.0,13
1062,Art Competitions,1948,43.0,8
1063,Art Competitions,1948,44.0,10
1064,Art Competitions,1948,45.0,16
1065,Art Competitions,1948,46.0,20
1066,Art Competitions,1948,47.0,14
1067,Art Competitions,1948,48.0,8
1068,Art Competitions,1948,49.0,7
1069,Art Competitions,1948,50.0,1
1070,Art Competitions,1948,51.0,8
1071,Art Competitions,1948,52.0,8
1072,Art Competitions,1948,53.0,5
1073,Art Competitions,1948,54.0,8
1074,Art Competitions,1948,55.0,4
1075,Art Competitions,1948,56.0,8
1076,Art Competitions,1948,57.0,5
1077,Art Competitions,1948,58.0,1
1078,Art Competitions,1948,59.0,1
1079,Art Competitions,1948,61.0,4
1080,Art Competitions,1948,62.0,13
1081,Art Competitions,1948,63.0,5
1082,Art Competitions,1948,64.0,1
1083,Art Competitions,1948,65.0,13
1084,Art Competitions,1948,66.0,4
1085,Art Competitions,1948,67.0,1
1086,Art Competitions,1948,68.0,2
1087,Art Competitions,1948,69.0,36
1088,Art Competitions,1948,70.0,11
1089,Art Competitions,1948,71.0,4
1090,Art Competitions,1948,72.0,7
1091,Art Competitions,1948,73.0,2
1092,Art Competitions,1948,74.0,1
1093,Art Competitions,1948,76.0,4
1094,Art Competitions,1948,81.0,1
1095,Art Competitions,1948,84.0,1
