lindex,Sport,Year,Age,count
1096,Athletics,1896,17.0,1
1097,Athletics,1896,18.0,2
1098,Athletics,1896,19.0,2
1099,Athletics,1896,20.0,9
1100,Athletics,1896,21.0,18
1101,Athletics,1896,22.0,7
1102,Athletics,1896,23.0,7
1103,Athletics,1896,24.0,13
1104,Athletics,1896,25.0,2
1105,Athletics,1896,26.0,3
1106,Athletics,1896,27.0,3
1107,Athletics,1896,29.0,1
1108,Athletics,1896,34.0,1
1109,Athletics,1900,17.0,7
1110,Athletics,1900,18.0,9
1111,Athletics,1900,19.0,10
1112,Athletics,1900,20.0,27
1113,Athletics,1900,21.0,31
1114,Athletics,1900,22.0,22
1115,Athletics,1900,23.0,30
1116,Athletics,1900,24.0,28
1117,Athletics,1900,25.0,12
1118,Athletics,1900,26.0,15
1119,Athletics,1900,27.0,10
1120,Athletics,1900,29.0,3
1121,Athletics,1900,31.0,2
1122,Athletics,1900,32.0,2
1123,Athletics,1900,33.0,2
1124,Athletics,1900,34.0,2
1125,Athletics,1900,36.0,1
1126,Athletics,1900,42.0,1
1127,Athletics,1904,18.0,1
1128,Athletics,1904,19.0,13
1129,Athletics,1904,20.0,26
1130,Athletics,1904,21.0,19
1131,Athletics,1904,22.0,26
1132,Athletics,1904,23.0,19
1133,Athletics,1904,24.0,13
1134,Athletics,1904,25.0,19
1135,Athletics,1904,26.0,11
1136,Athletics,1904,27.0,6
1137,Athletics,1904,28.0,6
1138,Athletics,1904,29.0,4
1139,Athletics,1904,30.0,4
1140,Athletics,1904,31.0,2
1141,Athletics,1904,33.0,1
1142,Athletics,1904,34.0,1
1143,Athletics,1904,36.0,3
1144,Athletics,1904,38.0,1
1145,Athletics,1904,40.0,3
1146,Athletics,1906,13.0,2
1147,Athletics,1906,17.0,3
1148,Athletics,1906,18.0,2
1149,Athletics,1906,19.0,12
1150,Athletics,1906,20.0,24
1151,Athletics,1906,21.0,24
1152,Athletics,1906,22.0,37
1153,Athletics,1906,23.0,42
1154,Athletics,1906,24.0,43
1155,Athletics,1906,25.0,24
1156,Athletics,1906,26.0,26
1157,Athletics,1906,27.0,22
1158,Athletics,1906,28.0,20
1159,Athletics,1906,29.0,7
1160,Athletics,1906,30.0,5
1161,Athletics,1906,32.0,5
1162,Athletics,1906,33.0,7
1163,Athletics,1906,34.0,1
1164,Athletics,1906,36.0,5
1165,Athletics,1906,37.0,2
1166,Athletics,1908,16.0,5
1167,Athletics,1908,17.0,3
1168,Athletics,1908,18.0,22
1169,Athletics,1908,19.0,34
1170,Athletics,1908,20.0,69
