lindex,Sport,Year,Age,count
2592,Biathlon,1960,22.0,3
2593,Biathlon,1960,23.0,2
2594,Biathlon,1960,24.0,1
2595,Biathlon,1960,25.0,5
2596,Biathlon,1960,26.0,6
2597,Biathlon,1960,28.0,2
2598,Biathlon,1960,29.0,1
2599,Biathlon,1960,30.0,2
2600,Biathlon,1960,32.0,1
2601,Biathlon,1960,34.0,3
2602,Biathlon,1960,35.0,1
2603,Biathlon,1960,37.0,1
2604,Biathlon,1960,38.0,2
2605,Biathlon,1964,18.0,1
2606,Biathlon,1964,21.0,1
2607,Biathlon,1964,22.0,2
2608,Biathlon,1964,23.0,6
2609,Biathlon,1964,24.0,5
2610,Biathlon,1964,25.0,4
2611,Biathlon,1964,26.0,7
2612,Biathlon,1964,27.0,3
2613,Biathlon,1964,28.0,5
2614,Biathlon,1964,29.0,7
2615,Biathlon,1964,30.0,4
2616,Biathlon,1964,32.0,2
2617,Biathlon,1964,33.0,1
2618,Biathlon,1964,35.0,1
2619,Biathlon,1964,38.0,1
2620,Biathlon,1964,39.0,1
2621,Biathlon,1968,21.0,6
2622,Biathlon,1968,22.0,8
2623,Biathlon,1968,23.0,7
2624,Biathlon,1968,24.0,17
2625,Biathlon,1968,25.0,7
2626,Biathlon,1968,26.0,3
2627,Biathlon,1968,27.0,21
2628,Biathlon,1968,28.0,7
2629,Biathlon,1968,29.0,9
2630,Biathlon,1968,30.0,11
2631,Biathlon,1968,31.0,5
2632,Biathlon,1968,32.0,3
2633,Biathlon,1968,33.0,10
2634,Biathlon,1968,34.0,2
2635,Biathlon,1972,21.0,2
2636,Biathlon,1972,22.0,2
2637,Biathlon,1972,23.0,4
2638,Biathlon,1972,24.0,9
2639,Biathlon,1972,25.0,9
2640,Biathlon,1972,26.0,15
2641,Biathlon,1972,27.0,10
2642,Biathlon,1972,28.0,19
2643,Biathlon,1972,29.0,8
2644,Biathlon,1972,30.0,5
2645,Biathlon,1972,31.0,13
2646,Biathlon,1972,33.0,4
2647,Biathlon,1972,34.0,4
2648,Biathlon,1972,37.0,1
2649,Biathlon,1972,39.0,1
2650,Biathlon,1976,18.0,1
2651,Biathlon,1976,20.0,1
2652,Biathlon,1976,21.0,2
2653,Biathlon,1976,22.0,13
2654,Biathlon,1976,23.0,19
2655,Biathlon,1976,24.0,7
2656,Biathlon,1976,25.0,9
2657,Biathlon,1976,26.0,7
2658,Biathlon,1976,27.0,6
2659,Biathlon,1976,28.0,9
2660,Biathlon,1976,29.0,11
2661,Biathlon,1976,30.0,8
2662,Biathlon,1976,31.0,6
2663,Biathlon,1976,32.0,7
2664,Biathlon,1976,33.0,3
2665,Biathlon,1976,35.0,1
2666,Biathlon,1976,37.0,2
2667,Biathlon,1980,19.0,3
2668,Biathlon,1980,20.0,6
2669,Biathlon,1980,21.0,9
2670,Biathlon,1980,22.0,15
2671,Biathlon,1980,23.0,14
2672,Biathlon,1980,24.0,14
2673,Biathlon,1980,25.0,21
2674,Biathlon,1980,26.0,14
2675,Biathlon,1980,27.0,13
2676,Biathlon,1980,28.0,20
2677,Biathlon,1980,29.0,9
2678,Biathlon,1980,30.0,2
2679,Biathlon,1980,31.0,7
2680,Biathlon,1980,32.0,4
2681,Biathlon,1980,33.0,4
2682,Biathlon,1980,37.0,3
2683,Biathlon,1984,18.0,2
2684,Biathlon,1984,19.0,7
2685,Biathlon,1984,20.0,16
2686,Biathlon,1984,21.0,23
2687,Biathlon,1984,22.0,22
2688,Biathlon,1984,23.0,14
2689,Biathlon,1984,24.0,23
2690,Biathlon,1984,25.0,10
2691,Biathlon,1984,26.0,20
2692,Biathlon,1984,27.0,18
2693,Biathlon,1984,28.0,11
2694,Biathlon,1984,29.0,13
2695,Biathlon,1984,30.0,5
2696,Biathlon,1984,31.0,7
2697,Biathlon,1984,32.0,2
2698,Biathlon,1984,34.0,2
2699,Biathlon,1988,17.0,2
2700,Biathlon,1988,18.0,11
2701,Biathlon,1988,19.0,4
2702,Biathlon,1988,20.0,17
2703,Biathlon,1988,21.0,17
2704,Biathlon,1988,22.0,17
2705,Biathlon,1988,23.0,18
2706,Biathlon,1988,24.0,13
2707,Biathlon,1988,25.0,26
2708,Biathlon,1988,26.0,31
2709,Biathlon,1988,27.0,12
2710,Biathlon,1988,28.0,8
2711,Biathlon,1988,29.0,4
2712,Biathlon,1988,30.0,3
2713,Biathlon,1988,31.0,6
2714,Biathlon,1988,32.0,9
2715,Biathlon,1988,33.0,1
2716,Biathlon,1988,34.0,3
2717,Biathlon,1988,38.0,1
2718,Biathlon,1988,39.0,2
2719,Biathlon,1988,41.0,2
2720,Biathlon,1992,18.0,7
2721,Biathlon,1992,19.0,29
2722,Biathlon,1992,20.0,30
2723,Biathlon,1992,21.0,46
2724,Biathlon,1992,22.0,46
2725,Biathlon,1992,23.0,33
2726,Biathlon,1992,24.0,48
2727,Biathlon,1992,25.0,43
2728,Biathlon,1992,26.0,50
2729,Biathlon,1992,27.0,29
2730,Biathlon,1992,28.0,21
2731,Biathlon,1992,29.0,19
2732,Biathlon,1992,30.0,27
2733,Biathlon,1992,31.0,13
2734,Biathlon,1992,32.0,7
2735,Biathlon,1992,33.0,2
2736,Biathlon,1992,34.0,2
2737,Biathlon,1992,35.0,1
2738,Biathlon,1992,38.0,4
2739,Biathlon,1994,17.0,3
2740,Biathlon,1994,18.0,4
2741,Biathlon,1994,19.0,5
2742,Biathlon,1994,20.0,19
2743,Biathlon,1994,21.0,31
2744,Biathlon,1994,22.0,32
2745,Biathlon,1994,23.0,34
2746,Biathlon,1994,24.0,47
2747,Biathlon,1994,25.0,38
2748,Biathlon,1994,26.0,57
2749,Biathlon,1994,27.0,39
2750,Biathlon,1994,28.0,34
2751,Biathlon,1994,29.0,19
2752,Biathlon,1994,30.0,11
2753,Biathlon,1994,31.0,11
2754,Biathlon,1994,32.0,18
2755,Biathlon,1994,33.0,7
2756,Biathlon,1994,34.0,3
2757,Biathlon,1994,35.0,1
2758,Biathlon,1994,36.0,2
2759,Biathlon,1994,40.0,1
2760,Biathlon,1998,17.0,1
2761,Biathlon,1998,18.0,3
2762,Biathlon,1998,19.0,5
2763,Biathlon,1998,20.0,15
2764,Biathlon,1998,21.0,29
2765,Biathlon,1998,22.0,18
2766,Biathlon,1998,23.0,33
2767,Biathlon,1998,24.0,59
2768,Biathlon,1998,25.0,58
2769,Biathlon,1998,26.0,33
2770,Biathlon,1998,27.0,25
2771,Biathlon,1998,28.0,39
2772,Biathlon,1998,29.0,23
2773,Biathlon,1998,30.0,29
2774,Biathlon,1998,31.0,11
2775,Biathlon,1998,32.0,16
2776,Biathlon,1998,33.0,6
2777,Biathlon,1998,34.0,2
2778,Biathlon,1998,35.0,6
2779,Biathlon,1998,36.0,2
2780,Biathlon,2002,17.0,1
2781,Biathlon,2002,18.0,1
2782,Biathlon,2002,19.0,9
2783,Biathlon,2002,20.0,6
2784,Biathlon,2002,21.0,13
2785,Biathlon,2002,22.0,17
2786,Biathlon,2002,23.0,51
2787,Biathlon,2002,24.0,66
2788,Biathlon,2002,25.0,51
2789,Biathlon,2002,26.0,36
2790,Biathlon,2002,27.0,35
2791,Biathlon,2002,28.0,65
2792,Biathlon,2002,29.0,53
2793,Biathlon,2002,30.0,44
2794,Biathlon,2002,31.0,36
2795,Biathlon,2002,32.0,28
2796,Biathlon,2002,33.0,5
2797,Biathlon,2002,34.0,33
2798,Biathlon,2002,35.0,6
2799,Biathlon,2002,36.0,5
2800,Biathlon,2002,39.0,3
2801,Biathlon,2006,18.0,2
2802,Biathlon,2006,19.0,2
2803,Biathlon,2006,20.0,10
2804,Biathlon,2006,21.0,14
2805,Biathlon,2006,22.0,31
2806,Biathlon,2006,23.0,67
2807,Biathlon,2006,24.0,44
2808,Biathlon,2006,25.0,20
2809,Biathlon,2006,26.0,56
2810,Biathlon,2006,27.0,50
