lindex,Sport,Year,Age,count
2868,Bobsleigh,1924,18.0,1
2869,Bobsleigh,1924,19.0,1
2870,Bobsleigh,1924,20.0,1
2871,Bobsleigh,1924,21.0,1
2872,Bobsleigh,1924,22.0,2
2873,Bobsleigh,1924,23.0,1
2874,Bobsleigh,1924,24.0,2
2875,Bobsleigh,1924,25.0,2
2876,Bobsleigh,1924,26.0,2
2877,Bobsleigh,1924,27.0,1
2878,Bobsleigh,1924,30.0,3
2879,Bobsleigh,1924,31.0,1
2880,Bobsleigh,1924,33.0,2
2881,Bobsleigh,1924,34.0,1
2882,Bobsleigh,1924,36.0,1
2883,Bobsleigh,1924,43.0,1
2884,Bobsleigh,1924,47.0,1
2885,Bobsleigh,1928,15.0,1
2886,Bobsleigh,1928,16.0,1
2887,Bobsleigh,1928,21.0,1
2888,Bobsleigh,1928,22.0,2
2889,Bobsleigh,1928,23.0,10
2890,Bobsleigh,1928,24.0,2
2891,Bobsleigh,1928,25.0,4
2892,Bobsleigh,1928,26.0,5
2893,Bobsleigh,1928,27.0,6
2894,Bobsleigh,1928,28.0,2
2895,Bobsleigh,1928,29.0,5
2896,Bobsleigh,1928,30.0,8
2897,Bobsleigh,1928,31.0,6
2898,Bobsleigh,1928,33.0,5
2899,Bobsleigh,1928,34.0,2
2900,Bobsleigh,1928,35.0,2
2901,Bobsleigh,1928,36.0,4
2902,Bobsleigh,1928,37.0,1
2903,Bobsleigh,1928,38.0,2
2904,Bobsleigh,1928,39.0,3
2905,Bobsleigh,1928,42.0,2
2906,Bobsleigh,1928,44.0,1
2907,Bobsleigh,1928,45.0,1
2908,Bobsleigh,1928,54.0,1
2909,Bobsleigh,1932,19.0,2
2910,Bobsleigh,1932,20.0,2
2911,Bobsleigh,1932,21.0,1
2912,Bobsleigh,1932,23.0,2
2913,Bobsleigh,1932,25.0,4
2914,Bobsleigh,1932,26.0,2
2915,Bobsleigh,1932,27.0,1
2916,Bobsleigh,1932,28.0,1
2917,Bobsleigh,1932,29.0,5
2918,Bobsleigh,1932,30.0,4
2919,Bobsleigh,1932,32.0,3
2920,Bobsleigh,1932,33.0,3
2921,Bobsleigh,1932,34.0,1
2922,Bobsleigh,1932,35.0,2
2923,Bobsleigh,1932,36.0,1
2924,Bobsleigh,1932,38.0,1
2925,Bobsleigh,1932,39.0,4
2926,Bobsleigh,1932,40.0,1
2927,Bobsleigh,1932,41.0,1
2928,Bobsleigh,1932,42.0,2
2929,Bobsleigh,1932,45.0,1
2930,Bobsleigh,1932,48.0,1
2931,Bobsleigh,1932,49.0,2
2932,Bobsleigh,1936,19.0,1
2933,Bobsleigh,1936,20.0,2
2934,Bobsleigh,1936,21.0,2
2935,Bobsleigh,1936,22.0,1
2936,Bobsleigh,1936,23.0,7
2937,Bobsleigh,1936,24.0,7
2938,Bobsleigh,1936,25.0,5
2939,Bobsleigh,1936,26.0,4
2940,Bobsleigh,1936,27.0,9
2941,Bobsleigh,1936,28.0,8
2942,Bobsleigh,1936,29.0,4
2943,Bobsleigh,1936,30.0,6
2944,Bobsleigh,1936,31.0,9
2945,Bobsleigh,1936,32.0,7
2946,Bobsleigh,1936,33.0,3
2947,Bobsleigh,1936,34.0,6
2948,Bobsleigh,1936,35.0,9
2949,Bobsleigh,1936,36.0,9
2950,Bobsleigh,1936,37.0,5
2951,Bobsleigh,1936,38.0,5
2952,Bobsleigh,1936,39.0,1
2953,Bobsleigh,1936,41.0,1
2954,Bobsleigh,1936,45.0,1
2955,Bobsleigh,1948,19.0,2
2956,Bobsleigh,1948,20.0,1
2957,Bobsleigh,1948,21.0,1
2958,Bobsleigh,1948,23.0,1
2959,Bobsleigh,1948,24.0,4
2960,Bobsleigh,1948,25.0,4
2961,Bobsleigh,1948,26.0,12
2962,Bobsleigh,1948,27.0,3
2963,Bobsleigh,1948,28.0,5
2964,Bobsleigh,1948,29.0,7
2965,Bobsleigh,1948,30.0,7
2966,Bobsleigh,1948,31.0,2
2967,Bobsleigh,1948,32.0,4
2968,Bobsleigh,1948,33.0,2
2969,Bobsleigh,1948,34.0,4
2970,Bobsleigh,1948,35.0,6
2971,Bobsleigh,1948,36.0,1
2972,Bobsleigh,1948,37.0,3
2973,Bobsleigh,1948,38.0,5
2974,Bobsleigh,1948,39.0,5
2975,Bobsleigh,1948,41.0,2
2976,Bobsleigh,1948,43.0,3
2977,Bobsleigh,1948,44.0,1
2978,Bobsleigh,1948,46.0,3
2979,Bobsleigh,1948,49.0,3
2980,Bobsleigh,1952,20.0,1
2981,Bobsleigh,1952,21.0,2
2982,Bobsleigh,1952,22.0,3
2983,Bobsleigh,1952,23.0,3
2984,Bobsleigh,1952,24.0,5
2985,Bobsleigh,1952,27.0,2
2986,Bobsleigh,1952,28.0,4
2987,Bobsleigh,1952,29.0,4
2988,Bobsleigh,1952,30.0,8
2989,Bobsleigh,1952,31.0,5
2990,Bobsleigh,1952,32.0,8
2991,Bobsleigh,1952,33.0,5
2992,Bobsleigh,1952,34.0,4
2993,Bobsleigh,1952,35.0,6
2994,Bobsleigh,1952,36.0,5
2995,Bobsleigh,1952,37.0,5
2996,Bobsleigh,1952,38.0,4
2997,Bobsleigh,1952,39.0,3
2998,Bobsleigh,1952,40.0,2
2999,Bobsleigh,1952,41.0,1
3000,Bobsleigh,1952,42.0,5
3001,Bobsleigh,1952,43.0,4
3002,Bobsleigh,1952,44.0,2
3003,Bobsleigh,1952,46.0,3
3004,Bobsleigh,1952,47.0,2
3005,Bobsleigh,1956,21.0,5
3006,Bobsleigh,1956,22.0,2
3007,Bobsleigh,1956,23.0,6
3008,Bobsleigh,1956,24.0,6
