lindex,Sport,Year,Age,count
3753,Canoeing,1936,18.0,1
3754,Canoeing,1936,19.0,9
3755,Canoeing,1936,20.0,8
3756,Canoeing,1936,21.0,20
3757,Canoeing,1936,22.0,15
3758,Canoeing,1936,23.0,15
3759,Canoeing,1936,24.0,15
3760,Canoeing,1936,25.0,15
3761,Canoeing,1936,26.0,9
3762,Canoeing,1936,27.0,8
3763,Canoeing,1936,28.0,5
3764,Canoeing,1936,29.0,5
3765,Canoeing,1936,30.0,3
3766,Canoeing,1936,31.0,2
3767,Canoeing,1936,32.0,3
3768,Canoeing,1936,33.0,3
3769,Canoeing,1936,35.0,4
3770,Canoeing,1936,36.0,2
3771,Canoeing,1936,40.0,1
3772,Canoeing,1948,17.0,1
3773,Canoeing,1948,19.0,2
3774,Canoeing,1948,20.0,7
3775,Canoeing,1948,21.0,5
3776,Canoeing,1948,22.0,6
3777,Canoeing,1948,23.0,9
3778,Canoeing,1948,24.0,8
3779,Canoeing,1948,25.0,12
3780,Canoeing,1948,26.0,7
3781,Canoeing,1948,27.0,9
3782,Canoeing,1948,28.0,11
3783,Canoeing,1948,29.0,10
3784,Canoeing,1948,30.0,1
3785,Canoeing,1948,31.0,7
3786,Canoeing,1948,32.0,1
3787,Canoeing,1948,33.0,6
3788,Canoeing,1948,34.0,12
3789,Canoeing,1948,35.0,5
3790,Canoeing,1948,36.0,4
3791,Canoeing,1948,39.0,2
3792,Canoeing,1948,47.0,1
3793,Canoeing,1952,17.0,1
3794,Canoeing,1952,18.0,3
3795,Canoeing,1952,19.0,3
3796,Canoeing,1952,20.0,10
3797,Canoeing,1952,21.0,11
3798,Canoeing,1952,22.0,11
3799,Canoeing,1952,23.0,3
3800,Canoeing,1952,24.0,14
3801,Canoeing,1952,25.0,16
3802,Canoeing,1952,26.0,18
3803,Canoeing,1952,27.0,18
3804,Canoeing,1952,28.0,11
3805,Canoeing,1952,29.0,6
3806,Canoeing,1952,30.0,8
3807,Canoeing,1952,31.0,9
3808,Canoeing,1952,32.0,12
3809,Canoeing,1952,33.0,3
3810,Canoeing,1952,34.0,2
3811,Canoeing,1952,35.0,3
3812,Canoeing,1952,36.0,2
3813,Canoeing,1952,37.0,1
3814,Canoeing,1952,38.0,4
3815,Canoeing,1952,40.0,3
3816,Canoeing,1952,42.0,2
3817,Canoeing,1952,43.0,3
3818,Canoeing,1956,17.0,1
3819,Canoeing,1956,19.0,5
3820,Canoeing,1956,20.0,4
3821,Canoeing,1956,21.0,6
3822,Canoeing,1956,22.0,10
3823,Canoeing,1956,23.0,7
3824,Canoeing,1956,24.0,6
3825,Canoeing,1956,25.0,19
3826,Canoeing,1956,26.0,7
3827,Canoeing,1956,27.0,16
3828,Canoeing,1956,28.0,6
3829,Canoeing,1956,29.0,9
3830,Canoeing,1956,30.0,9
3831,Canoeing,1956,31.0,9
3832,Canoeing,1956,32.0,9
3833,Canoeing,1956,33.0,5
3834,Canoeing,1956,34.0,2
3835,Canoeing,1956,35.0,4
3836,Canoeing,1956,37.0,2
3837,Canoeing,1956,38.0,1
3838,Canoeing,1956,40.0,1
3839,Canoeing,1956,44.0,1
3840,Canoeing,1956,46.0,1
3841,Canoeing,1956,47.0,1
3842,Canoeing,1960,18.0,2
3843,Canoeing,1960,19.0,14
3844,Canoeing,1960,20.0,19
3845,Canoeing,1960,21.0,14
3846,Canoeing,1960,22.0,24
3847,Canoeing,1960,23.0,17
3848,Canoeing,1960,24.0,13
3849,Canoeing,1960,25.0,21
3850,Canoeing,1960,26.0,5
3851,Canoeing,1960,27.0,20
3852,Canoeing,1960,28.0,4
3853,Canoeing,1960,29.0,21
3854,Canoeing,1960,30.0,9
3855,Canoeing,1960,31.0,7
3856,Canoeing,1960,32.0,8
3857,Canoeing,1960,33.0,2
3858,Canoeing,1960,34.0,2
3859,Canoeing,1960,35.0,2
3860,Canoeing,1960,36.0,1
3861,Canoeing,1960,37.0,2
3862,Canoeing,1960,38.0,1
3863,Canoeing,1960,40.0,3
3864,Canoeing,1964,15.0,1
3865,Canoeing,1964,18.0,2
3866,Canoeing,1964,19.0,7
3867,Canoeing,1964,20.0,15
3868,Canoeing,1964,21.0,16
3869,Canoeing,1964,22.0,11
3870,Canoeing,1964,23.0,28
3871,Canoeing,1964,24.0,15
3872,Canoeing,1964,25.0,14
3873,Canoeing,1964,26.0,15
3874,Canoeing,1964,27.0,7
3875,Canoeing,1964,28.0,4
3876,Canoeing,1964,29.0,10
3877,Canoeing,1964,30.0,6
3878,Canoeing,1964,31.0,5
3879,Canoeing,1964,32.0,2
3880,Canoeing,1964,33.0,4
3881,Canoeing,1964,34.0,2
3882,Canoeing,1964,35.0,1
3883,Canoeing,1964,37.0,1
3884,Canoeing,1964,39.0,1
3885,Canoeing,1968,16.0,1
3886,Canoeing,1968,17.0,2
3887,Canoeing,1968,18.0,8
3888,Canoeing,1968,19.0,6
3889,Canoeing,1968,20.0,7
3890,Canoeing,1968,21.0,13
3891,Canoeing,1968,22.0,17
3892,Canoeing,1968,23.0,28
3893,Canoeing,1968,24.0,17
3894,Canoeing,1968,25.0,23
3895,Canoeing,1968,26.0,6
3896,Canoeing,1968,27.0,17
3897,Canoeing,1968,28.0,14
3898,Canoeing,1968,29.0,13
3899,Canoeing,1968,30.0,9
3900,Canoeing,1968,31.0,5
3901,Canoeing,1968,32.0,4
3902,Canoeing,1968,33.0,4
3903,Canoeing,1968,34.0,1
3904,Canoeing,1968,35.0,1
3905,Canoeing,1968,36.0,3
3906,Canoeing,1968,37.0,2
3907,Canoeing,1968,38.0,2
3908,Canoeing,1972,17.0,2
3909,Canoeing,1972,18.0,11
3910,Canoeing,1972,19.0,13
3911,Canoeing,1972,20.0,27
3912,Canoeing,1972,21.0,38
3913,Canoeing,1972,22.0,32
3914,Canoeing,1972,23.0,35
3915,Canoeing,1972,24.0,29
3916,Canoeing,1972,25.0,27
3917,Canoeing,1972,26.0,32
3918,Canoeing,1972,27.0,32
3919,Canoeing,1972,28.0,11
3920,Canoeing,1972,29.0,21
3921,Canoeing,1972,30.0,7
3922,Canoeing,1972,31.0,16
3923,Canoeing,1972,32.0,7
3924,Canoeing,1972,33.0,8
3925,Canoeing,1972,34.0,2
3926,Canoeing,1972,36.0,3
3927,Canoeing,1972,37.0,3
3928,Canoeing,1972,40.0,1
3929,Canoeing,1972,41.0,1
3930,Canoeing,1972,45.0,1
3931,Canoeing,1976,16.0,1
3932,Canoeing,1976,17.0,5
3933,Canoeing,1976,18.0,10
3934,Canoeing,1976,19.0,29
3935,Canoeing,1976,20.0,22
3936,Canoeing,1976,21.0,33
3937,Canoeing,1976,22.0,35
3938,Canoeing,1976,23.0,31
3939,Canoeing,1976,24.0,35
3940,Canoeing,1976,25.0,23
3941,Canoeing,1976,26.0,16
3942,Canoeing,1976,27.0,20
3943,Canoeing,1976,28.0,22
3944,Canoeing,1976,29.0,11
3945,Canoeing,1976,30.0,18
3946,Canoeing,1976,31.0,11
3947,Canoeing,1976,32.0,4
3948,Canoeing,1976,33.0,5
