lindex,Sport,Year,Age,count
4795,Cycling,1896,18.0,4
4796,Cycling,1896,19.0,3
4797,Cycling,1896,23.0,5
4798,Cycling,1896,24.0,4
4799,Cycling,1896,28.0,2
4800,Cycling,1896,36.0,1
4801,Cycling,1900,16.0,1
4802,Cycling,1900,17.0,1
4803,Cycling,1900,18.0,6
4804,Cycling,1900,19.0,3
4805,Cycling,1900,21.0,7
4806,Cycling,1900,22.0,5
4807,Cycling,1900,24.0,2
4808,Cycling,1900,26.0,1
4809,Cycling,1900,28.0,1
4810,Cycling,1900,29.0,3
4811,Cycling,1900,30.0,1
4812,Cycling,1904,17.0,2
4813,Cycling,1904,18.0,2
4814,Cycling,1904,19.0,7
4815,Cycling,1904,20.0,8
4816,Cycling,1904,21.0,14
4817,Cycling,1904,22.0,4
4818,Cycling,1904,23.0,4
4819,Cycling,1904,24.0,4
4820,Cycling,1904,27.0,4
4821,Cycling,1904,29.0,1
4822,Cycling,1904,30.0,6
4823,Cycling,1906,18.0,3
4824,Cycling,1906,19.0,6
4825,Cycling,1906,20.0,10
4826,Cycling,1906,21.0,5
4827,Cycling,1906,22.0,3
4828,Cycling,1906,23.0,16
4829,Cycling,1906,24.0,2
4830,Cycling,1906,25.0,10
4831,Cycling,1906,32.0,2
4832,Cycling,1906,35.0,2
4833,Cycling,1908,16.0,6
4834,Cycling,1908,19.0,2
4835,Cycling,1908,20.0,21
4836,Cycling,1908,21.0,12
4837,Cycling,1908,22.0,14
4838,Cycling,1908,23.0,22
4839,Cycling,1908,24.0,8
4840,Cycling,1908,25.0,24
4841,Cycling,1908,26.0,24
4842,Cycling,1908,27.0,17
4843,Cycling,1908,28.0,6
4844,Cycling,1908,29.0,3
4845,Cycling,1908,31.0,6
4846,Cycling,1908,34.0,2
4847,Cycling,1912,17.0,4
4848,Cycling,1912,18.0,8
4849,Cycling,1912,19.0,18
4850,Cycling,1912,20.0,26
4851,Cycling,1912,21.0,24
4852,Cycling,1912,22.0,12
4853,Cycling,1912,23.0,6
4854,Cycling,1912,24.0,35
4855,Cycling,1912,25.0,20
4856,Cycling,1912,26.0,8
4857,Cycling,1912,27.0,10
4858,Cycling,1912,28.0,16
4859,Cycling,1912,29.0,10
4860,Cycling,1912,30.0,14
4861,Cycling,1912,31.0,6
4862,Cycling,1912,32.0,4
4863,Cycling,1912,33.0,3
4864,Cycling,1912,34.0,2
4865,Cycling,1912,35.0,8
