lindex,Sport,Year,Age,count
5338,Diving,1904,18.0,1
5339,Diving,1904,23.0,1
5340,Diving,1904,30.0,1
5341,Diving,1906,16.0,2
5342,Diving,1906,18.0,1
5343,Diving,1906,19.0,1
5344,Diving,1906,21.0,1
5345,Diving,1906,22.0,1
5346,Diving,1906,23.0,1
5347,Diving,1906,24.0,2
5348,Diving,1906,25.0,1
5349,Diving,1906,27.0,2
5350,Diving,1906,29.0,2
5351,Diving,1906,30.0,1
5352,Diving,1906,32.0,1
5353,Diving,1906,36.0,1
5354,Diving,1906,42.0,1
5355,Diving,1906,51.0,1
5356,Diving,1908,15.0,1
5357,Diving,1908,18.0,3
5358,Diving,1908,19.0,2
5359,Diving,1908,20.0,3
5360,Diving,1908,21.0,2
5361,Diving,1908,22.0,1
5362,Diving,1908,23.0,3
5363,Diving,1908,24.0,2
5364,Diving,1908,25.0,3
5365,Diving,1908,26.0,4
5366,Diving,1908,29.0,2
5367,Diving,1908,32.0,3
5368,Diving,1908,34.0,1
5369,Diving,1908,40.0,1
5370,Diving,1912,15.0,1
5371,Diving,1912,16.0,1
5372,Diving,1912,17.0,12
5373,Diving,1912,18.0,9
5374,Diving,1912,19.0,8
5375,Diving,1912,20.0,4
5376,Diving,1912,21.0,5
5377,Diving,1912,22.0,5
5378,Diving,1912,23.0,4
5379,Diving,1912,24.0,2
5380,Diving,1912,25.0,7
5381,Diving,1912,26.0,1
5382,Diving,1912,27.0,6
5383,Diving,1912,28.0,6
5384,Diving,1912,29.0,3
5385,Diving,1912,30.0,1
5386,Diving,1912,35.0,3
5387,Diving,1912,36.0,2
5388,Diving,1912,38.0,2
5389,Diving,1912,39.0,1
5390,Diving,1912,44.0,1
5391,Diving,1912,48.0,1
5392,Diving,1920,13.0,3
5393,Diving,1920,14.0,1
5394,Diving,1920,15.0,1
5395,Diving,1920,16.0,1
5396,Diving,1920,18.0,2
5397,Diving,1920,19.0,4
5398,Diving,1920,20.0,10
5399,Diving,1920,21.0,3
5400,Diving,1920,22.0,1
5401,Diving,1920,23.0,7
5402,Diving,1920,24.0,5
5403,Diving,1920,25.0,3
5404,Diving,1920,26.0,7
5405,Diving,1920,27.0,4
5406,Diving,1920,28.0,2
5407,Diving,1920,29.0,2
5408,Diving,1920,31.0,1
5409,Diving,1920,32.0,3
5410,Diving,1920,34.0,3
5411,Diving,1924,14.0,2
5412,Diving,1924,15.0,1
5413,Diving,1924,17.0,6
5414,Diving,1924,18.0,3
5415,Diving,1924,19.0,2
5416,Diving,1924,20.0,4
5417,Diving,1924,21.0,8
5418,Diving,1924,22.0,5
5419,Diving,1924,23.0,5
5420,Diving,1924,24.0,6
5421,Diving,1924,25.0,3
5422,Diving,1924,26.0,2
5423,Diving,1924,27.0,2
5424,Diving,1924,28.0,3
5425,Diving,1924,29.0,5
5426,Diving,1924,30.0,2
5427,Diving,1924,31.0,3
5428,Diving,1924,32.0,3
5429,Diving,1928,12.0,1
5430,Diving,1928,15.0,1
5431,Diving,1928,16.0,2
5432,Diving,1928,17.0,1
5433,Diving,1928,18.0,2
5434,Diving,1928,19.0,9
5435,Diving,1928,20.0,4
5436,Diving,1928,21.0,5
5437,Diving,1928,22.0,5
5438,Diving,1928,23.0,4
5439,Diving,1928,24.0,4
5440,Diving,1928,25.0,7
5441,Diving,1928,26.0,3
5442,Diving,1928,27.0,2
5443,Diving,1928,28.0,1
5444,Diving,1928,29.0,2
5445,Diving,1928,30.0,1
5446,Diving,1928,31.0,1
5447,Diving,1928,33.0,2
5448,Diving,1932,15.0,1
5449,Diving,1932,17.0,2
5450,Diving,1932,19.0,2
5451,Diving,1932,20.0,8
5452,Diving,1932,21.0,4
5453,Diving,1932,22.0,3
5454,Diving,1932,23.0,2
5455,Diving,1932,24.0,2
5456,Diving,1932,25.0,3
5457,Diving,1936,13.0,1
5458,Diving,1936,14.0,2
5459,Diving,1936,15.0,3
5460,Diving,1936,16.0,5
5461,Diving,1936,17.0,7
5462,Diving,1936,18.0,2
5463,Diving,1936,19.0,9
5464,Diving,1936,20.0,7
5465,Diving,1936,21.0,8
5466,Diving,1936,22.0,7
5467,Diving,1936,23.0,8
5468,Diving,1936,24.0,10
5469,Diving,1936,25.0,4
5470,Diving,1936,26.0,2
5471,Diving,1936,27.0,3
5472,Diving,1936,28.0,1
5473,Diving,1936,29.0,2
5474,Diving,1936,30.0,4
5475,Diving,1948,17.0,3
5476,Diving,1948,18.0,5
5477,Diving,1948,19.0,4
5478,Diving,1948,20.0,2
5479,Diving,1948,21.0,2
5480,Diving,1948,22.0,6
5481,Diving,1948,23.0,4
5482,Diving,1948,24.0,11
5483,Diving,1948,25.0,4
5484,Diving,1948,26.0,2
5485,Diving,1948,27.0,8
5486,Diving,1948,28.0,6
5487,Diving,1948,29.0,4
5488,Diving,1948,30.0,2
5489,Diving,1948,31.0,1
5490,Diving,1948,32.0,2
5491,Diving,1948,33.0,3
5492,Diving,1948,35.0,1
5493,Diving,1948,37.0,2
5494,Diving,1952,15.0,1
5495,Diving,1952,16.0,2
5496,Diving,1952,17.0,5
5497,Diving,1952,18.0,4
5498,Diving,1952,19.0,7
5499,Diving,1952,20.0,4
5500,Diving,1952,21.0,6
5501,Diving,1952,22.0,7
5502,Diving,1952,23.0,10
5503,Diving,1952,24.0,5
5504,Diving,1952,25.0,7
5505,Diving,1952,26.0,9
5506,Diving,1952,27.0,6
5507,Diving,1952,28.0,7
5508,Diving,1952,29.0,2
5509,Diving,1952,30.0,3
5510,Diving,1952,31.0,4
5511,Diving,1952,32.0,1
5512,Diving,1952,33.0,1
5513,Diving,1952,34.0,1
5514,Diving,1952,37.0,1
5515,Diving,1956,15.0,2
5516,Diving,1956,17.0,2
5517,Diving,1956,18.0,7
5518,Diving,1956,19.0,7
5519,Diving,1956,20.0,7
5520,Diving,1956,21.0,4
5521,Diving,1956,22.0,6
5522,Diving,1956,23.0,5
5523,Diving,1956,24.0,6
5524,Diving,1956,25.0,5
5525,Diving,1956,26.0,3
5526,Diving,1956,27.0,2
5527,Diving,1956,28.0,4
5528,Diving,1956,29.0,3
5529,Diving,1956,30.0,2
5530,Diving,1956,31.0,1
5531,Diving,1956,32.0,3
5532,Diving,1956,34.0,1
5533,Diving,1960,16.0,6
5534,Diving,1960,17.0,2
5535,Diving,1960,18.0,6
5536,Diving,1960,19.0,11
5537,Diving,1960,20.0,10
5538,Diving,1960,21.0,5
5539,Diving,1960,22.0,6
5540,Diving,1960,23.0,13
5541,Diving,1960,24.0,6
5542,Diving,1960,25.0,8
5543,Diving,1960,26.0,4
5544,Diving,1960,27.0,4
5545,Diving,1960,28.0,2
5546,Diving,1960,29.0,3
5547,Diving,1960,30.0,1
5548,Diving,1960,31.0,1
5549,Diving,1960,33.0,1
5550,Diving,1960,34.0,2
5551,Diving,1960,36.0,1
5552,Diving,1964,15.0,2
5553,Diving,1964,16.0,1
5554,Diving,1964,17.0,20
5555,Diving,1964,18.0,11
5556,Diving,1964,19.0,9
5557,Diving,1964,20.0,7
5558,Diving,1964,21.0,9
5559,Diving,1964,22.0,6
5560,Diving,1964,23.0,10
5561,Diving,1964,24.0,8
5562,Diving,1964,25.0,2
5563,Diving,1964,26.0,5
5564,Diving,1964,27.0,6
5565,Diving,1964,28.0,4
5566,Diving,1964,32.0,2
5567,Diving,1968,15.0,1
5568,Diving,1968,16.0,4
5569,Diving,1968,17.0,11
5570,Diving,1968,18.0,6
5571,Diving,1968,19.0,11
5572,Diving,1968,20.0,12
5573,Diving,1968,21.0,19
5574,Diving,1968,22.0,8
5575,Diving,1968,23.0,5
5576,Diving,1968,24.0,10
5577,Diving,1968,25.0,10
5578,Diving,1968,26.0,3
5579,Diving,1968,27.0,3
5580,Diving,1968,28.0,2
5581,Diving,1968,30.0,1
5582,Diving,1968,31.0,1
5583,Diving,1968,36.0,2
5584,Diving,1972,13.0,1
5585,Diving,1972,14.0,2
5586,Diving,1972,15.0,1
5587,Diving,1972,16.0,3
5588,Diving,1972,17.0,14
5589,Diving,1972,18.0,9
5590,Diving,1972,19.0,11
5591,Diving,1972,20.0,12
5592,Diving,1972,21.0,16
5593,Diving,1972,22.0,8
5594,Diving,1972,23.0,8
5595,Diving,1972,24.0,9
5596,Diving,1972,25.0,8
5597,Diving,1972,26.0,5
5598,Diving,1972,27.0,8
5599,Diving,1972,28.0,4
5600,Diving,1972,29.0,3
5601,Diving,1972,31.0,2
5602,Diving,1976,15.0,2
5603,Diving,1976,16.0,7
5604,Diving,1976,17.0,10
5605,Diving,1976,18.0,9
5606,Diving,1976,19.0,15
5607,Diving,1976,20.0,11
5608,Diving,1976,21.0,15
5609,Diving,1976,22.0,8
5610,Diving,1976,23.0,5
5611,Diving,1976,24.0,4
5612,Diving,1976,25.0,6
5613,Diving,1976,26.0,5
5614,Diving,1976,27.0,1
5615,Diving,1976,28.0,3
5616,Diving,1976,29.0,3
5617,Diving,1976,34.0,1
5618,Diving,1980,13.0,1
5619,Diving,1980,14.0,1
5620,Diving,1980,15.0,1
5621,Diving,1980,17.0,11
5622,Diving,1980,18.0,7
5623,Diving,1980,19.0,10
5624,Diving,1980,20.0,9
5625,Diving,1980,21.0,14
5626,Diving,1980,22.0,8
5627,Diving,1980,23.0,7
5628,Diving,1980,24.0,5
5629,Diving,1980,25.0,2
5630,Diving,1980,26.0,2
5631,Diving,1980,27.0,7
5632,Diving,1980,33.0,1
5633,Diving,1984,13.0,1
5634,Diving,1984,14.0,1
5635,Diving,1984,15.0,4
5636,Diving,1984,16.0,2
5637,Diving,1984,17.0,5
5638,Diving,1984,18.0,10
5639,Diving,1984,19.0,10
5640,Diving,1984,20.0,3
5641,Diving,1984,21.0,13
5642,Diving,1984,22.0,12
5643,Diving,1984,23.0,10
5644,Diving,1984,24.0,10
5645,Diving,1984,25.0,6
5646,Diving,1984,26.0,4
5647,Diving,1984,27.0,6
5648,Diving,1984,28.0,1
5649,Diving,1984,29.0,1
5650,Diving,1988,14.0,3
5651,Diving,1988,15.0,4
5652,Diving,1988,16.0,2
5653,Diving,1988,17.0,6
5654,Diving,1988,18.0,4
5655,Diving,1988,19.0,8
5656,Diving,1988,20.0,10
5657,Diving,1988,21.0,13
5658,Diving,1988,22.0,12
5659,Diving,1988,23.0,15
5660,Diving,1988,24.0,4
5661,Diving,1988,25.0,5
5662,Diving,1988,26.0,10
5663,Diving,1988,27.0,4
5664,Diving,1988,28.0,5
5665,Diving,1988,29.0,3
5666,Diving,1992,13.0,2
5667,Diving,1992,14.0,2
5668,Diving,1992,15.0,1
5669,Diving,1992,16.0,5
5670,Diving,1992,17.0,4
5671,Diving,1992,18.0,9
5672,Diving,1992,19.0,10
5673,Diving,1992,20.0,10
5674,Diving,1992,21.0,9
5675,Diving,1992,22.0,6
5676,Diving,1992,23.0,10
5677,Diving,1992,24.0,10
5678,Diving,1992,25.0,12
5679,Diving,1992,26.0,5
5680,Diving,1992,27.0,6
5681,Diving,1992,28.0,2
5682,Diving,1992,29.0,5
5683,Diving,1992,30.0,2
5684,Diving,1992,31.0,1
5685,Diving,1992,33.0,1
5686,Diving,1996,14.0,4
5687,Diving,1996,15.0,3
5688,Diving,1996,16.0,4
5689,Diving,1996,17.0,12
5690,Diving,1996,18.0,14
5691,Diving,1996,19.0,7
5692,Diving,1996,20.0,14
5693,Diving,1996,21.0,7
5694,Diving,1996,22.0,20
5695,Diving,1996,23.0,14
5696,Diving,1996,24.0,10
5697,Diving,1996,25.0,4
5698,Diving,1996,26.0,7
5699,Diving,1996,27.0,6
5700,Diving,1996,28.0,4
5701,Diving,1996,29.0,5
5702,Diving,1996,30.0,1
