lindex,Sport,Year,Age,count
5802,Equestrianism,1900,20.0,1
5803,Equestrianism,1900,22.0,3
5804,Equestrianism,1900,24.0,1
5805,Equestrianism,1900,29.0,2
5806,Equestrianism,1900,30.0,5
5807,Equestrianism,1900,31.0,1
5808,Equestrianism,1900,32.0,4
5809,Equestrianism,1900,34.0,2
5810,Equestrianism,1900,36.0,1
5811,Equestrianism,1900,38.0,1
5812,Equestrianism,1900,39.0,2
5813,Equestrianism,1900,41.0,1
5814,Equestrianism,1900,42.0,2
5815,Equestrianism,1900,43.0,3
5816,Equestrianism,1900,44.0,1
5817,Equestrianism,1900,45.0,2
5818,Equestrianism,1900,48.0,3
5819,Equestrianism,1900,49.0,1
5820,Equestrianism,1900,52.0,2
5821,Equestrianism,1900,54.0,2
5822,Equestrianism,1900,56.0,2
5823,Equestrianism,1900,69.0,1
5824,Equestrianism,1912,19.0,2
5825,Equestrianism,1912,20.0,2
5826,Equestrianism,1912,22.0,1
5827,Equestrianism,1912,23.0,7
5828,Equestrianism,1912,25.0,9
5829,Equestrianism,1912,26.0,8
5830,Equestrianism,1912,27.0,3
5831,Equestrianism,1912,28.0,3
5832,Equestrianism,1912,29.0,3
5833,Equestrianism,1912,30.0,9
5834,Equestrianism,1912,31.0,13
5835,Equestrianism,1912,32.0,12
5836,Equestrianism,1912,34.0,5
5837,Equestrianism,1912,35.0,1
5838,Equestrianism,1912,36.0,9
5839,Equestrianism,1912,37.0,4
5840,Equestrianism,1912,38.0,2
5841,Equestrianism,1912,39.0,3
5842,Equestrianism,1912,40.0,4
5843,Equestrianism,1912,41.0,6
5844,Equestrianism,1912,44.0,1
5845,Equestrianism,1912,45.0,3
5846,Equestrianism,1912,46.0,1
5847,Equestrianism,1912,47.0,4
5848,Equestrianism,1912,49.0,3
5849,Equestrianism,1912,51.0,1
5850,Equestrianism,1920,21.0,1
5851,Equestrianism,1920,23.0,3
5852,Equestrianism,1920,24.0,8
5853,Equestrianism,1920,25.0,4
5854,Equestrianism,1920,26.0,9
5855,Equestrianism,1920,27.0,6
5856,Equestrianism,1920,28.0,10
5857,Equestrianism,1920,29.0,10
5858,Equestrianism,1920,30.0,1
5859,Equestrianism,1920,31.0,10
5860,Equestrianism,1920,32.0,12
5861,Equestrianism,1920,33.0,4
5862,Equestrianism,1920,34.0,6
5863,Equestrianism,1920,35.0,6
5864,Equestrianism,1920,36.0,1
5865,Equestrianism,1920,37.0,2
5866,Equestrianism,1920,38.0,5
5867,Equestrianism,1920,39.0,3
5868,Equestrianism,1920,40.0,4
5869,Equestrianism,1920,41.0,1
5870,Equestrianism,1920,42.0,2
5871,Equestrianism,1920,43.0,3
5872,Equestrianism,1920,44.0,2
5873,Equestrianism,1920,59.0,1
5874,Equestrianism,1924,21.0,2
5875,Equestrianism,1924,22.0,2
5876,Equestrianism,1924,23.0,2
5877,Equestrianism,1924,24.0,5
5878,Equestrianism,1924,25.0,13
5879,Equestrianism,1924,26.0,9
5880,Equestrianism,1924,27.0,8
5881,Equestrianism,1924,28.0,7
5882,Equestrianism,1924,29.0,8
5883,Equestrianism,1924,30.0,22
5884,Equestrianism,1924,31.0,14
5885,Equestrianism,1924,32.0,4
5886,Equestrianism,1924,33.0,14
5887,Equestrianism,1924,34.0,5
5888,Equestrianism,1924,35.0,17
5889,Equestrianism,1924,36.0,10
5890,Equestrianism,1924,37.0,5
5891,Equestrianism,1924,38.0,10
5892,Equestrianism,1924,39.0,4
5893,Equestrianism,1924,40.0,2
5894,Equestrianism,1924,41.0,1
5895,Equestrianism,1924,42.0,2
5896,Equestrianism,1924,44.0,6
5897,Equestrianism,1924,45.0,2
5898,Equestrianism,1924,46.0,1
5899,Equestrianism,1924,47.0,2
5900,Equestrianism,1924,56.0,1
5901,Equestrianism,1924,59.0,1
5902,Equestrianism,1928,24.0,4
5903,Equestrianism,1928,26.0,4
5904,Equestrianism,1928,27.0,5
5905,Equestrianism,1928,28.0,8
5906,Equestrianism,1928,29.0,6
5907,Equestrianism,1928,30.0,19
5908,Equestrianism,1928,31.0,4
5909,Equestrianism,1928,32.0,10
5910,Equestrianism,1928,33.0,6
5911,Equestrianism,1928,34.0,18
5912,Equestrianism,1928,35.0,19
5913,Equestrianism,1928,36.0,7
5914,Equestrianism,1928,37.0,13
5915,Equestrianism,1928,38.0,8
5916,Equestrianism,1928,39.0,18
5917,Equestrianism,1928,40.0,16
5918,Equestrianism,1928,41.0,7
5919,Equestrianism,1928,42.0,8
5920,Equestrianism,1928,43.0,2
5921,Equestrianism,1928,44.0,5
5922,Equestrianism,1928,45.0,6
5923,Equestrianism,1928,46.0,2
5924,Equestrianism,1928,47.0,3
5925,Equestrianism,1928,48.0,4
5926,Equestrianism,1928,49.0,4
5927,Equestrianism,1928,50.0,2
5928,Equestrianism,1928,51.0,2
5929,Equestrianism,1928,56.0,2
5930,Equestrianism,1928,63.0,2
5931,Equestrianism,1932,28.0,10
5932,Equestrianism,1932,30.0,1
5933,Equestrianism,1932,31.0,4
5934,Equestrianism,1932,32.0,1
5935,Equestrianism,1932,34.0,6
5936,Equestrianism,1932,36.0,10
5937,Equestrianism,1932,38.0,8
5938,Equestrianism,1932,40.0,2
5939,Equestrianism,1932,42.0,1
5940,Equestrianism,1932,43.0,2
5941,Equestrianism,1932,44.0,2
5942,Equestrianism,1932,45.0,6
5943,Equestrianism,1932,46.0,2
5944,Equestrianism,1932,49.0,4
5945,Equestrianism,1936,22.0,1
5946,Equestrianism,1936,23.0,2
5947,Equestrianism,1936,24.0,4
5948,Equestrianism,1936,25.0,2
5949,Equestrianism,1936,26.0,6
5950,Equestrianism,1936,27.0,7
5951,Equestrianism,1936,28.0,17
5952,Equestrianism,1936,29.0,12
5953,Equestrianism,1936,30.0,26
5954,Equestrianism,1936,31.0,9
5955,Equestrianism,1936,32.0,9
5956,Equestrianism,1936,33.0,10
5957,Equestrianism,1936,34.0,28
5958,Equestrianism,1936,35.0,19
5959,Equestrianism,1936,36.0,11
5960,Equestrianism,1936,37.0,19
5961,Equestrianism,1936,38.0,7
5962,Equestrianism,1936,39.0,9
5963,Equestrianism,1936,40.0,14
5964,Equestrianism,1936,42.0,2
5965,Equestrianism,1936,43.0,10
5966,Equestrianism,1936,44.0,4
5967,Equestrianism,1936,46.0,4
5968,Equestrianism,1936,47.0,4
5969,Equestrianism,1936,48.0,4
5970,Equestrianism,1936,49.0,2
5971,Equestrianism,1936,50.0,2
5972,Equestrianism,1936,51.0,2
5973,Equestrianism,1936,52.0,2
5974,Equestrianism,1936,53.0,2
5975,Equestrianism,1936,54.0,2
5976,Equestrianism,1936,57.0,2
5977,Equestrianism,1936,72.0,2
5978,Equestrianism,1948,23.0,4
5979,Equestrianism,1948,25.0,4
5980,Equestrianism,1948,26.0,3
5981,Equestrianism,1948,27.0,7
5982,Equestrianism,1948,28.0,10
5983,Equestrianism,1948,29.0,2
5984,Equestrianism,1948,30.0,2
5985,Equestrianism,1948,31.0,6
5986,Equestrianism,1948,32.0,4
5987,Equestrianism,1948,33.0,6
5988,Equestrianism,1948,34.0,12
5989,Equestrianism,1948,35.0,18
5990,Equestrianism,1948,36.0,9
5991,Equestrianism,1948,37.0,16
5992,Equestrianism,1948,38.0,8
5993,Equestrianism,1948,39.0,6
5994,Equestrianism,1948,40.0,5
5995,Equestrianism,1948,41.0,6
5996,Equestrianism,1948,42.0,6
5997,Equestrianism,1948,43.0,2
5998,Equestrianism,1948,44.0,2
5999,Equestrianism,1948,45.0,8
6000,Equestrianism,1948,46.0,10
6001,Equestrianism,1948,47.0,5
6002,Equestrianism,1948,48.0,3
6003,Equestrianism,1948,49.0,4
6004,Equestrianism,1948,50.0,3
6005,Equestrianism,1948,53.0,4
6006,Equestrianism,1948,55.0,2
6007,Equestrianism,1952,18.0,2
6008,Equestrianism,1952,19.0,2
6009,Equestrianism,1952,21.0,4
6010,Equestrianism,1952,22.0,2
6011,Equestrianism,1952,23.0,5
6012,Equestrianism,1952,25.0,13
6013,Equestrianism,1952,26.0,10
6014,Equestrianism,1952,27.0,11
6015,Equestrianism,1952,28.0,7
6016,Equestrianism,1952,29.0,12
6017,Equestrianism,1952,30.0,6
6018,Equestrianism,1952,31.0,17
6019,Equestrianism,1952,32.0,12
6020,Equestrianism,1952,33.0,10
6021,Equestrianism,1952,34.0,11
6022,Equestrianism,1952,35.0,10
6023,Equestrianism,1952,36.0,10
6024,Equestrianism,1952,37.0,5
6025,Equestrianism,1952,38.0,16
6026,Equestrianism,1952,39.0,12
6027,Equestrianism,1952,40.0,10
6028,Equestrianism,1952,41.0,14
6029,Equestrianism,1952,42.0,5
6030,Equestrianism,1952,43.0,8
6031,Equestrianism,1952,44.0,12
6032,Equestrianism,1952,45.0,4
6033,Equestrianism,1952,46.0,2
6034,Equestrianism,1952,48.0,4
6035,Equestrianism,1952,50.0,2
6036,Equestrianism,1952,54.0,1
6037,Equestrianism,1952,57.0,2
6038,Equestrianism,1952,58.0,2
6039,Equestrianism,1952,63.0,1
6040,Equestrianism,1956,19.0,2
6041,Equestrianism,1956,20.0,2
6042,Equestrianism,1956,21.0,2
6043,Equestrianism,1956,22.0,8
6044,Equestrianism,1956,23.0,4
6045,Equestrianism,1956,24.0,6
6046,Equestrianism,1956,25.0,8
6047,Equestrianism,1956,26.0,11
6048,Equestrianism,1956,27.0,10
6049,Equestrianism,1956,28.0,8
6050,Equestrianism,1956,29.0,17
6051,Equestrianism,1956,30.0,16
6052,Equestrianism,1956,31.0,25
6053,Equestrianism,1956,32.0,12
6054,Equestrianism,1956,33.0,10
6055,Equestrianism,1956,34.0,6
6056,Equestrianism,1956,35.0,12
6057,Equestrianism,1956,36.0,16
6058,Equestrianism,1956,37.0,8
6059,Equestrianism,1956,38.0,7
6060,Equestrianism,1956,39.0,6
6061,Equestrianism,1956,40.0,8
6062,Equestrianism,1956,41.0,6
6063,Equestrianism,1956,42.0,8
6064,Equestrianism,1956,43.0,4
6065,Equestrianism,1956,44.0,1
6066,Equestrianism,1956,45.0,6
6067,Equestrianism,1956,46.0,2
6068,Equestrianism,1956,47.0,4
6069,Equestrianism,1956,48.0,2
6070,Equestrianism,1956,49.0,2
6071,Equestrianism,1956,51.0,2
6072,Equestrianism,1956,52.0,4
6073,Equestrianism,1956,53.0,3
6074,Equestrianism,1956,54.0,3
6075,Equestrianism,1956,58.0,3
6076,Equestrianism,1956,61.0,3
6077,Equestrianism,1956,67.0,1
6078,Equestrianism,1960,18.0,1
6079,Equestrianism,1960,20.0,12
6080,Equestrianism,1960,21.0,6
6081,Equestrianism,1960,22.0,9
6082,Equestrianism,1960,23.0,13
6083,Equestrianism,1960,24.0,12
6084,Equestrianism,1960,25.0,2
6085,Equestrianism,1960,26.0,12
6086,Equestrianism,1960,27.0,12
6087,Equestrianism,1960,28.0,17
6088,Equestrianism,1960,29.0,20
6089,Equestrianism,1960,30.0,12
6090,Equestrianism,1960,31.0,12
6091,Equestrianism,1960,32.0,3
6092,Equestrianism,1960,33.0,14
6093,Equestrianism,1960,34.0,8
6094,Equestrianism,1960,35.0,13
6095,Equestrianism,1960,36.0,18
6096,Equestrianism,1960,37.0,10
6097,Equestrianism,1960,38.0,5
6098,Equestrianism,1960,39.0,1
6099,Equestrianism,1960,40.0,16
6100,Equestrianism,1960,41.0,4
6101,Equestrianism,1960,42.0,7
6102,Equestrianism,1960,43.0,3
6103,Equestrianism,1960,44.0,8
6104,Equestrianism,1960,45.0,4
6105,Equestrianism,1960,46.0,2
6106,Equestrianism,1960,47.0,4
6107,Equestrianism,1960,48.0,6
6108,Equestrianism,1960,49.0,2
6109,Equestrianism,1960,50.0,1
6110,Equestrianism,1960,55.0,1
6111,Equestrianism,1960,58.0,2
6112,Equestrianism,1960,62.0,1
6113,Equestrianism,1960,65.0,1
6114,Equestrianism,1964,17.0,1
6115,Equestrianism,1964,19.0,2
6116,Equestrianism,1964,20.0,2
6117,Equestrianism,1964,21.0,12
6118,Equestrianism,1964,22.0,6
6119,Equestrianism,1964,23.0,6
6120,Equestrianism,1964,24.0,14
6121,Equestrianism,1964,25.0,12
6122,Equestrianism,1964,26.0,10
6123,Equestrianism,1964,27.0,12
6124,Equestrianism,1964,28.0,22
6125,Equestrianism,1964,29.0,8
6126,Equestrianism,1964,30.0,7
6127,Equestrianism,1964,31.0,10
6128,Equestrianism,1964,32.0,6
6129,Equestrianism,1964,33.0,12
6130,Equestrianism,1964,34.0,15
6131,Equestrianism,1964,35.0,10
6132,Equestrianism,1964,36.0,5
6133,Equestrianism,1964,37.0,4
6134,Equestrianism,1964,38.0,4
6135,Equestrianism,1964,39.0,4
6136,Equestrianism,1964,40.0,3
6137,Equestrianism,1964,41.0,6
6138,Equestrianism,1964,42.0,2
6139,Equestrianism,1964,43.0,4
6140,Equestrianism,1964,44.0,5
6141,Equestrianism,1964,46.0,2
6142,Equestrianism,1964,47.0,2
6143,Equestrianism,1964,48.0,4
6144,Equestrianism,1964,49.0,2
6145,Equestrianism,1964,50.0,2
6146,Equestrianism,1964,51.0,2
6147,Equestrianism,1964,52.0,4
6148,Equestrianism,1964,53.0,2
6149,Equestrianism,1968,20.0,10
6150,Equestrianism,1968,21.0,8
6151,Equestrianism,1968,22.0,8
6152,Equestrianism,1968,23.0,8
6153,Equestrianism,1968,24.0,8
6154,Equestrianism,1968,25.0,19
6155,Equestrianism,1968,26.0,12
6156,Equestrianism,1968,27.0,6
6157,Equestrianism,1968,28.0,17
6158,Equestrianism,1968,29.0,8
6159,Equestrianism,1968,30.0,8
6160,Equestrianism,1968,31.0,14
6161,Equestrianism,1968,32.0,12
6162,Equestrianism,1968,33.0,7
6163,Equestrianism,1968,34.0,15
6164,Equestrianism,1968,35.0,6
6165,Equestrianism,1968,36.0,8
6166,Equestrianism,1968,37.0,4
6167,Equestrianism,1968,38.0,6
6168,Equestrianism,1968,39.0,1
6169,Equestrianism,1968,40.0,6
6170,Equestrianism,1968,41.0,4
6171,Equestrianism,1968,42.0,2
6172,Equestrianism,1968,43.0,7
6173,Equestrianism,1968,44.0,2
