lindex,Sport,Year,Age,count
7807,Football,1900,17.0,2
7808,Football,1900,18.0,4
7809,Football,1900,19.0,1
7810,Football,1900,20.0,2
7811,Football,1900,21.0,2
7812,Football,1900,22.0,1
7813,Football,1900,24.0,1
7814,Football,1900,25.0,1
7815,Football,1900,30.0,1
7816,Football,1900,31.0,1
7817,Football,1904,15.0,1
7818,Football,1904,16.0,3
7819,Football,1904,17.0,5
7820,Football,1904,18.0,4
7821,Football,1904,20.0,2
7822,Football,1904,21.0,2
7823,Football,1904,22.0,4
7824,Football,1904,23.0,2
7825,Football,1904,24.0,3
7826,Football,1904,25.0,1
7827,Football,1904,26.0,1
7828,Football,1904,29.0,1
7829,Football,1904,31.0,1
7830,Football,1904,32.0,1
7831,Football,1904,35.0,1
7832,Football,1906,17.0,1
7833,Football,1906,20.0,1
7834,Football,1906,21.0,1
7835,Football,1906,22.0,3
7836,Football,1906,23.0,5
7837,Football,1906,24.0,1
7838,Football,1906,25.0,4
7839,Football,1906,26.0,2
7840,Football,1908,18.0,4
7841,Football,1908,19.0,3
7842,Football,1908,20.0,7
7843,Football,1908,21.0,8
7844,Football,1908,22.0,5
7845,Football,1908,23.0,7
7846,Football,1908,24.0,12
7847,Football,1908,25.0,4
7848,Football,1908,26.0,4
7849,Football,1908,27.0,5
7850,Football,1908,28.0,1
7851,Football,1908,30.0,2
7852,Football,1908,34.0,1
7853,Football,1912,17.0,2
7854,Football,1912,18.0,9
7855,Football,1912,19.0,9
7856,Football,1912,20.0,23
7857,Football,1912,21.0,16
7858,Football,1912,22.0,17
7859,Football,1912,23.0,22
7860,Football,1912,24.0,27
7861,Football,1912,25.0,6
7862,Football,1912,26.0,5
7863,Football,1912,27.0,7
7864,Football,1912,28.0,6
7865,Football,1912,29.0,5
7866,Football,1912,30.0,2
7867,Football,1912,31.0,1
7868,Football,1912,32.0,1
7869,Football,1920,18.0,3
7870,Football,1920,19.0,7
7871,Football,1920,20.0,12
7872,Football,1920,21.0,14
7873,Football,1920,22.0,22
7874,Football,1920,23.0,14
7875,Football,1920,24.0,18
7876,Football,1920,25.0,16
7877,Football,1920,26.0,17
7878,Football,1920,27.0,12
7879,Football,1920,28.0,14
7880,Football,1920,29.0,5
7881,Football,1920,30.0,6
7882,Football,1920,31.0,5
7883,Football,1920,32.0,2
7884,Football,1920,36.0,1
7885,Football,1924,17.0,1
7886,Football,1924,18.0,4
7887,Football,1924,19.0,11
7888,Football,1924,20.0,9
7889,Football,1924,21.0,26
7890,Football,1924,22.0,35
7891,Football,1924,23.0,32
7892,Football,1924,24.0,22
