lindex,Sport,Year,Age,count
8266,Freestyle Skiing,1992,16.0,1
8267,Freestyle Skiing,1992,17.0,1
8268,Freestyle Skiing,1992,18.0,7
8269,Freestyle Skiing,1992,19.0,4
8270,Freestyle Skiing,1992,20.0,1
8271,Freestyle Skiing,1992,21.0,5
8272,Freestyle Skiing,1992,22.0,6
8273,Freestyle Skiing,1992,23.0,6
8274,Freestyle Skiing,1992,24.0,6
8275,Freestyle Skiing,1992,25.0,4
8276,Freestyle Skiing,1992,26.0,7
8277,Freestyle Skiing,1992,27.0,8
8278,Freestyle Skiing,1992,28.0,7
8279,Freestyle Skiing,1992,29.0,1
8280,Freestyle Skiing,1992,30.0,2
8281,Freestyle Skiing,1992,31.0,2
8282,Freestyle Skiing,1992,32.0,1
8283,Freestyle Skiing,1992,37.0,1
8284,Freestyle Skiing,1992,40.0,1
8285,Freestyle Skiing,1994,13.0,1
8286,Freestyle Skiing,1994,16.0,1
8287,Freestyle Skiing,1994,17.0,1
8288,Freestyle Skiing,1994,18.0,2
8289,Freestyle Skiing,1994,19.0,3
8290,Freestyle Skiing,1994,20.0,8
8291,Freestyle Skiing,1994,21.0,11
8292,Freestyle Skiing,1994,22.0,11
8293,Freestyle Skiing,1994,23.0,14
8294,Freestyle Skiing,1994,24.0,13
8295,Freestyle Skiing,1994,25.0,4
8296,Freestyle Skiing,1994,26.0,8
8297,Freestyle Skiing,1994,27.0,6
8298,Freestyle Skiing,1994,28.0,5
8299,Freestyle Skiing,1994,29.0,6
8300,Freestyle Skiing,1994,30.0,4
8301,Freestyle Skiing,1994,31.0,1
8302,Freestyle Skiing,1998,15.0,1
8303,Freestyle Skiing,1998,16.0,4
8304,Freestyle Skiing,1998,17.0,2
8305,Freestyle Skiing,1998,18.0,4
8306,Freestyle Skiing,1998,19.0,3
8307,Freestyle Skiing,1998,20.0,8
8308,Freestyle Skiing,1998,21.0,12
8309,Freestyle Skiing,1998,22.0,6
8310,Freestyle Skiing,1998,23.0,9
8311,Freestyle Skiing,1998,24.0,11
8312,Freestyle Skiing,1998,25.0,12
8313,Freestyle Skiing,1998,26.0,12
8314,Freestyle Skiing,1998,27.0,7
8315,Freestyle Skiing,1998,28.0,6
8316,Freestyle Skiing,1998,29.0,3
8317,Freestyle Skiing,1998,30.0,4
8318,Freestyle Skiing,1998,31.0,3
8319,Freestyle Skiing,1998,32.0,2
8320,Freestyle Skiing,1998,33.0,1
8321,Freestyle Skiing,2002,16.0,1
8322,Freestyle Skiing,2002,17.0,1
8323,Freestyle Skiing,2002,18.0,4
8324,Freestyle Skiing,2002,19.0,8
8325,Freestyle Skiing,2002,20.0,8
8326,Freestyle Skiing,2002,21.0,4
8327,Freestyle Skiing,2002,22.0,8
8328,Freestyle Skiing,2002,23.0,9
8329,Freestyle Skiing,2002,24.0,10
8330,Freestyle Skiing,2002,25.0,8
8331,Freestyle Skiing,2002,26.0,7
8332,Freestyle Skiing,2002,27.0,7
8333,Freestyle Skiing,2002,28.0,6
8334,Freestyle Skiing,2002,29.0,7
8335,Freestyle Skiing,2002,30.0,6
8336,Freestyle Skiing,2002,31.0,5
8337,Freestyle Skiing,2002,32.0,2
8338,Freestyle Skiing,2002,34.0,3
8339,Freestyle Skiing,2002,40.0,1
8340,Freestyle Skiing,2006,15.0,1
8341,Freestyle Skiing,2006,16.0,1
8342,Freestyle Skiing,2006,17.0,4
8343,Freestyle Skiing,2006,18.0,4
8344,Freestyle Skiing,2006,19.0,6
8345,Freestyle Skiing,2006,20.0,8
8346,Freestyle Skiing,2006,21.0,6
8347,Freestyle Skiing,2006,22.0,13
8348,Freestyle Skiing,2006,23.0,11
8349,Freestyle Skiing,2006,24.0,12
8350,Freestyle Skiing,2006,25.0,7
8351,Freestyle Skiing,2006,26.0,11
8352,Freestyle Skiing,2006,27.0,9
8353,Freestyle Skiing,2006,28.0,6
8354,Freestyle Skiing,2006,29.0,5
8355,Freestyle Skiing,2006,30.0,2
8356,Freestyle Skiing,2006,31.0,3
8357,Freestyle Skiing,2006,32.0,2
8358,Freestyle Skiing,2006,33.0,3
8359,Freestyle Skiing,2006,36.0,1
8360,Freestyle Skiing,2006,44.0,1
8361,Freestyle Skiing,2010,15.0,1
8362,Freestyle Skiing,2010,16.0,1
8363,Freestyle Skiing,2010,17.0,3
8364,Freestyle Skiing,2010,18.0,4
8365,Freestyle Skiing,2010,19.0,9
8366,Freestyle Skiing,2010,20.0,9
8367,Freestyle Skiing,2010,21.0,12
8368,Freestyle Skiing,2010,22.0,13
8369,Freestyle Skiing,2010,23.0,15
8370,Freestyle Skiing,2010,24.0,10
8371,Freestyle Skiing,2010,25.0,14
8372,Freestyle Skiing,2010,26.0,11
8373,Freestyle Skiing,2010,27.0,10
8374,Freestyle Skiing,2010,28.0,8
8375,Freestyle Skiing,2010,29.0,6
8376,Freestyle Skiing,2010,30.0,9
8377,Freestyle Skiing,2010,31.0,9
8378,Freestyle Skiing,2010,32.0,4
8379,Freestyle Skiing,2010,33.0,8
8380,Freestyle Skiing,2010,34.0,3
8381,Freestyle Skiing,2010,35.0,2
8382,Freestyle Skiing,2010,36.0,4
8383,Freestyle Skiing,2010,37.0,3
8384,Freestyle Skiing,2010,40.0,2
8385,Freestyle Skiing,2010,42.0,1
8386,Freestyle Skiing,2010,43.0,1
8387,Freestyle Skiing,2014,15.0,2
8388,Freestyle Skiing,2014,16.0,4
8389,Freestyle Skiing,2014,17.0,9
8390,Freestyle Skiing,2014,18.0,15
8391,Freestyle Skiing,2014,19.0,19
8392,Freestyle Skiing,2014,20.0,15
8393,Freestyle Skiing,2014,21.0,25
8394,Freestyle Skiing,2014,22.0,16
8395,Freestyle Skiing,2014,23.0,25
8396,Freestyle Skiing,2014,24.0,28
8397,Freestyle Skiing,2014,25.0,19
8398,Freestyle Skiing,2014,26.0,15
8399,Freestyle Skiing,2014,27.0,15
8400,Freestyle Skiing,2014,28.0,15
8401,Freestyle Skiing,2014,29.0,10
8402,Freestyle Skiing,2014,30.0,9
8403,Freestyle Skiing,2014,31.0,10
8404,Freestyle Skiing,2014,32.0,2
8405,Freestyle Skiing,2014,33.0,1
8406,Freestyle Skiing,2014,34.0,5
8407,Freestyle Skiing,2014,35.0,1
8408,Freestyle Skiing,2014,36.0,1
8409,Freestyle Skiing,2014,37.0,2
8410,Freestyle Skiing,2014,39.0,1
