lindex,Sport,Year,Age,count
8411,Golf,1900,23.0,2
8412,Golf,1900,24.0,1
8413,Golf,1900,25.0,1
8414,Golf,1900,26.0,2
8415,Golf,1900,28.0,1
8416,Golf,1900,31.0,2
8417,Golf,1900,32.0,1
8418,Golf,1900,33.0,1
8419,Golf,1900,34.0,2
8420,Golf,1900,41.0,1
8421,Golf,1900,42.0,2
8422,Golf,1900,44.0,1
8423,Golf,1904,15.0,1
8424,Golf,1904,17.0,6
8425,Golf,1904,18.0,4
8426,Golf,1904,19.0,3
8427,Golf,1904,20.0,8
8428,Golf,1904,21.0,3
8429,Golf,1904,22.0,11
8430,Golf,1904,23.0,3
8431,Golf,1904,24.0,1
8432,Golf,1904,25.0,4
8433,Golf,1904,26.0,2
8434,Golf,1904,27.0,3
8435,Golf,1904,28.0,5
8436,Golf,1904,29.0,2
8437,Golf,1904,30.0,6
8438,Golf,1904,31.0,4
8439,Golf,1904,32.0,1
8440,Golf,1904,34.0,2
8441,Golf,1904,35.0,2
8442,Golf,1904,37.0,6
8443,Golf,1904,38.0,4
8444,Golf,1904,39.0,3
8445,Golf,1904,40.0,2
8446,Golf,1904,41.0,2
8447,Golf,1904,42.0,1
8448,Golf,1904,43.0,1
8449,Golf,1904,45.0,2
8450,Golf,1904,47.0,2
8451,Golf,1904,48.0,1
8452,Golf,1904,50.0,3
8453,Golf,2016,18.0,3
8454,Golf,2016,19.0,1
8455,Golf,2016,20.0,6
8456,Golf,2016,21.0,7
8457,Golf,2016,22.0,4
8458,Golf,2016,23.0,6
8459,Golf,2016,24.0,6
8460,Golf,2016,25.0,4
8461,Golf,2016,26.0,9
8462,Golf,2016,27.0,6
8463,Golf,2016,28.0,8
8464,Golf,2016,29.0,8
8465,Golf,2016,30.0,6
8466,Golf,2016,31.0,7
8467,Golf,2016,32.0,1
8468,Golf,2016,33.0,2
8469,Golf,2016,34.0,5
8470,Golf,2016,35.0,4
8471,Golf,2016,36.0,5
8472,Golf,2016,37.0,5
8473,Golf,2016,38.0,3
8474,Golf,2016,39.0,1
8475,Golf,2016,40.0,1
8476,Golf,2016,41.0,3
8477,Golf,2016,42.0,2
8478,Golf,2016,43.0,2
8479,Golf,2016,44.0,2
8480,Golf,2016,45.0,1
8481,Golf,2016,46.0,2
