lindex,Sport,Year,Age,count
8482,Gymnastics,1896,10.0,1
8483,Gymnastics,1896,19.0,12
8484,Gymnastics,1896,21.0,17
8485,Gymnastics,1896,23.0,4
8486,Gymnastics,1896,24.0,1
8487,Gymnastics,1896,25.0,7
8488,Gymnastics,1896,26.0,14
8489,Gymnastics,1896,30.0,4
8490,Gymnastics,1896,31.0,13
8491,Gymnastics,1900,17.0,3
8492,Gymnastics,1900,18.0,1
8493,Gymnastics,1900,19.0,2
8494,Gymnastics,1900,20.0,4
8495,Gymnastics,1900,21.0,3
8496,Gymnastics,1900,22.0,6
8497,Gymnastics,1900,23.0,3
8498,Gymnastics,1900,24.0,3
8499,Gymnastics,1900,25.0,5
8500,Gymnastics,1900,26.0,1
8501,Gymnastics,1900,28.0,1
8502,Gymnastics,1900,31.0,1
8503,Gymnastics,1904,18.0,3
8504,Gymnastics,1904,19.0,20
8505,Gymnastics,1904,20.0,18
8506,Gymnastics,1904,21.0,16
8507,Gymnastics,1904,22.0,26
8508,Gymnastics,1904,23.0,25
8509,Gymnastics,1904,24.0,51
8510,Gymnastics,1904,25.0,38
8511,Gymnastics,1904,26.0,16
8512,Gymnastics,1904,27.0,15
8513,Gymnastics,1904,28.0,22
8514,Gymnastics,1904,29.0,22
8515,Gymnastics,1904,30.0,15
8516,Gymnastics,1904,31.0,12
8517,Gymnastics,1904,33.0,10
8518,Gymnastics,1904,34.0,4
8519,Gymnastics,1904,37.0,4
8520,Gymnastics,1906,14.0,4
8521,Gymnastics,1906,18.0,1
8522,Gymnastics,1906,19.0,5
8523,Gymnastics,1906,20.0,1
8524,Gymnastics,1906,21.0,6
8525,Gymnastics,1906,22.0,3
8526,Gymnastics,1906,23.0,11
8527,Gymnastics,1906,24.0,5
8528,Gymnastics,1906,25.0,8
8529,Gymnastics,1906,27.0,6
8530,Gymnastics,1906,28.0,5
8531,Gymnastics,1906,29.0,2
8532,Gymnastics,1906,30.0,6
8533,Gymnastics,1906,32.0,4
8534,Gymnastics,1906,35.0,3
8535,Gymnastics,1908,16.0,6
8536,Gymnastics,1908,17.0,7
8537,Gymnastics,1908,18.0,12
8538,Gymnastics,1908,19.0,24
8539,Gymnastics,1908,20.0,28
8540,Gymnastics,1908,21.0,22
8541,Gymnastics,1908,22.0,26
8542,Gymnastics,1908,23.0,14
8543,Gymnastics,1908,24.0,28
8544,Gymnastics,1908,25.0,13
8545,Gymnastics,1908,26.0,14
8546,Gymnastics,1908,27.0,15
8547,Gymnastics,1908,28.0,8
8548,Gymnastics,1908,29.0,3
8549,Gymnastics,1908,30.0,4
8550,Gymnastics,1908,31.0,4
8551,Gymnastics,1908,32.0,3
8552,Gymnastics,1908,33.0,1
8553,Gymnastics,1908,34.0,3
8554,Gymnastics,1908,36.0,1
8555,Gymnastics,1908,37.0,1
8556,Gymnastics,1908,41.0,2
8557,Gymnastics,1908,49.0,1
8558,Gymnastics,1912,18.0,6
8559,Gymnastics,1912,19.0,19
8560,Gymnastics,1912,20.0,31
8561,Gymnastics,1912,21.0,30
8562,Gymnastics,1912,22.0,36
8563,Gymnastics,1912,23.0,25
8564,Gymnastics,1912,24.0,41
8565,Gymnastics,1912,25.0,18
8566,Gymnastics,1912,26.0,30
8567,Gymnastics,1912,27.0,17
8568,Gymnastics,1912,28.0,10
8569,Gymnastics,1912,29.0,18
8570,Gymnastics,1912,30.0,7
