lindex,Sport,Year,Age,count
11228,Nordic Combined,1924,20.0,2
11229,Nordic Combined,1924,21.0,2
11230,Nordic Combined,1924,23.0,4
11231,Nordic Combined,1924,24.0,3
11232,Nordic Combined,1924,25.0,3
11233,Nordic Combined,1924,26.0,3
11234,Nordic Combined,1924,27.0,3
11235,Nordic Combined,1924,28.0,1
11236,Nordic Combined,1924,29.0,2
11237,Nordic Combined,1924,31.0,1
11238,Nordic Combined,1924,33.0,3
11239,Nordic Combined,1924,34.0,1
11240,Nordic Combined,1924,35.0,1
11241,Nordic Combined,1928,19.0,1
11242,Nordic Combined,1928,20.0,2
11243,Nordic Combined,1928,21.0,2
11244,Nordic Combined,1928,22.0,4
11245,Nordic Combined,1928,23.0,4
11246,Nordic Combined,1928,24.0,2
11247,Nordic Combined,1928,25.0,4
11248,Nordic Combined,1928,26.0,3
11249,Nordic Combined,1928,27.0,3
11250,Nordic Combined,1928,28.0,3
11251,Nordic Combined,1928,29.0,1
11252,Nordic Combined,1928,31.0,1
11253,Nordic Combined,1928,32.0,1
11254,Nordic Combined,1928,39.0,1
11255,Nordic Combined,1932,18.0,2
11256,Nordic Combined,1932,20.0,1
11257,Nordic Combined,1932,21.0,4
11258,Nordic Combined,1932,22.0,4
11259,Nordic Combined,1932,23.0,7
11260,Nordic Combined,1932,24.0,1
11261,Nordic Combined,1932,26.0,4
11262,Nordic Combined,1932,27.0,1
11263,Nordic Combined,1932,28.0,2
11264,Nordic Combined,1932,32.0,1
11265,Nordic Combined,1932,33.0,1
11266,Nordic Combined,1932,37.0,1
11267,Nordic Combined,1936,20.0,2
11268,Nordic Combined,1936,21.0,3
11269,Nordic Combined,1936,22.0,8
11270,Nordic Combined,1936,23.0,10
11271,Nordic Combined,1936,24.0,3
11272,Nordic Combined,1936,25.0,7
11273,Nordic Combined,1936,26.0,5
11274,Nordic Combined,1936,27.0,7
11275,Nordic Combined,1936,28.0,2
11276,Nordic Combined,1936,29.0,2
11277,Nordic Combined,1936,32.0,1
11278,Nordic Combined,1936,34.0,1
11279,Nordic Combined,1948,20.0,1
11280,Nordic Combined,1948,21.0,4
11281,Nordic Combined,1948,23.0,3
11282,Nordic Combined,1948,24.0,1
11283,Nordic Combined,1948,25.0,2
11284,Nordic Combined,1948,26.0,4
11285,Nordic Combined,1948,27.0,2
11286,Nordic Combined,1948,28.0,4
11287,Nordic Combined,1948,29.0,5
