lindex,Sport,Year,Age,count
11522,Polo,1900,24.0,1
11523,Polo,1900,26.0,1
11524,Polo,1900,27.0,1
11525,Polo,1900,28.0,1
11526,Polo,1900,30.0,1
11527,Polo,1900,31.0,1
11528,Polo,1900,32.0,2
11529,Polo,1900,33.0,2
11530,Polo,1900,34.0,2
11531,Polo,1900,37.0,3
11532,Polo,1900,38.0,1
11533,Polo,1900,42.0,1
11534,Polo,1900,44.0,1
11535,Polo,1900,48.0,1
11536,Polo,1908,24.0,1
11537,Polo,1908,31.0,1
11538,Polo,1908,32.0,2
11539,Polo,1908,33.0,2
11540,Polo,1908,35.0,1
11541,Polo,1908,37.0,1
11542,Polo,1908,39.0,1
11543,Polo,1908,40.0,1
11544,Polo,1908,41.0,1
11545,Polo,1920,22.0,1
11546,Polo,1920,26.0,1
11547,Polo,1920,29.0,1
11548,Polo,1920,32.0,1
11549,Polo,1920,36.0,1
11550,Polo,1920,37.0,1
11551,Polo,1920,38.0,3
11552,Polo,1920,39.0,1
11553,Polo,1920,40.0,2
11554,Polo,1920,41.0,1
11555,Polo,1920,43.0,1
11556,Polo,1920,44.0,1
11557,Polo,1920,52.0,1
11558,Polo,1924,24.0,2
11559,Polo,1924,28.0,3
11560,Polo,1924,30.0,1
11561,Polo,1924,31.0,1
11562,Polo,1924,32.0,1
11563,Polo,1924,33.0,2
11564,Polo,1924,35.0,4
11565,Polo,1924,39.0,3
11566,Polo,1924,41.0,1
11567,Polo,1924,43.0,1
11568,Polo,1924,44.0,1
11569,Polo,1924,48.0,2
11570,Polo,1924,53.0,1
11571,Polo,1936,21.0,1
11572,Polo,1936,28.0,1
11573,Polo,1936,29.0,1
11574,Polo,1936,30.0,2
11575,Polo,1936,31.0,2
11576,Polo,1936,32.0,1
11577,Polo,1936,33.0,2
11578,Polo,1936,34.0,1
11579,Polo,1936,35.0,1
11580,Polo,1936,36.0,1
11581,Polo,1936,37.0,1
11582,Polo,1936,38.0,2
11583,Polo,1936,40.0,1
11584,Polo,1936,43.0,1
11585,Polo,1936,44.0,1
11586,Polo,1936,46.0,1
11587,Polo,1936,47.0,1
