lindex,Sport,Year,Age,count
11595,Rhythmic Gymnastics,1984,14.0,1
11596,Rhythmic Gymnastics,1984,15.0,2
11597,Rhythmic Gymnastics,1984,16.0,3
11598,Rhythmic Gymnastics,1984,17.0,1
11599,Rhythmic Gymnastics,1984,18.0,9
11600,Rhythmic Gymnastics,1984,19.0,5
11601,Rhythmic Gymnastics,1984,20.0,4
11602,Rhythmic Gymnastics,1984,21.0,4
11603,Rhythmic Gymnastics,1984,22.0,1
11604,Rhythmic Gymnastics,1984,23.0,1
11605,Rhythmic Gymnastics,1984,24.0,1
11606,Rhythmic Gymnastics,1984,25.0,1
11607,Rhythmic Gymnastics,1988,14.0,1
11608,Rhythmic Gymnastics,1988,15.0,3
11609,Rhythmic Gymnastics,1988,16.0,6
11610,Rhythmic Gymnastics,1988,17.0,7
11611,Rhythmic Gymnastics,1988,18.0,6
11612,Rhythmic Gymnastics,1988,19.0,5
11613,Rhythmic Gymnastics,1988,20.0,1
11614,Rhythmic Gymnastics,1988,21.0,7
11615,Rhythmic Gymnastics,1988,22.0,1
11616,Rhythmic Gymnastics,1988,23.0,1
11617,Rhythmic Gymnastics,1988,24.0,1
11618,Rhythmic Gymnastics,1992,13.0,1
11619,Rhythmic Gymnastics,1992,14.0,2
11620,Rhythmic Gymnastics,1992,15.0,7
11621,Rhythmic Gymnastics,1992,16.0,13
11622,Rhythmic Gymnastics,1992,17.0,6
11623,Rhythmic Gymnastics,1992,18.0,4
11624,Rhythmic Gymnastics,1992,19.0,3
11625,Rhythmic Gymnastics,1992,20.0,6
11626,Rhythmic Gymnastics,1996,14.0,1
11627,Rhythmic Gymnastics,1996,15.0,10
11628,Rhythmic Gymnastics,1996,16.0,18
11629,Rhythmic Gymnastics,1996,17.0,15
11630,Rhythmic Gymnastics,1996,18.0,18
11631,Rhythmic Gymnastics,1996,19.0,16
11632,Rhythmic Gymnastics,1996,20.0,5
11633,Rhythmic Gymnastics,1996,21.0,4
11634,Rhythmic Gymnastics,1996,22.0,1
11635,Rhythmic Gymnastics,1996,23.0,2
11636,Rhythmic Gymnastics,2000,14.0,2
11637,Rhythmic Gymnastics,2000,15.0,5
11638,Rhythmic Gymnastics,2000,16.0,15
11639,Rhythmic Gymnastics,2000,17.0,16
11640,Rhythmic Gymnastics,2000,18.0,16
11641,Rhythmic Gymnastics,2000,19.0,11
11642,Rhythmic Gymnastics,2000,20.0,8
11643,Rhythmic Gymnastics,2000,21.0,3
11644,Rhythmic Gymnastics,2000,22.0,2
11645,Rhythmic Gymnastics,2000,23.0,5
11646,Rhythmic Gymnastics,2000,24.0,1
11647,Rhythmic Gymnastics,2004,15.0,10
11648,Rhythmic Gymnastics,2004,16.0,8
11649,Rhythmic Gymnastics,2004,17.0,13
11650,Rhythmic Gymnastics,2004,18.0,18
11651,Rhythmic Gymnastics,2004,19.0,16
11652,Rhythmic Gymnastics,2004,20.0,11
11653,Rhythmic Gymnastics,2004,21.0,3
11654,Rhythmic Gymnastics,2004,22.0,2
11655,Rhythmic Gymnastics,2004,23.0,1
11656,Rhythmic Gymnastics,2004,24.0,1
11657,Rhythmic Gymnastics,2004,26.0,1
11658,Rhythmic Gymnastics,2008,15.0,2
11659,Rhythmic Gymnastics,2008,16.0,7
11660,Rhythmic Gymnastics,2008,17.0,7
11661,Rhythmic Gymnastics,2008,18.0,17
11662,Rhythmic Gymnastics,2008,19.0,20
11663,Rhythmic Gymnastics,2008,20.0,14
11664,Rhythmic Gymnastics,2008,21.0,10
11665,Rhythmic Gymnastics,2008,22.0,7
11666,Rhythmic Gymnastics,2008,23.0,5
11667,Rhythmic Gymnastics,2008,24.0,4
11668,Rhythmic Gymnastics,2008,25.0,1
11669,Rhythmic Gymnastics,2008,28.0,1
11670,Rhythmic Gymnastics,2012,16.0,4
11671,Rhythmic Gymnastics,2012,17.0,18
11672,Rhythmic Gymnastics,2012,18.0,21
11673,Rhythmic Gymnastics,2012,19.0,13
11674,Rhythmic Gymnastics,2012,20.0,11
11675,Rhythmic Gymnastics,2012,21.0,9
11676,Rhythmic Gymnastics,2012,22.0,8
11677,Rhythmic Gymnastics,2012,23.0,1
11678,Rhythmic Gymnastics,2012,24.0,4
11679,Rhythmic Gymnastics,2012,25.0,1
11680,Rhythmic Gymnastics,2012,26.0,3
11681,Rhythmic Gymnastics,2012,27.0,2
11682,Rhythmic Gymnastics,2016,16.0,3
11683,Rhythmic Gymnastics,2016,17.0,7
11684,Rhythmic Gymnastics,2016,18.0,18
11685,Rhythmic Gymnastics,2016,19.0,14
11686,Rhythmic Gymnastics,2016,20.0,11
11687,Rhythmic Gymnastics,2016,21.0,15
11688,Rhythmic Gymnastics,2016,22.0,12
11689,Rhythmic Gymnastics,2016,23.0,7
11690,Rhythmic Gymnastics,2016,24.0,3
11691,Rhythmic Gymnastics,2016,25.0,5
11692,Rhythmic Gymnastics,2016,30.0,1
