lindex,Sport,Year,Age,count
11696,Rowing,1900,15.0,3
11697,Rowing,1900,19.0,5
11698,Rowing,1900,20.0,8
11699,Rowing,1900,21.0,14
11700,Rowing,1900,22.0,12
11701,Rowing,1900,23.0,2
11702,Rowing,1900,24.0,13
11703,Rowing,1900,25.0,13
11704,Rowing,1900,26.0,4
11705,Rowing,1900,27.0,4
11706,Rowing,1900,28.0,8
11707,Rowing,1900,29.0,4
11708,Rowing,1900,30.0,2
11709,Rowing,1900,31.0,3
11710,Rowing,1900,32.0,1
11711,Rowing,1900,35.0,1
11712,Rowing,1900,36.0,1
11713,Rowing,1904,16.0,1
11714,Rowing,1904,19.0,2
11715,Rowing,1904,20.0,1
11716,Rowing,1904,21.0,1
11717,Rowing,1904,22.0,1
11718,Rowing,1904,23.0,3
11719,Rowing,1904,24.0,4
11720,Rowing,1904,25.0,4
11721,Rowing,1904,26.0,2
11722,Rowing,1904,27.0,5
11723,Rowing,1904,28.0,3
11724,Rowing,1904,29.0,2
11725,Rowing,1904,30.0,3
11726,Rowing,1904,31.0,1
11727,Rowing,1904,33.0,2
11728,Rowing,1904,34.0,2
11729,Rowing,1904,37.0,2
11730,Rowing,1904,40.0,1
11731,Rowing,1906,14.0,6
11732,Rowing,1906,19.0,1
11733,Rowing,1906,22.0,2
11734,Rowing,1906,23.0,3
11735,Rowing,1906,24.0,12
11736,Rowing,1906,25.0,11
11737,Rowing,1906,26.0,4
11738,Rowing,1906,27.0,4
11739,Rowing,1906,29.0,1
11740,Rowing,1906,30.0,2
11741,Rowing,1906,35.0,3
11742,Rowing,1906,36.0,1
11743,Rowing,1906,40.0,1
11744,Rowing,1908,18.0,2
11745,Rowing,1908,19.0,4
11746,Rowing,1908,20.0,7
11747,Rowing,1908,21.0,8
11748,Rowing,1908,22.0,15
11749,Rowing,1908,23.0,7
11750,Rowing,1908,24.0,6
11751,Rowing,1908,25.0,6
11752,Rowing,1908,26.0,3
11753,Rowing,1908,27.0,2
11754,Rowing,1908,28.0,4
11755,Rowing,1908,29.0,2
11756,Rowing,1908,30.0,2
11757,Rowing,1908,31.0,3
11758,Rowing,1908,32.0,1
11759,Rowing,1908,33.0,1
11760,Rowing,1908,39.0,1
11761,Rowing,1908,41.0,1
11762,Rowing,1908,44.0,1
11763,Rowing,1912,16.0,3
11764,Rowing,1912,18.0,4
11765,Rowing,1912,19.0,10
11766,Rowing,1912,20.0,12
11767,Rowing,1912,21.0,20
11768,Rowing,1912,22.0,18
11769,Rowing,1912,23.0,15
11770,Rowing,1912,24.0,16
11771,Rowing,1912,25.0,19
11772,Rowing,1912,26.0,13
11773,Rowing,1912,27.0,20
11774,Rowing,1912,28.0,3
11775,Rowing,1912,29.0,10
11776,Rowing,1912,30.0,3
11777,Rowing,1912,31.0,4
11778,Rowing,1912,32.0,8
11779,Rowing,1912,33.0,7
11780,Rowing,1912,34.0,7
11781,Rowing,1912,35.0,1
11782,Rowing,1912,37.0,2
11783,Rowing,1912,43.0,1
11784,Rowing,1920,15.0,1
11785,Rowing,1920,18.0,1
11786,Rowing,1920,19.0,6
11787,Rowing,1920,20.0,8
11788,Rowing,1920,21.0,5
11789,Rowing,1920,22.0,6
11790,Rowing,1920,23.0,7
11791,Rowing,1920,24.0,5
11792,Rowing,1920,25.0,9
11793,Rowing,1920,26.0,9
11794,Rowing,1920,27.0,6
11795,Rowing,1920,28.0,6
11796,Rowing,1920,29.0,6
11797,Rowing,1920,30.0,8
11798,Rowing,1920,31.0,5
11799,Rowing,1920,32.0,4
11800,Rowing,1920,33.0,4
11801,Rowing,1920,34.0,2
11802,Rowing,1920,35.0,2
11803,Rowing,1920,36.0,2
11804,Rowing,1920,40.0,1
11805,Rowing,1920,58.0,1
11806,Rowing,1924,14.0,2
11807,Rowing,1924,18.0,3
11808,Rowing,1924,19.0,8
11809,Rowing,1924,20.0,11
11810,Rowing,1924,21.0,11
11811,Rowing,1924,22.0,18
11812,Rowing,1924,23.0,17
11813,Rowing,1924,24.0,11
11814,Rowing,1924,25.0,12
11815,Rowing,1924,26.0,10
11816,Rowing,1924,27.0,4
11817,Rowing,1924,28.0,7
11818,Rowing,1924,29.0,9
11819,Rowing,1924,30.0,2
11820,Rowing,1924,31.0,4
11821,Rowing,1924,32.0,2
11822,Rowing,1924,33.0,1
11823,Rowing,1924,34.0,5
11824,Rowing,1924,36.0,1
11825,Rowing,1924,37.0,2
11826,Rowing,1924,38.0,2
11827,Rowing,1924,40.0,2
11828,Rowing,1924,41.0,1
11829,Rowing,1928,13.0,1
11830,Rowing,1928,14.0,1
11831,Rowing,1928,16.0,1
11832,Rowing,1928,18.0,4
11833,Rowing,1928,19.0,15
11834,Rowing,1928,20.0,19
11835,Rowing,1928,21.0,28
11836,Rowing,1928,22.0,12
11837,Rowing,1928,23.0,15
11838,Rowing,1928,24.0,14
11839,Rowing,1928,25.0,16
11840,Rowing,1928,26.0,12
11841,Rowing,1928,27.0,5
11842,Rowing,1928,28.0,5
11843,Rowing,1928,29.0,7
11844,Rowing,1928,30.0,3
11845,Rowing,1928,31.0,5
11846,Rowing,1928,32.0,5
11847,Rowing,1928,33.0,4
11848,Rowing,1928,35.0,1
11849,Rowing,1928,36.0,1
11850,Rowing,1928,37.0,2
11851,Rowing,1928,42.0,1
11852,Rowing,1932,16.0,1
11853,Rowing,1932,18.0,2
11854,Rowing,1932,19.0,5
11855,Rowing,1932,20.0,6
11856,Rowing,1932,21.0,17
11857,Rowing,1932,22.0,12
11858,Rowing,1932,23.0,11
11859,Rowing,1932,24.0,17
11860,Rowing,1932,25.0,15
11861,Rowing,1932,26.0,22
11862,Rowing,1932,27.0,8
11863,Rowing,1932,28.0,5
11864,Rowing,1932,29.0,9
11865,Rowing,1932,30.0,3
11866,Rowing,1932,31.0,2
11867,Rowing,1932,32.0,1
11868,Rowing,1932,33.0,2
11869,Rowing,1932,34.0,2
11870,Rowing,1932,35.0,1
11871,Rowing,1932,37.0,1
11872,Rowing,1932,41.0,2
11873,Rowing,1936,12.0,2
11874,Rowing,1936,14.0,1
11875,Rowing,1936,16.0,2
11876,Rowing,1936,18.0,4
11877,Rowing,1936,19.0,10
11878,Rowing,1936,20.0,19
11879,Rowing,1936,21.0,33
11880,Rowing,1936,22.0,36
11881,Rowing,1936,23.0,39
11882,Rowing,1936,24.0,32
11883,Rowing,1936,25.0,37
11884,Rowing,1936,26.0,32
11885,Rowing,1936,27.0,27
11886,Rowing,1936,28.0,17
11887,Rowing,1936,29.0,14
11888,Rowing,1936,30.0,8
11889,Rowing,1936,31.0,9
11890,Rowing,1936,32.0,4
11891,Rowing,1936,33.0,3
11892,Rowing,1936,34.0,4
11893,Rowing,1936,35.0,5
11894,Rowing,1936,37.0,3
11895,Rowing,1936,38.0,2
11896,Rowing,1936,39.0,1
11897,Rowing,1936,45.0,1
11898,Rowing,1948,16.0,1
11899,Rowing,1948,17.0,3
11900,Rowing,1948,18.0,4
11901,Rowing,1948,19.0,14
11902,Rowing,1948,20.0,24
11903,Rowing,1948,21.0,18
11904,Rowing,1948,22.0,23
11905,Rowing,1948,23.0,25
11906,Rowing,1948,24.0,23
11907,Rowing,1948,25.0,10
11908,Rowing,1948,26.0,14
11909,Rowing,1948,27.0,18
11910,Rowing,1948,28.0,11
11911,Rowing,1948,29.0,5
11912,Rowing,1948,30.0,12
11913,Rowing,1948,31.0,6
11914,Rowing,1948,32.0,4
11915,Rowing,1948,33.0,9
11916,Rowing,1948,34.0,4
11917,Rowing,1948,35.0,9
11918,Rowing,1948,36.0,1
11919,Rowing,1948,37.0,4
11920,Rowing,1948,38.0,1
11921,Rowing,1948,40.0,1
11922,Rowing,1948,41.0,1
11923,Rowing,1948,42.0,1
11924,Rowing,1948,44.0,1
11925,Rowing,1948,45.0,1
11926,Rowing,1952,14.0,2
11927,Rowing,1952,15.0,2
11928,Rowing,1952,16.0,3
11929,Rowing,1952,17.0,5
11930,Rowing,1952,18.0,3
11931,Rowing,1952,19.0,7
11932,Rowing,1952,20.0,22
11933,Rowing,1952,21.0,42
11934,Rowing,1952,22.0,57
11935,Rowing,1952,23.0,42
11936,Rowing,1952,24.0,32
11937,Rowing,1952,25.0,28
11938,Rowing,1952,26.0,45
11939,Rowing,1952,27.0,23
11940,Rowing,1952,28.0,24
11941,Rowing,1952,29.0,8
11942,Rowing,1952,30.0,16
11943,Rowing,1952,31.0,9
11944,Rowing,1952,33.0,1
11945,Rowing,1952,34.0,6
11946,Rowing,1952,35.0,4
11947,Rowing,1952,36.0,1
11948,Rowing,1952,37.0,1
11949,Rowing,1952,38.0,1
11950,Rowing,1952,39.0,3
11951,Rowing,1952,41.0,2
11952,Rowing,1952,44.0,1
11953,Rowing,1956,13.0,1
11954,Rowing,1956,14.0,1
11955,Rowing,1956,15.0,1
11956,Rowing,1956,16.0,1
11957,Rowing,1956,17.0,2
11958,Rowing,1956,18.0,3
11959,Rowing,1956,19.0,14
11960,Rowing,1956,20.0,13
11961,Rowing,1956,21.0,21
11962,Rowing,1956,22.0,22
11963,Rowing,1956,23.0,17
11964,Rowing,1956,24.0,21
11965,Rowing,1956,25.0,27
11966,Rowing,1956,26.0,25
11967,Rowing,1956,27.0,14
11968,Rowing,1956,28.0,12
11969,Rowing,1956,29.0,3
11970,Rowing,1956,30.0,4
11971,Rowing,1956,31.0,6
11972,Rowing,1956,32.0,2
11973,Rowing,1956,33.0,1
11974,Rowing,1956,34.0,1
11975,Rowing,1956,35.0,1
11976,Rowing,1956,37.0,2
11977,Rowing,1956,39.0,1
11978,Rowing,1960,13.0,6
11979,Rowing,1960,15.0,1
11980,Rowing,1960,16.0,7
11981,Rowing,1960,17.0,2
11982,Rowing,1960,18.0,7
11983,Rowing,1960,19.0,16
11984,Rowing,1960,20.0,33
11985,Rowing,1960,21.0,40
11986,Rowing,1960,22.0,57
11987,Rowing,1960,23.0,39
11988,Rowing,1960,24.0,48
11989,Rowing,1960,25.0,36
11990,Rowing,1960,26.0,28
11991,Rowing,1960,27.0,16
11992,Rowing,1960,28.0,24
11993,Rowing,1960,29.0,25
11994,Rowing,1960,30.0,23
11995,Rowing,1960,31.0,4
11996,Rowing,1960,32.0,4
11997,Rowing,1960,33.0,3
11998,Rowing,1960,34.0,2
11999,Rowing,1960,35.0,1
12000,Rowing,1960,36.0,1
12001,Rowing,1960,38.0,3
12002,Rowing,1964,14.0,1
12003,Rowing,1964,15.0,2
12004,Rowing,1964,16.0,2
12005,Rowing,1964,17.0,1
12006,Rowing,1964,18.0,3
12007,Rowing,1964,19.0,7
12008,Rowing,1964,20.0,21
12009,Rowing,1964,21.0,36
12010,Rowing,1964,22.0,50
12011,Rowing,1964,23.0,44
12012,Rowing,1964,24.0,37
12013,Rowing,1964,25.0,44
12014,Rowing,1964,26.0,33
12015,Rowing,1964,27.0,23
12016,Rowing,1964,28.0,25
12017,Rowing,1964,29.0,16
12018,Rowing,1964,30.0,9
12019,Rowing,1964,31.0,6
12020,Rowing,1964,32.0,2
12021,Rowing,1964,33.0,6
12022,Rowing,1964,34.0,6
12023,Rowing,1964,36.0,1
12024,Rowing,1964,38.0,1
12025,Rowing,1964,46.0,1
12026,Rowing,1964,60.0,1
12027,Rowing,1968,14.0,2
12028,Rowing,1968,15.0,4
12029,Rowing,1968,16.0,1
12030,Rowing,1968,17.0,2
12031,Rowing,1968,18.0,6
12032,Rowing,1968,19.0,7
12033,Rowing,1968,20.0,30
12034,Rowing,1968,21.0,40
12035,Rowing,1968,22.0,38
12036,Rowing,1968,23.0,28
12037,Rowing,1968,24.0,46
12038,Rowing,1968,25.0,42
12039,Rowing,1968,26.0,35
12040,Rowing,1968,27.0,20
12041,Rowing,1968,28.0,19
12042,Rowing,1968,29.0,9
12043,Rowing,1968,30.0,5
12044,Rowing,1968,31.0,5
12045,Rowing,1968,32.0,3
12046,Rowing,1968,33.0,4
12047,Rowing,1968,34.0,3
12048,Rowing,1968,36.0,3
12049,Rowing,1968,37.0,1
12050,Rowing,1968,38.0,4
12051,Rowing,1968,40.0,1
12052,Rowing,1972,12.0,1
12053,Rowing,1972,13.0,4
12054,Rowing,1972,14.0,4
12055,Rowing,1972,15.0,4
12056,Rowing,1972,16.0,2
12057,Rowing,1972,17.0,1
12058,Rowing,1972,19.0,12
12059,Rowing,1972,20.0,26
12060,Rowing,1972,21.0,51
12061,Rowing,1972,22.0,37
12062,Rowing,1972,23.0,50
12063,Rowing,1972,24.0,47
12064,Rowing,1972,25.0,46
12065,Rowing,1972,26.0,44
12066,Rowing,1972,27.0,19
12067,Rowing,1972,28.0,31
12068,Rowing,1972,29.0,22
12069,Rowing,1972,30.0,15
12070,Rowing,1972,31.0,10
12071,Rowing,1972,32.0,6
12072,Rowing,1972,33.0,2
12073,Rowing,1972,35.0,1
12074,Rowing,1972,36.0,1
12075,Rowing,1972,37.0,1
12076,Rowing,1972,40.0,1
12077,Rowing,1972,41.0,3
12078,Rowing,1976,14.0,1
12079,Rowing,1976,15.0,3
12080,Rowing,1976,16.0,3
12081,Rowing,1976,17.0,6
12082,Rowing,1976,18.0,8
12083,Rowing,1976,19.0,22
12084,Rowing,1976,20.0,37
12085,Rowing,1976,21.0,61
12086,Rowing,1976,22.0,65
12087,Rowing,1976,23.0,78
12088,Rowing,1976,24.0,50
12089,Rowing,1976,25.0,68
12090,Rowing,1976,26.0,51
12091,Rowing,1976,27.0,43
12092,Rowing,1976,28.0,30
12093,Rowing,1976,29.0,21
12094,Rowing,1976,30.0,21
12095,Rowing,1976,31.0,5
12096,Rowing,1976,32.0,6
12097,Rowing,1976,33.0,10
12098,Rowing,1976,34.0,5
12099,Rowing,1976,36.0,3
12100,Rowing,1976,45.0,1
12101,Rowing,1980,14.0,1
12102,Rowing,1980,16.0,2
12103,Rowing,1980,17.0,1
12104,Rowing,1980,18.0,15
12105,Rowing,1980,19.0,17
12106,Rowing,1980,20.0,44
12107,Rowing,1980,21.0,49
12108,Rowing,1980,22.0,64
12109,Rowing,1980,23.0,50
12110,Rowing,1980,24.0,45
12111,Rowing,1980,25.0,36
12112,Rowing,1980,26.0,38
12113,Rowing,1980,27.0,34
12114,Rowing,1980,28.0,23
12115,Rowing,1980,29.0,25
12116,Rowing,1980,30.0,16
12117,Rowing,1980,31.0,7
12118,Rowing,1980,32.0,4
12119,Rowing,1980,33.0,3
12120,Rowing,1980,34.0,6
12121,Rowing,1980,35.0,2
12122,Rowing,1980,37.0,3
12123,Rowing,1980,38.0,1
12124,Rowing,1980,43.0,1
12125,Rowing,1980,48.0,1
12126,Rowing,1984,12.0,1
12127,Rowing,1984,16.0,2
12128,Rowing,1984,17.0,1
12129,Rowing,1984,18.0,7
12130,Rowing,1984,19.0,19
12131,Rowing,1984,20.0,19
12132,Rowing,1984,21.0,37
12133,Rowing,1984,22.0,50
12134,Rowing,1984,23.0,69
12135,Rowing,1984,24.0,45
12136,Rowing,1984,25.0,50
12137,Rowing,1984,26.0,57
12138,Rowing,1984,27.0,32
12139,Rowing,1984,28.0,17
12140,Rowing,1984,29.0,18
12141,Rowing,1984,30.0,10
12142,Rowing,1984,31.0,9
12143,Rowing,1984,32.0,9
12144,Rowing,1984,33.0,3
12145,Rowing,1984,34.0,2
12146,Rowing,1984,35.0,1
12147,Rowing,1984,36.0,3
12148,Rowing,1984,37.0,1
12149,Rowing,1984,38.0,1
12150,Rowing,1984,45.0,1
12151,Rowing,1984,47.0,1
12152,Rowing,1988,15.0,2
12153,Rowing,1988,17.0,2
12154,Rowing,1988,19.0,22
12155,Rowing,1988,20.0,40
12156,Rowing,1988,21.0,65
12157,Rowing,1988,22.0,55
12158,Rowing,1988,23.0,66
12159,Rowing,1988,24.0,60
12160,Rowing,1988,25.0,65
12161,Rowing,1988,26.0,57
12162,Rowing,1988,27.0,47
12163,Rowing,1988,28.0,30
12164,Rowing,1988,29.0,23
12165,Rowing,1988,30.0,32
12166,Rowing,1988,31.0,19
12167,Rowing,1988,32.0,4
12168,Rowing,1988,33.0,5
12169,Rowing,1988,34.0,9
12170,Rowing,1988,35.0,5
12171,Rowing,1988,36.0,5
12172,Rowing,1988,37.0,2
12173,Rowing,1988,39.0,3
12174,Rowing,1988,40.0,1
12175,Rowing,1988,41.0,1
12176,Rowing,1988,42.0,1
12177,Rowing,1988,56.0,2
12178,Rowing,1992,11.0,1
12179,Rowing,1992,14.0,1
12180,Rowing,1992,16.0,3
12181,Rowing,1992,17.0,4
12182,Rowing,1992,18.0,11
12183,Rowing,1992,19.0,18
12184,Rowing,1992,20.0,41
12185,Rowing,1992,21.0,51
12186,Rowing,1992,22.0,56
12187,Rowing,1992,23.0,55
12188,Rowing,1992,24.0,60
12189,Rowing,1992,25.0,69
12190,Rowing,1992,26.0,67
12191,Rowing,1992,27.0,60
12192,Rowing,1992,28.0,39
12193,Rowing,1992,29.0,29
12194,Rowing,1992,30.0,23
12195,Rowing,1992,31.0,21
12196,Rowing,1992,32.0,10
12197,Rowing,1992,33.0,9
12198,Rowing,1992,34.0,11
12199,Rowing,1992,35.0,10
12200,Rowing,1992,37.0,2
12201,Rowing,1992,38.0,2
12202,Rowing,1992,39.0,2
12203,Rowing,1992,44.0,1
12204,Rowing,1992,46.0,1
12205,Rowing,1992,50.0,1
12206,Rowing,1996,16.0,1
12207,Rowing,1996,17.0,3
12208,Rowing,1996,18.0,4
12209,Rowing,1996,19.0,13
12210,Rowing,1996,20.0,27
12211,Rowing,1996,21.0,36
12212,Rowing,1996,22.0,46
12213,Rowing,1996,23.0,58
12214,Rowing,1996,24.0,77
12215,Rowing,1996,25.0,43
12216,Rowing,1996,26.0,56
12217,Rowing,1996,27.0,51
12218,Rowing,1996,28.0,56
12219,Rowing,1996,29.0,42
12220,Rowing,1996,30.0,31
12221,Rowing,1996,31.0,28
12222,Rowing,1996,32.0,14
12223,Rowing,1996,33.0,11
12224,Rowing,1996,34.0,10
12225,Rowing,1996,35.0,5
12226,Rowing,1996,36.0,3
12227,Rowing,1996,37.0,3
12228,Rowing,1996,38.0,1
12229,Rowing,1996,46.0,1
12230,Rowing,1996,51.0,1
12231,Rowing,2000,17.0,1
12232,Rowing,2000,18.0,3
12233,Rowing,2000,19.0,7
12234,Rowing,2000,20.0,13
12235,Rowing,2000,21.0,17
12236,Rowing,2000,22.0,46
12237,Rowing,2000,23.0,41
12238,Rowing,2000,24.0,56
12239,Rowing,2000,25.0,51
12240,Rowing,2000,26.0,60
12241,Rowing,2000,27.0,52
12242,Rowing,2000,28.0,49
12243,Rowing,2000,29.0,38
12244,Rowing,2000,30.0,26
12245,Rowing,2000,31.0,28
12246,Rowing,2000,32.0,21
12247,Rowing,2000,33.0,20
12248,Rowing,2000,34.0,10
12249,Rowing,2000,35.0,8
12250,Rowing,2000,36.0,3
12251,Rowing,2000,37.0,3
12252,Rowing,2000,38.0,4
12253,Rowing,2000,39.0,1
12254,Rowing,2000,40.0,1
12255,Rowing,2000,51.0,2
12256,Rowing,2004,17.0,3
12257,Rowing,2004,18.0,6
12258,Rowing,2004,19.0,11
12259,Rowing,2004,20.0,15
12260,Rowing,2004,21.0,40
12261,Rowing,2004,22.0,46
12262,Rowing,2004,23.0,44
12263,Rowing,2004,24.0,50
12264,Rowing,2004,25.0,51
12265,Rowing,2004,26.0,47
12266,Rowing,2004,27.0,45
12267,Rowing,2004,28.0,48
12268,Rowing,2004,29.0,36
12269,Rowing,2004,30.0,28
12270,Rowing,2004,31.0,23
12271,Rowing,2004,32.0,28
12272,Rowing,2004,33.0,10
12273,Rowing,2004,34.0,8
12274,Rowing,2004,35.0,5
12275,Rowing,2004,36.0,6
12276,Rowing,2004,37.0,2
12277,Rowing,2004,38.0,2
12278,Rowing,2004,39.0,4
12279,Rowing,2004,40.0,1
12280,Rowing,2008,19.0,13
12281,Rowing,2008,20.0,17
12282,Rowing,2008,21.0,25
12283,Rowing,2008,22.0,34
12284,Rowing,2008,23.0,36
12285,Rowing,2008,24.0,48
12286,Rowing,2008,25.0,74
12287,Rowing,2008,26.0,52
12288,Rowing,2008,27.0,57
12289,Rowing,2008,28.0,40
12290,Rowing,2008,29.0,38
12291,Rowing,2008,30.0,35
12292,Rowing,2008,31.0,17
12293,Rowing,2008,32.0,26
12294,Rowing,2008,33.0,11
12295,Rowing,2008,34.0,12
12296,Rowing,2008,35.0,7
12297,Rowing,2008,36.0,7
12298,Rowing,2008,37.0,3
12299,Rowing,2008,38.0,3
12300,Rowing,2008,39.0,1
12301,Rowing,2008,40.0,3
12302,Rowing,2008,42.0,2
12303,Rowing,2008,44.0,1
12304,Rowing,2008,48.0,1
12305,Rowing,2012,17.0,2
12306,Rowing,2012,18.0,4
12307,Rowing,2012,19.0,7
12308,Rowing,2012,20.0,8
12309,Rowing,2012,21.0,25
12310,Rowing,2012,22.0,29
12311,Rowing,2012,23.0,53
12312,Rowing,2012,24.0,42
12313,Rowing,2012,25.0,42
12314,Rowing,2012,26.0,55
12315,Rowing,2012,27.0,50
12316,Rowing,2012,28.0,39
12317,Rowing,2012,29.0,50
12318,Rowing,2012,30.0,34
12319,Rowing,2012,31.0,23
12320,Rowing,2012,32.0,23
12321,Rowing,2012,33.0,15
12322,Rowing,2012,34.0,14
12323,Rowing,2012,35.0,8
12324,Rowing,2012,36.0,9
12325,Rowing,2012,37.0,4
12326,Rowing,2012,38.0,5
12327,Rowing,2012,39.0,2
12328,Rowing,2012,40.0,4
12329,Rowing,2012,41.0,1
12330,Rowing,2012,42.0,1
12331,Rowing,2012,52.0,1
12332,Rowing,2016,18.0,3
12333,Rowing,2016,19.0,12
12334,Rowing,2016,20.0,12
12335,Rowing,2016,21.0,20
12336,Rowing,2016,22.0,34
12337,Rowing,2016,23.0,40
12338,Rowing,2016,24.0,43
12339,Rowing,2016,25.0,64
12340,Rowing,2016,26.0,48
12341,Rowing,2016,27.0,53
12342,Rowing,2016,28.0,42
12343,Rowing,2016,29.0,43
12344,Rowing,2016,30.0,36
12345,Rowing,2016,31.0,28
12346,Rowing,2016,32.0,22
12347,Rowing,2016,33.0,16
12348,Rowing,2016,34.0,10
12349,Rowing,2016,35.0,7
12350,Rowing,2016,36.0,4
12351,Rowing,2016,37.0,5
12352,Rowing,2016,39.0,3
12353,Rowing,2016,40.0,2
12354,Rowing,2016,42.0,1
12355,Rowing,2016,44.0,1
12356,Rowing,2016,56.0,1
