lindex,Sport,Year,Age,count
12403,Rugby Sevens,2016,18.0,2
12404,Rugby Sevens,2016,19.0,6
12405,Rugby Sevens,2016,20.0,11
12406,Rugby Sevens,2016,21.0,10
12407,Rugby Sevens,2016,22.0,25
12408,Rugby Sevens,2016,23.0,29
12409,Rugby Sevens,2016,24.0,33
12410,Rugby Sevens,2016,25.0,28
12411,Rugby Sevens,2016,26.0,26
12412,Rugby Sevens,2016,27.0,22
12413,Rugby Sevens,2016,28.0,31
12414,Rugby Sevens,2016,29.0,20
12415,Rugby Sevens,2016,30.0,15
12416,Rugby Sevens,2016,31.0,13
12417,Rugby Sevens,2016,32.0,10
12418,Rugby Sevens,2016,33.0,8
12419,Rugby Sevens,2016,34.0,7
12420,Rugby Sevens,2016,35.0,2
12421,Rugby Sevens,2016,36.0,1
