lindex,Sport,Year,Age,count
12422,Sailing,1900,16.0,3
12423,Sailing,1900,18.0,3
12424,Sailing,1900,23.0,3
12425,Sailing,1900,24.0,2
12426,Sailing,1900,27.0,9
12427,Sailing,1900,28.0,9
12428,Sailing,1900,29.0,11
12429,Sailing,1900,30.0,3
12430,Sailing,1900,31.0,9
12431,Sailing,1900,32.0,12
12432,Sailing,1900,33.0,3
12433,Sailing,1900,34.0,14
12434,Sailing,1900,36.0,7
12435,Sailing,1900,38.0,8
12436,Sailing,1900,39.0,3
12437,Sailing,1900,40.0,4
12438,Sailing,1900,44.0,7
12439,Sailing,1900,47.0,3
12440,Sailing,1900,48.0,1
12441,Sailing,1900,49.0,3
12442,Sailing,1900,50.0,2
12443,Sailing,1900,51.0,1
12444,Sailing,1900,53.0,6
12445,Sailing,1900,55.0,3
12446,Sailing,1900,62.0,3
12447,Sailing,1900,71.0,6
12448,Sailing,1908,17.0,1
12449,Sailing,1908,20.0,1
12450,Sailing,1908,21.0,1
12451,Sailing,1908,23.0,1
12452,Sailing,1908,24.0,1
12453,Sailing,1908,25.0,1
12454,Sailing,1908,26.0,1
12455,Sailing,1908,29.0,2
12456,Sailing,1908,30.0,2
12457,Sailing,1908,31.0,3
12458,Sailing,1908,32.0,4
12459,Sailing,1908,33.0,5
12460,Sailing,1908,34.0,2
12461,Sailing,1908,35.0,1
12462,Sailing,1908,36.0,4
12463,Sailing,1908,37.0,4
12464,Sailing,1908,38.0,3
12465,Sailing,1908,39.0,3
12466,Sailing,1908,41.0,3
12467,Sailing,1908,42.0,3
12468,Sailing,1908,43.0,1
12469,Sailing,1908,44.0,1
12470,Sailing,1908,48.0,1
12471,Sailing,1908,51.0,2
12472,Sailing,1908,54.0,1
12473,Sailing,1908,55.0,2
12474,Sailing,1908,58.0,1
12475,Sailing,1912,16.0,1
12476,Sailing,1912,17.0,1
12477,Sailing,1912,19.0,5
12478,Sailing,1912,20.0,4
12479,Sailing,1912,21.0,3
12480,Sailing,1912,22.0,1
12481,Sailing,1912,23.0,4
12482,Sailing,1912,24.0,3
12483,Sailing,1912,25.0,5
12484,Sailing,1912,26.0,6
12485,Sailing,1912,27.0,7
12486,Sailing,1912,28.0,7
12487,Sailing,1912,29.0,3
12488,Sailing,1912,30.0,5
12489,Sailing,1912,31.0,4
12490,Sailing,1912,32.0,4
12491,Sailing,1912,33.0,1
12492,Sailing,1912,34.0,3
12493,Sailing,1912,35.0,3
12494,Sailing,1912,36.0,2
12495,Sailing,1912,37.0,2
12496,Sailing,1912,38.0,3
12497,Sailing,1912,39.0,1
12498,Sailing,1912,40.0,1
12499,Sailing,1912,41.0,3
12500,Sailing,1912,42.0,2
12501,Sailing,1912,44.0,1
12502,Sailing,1912,45.0,2
12503,Sailing,1912,46.0,2
12504,Sailing,1912,47.0,3
12505,Sailing,1912,48.0,1
12506,Sailing,1912,49.0,1
12507,Sailing,1912,50.0,1
12508,Sailing,1912,52.0,2
12509,Sailing,1912,56.0,1
12510,Sailing,1920,14.0,1
12511,Sailing,1920,18.0,2
12512,Sailing,1920,19.0,2
12513,Sailing,1920,20.0,3
12514,Sailing,1920,21.0,1
12515,Sailing,1920,22.0,2
12516,Sailing,1920,23.0,3
12517,Sailing,1920,24.0,4
12518,Sailing,1920,25.0,4
12519,Sailing,1920,26.0,3
12520,Sailing,1920,27.0,2
12521,Sailing,1920,28.0,2
12522,Sailing,1920,29.0,1
12523,Sailing,1920,30.0,7
12524,Sailing,1920,31.0,3
12525,Sailing,1920,32.0,3
12526,Sailing,1920,33.0,4
12527,Sailing,1920,34.0,4
12528,Sailing,1920,35.0,4
12529,Sailing,1920,36.0,9
12530,Sailing,1920,37.0,3
12531,Sailing,1920,38.0,2
12532,Sailing,1920,39.0,1
12533,Sailing,1920,40.0,1
12534,Sailing,1920,41.0,3
12535,Sailing,1920,42.0,3
12536,Sailing,1920,43.0,5
12537,Sailing,1920,44.0,4
12538,Sailing,1920,45.0,1
12539,Sailing,1920,47.0,2
12540,Sailing,1920,49.0,1
12541,Sailing,1920,50.0,2
12542,Sailing,1920,52.0,1
12543,Sailing,1920,53.0,1
12544,Sailing,1924,16.0,1
12545,Sailing,1924,20.0,2
12546,Sailing,1924,21.0,4
12547,Sailing,1924,22.0,5
12548,Sailing,1924,23.0,2
12549,Sailing,1924,24.0,3
12550,Sailing,1924,25.0,7
12551,Sailing,1924,26.0,1
12552,Sailing,1924,27.0,2
12553,Sailing,1924,30.0,1
12554,Sailing,1924,32.0,1
12555,Sailing,1924,35.0,1
12556,Sailing,1924,36.0,4
12557,Sailing,1924,37.0,1
12558,Sailing,1924,38.0,1
12559,Sailing,1924,43.0,3
12560,Sailing,1924,44.0,2
12561,Sailing,1924,45.0,2
12562,Sailing,1924,46.0,1
12563,Sailing,1924,47.0,4
12564,Sailing,1924,48.0,2
12565,Sailing,1924,49.0,1
12566,Sailing,1924,51.0,1
12567,Sailing,1924,54.0,1
12568,Sailing,1928,17.0,2
12569,Sailing,1928,19.0,1
12570,Sailing,1928,20.0,5
12571,Sailing,1928,21.0,4
12572,Sailing,1928,22.0,6
12573,Sailing,1928,23.0,2
12574,Sailing,1928,24.0,7
12575,Sailing,1928,25.0,2
12576,Sailing,1928,26.0,7
12577,Sailing,1928,27.0,3
12578,Sailing,1928,28.0,8
12579,Sailing,1928,29.0,7
12580,Sailing,1928,30.0,3
12581,Sailing,1928,31.0,1
12582,Sailing,1928,32.0,5
12583,Sailing,1928,33.0,3
12584,Sailing,1928,34.0,2
12585,Sailing,1928,36.0,3
12586,Sailing,1928,37.0,3
12587,Sailing,1928,38.0,2
12588,Sailing,1928,39.0,4
12589,Sailing,1928,40.0,5
12590,Sailing,1928,41.0,3
12591,Sailing,1928,43.0,2
12592,Sailing,1928,44.0,5
12593,Sailing,1928,46.0,1
12594,Sailing,1928,47.0,1
12595,Sailing,1928,48.0,2
12596,Sailing,1928,49.0,1
12597,Sailing,1928,50.0,2
12598,Sailing,1928,51.0,1
12599,Sailing,1928,54.0,1
12600,Sailing,1928,56.0,3
12601,Sailing,1932,15.0,1
12602,Sailing,1932,17.0,1
12603,Sailing,1932,18.0,1
12604,Sailing,1932,19.0,1
12605,Sailing,1932,20.0,2
12606,Sailing,1932,21.0,6
12607,Sailing,1932,22.0,1
12608,Sailing,1932,23.0,3
12609,Sailing,1932,24.0,3
12610,Sailing,1932,25.0,3
12611,Sailing,1932,26.0,2
12612,Sailing,1932,27.0,1
12613,Sailing,1932,29.0,1
12614,Sailing,1932,30.0,1
12615,Sailing,1932,31.0,1
12616,Sailing,1932,32.0,1
12617,Sailing,1932,33.0,1
12618,Sailing,1932,34.0,1
12619,Sailing,1932,35.0,2
12620,Sailing,1932,36.0,3
12621,Sailing,1932,37.0,1
12622,Sailing,1932,38.0,1
12623,Sailing,1932,39.0,1
12624,Sailing,1932,40.0,2
12625,Sailing,1932,42.0,1
12626,Sailing,1932,44.0,1
12627,Sailing,1932,45.0,2
12628,Sailing,1932,46.0,1
12629,Sailing,1932,47.0,1
12630,Sailing,1932,48.0,1
12631,Sailing,1932,49.0,3
12632,Sailing,1932,54.0,2
12633,Sailing,1936,17.0,1
12634,Sailing,1936,18.0,2
12635,Sailing,1936,19.0,2
12636,Sailing,1936,20.0,3
12637,Sailing,1936,21.0,5
12638,Sailing,1936,22.0,8
12639,Sailing,1936,23.0,8
12640,Sailing,1936,24.0,7
12641,Sailing,1936,25.0,8
12642,Sailing,1936,26.0,8
12643,Sailing,1936,27.0,9
12644,Sailing,1936,28.0,11
12645,Sailing,1936,29.0,6
12646,Sailing,1936,30.0,7
12647,Sailing,1936,31.0,4
12648,Sailing,1936,32.0,7
12649,Sailing,1936,33.0,5
12650,Sailing,1936,34.0,10
12651,Sailing,1936,35.0,13
12652,Sailing,1936,36.0,6
12653,Sailing,1936,37.0,4
12654,Sailing,1936,38.0,2
12655,Sailing,1936,39.0,7
12656,Sailing,1936,40.0,2
12657,Sailing,1936,41.0,2
12658,Sailing,1936,42.0,3
12659,Sailing,1936,43.0,6
12660,Sailing,1936,44.0,3
12661,Sailing,1936,45.0,1
12662,Sailing,1936,46.0,1
12663,Sailing,1936,47.0,2
12664,Sailing,1936,48.0,2
12665,Sailing,1936,49.0,2
12666,Sailing,1936,50.0,1
12667,Sailing,1936,53.0,1
12668,Sailing,1936,56.0,1
12669,Sailing,1936,60.0,1
12670,Sailing,1936,61.0,1
12671,Sailing,1948,16.0,1
12672,Sailing,1948,18.0,2
12673,Sailing,1948,19.0,3
12674,Sailing,1948,20.0,3
12675,Sailing,1948,21.0,4
12676,Sailing,1948,22.0,2
12677,Sailing,1948,23.0,7
12678,Sailing,1948,24.0,3
12679,Sailing,1948,25.0,3
12680,Sailing,1948,26.0,4
12681,Sailing,1948,27.0,4
12682,Sailing,1948,28.0,9
12683,Sailing,1948,29.0,7
12684,Sailing,1948,30.0,9
12685,Sailing,1948,31.0,6
12686,Sailing,1948,32.0,7
12687,Sailing,1948,33.0,8
12688,Sailing,1948,34.0,6
12689,Sailing,1948,35.0,4
12690,Sailing,1948,36.0,5
12691,Sailing,1948,37.0,7
12692,Sailing,1948,38.0,4
12693,Sailing,1948,39.0,8
12694,Sailing,1948,40.0,14
12695,Sailing,1948,41.0,3
12696,Sailing,1948,42.0,4
12697,Sailing,1948,43.0,1
12698,Sailing,1948,44.0,5
12699,Sailing,1948,45.0,2
12700,Sailing,1948,46.0,1
12701,Sailing,1948,47.0,2
12702,Sailing,1948,48.0,2
12703,Sailing,1948,49.0,1
12704,Sailing,1948,50.0,2
12705,Sailing,1948,51.0,2
12706,Sailing,1948,56.0,2
12707,Sailing,1948,59.0,2
12708,Sailing,1948,60.0,2
12709,Sailing,1952,13.0,1
12710,Sailing,1952,15.0,1
12711,Sailing,1952,17.0,1
12712,Sailing,1952,19.0,3
12713,Sailing,1952,20.0,3
12714,Sailing,1952,21.0,3
12715,Sailing,1952,22.0,7
12716,Sailing,1952,23.0,7
12717,Sailing,1952,24.0,3
12718,Sailing,1952,25.0,7
12719,Sailing,1952,26.0,8
12720,Sailing,1952,27.0,9
12721,Sailing,1952,28.0,5
12722,Sailing,1952,29.0,7
12723,Sailing,1952,30.0,9
12724,Sailing,1952,31.0,5
12725,Sailing,1952,32.0,14
12726,Sailing,1952,33.0,9
12727,Sailing,1952,34.0,12
12728,Sailing,1952,35.0,8
12729,Sailing,1952,36.0,9
12730,Sailing,1952,37.0,7
12731,Sailing,1952,38.0,7
12732,Sailing,1952,39.0,3
12733,Sailing,1952,40.0,8
12734,Sailing,1952,41.0,9
12735,Sailing,1952,42.0,4
12736,Sailing,1952,43.0,6
12737,Sailing,1952,44.0,10
12738,Sailing,1952,45.0,3
12739,Sailing,1952,46.0,2
12740,Sailing,1952,47.0,2
12741,Sailing,1952,48.0,5
12742,Sailing,1952,49.0,2
12743,Sailing,1952,50.0,2
12744,Sailing,1952,51.0,4
12745,Sailing,1952,54.0,2
12746,Sailing,1952,55.0,3
12747,Sailing,1952,58.0,1
12748,Sailing,1952,59.0,3
12749,Sailing,1952,60.0,1
12750,Sailing,1952,61.0,1
12751,Sailing,1956,16.0,1
12752,Sailing,1956,19.0,1
12753,Sailing,1956,20.0,1
12754,Sailing,1956,21.0,2
12755,Sailing,1956,22.0,1
12756,Sailing,1956,23.0,3
12757,Sailing,1956,24.0,2
12758,Sailing,1956,25.0,1
12759,Sailing,1956,26.0,8
12760,Sailing,1956,27.0,2
12761,Sailing,1956,28.0,5
12762,Sailing,1956,29.0,6
12763,Sailing,1956,30.0,5
12764,Sailing,1956,31.0,4
12765,Sailing,1956,32.0,10
12766,Sailing,1956,33.0,8
12767,Sailing,1956,34.0,4
12768,Sailing,1956,35.0,6
12769,Sailing,1956,36.0,8
12770,Sailing,1956,37.0,3
12771,Sailing,1956,38.0,8
12772,Sailing,1956,39.0,2
12773,Sailing,1956,40.0,3
12774,Sailing,1956,41.0,2
12775,Sailing,1956,42.0,5
12776,Sailing,1956,44.0,6
12777,Sailing,1956,45.0,2
12778,Sailing,1956,46.0,1
12779,Sailing,1956,47.0,5
12780,Sailing,1956,48.0,1
12781,Sailing,1956,50.0,4
12782,Sailing,1956,51.0,1
12783,Sailing,1956,52.0,3
12784,Sailing,1956,55.0,2
12785,Sailing,1956,56.0,2
12786,Sailing,1956,59.0,1
12787,Sailing,1956,60.0,1
12788,Sailing,1956,62.0,1
12789,Sailing,1960,17.0,1
12790,Sailing,1960,18.0,7
12791,Sailing,1960,19.0,2
12792,Sailing,1960,20.0,8
12793,Sailing,1960,21.0,9
12794,Sailing,1960,22.0,8
12795,Sailing,1960,23.0,11
12796,Sailing,1960,24.0,11
12797,Sailing,1960,25.0,17
12798,Sailing,1960,26.0,8
12799,Sailing,1960,27.0,5
12800,Sailing,1960,28.0,15
12801,Sailing,1960,29.0,7
12802,Sailing,1960,30.0,11
12803,Sailing,1960,31.0,13
12804,Sailing,1960,32.0,12
12805,Sailing,1960,33.0,9
12806,Sailing,1960,34.0,16
12807,Sailing,1960,35.0,10
12808,Sailing,1960,36.0,9
12809,Sailing,1960,37.0,12
12810,Sailing,1960,38.0,3
12811,Sailing,1960,39.0,9
12812,Sailing,1960,40.0,8
12813,Sailing,1960,41.0,4
12814,Sailing,1960,42.0,9
12815,Sailing,1960,43.0,7
12816,Sailing,1960,44.0,3
12817,Sailing,1960,45.0,5
12818,Sailing,1960,46.0,7
12819,Sailing,1960,47.0,3
12820,Sailing,1960,48.0,3
12821,Sailing,1960,49.0,4
12822,Sailing,1960,50.0,2
12823,Sailing,1960,51.0,2
12824,Sailing,1960,52.0,7
12825,Sailing,1960,53.0,1
12826,Sailing,1960,54.0,1
12827,Sailing,1960,55.0,3
12828,Sailing,1960,56.0,1
12829,Sailing,1960,59.0,1
12830,Sailing,1960,60.0,1
12831,Sailing,1960,61.0,1
12832,Sailing,1964,18.0,1
12833,Sailing,1964,19.0,1
12834,Sailing,1964,20.0,3
12835,Sailing,1964,21.0,4
12836,Sailing,1964,22.0,8
12837,Sailing,1964,23.0,7
12838,Sailing,1964,24.0,10
12839,Sailing,1964,25.0,11
12840,Sailing,1964,26.0,11
12841,Sailing,1964,27.0,10
12842,Sailing,1964,28.0,14
12843,Sailing,1964,29.0,9
12844,Sailing,1964,30.0,12
12845,Sailing,1964,31.0,9
12846,Sailing,1964,32.0,13
12847,Sailing,1964,33.0,7
12848,Sailing,1964,34.0,12
12849,Sailing,1964,35.0,6
12850,Sailing,1964,36.0,9
12851,Sailing,1964,37.0,6
12852,Sailing,1964,38.0,3
12853,Sailing,1964,39.0,8
12854,Sailing,1964,40.0,10
12855,Sailing,1964,41.0,4
12856,Sailing,1964,42.0,1
12857,Sailing,1964,43.0,2
12858,Sailing,1964,44.0,6
12859,Sailing,1964,45.0,2
12860,Sailing,1964,46.0,4
12861,Sailing,1964,47.0,4
12862,Sailing,1964,48.0,1
12863,Sailing,1964,49.0,1
12864,Sailing,1964,50.0,6
12865,Sailing,1964,52.0,4
12866,Sailing,1964,53.0,2
12867,Sailing,1964,54.0,1
12868,Sailing,1964,59.0,1
12869,Sailing,1964,60.0,2
12870,Sailing,1968,15.0,1
12871,Sailing,1968,18.0,3
12872,Sailing,1968,19.0,3
12873,Sailing,1968,20.0,4
12874,Sailing,1968,21.0,6
12875,Sailing,1968,22.0,7
12876,Sailing,1968,23.0,11
