lindex,Sport,Year,Age,count
14415,Skeleton,1928,19.0,1
14416,Skeleton,1928,23.0,1
14417,Skeleton,1928,26.0,1
14418,Skeleton,1928,35.0,1
14419,Skeleton,1928,36.0,1
14420,Skeleton,1928,37.0,1
14421,Skeleton,1928,40.0,1
14422,Skeleton,1928,44.0,1
14423,Skeleton,1948,19.0,1
14424,Skeleton,1948,25.0,1
14425,Skeleton,1948,30.0,1
14426,Skeleton,1948,33.0,1
14427,Skeleton,1948,34.0,1
14428,Skeleton,1948,36.0,2
14429,Skeleton,1948,37.0,1
14430,Skeleton,1948,39.0,1
14431,Skeleton,1948,41.0,1
14432,Skeleton,1948,47.0,2
14433,Skeleton,1948,49.0,1
14434,Skeleton,1948,51.0,1
14435,Skeleton,1948,53.0,1
14436,Skeleton,2002,20.0,2
14437,Skeleton,2002,21.0,1
14438,Skeleton,2002,23.0,1
14439,Skeleton,2002,24.0,3
14440,Skeleton,2002,25.0,1
14441,Skeleton,2002,26.0,1
14442,Skeleton,2002,27.0,3
14443,Skeleton,2002,28.0,4
14444,Skeleton,2002,29.0,6
14445,Skeleton,2002,31.0,3
14446,Skeleton,2002,33.0,4
14447,Skeleton,2002,34.0,3
14448,Skeleton,2002,35.0,2
14449,Skeleton,2002,36.0,1
14450,Skeleton,2002,37.0,1
14451,Skeleton,2002,38.0,2
14452,Skeleton,2002,41.0,1
14453,Skeleton,2006,19.0,1
14454,Skeleton,2006,20.0,2
14455,Skeleton,2006,21.0,3
14456,Skeleton,2006,22.0,2
14457,Skeleton,2006,24.0,3
14458,Skeleton,2006,25.0,4
14459,Skeleton,2006,26.0,2
14460,Skeleton,2006,27.0,1
14461,Skeleton,2006,28.0,2
14462,Skeleton,2006,29.0,1
14463,Skeleton,2006,30.0,2
14464,Skeleton,2006,31.0,2
14465,Skeleton,2006,32.0,3
14466,Skeleton,2006,33.0,3
14467,Skeleton,2006,34.0,2
14468,Skeleton,2006,35.0,4
14469,Skeleton,2006,37.0,1
14470,Skeleton,2006,38.0,1
14471,Skeleton,2006,39.0,1
14472,Skeleton,2006,41.0,2
14473,Skeleton,2010,18.0,1
14474,Skeleton,2010,21.0,1
14475,Skeleton,2010,23.0,2
14476,Skeleton,2010,24.0,3
14477,Skeleton,2010,25.0,6
14478,Skeleton,2010,26.0,5
14479,Skeleton,2010,27.0,4
14480,Skeleton,2010,28.0,2
14481,Skeleton,2010,29.0,2
14482,Skeleton,2010,30.0,5
14483,Skeleton,2010,31.0,2
14484,Skeleton,2010,32.0,5
14485,Skeleton,2010,35.0,2
14486,Skeleton,2010,37.0,2
14487,Skeleton,2010,38.0,3
14488,Skeleton,2010,39.0,1
14489,Skeleton,2010,45.0,1
14490,Skeleton,2014,18.0,1
14491,Skeleton,2014,19.0,1
14492,Skeleton,2014,20.0,1
14493,Skeleton,2014,21.0,2
14494,Skeleton,2014,22.0,1
14495,Skeleton,2014,23.0,2
14496,Skeleton,2014,24.0,2
14497,Skeleton,2014,25.0,3
14498,Skeleton,2014,26.0,4
14499,Skeleton,2014,27.0,2
14500,Skeleton,2014,28.0,3
14501,Skeleton,2014,29.0,8
14502,Skeleton,2014,30.0,5
14503,Skeleton,2014,31.0,2
14504,Skeleton,2014,32.0,4
14505,Skeleton,2014,33.0,2
14506,Skeleton,2014,34.0,1
14507,Skeleton,2014,38.0,1
14508,Skeleton,2014,41.0,1
