lindex,Sport,Year,Age,count
14509,Ski Jumping,1924,19.0,1
14510,Ski Jumping,1924,20.0,1
14511,Ski Jumping,1924,23.0,5
14512,Ski Jumping,1924,25.0,7
14513,Ski Jumping,1924,26.0,1
14514,Ski Jumping,1924,27.0,2
14515,Ski Jumping,1924,29.0,3
14516,Ski Jumping,1924,31.0,1
14517,Ski Jumping,1924,33.0,1
14518,Ski Jumping,1924,34.0,1
14519,Ski Jumping,1924,35.0,1
14520,Ski Jumping,1928,18.0,1
14521,Ski Jumping,1928,19.0,3
14522,Ski Jumping,1928,20.0,6
14523,Ski Jumping,1928,21.0,1
14524,Ski Jumping,1928,22.0,3
14525,Ski Jumping,1928,23.0,7
14526,Ski Jumping,1928,24.0,2
14527,Ski Jumping,1928,26.0,1
14528,Ski Jumping,1928,27.0,4
14529,Ski Jumping,1928,29.0,2
14530,Ski Jumping,1928,31.0,1
14531,Ski Jumping,1928,33.0,1
14532,Ski Jumping,1928,39.0,1
14533,Ski Jumping,1932,18.0,2
14534,Ski Jumping,1932,19.0,2
14535,Ski Jumping,1932,20.0,3
14536,Ski Jumping,1932,21.0,5
14537,Ski Jumping,1932,22.0,4
14538,Ski Jumping,1932,23.0,3
14539,Ski Jumping,1932,24.0,3
14540,Ski Jumping,1932,25.0,1
14541,Ski Jumping,1932,26.0,4
14542,Ski Jumping,1932,27.0,1
14543,Ski Jumping,1932,37.0,1
14544,Ski Jumping,1936,18.0,2
14545,Ski Jumping,1936,19.0,2
14546,Ski Jumping,1936,20.0,5
14547,Ski Jumping,1936,21.0,6
14548,Ski Jumping,1936,22.0,5
14549,Ski Jumping,1936,23.0,8
14550,Ski Jumping,1936,24.0,6
14551,Ski Jumping,1936,25.0,5
14552,Ski Jumping,1936,26.0,3
14553,Ski Jumping,1936,27.0,2
14554,Ski Jumping,1936,28.0,3
14555,Ski Jumping,1936,29.0,1
14556,Ski Jumping,1948,19.0,2
14557,Ski Jumping,1948,20.0,2
14558,Ski Jumping,1948,22.0,1
14559,Ski Jumping,1948,23.0,4
14560,Ski Jumping,1948,24.0,1
14561,Ski Jumping,1948,25.0,5
14562,Ski Jumping,1948,26.0,6
14563,Ski Jumping,1948,27.0,9
14564,Ski Jumping,1948,28.0,2
14565,Ski Jumping,1948,29.0,3
14566,Ski Jumping,1948,30.0,2
14567,Ski Jumping,1948,31.0,3
14568,Ski Jumping,1948,33.0,1
14569,Ski Jumping,1948,34.0,2
14570,Ski Jumping,1948,35.0,1
14571,Ski Jumping,1948,36.0,2
14572,Ski Jumping,1948,37.0,1
14573,Ski Jumping,1948,40.0,1
14574,Ski Jumping,1948,43.0,1
14575,Ski Jumping,1952,19.0,2
