lindex,Sport,Year,Age,count
14843,Snowboarding,1998,17.0,1
14844,Snowboarding,1998,18.0,5
14845,Snowboarding,1998,19.0,8
14846,Snowboarding,1998,20.0,16
14847,Snowboarding,1998,21.0,13
14848,Snowboarding,1998,22.0,12
14849,Snowboarding,1998,23.0,15
14850,Snowboarding,1998,24.0,14
14851,Snowboarding,1998,25.0,9
14852,Snowboarding,1998,26.0,10
14853,Snowboarding,1998,27.0,11
14854,Snowboarding,1998,28.0,5
14855,Snowboarding,1998,30.0,2
14856,Snowboarding,1998,31.0,1
14857,Snowboarding,1998,32.0,2
14858,Snowboarding,1998,33.0,1
14859,Snowboarding,1998,34.0,1
14860,Snowboarding,1998,36.0,1
14861,Snowboarding,2002,17.0,1
14862,Snowboarding,2002,18.0,3
14863,Snowboarding,2002,19.0,3
14864,Snowboarding,2002,20.0,7
14865,Snowboarding,2002,21.0,6
14866,Snowboarding,2002,22.0,17
14867,Snowboarding,2002,23.0,10
14868,Snowboarding,2002,24.0,11
14869,Snowboarding,2002,25.0,7
14870,Snowboarding,2002,26.0,13
14871,Snowboarding,2002,27.0,14
14872,Snowboarding,2002,28.0,11
14873,Snowboarding,2002,29.0,7
14874,Snowboarding,2002,30.0,3
14875,Snowboarding,2002,31.0,3
14876,Snowboarding,2002,34.0,1
14877,Snowboarding,2002,37.0,1
14878,Snowboarding,2006,14.0,1
14879,Snowboarding,2006,15.0,1
14880,Snowboarding,2006,16.0,4
14881,Snowboarding,2006,17.0,5
14882,Snowboarding,2006,18.0,10
14883,Snowboarding,2006,19.0,6
14884,Snowboarding,2006,20.0,11
14885,Snowboarding,2006,21.0,9
14886,Snowboarding,2006,22.0,12
14887,Snowboarding,2006,23.0,16
14888,Snowboarding,2006,24.0,21
14889,Snowboarding,2006,25.0,13
14890,Snowboarding,2006,26.0,9
14891,Snowboarding,2006,27.0,15
14892,Snowboarding,2006,28.0,11
14893,Snowboarding,2006,29.0,15
14894,Snowboarding,2006,30.0,14
14895,Snowboarding,2006,31.0,11
14896,Snowboarding,2006,32.0,8
14897,Snowboarding,2006,33.0,4
14898,Snowboarding,2006,35.0,2
14899,Snowboarding,2010,15.0,1
14900,Snowboarding,2010,16.0,2
14901,Snowboarding,2010,17.0,3
14902,Snowboarding,2010,18.0,7
14903,Snowboarding,2010,19.0,13
14904,Snowboarding,2010,20.0,12
14905,Snowboarding,2010,21.0,12
14906,Snowboarding,2010,22.0,19
14907,Snowboarding,2010,23.0,11
14908,Snowboarding,2010,24.0,13
14909,Snowboarding,2010,25.0,9
14910,Snowboarding,2010,26.0,11
14911,Snowboarding,2010,27.0,13
14912,Snowboarding,2010,28.0,8
14913,Snowboarding,2010,29.0,8
14914,Snowboarding,2010,30.0,6
14915,Snowboarding,2010,31.0,11
14916,Snowboarding,2010,32.0,4
14917,Snowboarding,2010,33.0,8
14918,Snowboarding,2010,34.0,4
14919,Snowboarding,2010,35.0,4
14920,Snowboarding,2010,36.0,3
14921,Snowboarding,2010,37.0,3
14922,Snowboarding,2014,15.0,1
14923,Snowboarding,2014,16.0,3
14924,Snowboarding,2014,17.0,6
14925,Snowboarding,2014,18.0,15
14926,Snowboarding,2014,19.0,12
14927,Snowboarding,2014,20.0,20
14928,Snowboarding,2014,21.0,19
14929,Snowboarding,2014,22.0,22
14930,Snowboarding,2014,23.0,26
14931,Snowboarding,2014,24.0,28
14932,Snowboarding,2014,25.0,19
14933,Snowboarding,2014,26.0,33
14934,Snowboarding,2014,27.0,25
14935,Snowboarding,2014,28.0,14
14936,Snowboarding,2014,29.0,13
14937,Snowboarding,2014,30.0,7
14938,Snowboarding,2014,31.0,8
14939,Snowboarding,2014,32.0,4
14940,Snowboarding,2014,33.0,11
14941,Snowboarding,2014,34.0,7
14942,Snowboarding,2014,35.0,7
14943,Snowboarding,2014,36.0,2
14944,Snowboarding,2014,37.0,2
14945,Snowboarding,2014,38.0,2
14946,Snowboarding,2014,40.0,2
