lindex,Sport,Year,Age,count
15031,Speed Skating,1924,19.0,7
15032,Speed Skating,1924,20.0,2
15033,Speed Skating,1924,21.0,18
15034,Speed Skating,1924,22.0,2
15035,Speed Skating,1924,23.0,11
15036,Speed Skating,1924,24.0,3
15037,Speed Skating,1924,25.0,3
15038,Speed Skating,1924,26.0,21
15039,Speed Skating,1924,28.0,7
15040,Speed Skating,1924,29.0,4
15041,Speed Skating,1924,30.0,8
15042,Speed Skating,1924,31.0,11
15043,Speed Skating,1924,34.0,5
15044,Speed Skating,1924,52.0,2
15045,Speed Skating,1928,17.0,3
15046,Speed Skating,1928,19.0,3
15047,Speed Skating,1928,20.0,13
15048,Speed Skating,1928,21.0,12
15049,Speed Skating,1928,22.0,12
15050,Speed Skating,1928,23.0,11
15051,Speed Skating,1928,24.0,8
15052,Speed Skating,1928,25.0,7
15053,Speed Skating,1928,27.0,3
15054,Speed Skating,1928,28.0,2
15055,Speed Skating,1928,29.0,3
15056,Speed Skating,1928,30.0,6
15057,Speed Skating,1928,31.0,4
15058,Speed Skating,1928,32.0,4
15059,Speed Skating,1928,34.0,3
15060,Speed Skating,1928,35.0,3
15061,Speed Skating,1928,36.0,5
15062,Speed Skating,1928,38.0,1
15063,Speed Skating,1932,18.0,1
15064,Speed Skating,1932,19.0,1
15065,Speed Skating,1932,20.0,3
15066,Speed Skating,1932,21.0,18
15067,Speed Skating,1932,22.0,4
15068,Speed Skating,1932,23.0,13
15069,Speed Skating,1932,24.0,5
15070,Speed Skating,1932,25.0,7
15071,Speed Skating,1932,26.0,8
15072,Speed Skating,1932,27.0,5
15073,Speed Skating,1932,29.0,5
15074,Speed Skating,1936,14.0,3
15075,Speed Skating,1936,19.0,15
15076,Speed Skating,1936,20.0,5
15077,Speed Skating,1936,21.0,13
15078,Speed Skating,1936,22.0,11
15079,Speed Skating,1936,23.0,10
15080,Speed Skating,1936,24.0,23
15081,Speed Skating,1936,25.0,18
15082,Speed Skating,1936,26.0,11
15083,Speed Skating,1936,27.0,11
15084,Speed Skating,1936,30.0,1
15085,Speed Skating,1936,31.0,6
15086,Speed Skating,1936,32.0,4
15087,Speed Skating,1936,40.0,4
15088,Speed Skating,1948,19.0,19
15089,Speed Skating,1948,20.0,16
15090,Speed Skating,1948,21.0,9
15091,Speed Skating,1948,22.0,3
15092,Speed Skating,1948,23.0,6
15093,Speed Skating,1948,24.0,12
15094,Speed Skating,1948,25.0,15
15095,Speed Skating,1948,26.0,5
15096,Speed Skating,1948,27.0,10
15097,Speed Skating,1948,28.0,15
15098,Speed Skating,1948,29.0,4
15099,Speed Skating,1948,30.0,10
15100,Speed Skating,1948,31.0,7
15101,Speed Skating,1948,32.0,4
15102,Speed Skating,1948,33.0,4
15103,Speed Skating,1948,34.0,4
15104,Speed Skating,1948,35.0,2
15105,Speed Skating,1948,36.0,1
15106,Speed Skating,1948,37.0,6
15107,Speed Skating,1948,42.0,2
15108,Speed Skating,1952,18.0,4
15109,Speed Skating,1952,19.0,4
15110,Speed Skating,1952,20.0,12
15111,Speed Skating,1952,21.0,14
15112,Speed Skating,1952,22.0,7
15113,Speed Skating,1952,23.0,25
15114,Speed Skating,1952,24.0,23
15115,Speed Skating,1952,25.0,1
15116,Speed Skating,1952,26.0,15
15117,Speed Skating,1952,27.0,3
15118,Speed Skating,1952,28.0,15
15119,Speed Skating,1952,29.0,3
15120,Speed Skating,1952,30.0,2
15121,Speed Skating,1952,31.0,4
15122,Speed Skating,1952,32.0,6
15123,Speed Skating,1952,33.0,3
15124,Speed Skating,1952,34.0,3
15125,Speed Skating,1952,46.0,1
15126,Speed Skating,1956,18.0,1
15127,Speed Skating,1956,19.0,3
15128,Speed Skating,1956,20.0,7
15129,Speed Skating,1956,21.0,8
15130,Speed Skating,1956,22.0,18
15131,Speed Skating,1956,23.0,9
15132,Speed Skating,1956,24.0,41
15133,Speed Skating,1956,25.0,23
15134,Speed Skating,1956,26.0,12
15135,Speed Skating,1956,27.0,13
15136,Speed Skating,1956,28.0,14
15137,Speed Skating,1956,29.0,4
15138,Speed Skating,1956,30.0,9
15139,Speed Skating,1956,31.0,4
15140,Speed Skating,1956,32.0,3
15141,Speed Skating,1956,33.0,3
15142,Speed Skating,1956,34.0,4
15143,Speed Skating,1956,36.0,1
15144,Speed Skating,1960,16.0,1
15145,Speed Skating,1960,17.0,4
15146,Speed Skating,1960,18.0,16
15147,Speed Skating,1960,19.0,19
15148,Speed Skating,1960,20.0,19
15149,Speed Skating,1960,21.0,21
15150,Speed Skating,1960,22.0,20
15151,Speed Skating,1960,23.0,12
15152,Speed Skating,1960,24.0,23
15153,Speed Skating,1960,25.0,21
15154,Speed Skating,1960,26.0,22
15155,Speed Skating,1960,27.0,5
15156,Speed Skating,1960,28.0,39
15157,Speed Skating,1960,29.0,2
15158,Speed Skating,1960,31.0,7
15159,Speed Skating,1960,32.0,4
15160,Speed Skating,1960,34.0,4
15161,Speed Skating,1960,35.0,3
15162,Speed Skating,1960,37.0,4
15163,Speed Skating,1964,16.0,4
15164,Speed Skating,1964,17.0,8
15165,Speed Skating,1964,18.0,13
15166,Speed Skating,1964,19.0,21
15167,Speed Skating,1964,20.0,21
15168,Speed Skating,1964,21.0,33
15169,Speed Skating,1964,22.0,33
15170,Speed Skating,1964,23.0,29
15171,Speed Skating,1964,24.0,19
15172,Speed Skating,1964,25.0,23
15173,Speed Skating,1964,26.0,19
15174,Speed Skating,1964,27.0,6
15175,Speed Skating,1964,28.0,13
15176,Speed Skating,1964,29.0,9
15177,Speed Skating,1964,30.0,10
15178,Speed Skating,1964,31.0,6
15179,Speed Skating,1964,32.0,16
15180,Speed Skating,1964,38.0,4
15181,Speed Skating,1968,16.0,3
15182,Speed Skating,1968,17.0,9
15183,Speed Skating,1968,18.0,18
15184,Speed Skating,1968,19.0,10
15185,Speed Skating,1968,20.0,36
15186,Speed Skating,1968,21.0,26
15187,Speed Skating,1968,22.0,23
15188,Speed Skating,1968,23.0,35
15189,Speed Skating,1968,24.0,27
15190,Speed Skating,1968,25.0,21
15191,Speed Skating,1968,26.0,16
15192,Speed Skating,1968,27.0,13
15193,Speed Skating,1968,28.0,12
15194,Speed Skating,1968,29.0,14
15195,Speed Skating,1968,30.0,7
15196,Speed Skating,1968,31.0,3
15197,Speed Skating,1968,33.0,2
15198,Speed Skating,1968,36.0,3
15199,Speed Skating,1968,38.0,2
15200,Speed Skating,1972,13.0,2
15201,Speed Skating,1972,14.0,2
15202,Speed Skating,1972,15.0,2
15203,Speed Skating,1972,16.0,5
15204,Speed Skating,1972,17.0,7
15205,Speed Skating,1972,18.0,9
15206,Speed Skating,1972,19.0,7
15207,Speed Skating,1972,20.0,23
15208,Speed Skating,1972,21.0,31
15209,Speed Skating,1972,22.0,37
15210,Speed Skating,1972,23.0,11
15211,Speed Skating,1972,24.0,18
15212,Speed Skating,1972,25.0,15
15213,Speed Skating,1972,26.0,13
15214,Speed Skating,1972,27.0,16
15215,Speed Skating,1972,28.0,11
15216,Speed Skating,1972,29.0,14
15217,Speed Skating,1972,30.0,8
15218,Speed Skating,1972,31.0,6
15219,Speed Skating,1972,33.0,6
15220,Speed Skating,1972,40.0,1
15221,Speed Skating,1976,14.0,4
15222,Speed Skating,1976,15.0,2
15223,Speed Skating,1976,16.0,3
15224,Speed Skating,1976,17.0,14
15225,Speed Skating,1976,18.0,6
15226,Speed Skating,1976,19.0,13
15227,Speed Skating,1976,20.0,24
15228,Speed Skating,1976,21.0,22
15229,Speed Skating,1976,22.0,19
15230,Speed Skating,1976,23.0,21
15231,Speed Skating,1976,24.0,31
15232,Speed Skating,1976,25.0,22
15233,Speed Skating,1976,26.0,20
15234,Speed Skating,1976,27.0,11
15235,Speed Skating,1976,28.0,5
15236,Speed Skating,1976,29.0,10
15237,Speed Skating,1976,30.0,3
15238,Speed Skating,1976,31.0,4
15239,Speed Skating,1976,32.0,5
15240,Speed Skating,1976,33.0,3
15241,Speed Skating,1976,35.0,2
15242,Speed Skating,1976,46.0,3
15243,Speed Skating,1980,14.0,2
15244,Speed Skating,1980,15.0,4
15245,Speed Skating,1980,17.0,14
15246,Speed Skating,1980,18.0,19
15247,Speed Skating,1980,19.0,25
15248,Speed Skating,1980,20.0,36
15249,Speed Skating,1980,21.0,21
15250,Speed Skating,1980,22.0,32
15251,Speed Skating,1980,23.0,24
15252,Speed Skating,1980,24.0,36
15253,Speed Skating,1980,25.0,23
15254,Speed Skating,1980,26.0,12
15255,Speed Skating,1980,27.0,8
15256,Speed Skating,1980,28.0,19
15257,Speed Skating,1980,29.0,7
15258,Speed Skating,1980,30.0,8
15259,Speed Skating,1980,32.0,2
15260,Speed Skating,1980,33.0,3
15261,Speed Skating,1980,39.0,1
15262,Speed Skating,1984,15.0,6
15263,Speed Skating,1984,16.0,3
15264,Speed Skating,1984,17.0,3
15265,Speed Skating,1984,18.0,22
15266,Speed Skating,1984,19.0,27
15267,Speed Skating,1984,20.0,28
15268,Speed Skating,1984,21.0,32
15269,Speed Skating,1984,22.0,51
15270,Speed Skating,1984,23.0,28
15271,Speed Skating,1984,24.0,43
15272,Speed Skating,1984,25.0,14
15273,Speed Skating,1984,26.0,20
15274,Speed Skating,1984,27.0,19
15275,Speed Skating,1984,28.0,11
15276,Speed Skating,1984,29.0,9
15277,Speed Skating,1984,31.0,2
15278,Speed Skating,1984,33.0,2
15279,Speed Skating,1984,35.0,5
15280,Speed Skating,1984,37.0,3
15281,Speed Skating,1988,16.0,5
15282,Speed Skating,1988,17.0,3
15283,Speed Skating,1988,18.0,5
15284,Speed Skating,1988,19.0,16
15285,Speed Skating,1988,20.0,30
15286,Speed Skating,1988,21.0,31
15287,Speed Skating,1988,22.0,50
15288,Speed Skating,1988,23.0,52
15289,Speed Skating,1988,24.0,40
15290,Speed Skating,1988,25.0,12
15291,Speed Skating,1988,26.0,20
15292,Speed Skating,1988,27.0,24
15293,Speed Skating,1988,28.0,14
15294,Speed Skating,1988,29.0,7
15295,Speed Skating,1988,31.0,2
15296,Speed Skating,1988,32.0,3
15297,Speed Skating,1988,33.0,6
15298,Speed Skating,1988,39.0,5
15299,Speed Skating,1988,41.0,1
15300,Speed Skating,1992,15.0,3
15301,Speed Skating,1992,17.0,10
15302,Speed Skating,1992,18.0,11
15303,Speed Skating,1992,19.0,14
15304,Speed Skating,1992,20.0,27
15305,Speed Skating,1992,21.0,37
15306,Speed Skating,1992,22.0,29
15307,Speed Skating,1992,23.0,50
15308,Speed Skating,1992,24.0,43
15309,Speed Skating,1992,25.0,38
15310,Speed Skating,1992,26.0,37
15311,Speed Skating,1992,27.0,22
15312,Speed Skating,1992,28.0,15
15313,Speed Skating,1992,29.0,11
15314,Speed Skating,1992,30.0,4
15315,Speed Skating,1992,32.0,3
15316,Speed Skating,1994,14.0,1
15317,Speed Skating,1994,15.0,4
15318,Speed Skating,1994,17.0,5
15319,Speed Skating,1994,18.0,6
15320,Speed Skating,1994,19.0,14
15321,Speed Skating,1994,20.0,11
15322,Speed Skating,1994,21.0,39
15323,Speed Skating,1994,22.0,46
15324,Speed Skating,1994,23.0,35
15325,Speed Skating,1994,24.0,31
15326,Speed Skating,1994,25.0,29
15327,Speed Skating,1994,26.0,27
15328,Speed Skating,1994,27.0,28
15329,Speed Skating,1994,28.0,16
15330,Speed Skating,1994,29.0,14
15331,Speed Skating,1994,30.0,7
15332,Speed Skating,1994,31.0,5
15333,Speed Skating,1998,16.0,2
15334,Speed Skating,1998,17.0,11
15335,Speed Skating,1998,18.0,9
15336,Speed Skating,1998,19.0,7
15337,Speed Skating,1998,20.0,7
15338,Speed Skating,1998,21.0,30
15339,Speed Skating,1998,22.0,23
15340,Speed Skating,1998,23.0,37
15341,Speed Skating,1998,24.0,39
15342,Speed Skating,1998,25.0,41
15343,Speed Skating,1998,26.0,27
15344,Speed Skating,1998,27.0,46
15345,Speed Skating,1998,28.0,7
15346,Speed Skating,1998,29.0,15
15347,Speed Skating,1998,30.0,12
15348,Speed Skating,1998,31.0,15
15349,Speed Skating,1998,32.0,2
15350,Speed Skating,1998,33.0,4
15351,Speed Skating,1998,34.0,1
15352,Speed Skating,2002,17.0,5
15353,Speed Skating,2002,18.0,5
15354,Speed Skating,2002,19.0,5
15355,Speed Skating,2002,20.0,13
15356,Speed Skating,2002,21.0,26
15357,Speed Skating,2002,22.0,30
15358,Speed Skating,2002,23.0,20
15359,Speed Skating,2002,24.0,13
15360,Speed Skating,2002,25.0,41
15361,Speed Skating,2002,26.0,36
15362,Speed Skating,2002,27.0,34
15363,Speed Skating,2002,28.0,33
15364,Speed Skating,2002,29.0,21
15365,Speed Skating,2002,30.0,13
15366,Speed Skating,2002,31.0,16
15367,Speed Skating,2002,33.0,5
15368,Speed Skating,2002,34.0,11
15369,Speed Skating,2002,35.0,5
15370,Speed Skating,2006,16.0,6
15371,Speed Skating,2006,18.0,4
15372,Speed Skating,2006,19.0,20
15373,Speed Skating,2006,20.0,35
15374,Speed Skating,2006,21.0,22
15375,Speed Skating,2006,22.0,17
15376,Speed Skating,2006,23.0,39
15377,Speed Skating,2006,24.0,26
15378,Speed Skating,2006,25.0,27
15379,Speed Skating,2006,26.0,25
15380,Speed Skating,2006,27.0,15
15381,Speed Skating,2006,28.0,19
15382,Speed Skating,2006,29.0,33
15383,Speed Skating,2006,30.0,31
15384,Speed Skating,2006,31.0,25
15385,Speed Skating,2006,32.0,14
15386,Speed Skating,2006,33.0,10
15387,Speed Skating,2006,34.0,4
15388,Speed Skating,2006,35.0,5
15389,Speed Skating,2006,38.0,2
15390,Speed Skating,2010,15.0,2
15391,Speed Skating,2010,17.0,7
15392,Speed Skating,2010,18.0,7
15393,Speed Skating,2010,19.0,5
15394,Speed Skating,2010,20.0,30
15395,Speed Skating,2010,21.0,16
15396,Speed Skating,2010,22.0,21
15397,Speed Skating,2010,23.0,42
15398,Speed Skating,2010,24.0,52
15399,Speed Skating,2010,25.0,23
15400,Speed Skating,2010,26.0,23
15401,Speed Skating,2010,27.0,46
15402,Speed Skating,2010,28.0,16
15403,Speed Skating,2010,29.0,10
15404,Speed Skating,2010,30.0,11
15405,Speed Skating,2010,31.0,5
15406,Speed Skating,2010,32.0,8
15407,Speed Skating,2010,33.0,21
15408,Speed Skating,2010,34.0,8
15409,Speed Skating,2010,35.0,6
15410,Speed Skating,2010,36.0,1
15411,Speed Skating,2010,37.0,4
15412,Speed Skating,2010,38.0,2
15413,Speed Skating,2014,17.0,2
15414,Speed Skating,2014,18.0,6
15415,Speed Skating,2014,19.0,10
15416,Speed Skating,2014,20.0,5
15417,Speed Skating,2014,21.0,27
15418,Speed Skating,2014,22.0,27
15419,Speed Skating,2014,23.0,34
15420,Speed Skating,2014,24.0,52
15421,Speed Skating,2014,25.0,25
15422,Speed Skating,2014,26.0,20
15423,Speed Skating,2014,27.0,48
15424,Speed Skating,2014,28.0,44
15425,Speed Skating,2014,29.0,10
15426,Speed Skating,2014,30.0,18
15427,Speed Skating,2014,31.0,15
15428,Speed Skating,2014,32.0,3
15429,Speed Skating,2014,33.0,6
15430,Speed Skating,2014,34.0,5
15431,Speed Skating,2014,35.0,5
15432,Speed Skating,2014,37.0,1
15433,Speed Skating,2014,39.0,2
15434,Speed Skating,2014,41.0,3
