lindex,Sport,Year,Age,count
15435,Swimming,1896,18.0,4
15436,Swimming,1896,19.0,1
15437,Swimming,1896,20.0,2
15438,Swimming,1900,16.0,3
15439,Swimming,1900,17.0,2
15440,Swimming,1900,18.0,17
15441,Swimming,1900,19.0,3
15442,Swimming,1900,20.0,15
15443,Swimming,1900,21.0,5
15444,Swimming,1900,22.0,2
15445,Swimming,1900,23.0,5
15446,Swimming,1900,27.0,5
15447,Swimming,1900,28.0,2
15448,Swimming,1900,30.0,2
15449,Swimming,1900,31.0,2
15450,Swimming,1900,35.0,1
15451,Swimming,1900,40.0,2
15452,Swimming,1904,16.0,1
15453,Swimming,1904,17.0,4
15454,Swimming,1904,18.0,2
15455,Swimming,1904,19.0,7
15456,Swimming,1904,20.0,7
15457,Swimming,1904,21.0,5
15458,Swimming,1904,22.0,9
15459,Swimming,1904,23.0,9
15460,Swimming,1904,24.0,5
15461,Swimming,1904,25.0,2
15462,Swimming,1904,29.0,1
15463,Swimming,1904,30.0,2
15464,Swimming,1904,34.0,1
15465,Swimming,1904,36.0,5
15466,Swimming,1906,16.0,6
15467,Swimming,1906,17.0,6
15468,Swimming,1906,18.0,2
15469,Swimming,1906,19.0,3
15470,Swimming,1906,20.0,3
15471,Swimming,1906,21.0,10
15472,Swimming,1906,22.0,1
15473,Swimming,1906,23.0,7
15474,Swimming,1906,24.0,7
15475,Swimming,1906,26.0,2
15476,Swimming,1906,27.0,3
15477,Swimming,1906,29.0,2
15478,Swimming,1906,32.0,1
15479,Swimming,1906,34.0,3
15480,Swimming,1906,46.0,1
15481,Swimming,1908,14.0,1
15482,Swimming,1908,15.0,2
15483,Swimming,1908,16.0,9
15484,Swimming,1908,17.0,10
15485,Swimming,1908,18.0,13
15486,Swimming,1908,19.0,10
15487,Swimming,1908,20.0,11
15488,Swimming,1908,21.0,11
15489,Swimming,1908,22.0,10
15490,Swimming,1908,23.0,10
15491,Swimming,1908,24.0,11
15492,Swimming,1908,25.0,10
15493,Swimming,1908,26.0,5
15494,Swimming,1908,27.0,4
15495,Swimming,1908,28.0,2
15496,Swimming,1908,29.0,4
15497,Swimming,1908,30.0,1
15498,Swimming,1908,31.0,1
15499,Swimming,1908,34.0,1
15500,Swimming,1908,36.0,1
15501,Swimming,1908,37.0,1
15502,Swimming,1908,41.0,1
15503,Swimming,1912,13.0,2
15504,Swimming,1912,15.0,5
15505,Swimming,1912,16.0,10
15506,Swimming,1912,17.0,18
15507,Swimming,1912,18.0,16
15508,Swimming,1912,19.0,29
15509,Swimming,1912,20.0,20
15510,Swimming,1912,21.0,19
15511,Swimming,1912,22.0,25
15512,Swimming,1912,23.0,13
15513,Swimming,1912,24.0,11
15514,Swimming,1912,25.0,6
15515,Swimming,1912,26.0,5
15516,Swimming,1912,27.0,4
15517,Swimming,1912,28.0,4
15518,Swimming,1912,30.0,5
15519,Swimming,1912,31.0,3
15520,Swimming,1912,33.0,1
15521,Swimming,1912,35.0,1
15522,Swimming,1912,36.0,1
15523,Swimming,1920,15.0,8
15524,Swimming,1920,16.0,5
15525,Swimming,1920,17.0,4
15526,Swimming,1920,18.0,33
15527,Swimming,1920,19.0,19
15528,Swimming,1920,20.0,13
15529,Swimming,1920,21.0,6
15530,Swimming,1920,22.0,7
15531,Swimming,1920,23.0,13
15532,Swimming,1920,24.0,8
15533,Swimming,1920,25.0,8
15534,Swimming,1920,26.0,10
15535,Swimming,1920,27.0,10
15536,Swimming,1920,28.0,3
15537,Swimming,1920,29.0,2
15538,Swimming,1920,30.0,2
15539,Swimming,1920,32.0,4
15540,Swimming,1920,33.0,1
15541,Swimming,1920,34.0,1
15542,Swimming,1920,35.0,5
15543,Swimming,1920,37.0,1
15544,Swimming,1924,13.0,1
15545,Swimming,1924,14.0,3
15546,Swimming,1924,15.0,9
15547,Swimming,1924,16.0,12
15548,Swimming,1924,17.0,17
15549,Swimming,1924,18.0,21
