lindex,Sport,Year,Age,count
15992,Synchronized Swimming,1984,15.0,5
15993,Synchronized Swimming,1984,16.0,6
15994,Synchronized Swimming,1984,17.0,5
15995,Synchronized Swimming,1984,18.0,15
15996,Synchronized Swimming,1984,19.0,8
15997,Synchronized Swimming,1984,20.0,15
15998,Synchronized Swimming,1984,21.0,9
15999,Synchronized Swimming,1984,22.0,4
16000,Synchronized Swimming,1984,23.0,7
16001,Synchronized Swimming,1984,24.0,2
16002,Synchronized Swimming,1984,25.0,2
16003,Synchronized Swimming,1984,26.0,4
16004,Synchronized Swimming,1988,16.0,3
16005,Synchronized Swimming,1988,17.0,4
16006,Synchronized Swimming,1988,18.0,16
16007,Synchronized Swimming,1988,19.0,10
16008,Synchronized Swimming,1988,20.0,7
16009,Synchronized Swimming,1988,21.0,6
16010,Synchronized Swimming,1988,22.0,13
16011,Synchronized Swimming,1988,23.0,5
16012,Synchronized Swimming,1988,24.0,7
16013,Synchronized Swimming,1988,25.0,5
16014,Synchronized Swimming,1992,17.0,6
16015,Synchronized Swimming,1992,18.0,3
16016,Synchronized Swimming,1992,19.0,7
16017,Synchronized Swimming,1992,20.0,16
16018,Synchronized Swimming,1992,21.0,14
16019,Synchronized Swimming,1992,22.0,15
16020,Synchronized Swimming,1992,23.0,9
16021,Synchronized Swimming,1992,24.0,6
16022,Synchronized Swimming,1992,25.0,5
16023,Synchronized Swimming,1992,28.0,4
16024,Synchronized Swimming,1992,29.0,4
16025,Synchronized Swimming,1996,16.0,1
16026,Synchronized Swimming,1996,17.0,3
16027,Synchronized Swimming,1996,18.0,3
16028,Synchronized Swimming,1996,19.0,4
16029,Synchronized Swimming,1996,20.0,8
16030,Synchronized Swimming,1996,21.0,12
16031,Synchronized Swimming,1996,22.0,12
16032,Synchronized Swimming,1996,23.0,7
16033,Synchronized Swimming,1996,24.0,8
16034,Synchronized Swimming,1996,25.0,4
16035,Synchronized Swimming,1996,26.0,4
16036,Synchronized Swimming,1996,27.0,2
16037,Synchronized Swimming,1996,28.0,3
16038,Synchronized Swimming,1996,29.0,1
16039,Synchronized Swimming,2000,17.0,2
16040,Synchronized Swimming,2000,18.0,3
16041,Synchronized Swimming,2000,19.0,5
16042,Synchronized Swimming,2000,20.0,10
16043,Synchronized Swimming,2000,21.0,18
16044,Synchronized Swimming,2000,22.0,16
16045,Synchronized Swimming,2000,23.0,12
16046,Synchronized Swimming,2000,24.0,15
16047,Synchronized Swimming,2000,25.0,16
16048,Synchronized Swimming,2000,26.0,11
16049,Synchronized Swimming,2000,27.0,7
16050,Synchronized Swimming,2000,30.0,2
16051,Synchronized Swimming,2004,16.0,1
16052,Synchronized Swimming,2004,18.0,3
16053,Synchronized Swimming,2004,19.0,11
16054,Synchronized Swimming,2004,20.0,7
16055,Synchronized Swimming,2004,21.0,15
16056,Synchronized Swimming,2004,22.0,11
16057,Synchronized Swimming,2004,23.0,21
16058,Synchronized Swimming,2004,24.0,10
16059,Synchronized Swimming,2004,25.0,11
16060,Synchronized Swimming,2004,26.0,7
16061,Synchronized Swimming,2004,27.0,6
16062,Synchronized Swimming,2004,28.0,4
16063,Synchronized Swimming,2004,29.0,5
16064,Synchronized Swimming,2004,31.0,3
16065,Synchronized Swimming,2004,34.0,2
16066,Synchronized Swimming,2008,15.0,3
16067,Synchronized Swimming,2008,16.0,3
16068,Synchronized Swimming,2008,17.0,2
16069,Synchronized Swimming,2008,18.0,10
16070,Synchronized Swimming,2008,19.0,6
16071,Synchronized Swimming,2008,20.0,11
16072,Synchronized Swimming,2008,21.0,13
16073,Synchronized Swimming,2008,22.0,10
16074,Synchronized Swimming,2008,23.0,10
16075,Synchronized Swimming,2008,24.0,6
16076,Synchronized Swimming,2008,25.0,17
16077,Synchronized Swimming,2008,26.0,9
16078,Synchronized Swimming,2008,27.0,6
16079,Synchronized Swimming,2008,28.0,3
16080,Synchronized Swimming,2008,30.0,1
16081,Synchronized Swimming,2008,31.0,4
16082,Synchronized Swimming,2008,32.0,3
16083,Synchronized Swimming,2012,17.0,5
16084,Synchronized Swimming,2012,18.0,4
16085,Synchronized Swimming,2012,19.0,8
16086,Synchronized Swimming,2012,20.0,7
16087,Synchronized Swimming,2012,21.0,12
16088,Synchronized Swimming,2012,22.0,21
16089,Synchronized Swimming,2012,23.0,18
16090,Synchronized Swimming,2012,24.0,12
16091,Synchronized Swimming,2012,25.0,9
16092,Synchronized Swimming,2012,26.0,7
16093,Synchronized Swimming,2012,27.0,2
16094,Synchronized Swimming,2012,28.0,2
16095,Synchronized Swimming,2012,29.0,8
16096,Synchronized Swimming,2012,31.0,1
16097,Synchronized Swimming,2012,36.0,1
16098,Synchronized Swimming,2016,17.0,3
16099,Synchronized Swimming,2016,18.0,3
16100,Synchronized Swimming,2016,19.0,8
16101,Synchronized Swimming,2016,20.0,12
16102,Synchronized Swimming,2016,21.0,16
16103,Synchronized Swimming,2016,22.0,12
16104,Synchronized Swimming,2016,23.0,9
16105,Synchronized Swimming,2016,24.0,12
16106,Synchronized Swimming,2016,25.0,10
16107,Synchronized Swimming,2016,26.0,13
16108,Synchronized Swimming,2016,27.0,6
16109,Synchronized Swimming,2016,28.0,5
16110,Synchronized Swimming,2016,29.0,1
16111,Synchronized Swimming,2016,30.0,4
16112,Synchronized Swimming,2016,31.0,2
16113,Synchronized Swimming,2016,39.0,1
16114,Synchronized Swimming,2016,40.0,1
