lindex,Sport,Year,Age,count
16320,Taekwondo,2000,17.0,4
16321,Taekwondo,2000,18.0,4
16322,Taekwondo,2000,19.0,5
16323,Taekwondo,2000,20.0,9
16324,Taekwondo,2000,21.0,6
16325,Taekwondo,2000,22.0,9
16326,Taekwondo,2000,23.0,9
16327,Taekwondo,2000,24.0,8
16328,Taekwondo,2000,25.0,8
16329,Taekwondo,2000,26.0,7
16330,Taekwondo,2000,27.0,6
16331,Taekwondo,2000,28.0,9
16332,Taekwondo,2000,29.0,6
16333,Taekwondo,2000,30.0,2
16334,Taekwondo,2000,31.0,5
16335,Taekwondo,2000,33.0,3
16336,Taekwondo,2000,34.0,1
16337,Taekwondo,2000,36.0,1
16338,Taekwondo,2004,16.0,3
16339,Taekwondo,2004,17.0,2
16340,Taekwondo,2004,18.0,2
16341,Taekwondo,2004,19.0,4
16342,Taekwondo,2004,20.0,15
16343,Taekwondo,2004,21.0,11
16344,Taekwondo,2004,22.0,12
16345,Taekwondo,2004,23.0,10
16346,Taekwondo,2004,24.0,9
16347,Taekwondo,2004,25.0,11
16348,Taekwondo,2004,26.0,8
16349,Taekwondo,2004,27.0,16
16350,Taekwondo,2004,28.0,7
16351,Taekwondo,2004,29.0,4
16352,Taekwondo,2004,30.0,4
16353,Taekwondo,2004,31.0,2
16354,Taekwondo,2004,32.0,4
16355,Taekwondo,2008,17.0,6
16356,Taekwondo,2008,18.0,4
16357,Taekwondo,2008,19.0,10
16358,Taekwondo,2008,20.0,12
16359,Taekwondo,2008,21.0,12
16360,Taekwondo,2008,22.0,10
16361,Taekwondo,2008,23.0,9
16362,Taekwondo,2008,24.0,15
16363,Taekwondo,2008,25.0,10
16364,Taekwondo,2008,26.0,5
16365,Taekwondo,2008,27.0,7
16366,Taekwondo,2008,28.0,10
16367,Taekwondo,2008,29.0,3
16368,Taekwondo,2008,30.0,3
16369,Taekwondo,2008,31.0,3
16370,Taekwondo,2008,32.0,3
16371,Taekwondo,2008,33.0,1
16372,Taekwondo,2008,34.0,2
16373,Taekwondo,2008,36.0,1
16374,Taekwondo,2012,16.0,1
16375,Taekwondo,2012,17.0,1
16376,Taekwondo,2012,18.0,7
16377,Taekwondo,2012,19.0,7
16378,Taekwondo,2012,20.0,8
16379,Taekwondo,2012,21.0,14
16380,Taekwondo,2012,22.0,10
16381,Taekwondo,2012,23.0,11
16382,Taekwondo,2012,24.0,15
16383,Taekwondo,2012,25.0,12
16384,Taekwondo,2012,26.0,12
16385,Taekwondo,2012,27.0,3
16386,Taekwondo,2012,28.0,7
16387,Taekwondo,2012,29.0,7
16388,Taekwondo,2012,30.0,4
16389,Taekwondo,2012,31.0,2
16390,Taekwondo,2012,32.0,5
16391,Taekwondo,2012,33.0,2
16392,Taekwondo,2016,17.0,2
16393,Taekwondo,2016,18.0,11
16394,Taekwondo,2016,19.0,2
16395,Taekwondo,2016,20.0,11
16396,Taekwondo,2016,21.0,8
16397,Taekwondo,2016,22.0,13
16398,Taekwondo,2016,23.0,13
16399,Taekwondo,2016,24.0,11
16400,Taekwondo,2016,25.0,12
16401,Taekwondo,2016,26.0,11
16402,Taekwondo,2016,27.0,8
16403,Taekwondo,2016,28.0,8
16404,Taekwondo,2016,29.0,4
16405,Taekwondo,2016,30.0,3
16406,Taekwondo,2016,32.0,4
16407,Taekwondo,2016,33.0,2
16408,Taekwondo,2016,35.0,2
16409,Taekwondo,2016,37.0,1
