lindex,Sport,Year,Age,count
16410,Tennis,1896,17.0,4
16411,Tennis,1896,20.0,2
16412,Tennis,1896,22.0,2
16413,Tennis,1896,23.0,5
16414,Tennis,1896,25.0,2
16415,Tennis,1900,13.0,1
16416,Tennis,1900,17.0,3
16417,Tennis,1900,20.0,2
16418,Tennis,1900,22.0,1
16419,Tennis,1900,24.0,3
16420,Tennis,1900,25.0,1
16421,Tennis,1900,26.0,1
16422,Tennis,1900,27.0,3
16423,Tennis,1900,29.0,2
16424,Tennis,1900,31.0,5
16425,Tennis,1900,33.0,3
16426,Tennis,1900,34.0,3
16427,Tennis,1900,35.0,2
16428,Tennis,1900,40.0,4
16429,Tennis,1904,19.0,2
16430,Tennis,1904,22.0,3
16431,Tennis,1904,23.0,5
16432,Tennis,1904,24.0,6
16433,Tennis,1904,26.0,7
16434,Tennis,1904,27.0,5
16435,Tennis,1904,28.0,3
16436,Tennis,1904,29.0,2
16437,Tennis,1904,30.0,3
16438,Tennis,1904,31.0,3
16439,Tennis,1904,32.0,1
16440,Tennis,1904,33.0,4
16441,Tennis,1904,36.0,2
16442,Tennis,1906,15.0,1
16443,Tennis,1906,17.0,1
16444,Tennis,1906,18.0,3
16445,Tennis,1906,19.0,2
16446,Tennis,1906,20.0,3
16447,Tennis,1906,21.0,3
16448,Tennis,1906,23.0,6
16449,Tennis,1906,26.0,7
16450,Tennis,1906,27.0,2
16451,Tennis,1906,28.0,2
16452,Tennis,1906,33.0,1
16453,Tennis,1908,18.0,4
16454,Tennis,1908,20.0,5
16455,Tennis,1908,21.0,5
16456,Tennis,1908,22.0,4
16457,Tennis,1908,23.0,3
16458,Tennis,1908,24.0,5
16459,Tennis,1908,25.0,1
16460,Tennis,1908,26.0,6
16461,Tennis,1908,27.0,2
16462,Tennis,1908,28.0,5
16463,Tennis,1908,29.0,4
16464,Tennis,1908,31.0,3
16465,Tennis,1908,32.0,1
16466,Tennis,1908,33.0,2
16467,Tennis,1908,34.0,2
16468,Tennis,1908,35.0,5
16469,Tennis,1908,36.0,1
16470,Tennis,1908,37.0,6
16471,Tennis,1908,38.0,1
16472,Tennis,1908,39.0,4
16473,Tennis,1908,40.0,5
16474,Tennis,1908,41.0,1
16475,Tennis,1908,44.0,2
16476,Tennis,1912,18.0,5
16477,Tennis,1912,19.0,6
16478,Tennis,1912,20.0,2
16479,Tennis,1912,21.0,11
16480,Tennis,1912,22.0,8
16481,Tennis,1912,23.0,15
16482,Tennis,1912,24.0,13
16483,Tennis,1912,25.0,16
16484,Tennis,1912,26.0,7
16485,Tennis,1912,27.0,13
16486,Tennis,1912,28.0,16
16487,Tennis,1912,29.0,8
16488,Tennis,1912,30.0,11
16489,Tennis,1912,31.0,6
16490,Tennis,1912,32.0,8
16491,Tennis,1912,33.0,8
16492,Tennis,1912,34.0,3
16493,Tennis,1912,35.0,2
16494,Tennis,1912,36.0,2
16495,Tennis,1912,37.0,2
16496,Tennis,1912,38.0,3
16497,Tennis,1912,39.0,3
16498,Tennis,1912,43.0,2
16499,Tennis,1912,44.0,2
16500,Tennis,1912,45.0,1
16501,Tennis,1920,18.0,2
16502,Tennis,1920,20.0,5
16503,Tennis,1920,21.0,5
16504,Tennis,1920,22.0,4
16505,Tennis,1920,23.0,16
16506,Tennis,1920,24.0,9
16507,Tennis,1920,25.0,7
16508,Tennis,1920,26.0,1
16509,Tennis,1920,27.0,3
16510,Tennis,1920,28.0,7
16511,Tennis,1920,29.0,10
16512,Tennis,1920,30.0,4
16513,Tennis,1920,31.0,4
16514,Tennis,1920,32.0,5
16515,Tennis,1920,33.0,10
16516,Tennis,1920,34.0,5
16517,Tennis,1920,35.0,3
16518,Tennis,1920,36.0,7
16519,Tennis,1920,37.0,7
16520,Tennis,1920,38.0,1
16521,Tennis,1920,39.0,3
16522,Tennis,1920,40.0,3
16523,Tennis,1920,42.0,3
16524,Tennis,1924,18.0,5
16525,Tennis,1924,19.0,6
16526,Tennis,1924,20.0,11
16527,Tennis,1924,21.0,6
16528,Tennis,1924,22.0,11
16529,Tennis,1924,24.0,8
16530,Tennis,1924,25.0,6
16531,Tennis,1924,26.0,7
16532,Tennis,1924,27.0,28
16533,Tennis,1924,28.0,19
16534,Tennis,1924,29.0,29
16535,Tennis,1924,31.0,7
16536,Tennis,1924,32.0,6
16537,Tennis,1924,33.0,12
16538,Tennis,1924,34.0,7
16539,Tennis,1924,35.0,3
16540,Tennis,1924,36.0,14
16541,Tennis,1924,37.0,10
16542,Tennis,1924,38.0,3
16543,Tennis,1924,39.0,2
16544,Tennis,1924,40.0,5
16545,Tennis,1924,42.0,3
16546,Tennis,1924,43.0,3
16547,Tennis,1924,44.0,3
16548,Tennis,1988,16.0,1
16549,Tennis,1988,17.0,6
16550,Tennis,1988,18.0,12
16551,Tennis,1988,19.0,11
16552,Tennis,1988,20.0,21
16553,Tennis,1988,21.0,20
16554,Tennis,1988,22.0,27
16555,Tennis,1988,23.0,27
16556,Tennis,1988,24.0,15
16557,Tennis,1988,25.0,15
16558,Tennis,1988,26.0,20
16559,Tennis,1988,27.0,6
16560,Tennis,1988,28.0,6
16561,Tennis,1988,29.0,4
16562,Tennis,1988,30.0,5
16563,Tennis,1988,33.0,1
16564,Tennis,1988,34.0,2
16565,Tennis,1988,35.0,2
16566,Tennis,1988,36.0,1
16567,Tennis,1992,14.0,2
16568,Tennis,1992,15.0,2
