lindex,Sport,Year,Age,count
16779,Triathlon,2000,20.0,2
16780,Triathlon,2000,21.0,7
16781,Triathlon,2000,22.0,4
16782,Triathlon,2000,23.0,2
16783,Triathlon,2000,24.0,9
16784,Triathlon,2000,25.0,9
16785,Triathlon,2000,26.0,9
16786,Triathlon,2000,27.0,7
16787,Triathlon,2000,28.0,5
16788,Triathlon,2000,29.0,17
16789,Triathlon,2000,30.0,5
16790,Triathlon,2000,31.0,7
16791,Triathlon,2000,32.0,4
16792,Triathlon,2000,33.0,5
16793,Triathlon,2000,34.0,6
16794,Triathlon,2000,35.0,1
16795,Triathlon,2000,42.0,1
16796,Triathlon,2004,18.0,1
16797,Triathlon,2004,19.0,1
16798,Triathlon,2004,21.0,2
16799,Triathlon,2004,22.0,6
16800,Triathlon,2004,23.0,4
16801,Triathlon,2004,24.0,2
16802,Triathlon,2004,25.0,11
16803,Triathlon,2004,26.0,7
16804,Triathlon,2004,27.0,7
16805,Triathlon,2004,28.0,13
16806,Triathlon,2004,29.0,7
16807,Triathlon,2004,30.0,9
16808,Triathlon,2004,31.0,5
16809,Triathlon,2004,32.0,5
16810,Triathlon,2004,33.0,5
16811,Triathlon,2004,34.0,4
16812,Triathlon,2004,35.0,4
16813,Triathlon,2004,36.0,3
16814,Triathlon,2004,37.0,2
16815,Triathlon,2004,40.0,1
16816,Triathlon,2008,18.0,2
16817,Triathlon,2008,20.0,3
16818,Triathlon,2008,21.0,8
16819,Triathlon,2008,22.0,3
16820,Triathlon,2008,23.0,4
16821,Triathlon,2008,24.0,6
16822,Triathlon,2008,25.0,7
16823,Triathlon,2008,26.0,12
16824,Triathlon,2008,27.0,7
16825,Triathlon,2008,28.0,6
16826,Triathlon,2008,29.0,10
16827,Triathlon,2008,30.0,9
16828,Triathlon,2008,31.0,8
16829,Triathlon,2008,32.0,10
16830,Triathlon,2008,33.0,4
16831,Triathlon,2008,34.0,2
16832,Triathlon,2008,35.0,3
16833,Triathlon,2008,36.0,2
16834,Triathlon,2008,37.0,2
16835,Triathlon,2008,38.0,1
16836,Triathlon,2008,40.0,1
16837,Triathlon,2012,20.0,4
16838,Triathlon,2012,21.0,2
16839,Triathlon,2012,22.0,5
16840,Triathlon,2012,23.0,7
16841,Triathlon,2012,24.0,11
16842,Triathlon,2012,25.0,8
16843,Triathlon,2012,26.0,5
16844,Triathlon,2012,27.0,9
16845,Triathlon,2012,28.0,9
16846,Triathlon,2012,29.0,7
16847,Triathlon,2012,30.0,17
16848,Triathlon,2012,31.0,8
16849,Triathlon,2012,32.0,4
16850,Triathlon,2012,33.0,2
16851,Triathlon,2012,34.0,4
16852,Triathlon,2012,35.0,3
16853,Triathlon,2012,36.0,3
16854,Triathlon,2012,37.0,2
16855,Triathlon,2016,19.0,1
16856,Triathlon,2016,20.0,1
16857,Triathlon,2016,21.0,3
16858,Triathlon,2016,22.0,4
16859,Triathlon,2016,23.0,7
16860,Triathlon,2016,24.0,6
16861,Triathlon,2016,25.0,8
16862,Triathlon,2016,26.0,11
16863,Triathlon,2016,27.0,16
16864,Triathlon,2016,28.0,12
16865,Triathlon,2016,29.0,10
16866,Triathlon,2016,30.0,7
16867,Triathlon,2016,31.0,5
16868,Triathlon,2016,32.0,5
16869,Triathlon,2016,33.0,2
16870,Triathlon,2016,34.0,8
16871,Triathlon,2016,35.0,2
16872,Triathlon,2016,36.0,1
16873,Triathlon,2016,38.0,1
