lindex,Sport,Year,Age,count
16874,Tug-Of-War,1900,19.0,1
16875,Tug-Of-War,1900,21.0,1
16876,Tug-Of-War,1900,23.0,1
16877,Tug-Of-War,1900,24.0,1
16878,Tug-Of-War,1900,25.0,1
16879,Tug-Of-War,1900,27.0,1
16880,Tug-Of-War,1900,30.0,1
16881,Tug-Of-War,1900,33.0,1
16882,Tug-Of-War,1900,34.0,2
16883,Tug-Of-War,1900,38.0,1
16884,Tug-Of-War,1904,22.0,1
16885,Tug-Of-War,1904,23.0,1
16886,Tug-Of-War,1904,24.0,3
16887,Tug-Of-War,1904,25.0,1
16888,Tug-Of-War,1904,29.0,3
16889,Tug-Of-War,1904,30.0,1
16890,Tug-Of-War,1904,38.0,1
16891,Tug-Of-War,1904,40.0,2
16892,Tug-Of-War,1906,21.0,1
16893,Tug-Of-War,1906,22.0,3
16894,Tug-Of-War,1906,23.0,4
16895,Tug-Of-War,1906,24.0,3
16896,Tug-Of-War,1906,26.0,2
16897,Tug-Of-War,1906,27.0,3
16898,Tug-Of-War,1906,28.0,1
16899,Tug-Of-War,1906,29.0,1
16900,Tug-Of-War,1906,31.0,1
16901,Tug-Of-War,1906,33.0,1
16902,Tug-Of-War,1908,20.0,2
16903,Tug-Of-War,1908,21.0,2
16904,Tug-Of-War,1908,22.0,1
16905,Tug-Of-War,1908,23.0,3
16906,Tug-Of-War,1908,24.0,1
16907,Tug-Of-War,1908,25.0,1
16908,Tug-Of-War,1908,26.0,1
16909,Tug-Of-War,1908,27.0,2
16910,Tug-Of-War,1908,28.0,1
16911,Tug-Of-War,1908,29.0,6
16912,Tug-Of-War,1908,30.0,2
16913,Tug-Of-War,1908,32.0,1
16914,Tug-Of-War,1908,33.0,4
16915,Tug-Of-War,1908,34.0,3
16916,Tug-Of-War,1908,36.0,2
16917,Tug-Of-War,1908,37.0,2
16918,Tug-Of-War,1908,38.0,1
16919,Tug-Of-War,1908,40.0,1
16920,Tug-Of-War,1908,45.0,1
16921,Tug-Of-War,1912,23.0,1
16922,Tug-Of-War,1912,26.0,3
16923,Tug-Of-War,1912,27.0,1
16924,Tug-Of-War,1912,29.0,1
16925,Tug-Of-War,1912,30.0,2
16926,Tug-Of-War,1912,33.0,3
16927,Tug-Of-War,1912,34.0,1
16928,Tug-Of-War,1912,36.0,1
16929,Tug-Of-War,1912,37.0,1
16930,Tug-Of-War,1912,41.0,1
16931,Tug-Of-War,1912,42.0,1
16932,Tug-Of-War,1920,17.0,1
16933,Tug-Of-War,1920,20.0,1
16934,Tug-Of-War,1920,21.0,2
16935,Tug-Of-War,1920,22.0,1
16936,Tug-Of-War,1920,25.0,1
16937,Tug-Of-War,1920,26.0,1
16938,Tug-Of-War,1920,27.0,1
16939,Tug-Of-War,1920,28.0,1
16940,Tug-Of-War,1920,29.0,3
16941,Tug-Of-War,1920,30.0,1
16942,Tug-Of-War,1920,31.0,3
16943,Tug-Of-War,1920,32.0,2
16944,Tug-Of-War,1920,33.0,1
16945,Tug-Of-War,1920,34.0,1
16946,Tug-Of-War,1920,35.0,1
16947,Tug-Of-War,1920,36.0,1
16948,Tug-Of-War,1920,37.0,1
16949,Tug-Of-War,1920,38.0,2
16950,Tug-Of-War,1920,40.0,1
16951,Tug-Of-War,1920,41.0,1
16952,Tug-Of-War,1920,42.0,1
16953,Tug-Of-War,1920,43.0,1
