lindex,Sport,Year,Age,count
16954,Volleyball,1964,16.0,1
16955,Volleyball,1964,17.0,1
16956,Volleyball,1964,18.0,4
16957,Volleyball,1964,19.0,10
16958,Volleyball,1964,20.0,10
16959,Volleyball,1964,21.0,21
16960,Volleyball,1964,22.0,10
16961,Volleyball,1964,23.0,15
16962,Volleyball,1964,24.0,13
16963,Volleyball,1964,25.0,17
16964,Volleyball,1964,26.0,18
16965,Volleyball,1964,27.0,16
16966,Volleyball,1964,28.0,8
16967,Volleyball,1964,29.0,4
16968,Volleyball,1964,30.0,11
16969,Volleyball,1964,31.0,7
16970,Volleyball,1964,32.0,8
16971,Volleyball,1964,33.0,2
16972,Volleyball,1964,34.0,2
16973,Volleyball,1964,37.0,1
16974,Volleyball,1968,17.0,3
16975,Volleyball,1968,18.0,5
16976,Volleyball,1968,19.0,7
16977,Volleyball,1968,20.0,23
16978,Volleyball,1968,21.0,17
16979,Volleyball,1968,22.0,26
16980,Volleyball,1968,23.0,17
16981,Volleyball,1968,24.0,17
16982,Volleyball,1968,25.0,21
16983,Volleyball,1968,26.0,18
16984,Volleyball,1968,27.0,13
16985,Volleyball,1968,28.0,8
16986,Volleyball,1968,29.0,8
16987,Volleyball,1968,30.0,8
16988,Volleyball,1968,31.0,5
16989,Volleyball,1968,32.0,2
16990,Volleyball,1968,33.0,2
16991,Volleyball,1968,34.0,1
16992,Volleyball,1968,35.0,1
16993,Volleyball,1968,36.0,3
16994,Volleyball,1968,37.0,1
16995,Volleyball,1972,17.0,3
16996,Volleyball,1972,18.0,6
16997,Volleyball,1972,19.0,9
16998,Volleyball,1972,20.0,13
16999,Volleyball,1972,21.0,20
17000,Volleyball,1972,22.0,29
17001,Volleyball,1972,23.0,34
17002,Volleyball,1972,24.0,24
17003,Volleyball,1972,25.0,18
17004,Volleyball,1972,26.0,17
17005,Volleyball,1972,27.0,18
17006,Volleyball,1972,28.0,10
17007,Volleyball,1972,29.0,12
17008,Volleyball,1972,30.0,8
17009,Volleyball,1972,31.0,4
17010,Volleyball,1972,32.0,2
17011,Volleyball,1972,33.0,1
17012,Volleyball,1972,34.0,1
17013,Volleyball,1972,35.0,2
17014,Volleyball,1976,15.0,1
17015,Volleyball,1976,17.0,5
17016,Volleyball,1976,18.0,5
17017,Volleyball,1976,19.0,4
17018,Volleyball,1976,20.0,17
17019,Volleyball,1976,21.0,27
17020,Volleyball,1976,22.0,18
17021,Volleyball,1976,23.0,22
17022,Volleyball,1976,24.0,28
17023,Volleyball,1976,25.0,25
17024,Volleyball,1976,26.0,20
17025,Volleyball,1976,27.0,14
17026,Volleyball,1976,28.0,15
17027,Volleyball,1976,30.0,6
17028,Volleyball,1976,31.0,5
17029,Volleyball,1976,32.0,3
17030,Volleyball,1976,34.0,1
17031,Volleyball,1980,15.0,1
17032,Volleyball,1980,16.0,1
17033,Volleyball,1980,17.0,1
17034,Volleyball,1980,18.0,13
17035,Volleyball,1980,19.0,8
17036,Volleyball,1980,20.0,10
17037,Volleyball,1980,21.0,19
17038,Volleyball,1980,22.0,15
17039,Volleyball,1980,23.0,16
17040,Volleyball,1980,24.0,23
17041,Volleyball,1980,25.0,13
17042,Volleyball,1980,26.0,19
17043,Volleyball,1980,27.0,15
17044,Volleyball,1980,28.0,14
17045,Volleyball,1980,29.0,11
17046,Volleyball,1980,30.0,9
17047,Volleyball,1980,31.0,4
17048,Volleyball,1980,32.0,3
17049,Volleyball,1984,16.0,2
17050,Volleyball,1984,17.0,1
17051,Volleyball,1984,18.0,5
17052,Volleyball,1984,19.0,12
17053,Volleyball,1984,20.0,14
17054,Volleyball,1984,21.0,26
17055,Volleyball,1984,22.0,23
17056,Volleyball,1984,23.0,28
17057,Volleyball,1984,24.0,22
17058,Volleyball,1984,25.0,21
17059,Volleyball,1984,26.0,18
17060,Volleyball,1984,27.0,13
17061,Volleyball,1984,28.0,8
17062,Volleyball,1984,29.0,8
17063,Volleyball,1984,30.0,4
17064,Volleyball,1984,32.0,3
17065,Volleyball,1988,17.0,1
17066,Volleyball,1988,18.0,4
17067,Volleyball,1988,19.0,9
17068,Volleyball,1988,20.0,21
17069,Volleyball,1988,21.0,17
17070,Volleyball,1988,22.0,22
17071,Volleyball,1988,23.0,36
17072,Volleyball,1988,24.0,28
17073,Volleyball,1988,25.0,26
17074,Volleyball,1988,26.0,22
17075,Volleyball,1988,27.0,14
17076,Volleyball,1988,28.0,13
17077,Volleyball,1988,29.0,11
17078,Volleyball,1988,30.0,9
17079,Volleyball,1988,32.0,2
17080,Volleyball,1988,33.0,2
17081,Volleyball,1988,34.0,1
